adr_to_common_share_ratio,asset_uid,average_daily_volume_last_10_days,average_daily_volume_last_4_weeks,beta,buy_back_ttm,currency,current_ratio_mrq,diluted_eps_ttm,dividend_payout_ratio_fy,dividend_rate_ttm,dividend_yield_daily_ttm,dividends_per_share,domicile_indicator_code,ebitda_change_five_years,ebitda_ttm,eps_change_five_years,eps_ttm,ev_to_ebitda_mrq,ev_to_sales,ex_dividend_date,fiscal_period_end_date,fiscal_period_start_date,five_year_annual_dividend_growth_rate,five_year_annual_revenue_growth_rate,five_years_average_dividend_yield,fixed_charge_coverage_ratio_fy,forward_annual_dividend_yield,free_cash_flow_to_price,free_cash_flow_ttm,free_float,high_price_last_52_weeks,low_price_last_52_weeks,market_capitalization,net_debt_to_ebitda,net_income_ttm,net_interest_margin_mrq,net_margin_mrq,number_of_employees,one_year_annual_revenue_growth_rate,pe_ratio_ttm,price_to_book_ttm,price_to_free_cash_flow_ttm,price_to_sales_ttm,revenue_change_five_years,revenue_ttm,roa,roe,roic,shares_outstanding,three_year_annual_revenue_growth_rate,total_debt_change_five_years,total_debt_mrq,total_debt_to_ebitda_mrq,total_debt_to_equity_mrq,total_enterprise_value_mrq
0.0,f712e646-7c5d-4266-aabd-a18c9c65a7e2,1545.22,1273.68,1.0,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-18.9,597.53,0.0,0.0,2024-06-03T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,1.37,0.0,0.0,0.0,3964329000.0,0.1,43400.0,24260.0,365947536120.0,0.0,6889243000.0,0.0,6.36,0.0,-2.41,53.12,1.21,92.31,3.38,12.45,108271800000.0,1.46,2.26,0.0,11529538.0,0.0,-19.18,63814414000.0,0.0,21.14,397498692120.0
0.0,68af184b-07c1-4f27-8889-62d869f9dc0e,226819555.56,164217680.0,0.56,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-87.42,-0.01,0.0,0.0,2015-07-10T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-179814000000.0,0.03,0.74,0.47,490047673785.8,0.0,-12356000000.0,0.0,-2.06,0.0,13.1,0.0,4.93,-2.73,0.82,53.4,599897000000.0,-0.54,-15.4,0.0,1009366990290.0,4.8,64.31,828345000000.0,0.0,833.67,1036357673785.79
0.0,8c1ee6c2-b233-492a-844b-871ad85296f0,128799.11,105126.28,0.44,0.0,RUB,0.0,0.0,0.0,104.0,18.09,104.0,,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,14.21,0.0,0.0,0.0,0.0,0.37,764.8,477.4,44660531750.0,0.0,0.0,0.0,0.0,0.0,12.24,0.0,4.06,0.0,0.0,0.0,0.0,21.11,28.68,0.0,77670490.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,f0a6fe09-3981-4501-a8f5-91821935e4d4,2767808.56,2090175.04,0.7,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6212000000.0,0.0,-364.24,39.71,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-39098000000.0,0.2,366.5,230.6,181066366089.0,10.56,-83002000000.0,0.0,-55.35,0.0,11.15,0.0,1.26,-4.63,1.21,0.0,149952000000.0,-23.74,-82.56,0.0,572904180.0,0.0,0.0,103338000000.0,0.0,72.06,246659366089.0
0.0,4833e124-265f-4879-adc8-58bdf983f54e,198442.22,265423.79,0.61,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,85.11,306951000000.0,363.54,265.27,2.5,0.0,2024-07-15T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,8.64,0.0,0.0,0.0,-80000349000.0,0.67,5470.0,2781.5,331517637815.0,1.42,27034086000.0,0.0,0.83,0.0,19.6,12.26,1.8,-4.14,0.1,122.36,3256598788000.0,1.75,15.68,0.0,101911355.0,17.92,108.82,505769394000.0,0.0,274.84,766081076815.0
0.0,57f975c5-abf2-4660-a2d8-82fd070896f0,452.86,407.11,0.56,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-660.43,-254.56,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-5678354000.0,0.0,550.0,212.0,1583301165.42,0.0,-1612235000.0,0.0,-7.03,0.0,24.0,0.0,0.18,-0.28,0.07,28.35,22923844000.0,-3.15,-17.79,0.0,6333458.0,0.0,86.66,15212004000.0,0.0,175.61,14460969165.42
0.0,dca70560-9c9f-4fff-98e8-ba7dc78da7cc,5418891.33,4230045.88,0.84,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3240695000.0,0.0,-18.7,7.08,0.0,2024-12-06T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,6.04,0.0,0.0,0.0,-3897682000.0,0.32,242.86,76.4,10395322378.56,3.88,-2082903000.0,0.0,-16.58,0.0,33.3,0.0,1.81,-2.67,0.83,0.0,12564696000.0,-9.35,-31.95,0.0,111382432.0,0.0,0.0,13521305000.0,0.0,234.81,22957477378.56
0.0,27cee80c-18f8-450f-a1a2-8b0002f40358,11927428888.89,5376001875.0,0.46,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,99.76,35612000000.0,-3.35,0.05,7.05,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-8387000000.0,0.11,1.09,0.46,176485404218.99,2.09,10709000000.0,0.0,12.47,0.0,11.95,16.48,3.19,-21.04,2.05,83.44,85910000000.0,6.97,21.57,0.0,222778849052.0,10.84,414.56,76011000000.0,0.0,137.2,251022404218.99
0.0,c6afcf42-d81f-4c8a-86de-aa302b20f171,4115.67,3115.44,0.49,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-96.95,42.09,0.0,0.0,2024-12-27T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,30.73,0.0,0.0,0.0,77000000.0,0.05,16000.0,3400.0,7811055000.0,0.0,48000000.0,0.0,0.0,0.0,0.0,162.73,24.64,101.44,0.0,0.0,0.0,3.5,4.27,0.0,1140300.0,0.0,-80.2,99000000.0,0.0,31.23,7396055000.0
0.0,d4e13625-5533-401e-8027-6e6d8305aa36,60652342.22,30602133.2,0.56,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,151.45,31027232000.0,-703.25,-10.09,6.15,0.0,2024-10-11T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,10.49,0.0,0.0,0.0,-28813821000.0,0.25,69.66,39.54,62088400000.0,4.14,-10390669000.0,0.0,-13.3,0.0,5.92,0.0,4.46,-2.15,0.79,168.62,78139671000.0,-5.67,-64.1,0.0,1030000000.0,18.52,260.61,136083765000.0,0.0,976.96,190672319000.0
