time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 11, 'nano': 260000000}","{'units': 11, 'nano': 360000000}","{'units': 11, 'nano': 0}","{'units': 11, 'nano': 80000000}",2257,True,1
2025-02-05 00:00:00+00:00,"{'units': 11, 'nano': 80000000}","{'units': 12, 'nano': 100000000}","{'units': 11, 'nano': 40000000}","{'units': 11, 'nano': 320000000}",20564,True,1
2025-02-06 00:00:00+00:00,"{'units': 11, 'nano': 480000000}","{'units': 11, 'nano': 720000000}","{'units': 11, 'nano': 220000000}","{'units': 11, 'nano': 500000000}",3883,True,1
2025-02-07 00:00:00+00:00,"{'units': 11, 'nano': 500000000}","{'units': 11, 'nano': 600000000}","{'units': 11, 'nano': 280000000}","{'units': 11, 'nano': 340000000}",1480,True,1
2025-02-10 00:00:00+00:00,"{'units': 11, 'nano': 480000000}","{'units': 11, 'nano': 620000000}","{'units': 11, 'nano': 380000000}","{'units': 11, 'nano': 420000000}",2305,True,1
2025-02-11 00:00:00+00:00,"{'units': 11, 'nano': 400000000}","{'units': 11, 'nano': 420000000}","{'units': 11, 'nano': 300000000}","{'units': 11, 'nano': 400000000}",1537,True,1
2025-02-12 00:00:00+00:00,"{'units': 11, 'nano': 500000000}","{'units': 11, 'nano': 560000000}","{'units': 11, 'nano': 240000000}","{'units': 11, 'nano': 340000000}",3712,True,1
2025-02-13 00:00:00+00:00,"{'units': 11, 'nano': 780000000}","{'units': 12, 'nano': 480000000}","{'units': 11, 'nano': 420000000}","{'units': 11, 'nano': 560000000}",21526,True,1
2025-02-14 00:00:00+00:00,"{'units': 11, 'nano': 620000000}","{'units': 12, 'nano': 180000000}","{'units': 11, 'nano': 520000000}","{'units': 11, 'nano': 700000000}",6518,True,1
2025-02-17 00:00:00+00:00,"{'units': 11, 'nano': 960000000}","{'units': 11, 'nano': 960000000}","{'units': 11, 'nano': 700000000}","{'units': 11, 'nano': 940000000}",3423,True,1
2025-02-18 00:00:00+00:00,"{'units': 11, 'nano': 820000000}","{'units': 11, 'nano': 920000000}","{'units': 11, 'nano': 500000000}","{'units': 11, 'nano': 560000000}",5467,True,1
2025-02-19 00:00:00+00:00,"{'units': 11, 'nano': 600000000}","{'units': 11, 'nano': 660000000}","{'units': 11, 'nano': 520000000}","{'units': 11, 'nano': 620000000}",1298,True,1
2025-02-20 00:00:00+00:00,"{'units': 11, 'nano': 680000000}","{'units': 12, 'nano': 920000000}","{'units': 11, 'nano': 660000000}","{'units': 11, 'nano': 920000000}",28279,True,1
2025-02-21 00:00:00+00:00,"{'units': 11, 'nano': 940000000}","{'units': 12, 'nano': 260000000}","{'units': 11, 'nano': 800000000}","{'units': 11, 'nano': 900000000}",6093,True,1
2025-02-24 00:00:00+00:00,"{'units': 11, 'nano': 920000000}","{'units': 12, 'nano': 80000000}","{'units': 11, 'nano': 880000000}","{'units': 11, 'nano': 940000000}",4607,True,1
2025-02-25 00:00:00+00:00,"{'units': 11, 'nano': 980000000}","{'units': 12, 'nano': 220000000}","{'units': 11, 'nano': 940000000}","{'units': 12, 'nano': 0}",5129,True,1
2025-02-26 00:00:00+00:00,"{'units': 12, 'nano': 180000000}","{'units': 12, 'nano': 500000000}","{'units': 11, 'nano': 920000000}","{'units': 12, 'nano': 20000000}",12339,True,1
2025-02-27 00:00:00+00:00,"{'units': 11, 'nano': 900000000}","{'units': 12, 'nano': 40000000}","{'units': 11, 'nano': 620000000}","{'units': 11, 'nano': 840000000}",3787,True,1
2025-02-28 00:00:00+00:00,"{'units': 11, 'nano': 960000000}","{'units': 12, 'nano': 40000000}","{'units': 11, 'nano': 680000000}","{'units': 11, 'nano': 860000000}",3372,True,1
2025-03-03 00:00:00+00:00,"{'units': 11, 'nano': 960000000}","{'units': 12, 'nano': 40000000}","{'units': 11, 'nano': 640000000}","{'units': 11, 'nano': 840000000}",1579,True,1
2025-03-04 00:00:00+00:00,"{'units': 11, 'nano': 900000000}","{'units': 12, 'nano': 440000000}","{'units': 11, 'nano': 900000000}","{'units': 12, 'nano': 0}",4279,True,1
2025-03-05 00:00:00+00:00,"{'units': 12, 'nano': 60000000}","{'units': 12, 'nano': 80000000}","{'units': 11, 'nano': 940000000}","{'units': 12, 'nano': 60000000}",1628,True,1
2025-03-06 00:00:00+00:00,"{'units': 12, 'nano': 200000000}","{'units': 12, 'nano': 200000000}","{'units': 11, 'nano': 540000000}","{'units': 11, 'nano': 660000000}",4796,True,1
2025-03-07 00:00:00+00:00,"{'units': 11, 'nano': 800000000}","{'units': 11, 'nano': 920000000}","{'units': 11, 'nano': 500000000}","{'units': 11, 'nano': 500000000}",2262,True,1
2025-03-10 00:00:00+00:00,"{'units': 11, 'nano': 740000000}","{'units': 12, 'nano': 40000000}","{'units': 11, 'nano': 680000000}","{'units': 11, 'nano': 780000000}",3194,True,1
2025-03-11 00:00:00+00:00,"{'units': 11, 'nano': 920000000}","{'units': 11, 'nano': 940000000}","{'units': 11, 'nano': 660000000}","{'units': 11, 'nano': 680000000}",1698,True,1
2025-03-12 00:00:00+00:00,"{'units': 11, 'nano': 640000000}","{'units': 11, 'nano': 660000000}","{'units': 11, 'nano': 340000000}","{'units': 11, 'nano': 480000000}",1564,True,1
2025-03-13 00:00:00+00:00,"{'units': 11, 'nano': 400000000}","{'units': 11, 'nano': 660000000}","{'units': 11, 'nano': 400000000}","{'units': 11, 'nano': 440000000}",1381,True,1
2025-03-14 00:00:00+00:00,"{'units': 11, 'nano': 580000000}","{'units': 11, 'nano': 840000000}","{'units': 11, 'nano': 520000000}","{'units': 11, 'nano': 660000000}",896,True,1
2025-03-17 00:00:00+00:00,"{'units': 11, 'nano': 780000000}","{'units': 11, 'nano': 980000000}","{'units': 11, 'nano': 740000000}","{'units': 11, 'nano': 760000000}",1047,True,1
2025-03-18 00:00:00+00:00,"{'units': 11, 'nano': 800000000}","{'units': 11, 'nano': 980000000}","{'units': 11, 'nano': 720000000}","{'units': 11, 'nano': 780000000}",1803,True,1
2025-03-19 00:00:00+00:00,"{'units': 11, 'nano': 780000000}","{'units': 12, 'nano': 80000000}","{'units': 11, 'nano': 560000000}","{'units': 11, 'nano': 780000000}",3558,True,1
2025-03-20 00:00:00+00:00,"{'units': 11, 'nano': 980000000}","{'units': 11, 'nano': 980000000}","{'units': 11, 'nano': 380000000}","{'units': 11, 'nano': 600000000}",2922,True,1
2025-03-21 00:00:00+00:00,"{'units': 11, 'nano': 740000000}","{'units': 11, 'nano': 740000000}","{'units': 11, 'nano': 460000000}","{'units': 11, 'nano': 500000000}",714,True,1
2025-03-24 00:00:00+00:00,"{'units': 11, 'nano': 500000000}","{'units': 11, 'nano': 560000000}","{'units': 11, 'nano': 380000000}","{'units': 11, 'nano': 460000000}",1039,True,1
2025-03-25 00:00:00+00:00,"{'units': 11, 'nano': 500000000}","{'units': 11, 'nano': 620000000}","{'units': 11, 'nano': 460000000}","{'units': 11, 'nano': 540000000}",1181,True,1
2025-03-26 00:00:00+00:00,"{'units': 11, 'nano': 580000000}","{'units': 11, 'nano': 640000000}","{'units': 11, 'nano': 420000000}","{'units': 11, 'nano': 440000000}",732,True,1
2025-03-27 00:00:00+00:00,"{'units': 11, 'nano': 400000000}","{'units': 11, 'nano': 460000000}","{'units': 11, 'nano': 240000000}","{'units': 11, 'nano': 240000000}",1114,True,1
2025-03-28 00:00:00+00:00,"{'units': 11, 'nano': 200000000}","{'units': 11, 'nano': 200000000}","{'units': 10, 'nano': 760000000}","{'units': 10, 'nano': 820000000}",3102,True,1
2025-03-31 00:00:00+00:00,"{'units': 10, 'nano': 800000000}","{'units': 10, 'nano': 800000000}","{'units': 10, 'nano': 540000000}","{'units': 10, 'nano': 640000000}",1929,True,1
2025-04-01 00:00:00+00:00,"{'units': 10, 'nano': 780000000}","{'units': 10, 'nano': 980000000}","{'units': 10, 'nano': 700000000}","{'units': 10, 'nano': 880000000}",1813,True,1
2025-04-02 00:00:00+00:00,"{'units': 10, 'nano': 800000000}","{'units': 10, 'nano': 900000000}","{'units': 10, 'nano': 720000000}","{'units': 10, 'nano': 720000000}",769,True,1
2025-04-03 00:00:00+00:00,"{'units': 10, 'nano': 740000000}","{'units': 10, 'nano': 860000000}","{'units': 10, 'nano': 540000000}","{'units': 10, 'nano': 560000000}",778,True,1
2025-04-04 00:00:00+00:00,"{'units': 10, 'nano': 700000000}","{'units': 10, 'nano': 700000000}","{'units': 10, 'nano': 80000000}","{'units': 10, 'nano': 200000000}",2200,True,1
2025-04-07 00:00:00+00:00,"{'units': 10, 'nano': 0}","{'units': 10, 'nano': 160000000}","{'units': 9, 'nano': 900000000}","{'units': 9, 'nano': 980000000}",2338,True,1
2025-04-08 00:00:00+00:00,"{'units': 10, 'nano': 100000000}","{'units': 10, 'nano': 860000000}","{'units': 10, 'nano': 80000000}","{'units': 10, 'nano': 280000000}",2294,True,1
