time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 478, 'nano': 500000000}","{'units': 490, 'nano': 0}","{'units': 477, 'nano': 0}","{'units': 483, 'nano': 500000000}",530,True,1
2025-02-05 00:00:00+00:00,"{'units': 481, 'nano': 500000000}","{'units': 484, 'nano': 0}","{'units': 472, 'nano': 0}","{'units': 480, 'nano': 0}",532,True,1
2025-02-06 00:00:00+00:00,"{'units': 483, 'nano': 500000000}","{'units': 490, 'nano': 500000000}","{'units': 478, 'nano': 0}","{'units': 482, 'nano': 0}",630,True,1
2025-02-07 00:00:00+00:00,"{'units': 481, 'nano': 500000000}","{'units': 481, 'nano': 500000000}","{'units': 477, 'nano': 0}","{'units': 477, 'nano': 0}",285,True,1
2025-02-10 00:00:00+00:00,"{'units': 480, 'nano': 0}","{'units': 491, 'nano': 0}","{'units': 478, 'nano': 0}","{'units': 481, 'nano': 500000000}",1042,True,1
2025-02-11 00:00:00+00:00,"{'units': 480, 'nano': 0}","{'units': 492, 'nano': 0}","{'units': 478, 'nano': 0}","{'units': 488, 'nano': 0}",2126,True,1
2025-02-12 00:00:00+00:00,"{'units': 490, 'nano': 500000000}","{'units': 499, 'nano': 500000000}","{'units': 482, 'nano': 0}","{'units': 484, 'nano': 500000000}",1204,True,1
2025-02-13 00:00:00+00:00,"{'units': 508, 'nano': 0}","{'units': 508, 'nano': 0}","{'units': 485, 'nano': 0}","{'units': 492, 'nano': 0}",711,True,1
2025-02-14 00:00:00+00:00,"{'units': 494, 'nano': 500000000}","{'units': 498, 'nano': 500000000}","{'units': 485, 'nano': 0}","{'units': 485, 'nano': 0}",676,True,1
2025-02-17 00:00:00+00:00,"{'units': 497, 'nano': 500000000}","{'units': 497, 'nano': 500000000}","{'units': 485, 'nano': 0}","{'units': 493, 'nano': 500000000}",808,True,1
2025-02-18 00:00:00+00:00,"{'units': 494, 'nano': 0}","{'units': 495, 'nano': 500000000}","{'units': 477, 'nano': 500000000}","{'units': 485, 'nano': 500000000}",627,True,1
2025-02-19 00:00:00+00:00,"{'units': 483, 'nano': 0}","{'units': 512, 'nano': 0}","{'units': 483, 'nano': 0}","{'units': 505, 'nano': 0}",5101,True,1
2025-02-20 00:00:00+00:00,"{'units': 505, 'nano': 0}","{'units': 514, 'nano': 500000000}","{'units': 499, 'nano': 500000000}","{'units': 505, 'nano': 0}",1933,True,1
2025-02-21 00:00:00+00:00,"{'units': 505, 'nano': 0}","{'units': 508, 'nano': 0}","{'units': 502, 'nano': 500000000}","{'units': 504, 'nano': 500000000}",480,True,1
2025-02-24 00:00:00+00:00,"{'units': 511, 'nano': 0}","{'units': 513, 'nano': 500000000}","{'units': 502, 'nano': 0}","{'units': 504, 'nano': 0}",2046,True,1
2025-02-25 00:00:00+00:00,"{'units': 508, 'nano': 0}","{'units': 521, 'nano': 0}","{'units': 505, 'nano': 0}","{'units': 507, 'nano': 500000000}",4755,True,1
2025-02-26 00:00:00+00:00,"{'units': 517, 'nano': 0}","{'units': 519, 'nano': 500000000}","{'units': 488, 'nano': 0}","{'units': 504, 'nano': 500000000}",3137,True,1
