time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 69150000}","{'units': 0, 'nano': 70450000}","{'units': 0, 'nano': 68050000}","{'units': 0, 'nano': 68250000}",7445,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 68200000}","{'units': 0, 'nano': 68200000}","{'units': 0, 'nano': 66300000}","{'units': 0, 'nano': 67100000}",5563,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 68100000}","{'units': 0, 'nano': 68350000}","{'units': 0, 'nano': 67100000}","{'units': 0, 'nano': 67500000}",3403,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 68050000}","{'units': 0, 'nano': 68050000}","{'units': 0, 'nano': 66000000}","{'units': 0, 'nano': 66550000}",4952,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 67000000}","{'units': 0, 'nano': 67350000}","{'units': 0, 'nano': 66200000}","{'units': 0, 'nano': 67050000}",2721,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 67150000}","{'units': 0, 'nano': 69000000}","{'units': 0, 'nano': 66600000}","{'units': 0, 'nano': 67050000}",7404,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 67500000}","{'units': 0, 'nano': 67500000}","{'units': 0, 'nano': 66350000}","{'units': 0, 'nano': 66600000}",3671,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 69000000}","{'units': 0, 'nano': 69800000}","{'units': 0, 'nano': 66800000}","{'units': 0, 'nano': 68450000}",15645,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 69750000}","{'units': 0, 'nano': 70950000}","{'units': 0, 'nano': 66600000}","{'units': 0, 'nano': 67600000}",18863,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 67900000}","{'units': 0, 'nano': 73600000}","{'units': 0, 'nano': 67650000}","{'units': 0, 'nano': 72500000}",58025,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 72500000}","{'units': 0, 'nano': 74950000}","{'units': 0, 'nano': 69550000}","{'units': 0, 'nano': 69700000}",35116,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 70100000}","{'units': 0, 'nano': 72950000}","{'units': 0, 'nano': 69500000}","{'units': 0, 'nano': 71800000}",15449,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 71950000}","{'units': 0, 'nano': 74900000}","{'units': 0, 'nano': 71600000}","{'units': 0, 'nano': 73650000}",18340,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 74850000}","{'units': 0, 'nano': 75800000}","{'units': 0, 'nano': 71150000}","{'units': 0, 'nano': 73400000}",13263,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 73950000}","{'units': 0, 'nano': 88000000}","{'units': 0, 'nano': 72900000}","{'units': 0, 'nano': 80100000}",143992,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 81850000}","{'units': 0, 'nano': 82850000}","{'units': 0, 'nano': 77000000}","{'units': 0, 'nano': 78650000}",53085,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 80500000}","{'units': 0, 'nano': 80800000}","{'units': 0, 'nano': 76050000}","{'units': 0, 'nano': 77500000}",11753,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 75850000}","{'units': 0, 'nano': 82000000}","{'units': 0, 'nano': 75850000}","{'units': 0, 'nano': 78450000}",48164,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 78450000}","{'units': 0, 'nano': 78700000}","{'units': 0, 'nano': 73650000}","{'units': 0, 'nano': 74500000}",20619,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 74300000}","{'units': 0, 'nano': 74950000}","{'units': 0, 'nano': 69550000}","{'units': 0, 'nano': 71650000}",16677,True,1
