time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 27, 'nano': 800000000}","{'units': 27, 'nano': 800000000}","{'units': 27, 'nano': 100000000}","{'units': 27, 'nano': 280000000}",24624,True,1
2025-02-05 00:00:00+00:00,"{'units': 27, 'nano': 340000000}","{'units': 27, 'nano': 720000000}","{'units': 27, 'nano': 140000000}","{'units': 27, 'nano': 680000000}",41091,True,1
2025-02-06 00:00:00+00:00,"{'units': 27, 'nano': 720000000}","{'units': 28, 'nano': 140000000}","{'units': 27, 'nano': 560000000}","{'units': 27, 'nano': 600000000}",51694,True,1
2025-02-07 00:00:00+00:00,"{'units': 27, 'nano': 700000000}","{'units': 27, 'nano': 700000000}","{'units': 27, 'nano': 320000000}","{'units': 27, 'nano': 420000000}",30907,True,1
2025-02-10 00:00:00+00:00,"{'units': 27, 'nano': 560000000}","{'units': 28, 'nano': 60000000}","{'units': 27, 'nano': 420000000}","{'units': 27, 'nano': 540000000}",52598,True,1
2025-02-11 00:00:00+00:00,"{'units': 27, 'nano': 720000000}","{'units': 28, 'nano': 880000000}","{'units': 27, 'nano': 620000000}","{'units': 28, 'nano': 740000000}",134486,True,1
2025-02-12 00:00:00+00:00,"{'units': 29, 'nano': 180000000}","{'units': 31, 'nano': 900000000}","{'units': 28, 'nano': 820000000}","{'units': 31, 'nano': 780000000}",434051,True,1
2025-02-13 00:00:00+00:00,"{'units': 32, 'nano': 0}","{'units': 32, 'nano': 360000000}","{'units': 30, 'nano': 460000000}","{'units': 31, 'nano': 400000000}",159620,True,1
2025-02-14 00:00:00+00:00,"{'units': 31, 'nano': 800000000}","{'units': 33, 'nano': 500000000}","{'units': 30, 'nano': 320000000}","{'units': 31, 'nano': 580000000}",295640,True,1
2025-02-17 00:00:00+00:00,"{'units': 32, 'nano': 200000000}","{'units': 33, 'nano': 480000000}","{'units': 32, 'nano': 100000000}","{'units': 33, 'nano': 440000000}",233145,True,1
2025-02-18 00:00:00+00:00,"{'units': 32, 'nano': 980000000}","{'units': 32, 'nano': 980000000}","{'units': 30, 'nano': 500000000}","{'units': 30, 'nano': 920000000}",209592,True,1
2025-02-19 00:00:00+00:00,"{'units': 31, 'nano': 220000000}","{'units': 32, 'nano': 280000000}","{'units': 30, 'nano': 600000000}","{'units': 31, 'nano': 880000000}",104871,True,1
2025-02-20 00:00:00+00:00,"{'units': 32, 'nano': 140000000}","{'units': 32, 'nano': 260000000}","{'units': 31, 'nano': 340000000}","{'units': 31, 'nano': 880000000}",69439,True,1
2025-02-21 00:00:00+00:00,"{'units': 32, 'nano': 100000000}","{'units': 32, 'nano': 580000000}","{'units': 31, 'nano': 760000000}","{'units': 32, 'nano': 180000000}",75905,True,1
2025-02-24 00:00:00+00:00,"{'units': 32, 'nano': 200000000}","{'units': 32, 'nano': 960000000}","{'units': 32, 'nano': 120000000}","{'units': 32, 'nano': 700000000}",93102,True,1
2025-02-25 00:00:00+00:00,"{'units': 33, 'nano': 0}","{'units': 39, 'nano': 600000000}","{'units': 32, 'nano': 700000000}","{'units': 38, 'nano': 380000000}",950983,True,1
2025-02-26 00:00:00+00:00,"{'units': 38, 'nano': 760000000}","{'units': 41, 'nano': 600000000}","{'units': 37, 'nano': 0}","{'units': 37, 'nano': 520000000}",1147245,True,1
2025-02-27 00:00:00+00:00,"{'units': 37, 'nano': 980000000}","{'units': 40, 'nano': 740000000}","{'units': 37, 'nano': 40000000}","{'units': 38, 'nano': 320000000}",610656,True,1
