time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 99, 'nano': 550000000}","{'units': 100, 'nano': 250000000}","{'units': 97, 'nano': 300000000}","{'units': 97, 'nano': 550000000}",8553,True,1
2025-02-05 00:00:00+00:00,"{'units': 97, 'nano': 850000000}","{'units': 97, 'nano': 850000000}","{'units': 95, 'nano': 200000000}","{'units': 96, 'nano': 100000000}",11137,True,1
2025-02-06 00:00:00+00:00,"{'units': 96, 'nano': 800000000}","{'units': 98, 'nano': 800000000}","{'units': 96, 'nano': 0}","{'units': 96, 'nano': 700000000}",12135,True,1
2025-02-07 00:00:00+00:00,"{'units': 96, 'nano': 400000000}","{'units': 100, 'nano': 100000000}","{'units': 96, 'nano': 400000000}","{'units': 97, 'nano': 400000000}",6500,True,1
2025-02-10 00:00:00+00:00,"{'units': 97, 'nano': 500000000}","{'units': 98, 'nano': 300000000}","{'units': 97, 'nano': 100000000}","{'units': 97, 'nano': 800000000}",9801,True,1
2025-02-11 00:00:00+00:00,"{'units': 98, 'nano': 200000000}","{'units': 98, 'nano': 200000000}","{'units': 95, 'nano': 550000000}","{'units': 97, 'nano': 500000000}",7615,True,1
2025-02-12 00:00:00+00:00,"{'units': 97, 'nano': 900000000}","{'units': 100, 'nano': 100000000}","{'units': 97, 'nano': 550000000}","{'units': 97, 'nano': 600000000}",7378,True,1
2025-02-13 00:00:00+00:00,"{'units': 101, 'nano': 100000000}","{'units': 104, 'nano': 400000000}","{'units': 98, 'nano': 350000000}","{'units': 99, 'nano': 400000000}",10689,True,1
2025-02-14 00:00:00+00:00,"{'units': 100, 'nano': 0}","{'units': 101, 'nano': 0}","{'units': 96, 'nano': 150000000}","{'units': 97, 'nano': 650000000}",14726,True,1
2025-02-17 00:00:00+00:00,"{'units': 98, 'nano': 900000000}","{'units': 100, 'nano': 0}","{'units': 98, 'nano': 900000000}","{'units': 99, 'nano': 200000000}",9595,True,1
2025-02-18 00:00:00+00:00,"{'units': 99, 'nano': 300000000}","{'units': 100, 'nano': 500000000}","{'units': 97, 'nano': 400000000}","{'units': 98, 'nano': 350000000}",15114,True,1
2025-02-19 00:00:00+00:00,"{'units': 98, 'nano': 700000000}","{'units': 99, 'nano': 0}","{'units': 97, 'nano': 0}","{'units': 97, 'nano': 700000000}",6158,True,1
2025-02-20 00:00:00+00:00,"{'units': 97, 'nano': 750000000}","{'units': 98, 'nano': 200000000}","{'units': 97, 'nano': 400000000}","{'units': 97, 'nano': 700000000}",7507,True,1
2025-02-21 00:00:00+00:00,"{'units': 97, 'nano': 700000000}","{'units': 98, 'nano': 650000000}","{'units': 97, 'nano': 450000000}","{'units': 98, 'nano': 100000000}",6599,True,1
2025-02-24 00:00:00+00:00,"{'units': 98, 'nano': 300000000}","{'units': 99, 'nano': 100000000}","{'units': 98, 'nano': 150000000}","{'units': 98, 'nano': 650000000}",6536,True,1
2025-02-25 00:00:00+00:00,"{'units': 99, 'nano': 200000000}","{'units': 102, 'nano': 800000000}","{'units': 98, 'nano': 650000000}","{'units': 101, 'nano': 400000000}",35596,True,1
2025-02-26 00:00:00+00:00,"{'units': 103, 'nano': 0}","{'units': 103, 'nano': 0}","{'units': 99, 'nano': 0}","{'units': 99, 'nano': 750000000}",15635,True,1
2025-02-27 00:00:00+00:00,"{'units': 99, 'nano': 600000000}","{'units': 100, 'nano': 900000000}","{'units': 98, 'nano': 0}","{'units': 99, 'nano': 500000000}",7878,True,1
2025-02-28 00:00:00+00:00,"{'units': 98, 'nano': 950000000}","{'units': 99, 'nano': 50000000}","{'units': 96, 'nano': 250000000}","{'units': 97, 'nano': 500000000}",6505,True,1
2025-03-03 00:00:00+00:00,"{'units': 97, 'nano': 500000000}","{'units': 97, 'nano': 600000000}","{'units': 95, 'nano': 0}","{'units': 96, 'nano': 0}",6588,True,1
2025-03-04 00:00:00+00:00,"{'units': 97, 'nano': 500000000}","{'units': 98, 'nano': 950000000}","{'units': 96, 'nano': 950000000}","{'units': 98, 'nano': 0}",5209,True,1
2025-03-05 00:00:00+00:00,"{'units': 97, 'nano': 900000000}","{'units': 99, 'nano': 350000000}","{'units': 97, 'nano': 550000000}","{'units': 98, 'nano': 700000000}",2513,True,1
2025-03-06 00:00:00+00:00,"{'units': 98, 'nano': 600000000}","{'units': 98, 'nano': 600000000}","{'units': 97, 'nano': 200000000}","{'units': 97, 'nano': 800000000}",2485,True,1
2025-03-07 00:00:00+00:00,"{'units': 97, 'nano': 800000000}","{'units': 98, 'nano': 950000000}","{'units': 96, 'nano': 0}","{'units': 96, 'nano': 450000000}",4597,True,1
2025-03-10 00:00:00+00:00,"{'units': 96, 'nano': 500000000}","{'units': 100, 'nano': 0}","{'units': 96, 'nano': 500000000}","{'units': 97, 'nano': 250000000}",6179,True,1
2025-03-11 00:00:00+00:00,"{'units': 98, 'nano': 150000000}","{'units': 98, 'nano': 850000000}","{'units': 97, 'nano': 250000000}","{'units': 97, 'nano': 650000000}",2334,True,1
2025-03-12 00:00:00+00:00,"{'units': 97, 'nano': 500000000}","{'units': 97, 'nano': 500000000}","{'units': 96, 'nano': 250000000}","{'units': 96, 'nano': 650000000}",1856,True,1
2025-03-13 00:00:00+00:00,"{'units': 96, 'nano': 100000000}","{'units': 96, 'nano': 500000000}","{'units': 94, 'nano': 300000000}","{'units': 95, 'nano': 550000000}",4008,True,1
2025-03-14 00:00:00+00:00,"{'units': 95, 'nano': 550000000}","{'units': 97, 'nano': 100000000}","{'units': 95, 'nano': 400000000}","{'units': 96, 'nano': 50000000}",2616,True,1
2025-03-17 00:00:00+00:00,"{'units': 97, 'nano': 350000000}","{'units': 98, 'nano': 450000000}","{'units': 96, 'nano': 0}","{'units': 97, 'nano': 100000000}",6182,True,1
2025-03-18 00:00:00+00:00,"{'units': 97, 'nano': 300000000}","{'units': 97, 'nano': 950000000}","{'units': 96, 'nano': 400000000}","{'units': 97, 'nano': 450000000}",5452,True,1
2025-03-19 00:00:00+00:00,"{'units': 97, 'nano': 750000000}","{'units': 97, 'nano': 800000000}","{'units': 95, 'nano': 250000000}","{'units': 96, 'nano': 850000000}",3481,True,1
2025-03-20 00:00:00+00:00,"{'units': 96, 'nano': 850000000}","{'units': 97, 'nano': 600000000}","{'units': 94, 'nano': 300000000}","{'units': 96, 'nano': 50000000}",5134,True,1
2025-03-21 00:00:00+00:00,"{'units': 96, 'nano': 450000000}","{'units': 96, 'nano': 850000000}","{'units': 95, 'nano': 50000000}","{'units': 95, 'nano': 400000000}",8552,True,1
2025-03-24 00:00:00+00:00,"{'units': 96, 'nano': 50000000}","{'units': 99, 'nano': 200000000}","{'units': 95, 'nano': 50000000}","{'units': 96, 'nano': 650000000}",8496,True,1
2025-03-25 00:00:00+00:00,"{'units': 97, 'nano': 850000000}","{'units': 97, 'nano': 900000000}","{'units': 96, 'nano': 0}","{'units': 96, 'nano': 250000000}",5333,True,1
2025-03-26 00:00:00+00:00,"{'units': 96, 'nano': 600000000}","{'units': 101, 'nano': 50000000}","{'units': 96, 'nano': 600000000}","{'units': 99, 'nano': 200000000}",26376,True,1
2025-03-27 00:00:00+00:00,"{'units': 98, 'nano': 0}","{'units': 98, 'nano': 0}","{'units': 95, 'nano': 550000000}","{'units': 95, 'nano': 700000000}",6534,True,1
2025-03-28 00:00:00+00:00,"{'units': 95, 'nano': 500000000}","{'units': 96, 'nano': 650000000}","{'units': 94, 'nano': 100000000}","{'units': 95, 'nano': 850000000}",10024,True,1
2025-03-31 00:00:00+00:00,"{'units': 94, 'nano': 750000000}","{'units': 97, 'nano': 850000000}","{'units': 94, 'nano': 750000000}","{'units': 95, 'nano': 50000000}",9324,True,1
2025-04-01 00:00:00+00:00,"{'units': 95, 'nano': 500000000}","{'units': 97, 'nano': 0}","{'units': 93, 'nano': 550000000}","{'units': 96, 'nano': 300000000}",8187,True,1
2025-04-02 00:00:00+00:00,"{'units': 95, 'nano': 50000000}","{'units': 96, 'nano': 0}","{'units': 94, 'nano': 0}","{'units': 94, 'nano': 300000000}",2282,True,1
2025-04-03 00:00:00+00:00,"{'units': 94, 'nano': 300000000}","{'units': 95, 'nano': 200000000}","{'units': 92, 'nano': 0}","{'units': 93, 'nano': 850000000}",13208,True,1
2025-04-04 00:00:00+00:00,"{'units': 93, 'nano': 500000000}","{'units': 95, 'nano': 100000000}","{'units': 91, 'nano': 650000000}","{'units': 91, 'nano': 950000000}",5564,True,1
