time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 19800, 'nano': 0}","{'units': 19980, 'nano': 0}","{'units': 19690, 'nano': 0}","{'units': 19890, 'nano': 0}",111,True,1
2025-02-05 00:00:00+00:00,"{'units': 19850, 'nano': 0}","{'units': 19850, 'nano': 0}","{'units': 19490, 'nano': 0}","{'units': 19660, 'nano': 0}",120,True,1
2025-02-06 00:00:00+00:00,"{'units': 19900, 'nano': 0}","{'units': 19970, 'nano': 0}","{'units': 19450, 'nano': 0}","{'units': 19570, 'nano': 0}",207,True,1
2025-02-07 00:00:00+00:00,"{'units': 19600, 'nano': 0}","{'units': 19600, 'nano': 0}","{'units': 19000, 'nano': 0}","{'units': 19090, 'nano': 0}",256,True,1
2025-02-10 00:00:00+00:00,"{'units': 19200, 'nano': 0}","{'units': 19940, 'nano': 0}","{'units': 19070, 'nano': 0}","{'units': 19490, 'nano': 0}",412,True,1
2025-02-11 00:00:00+00:00,"{'units': 19720, 'nano': 0}","{'units': 19720, 'nano': 0}","{'units': 19230, 'nano': 0}","{'units': 19350, 'nano': 0}",117,True,1
2025-02-12 00:00:00+00:00,"{'units': 19490, 'nano': 0}","{'units': 19710, 'nano': 0}","{'units': 19400, 'nano': 0}","{'units': 19450, 'nano': 0}",300,True,1
2025-02-13 00:00:00+00:00,"{'units': 20000, 'nano': 0}","{'units': 20290, 'nano': 0}","{'units': 19610, 'nano': 0}","{'units': 19740, 'nano': 0}",288,True,1
2025-02-14 00:00:00+00:00,"{'units': 19780, 'nano': 0}","{'units': 20290, 'nano': 0}","{'units': 19100, 'nano': 0}","{'units': 19400, 'nano': 0}",907,True,1
2025-02-17 00:00:00+00:00,"{'units': 19520, 'nano': 0}","{'units': 19990, 'nano': 0}","{'units': 19000, 'nano': 0}","{'units': 19310, 'nano': 0}",3209,True,1
2025-02-18 00:00:00+00:00,"{'units': 19310, 'nano': 0}","{'units': 19360, 'nano': 0}","{'units': 18840, 'nano': 0}","{'units': 18970, 'nano': 0}",743,True,1
2025-02-19 00:00:00+00:00,"{'units': 19200, 'nano': 0}","{'units': 19600, 'nano': 0}","{'units': 18600, 'nano': 0}","{'units': 19110, 'nano': 0}",1719,True,1
2025-02-20 00:00:00+00:00,"{'units': 19350, 'nano': 0}","{'units': 20080, 'nano': 0}","{'units': 19050, 'nano': 0}","{'units': 19130, 'nano': 0}",4076,True,1
2025-02-21 00:00:00+00:00,"{'units': 19390, 'nano': 0}","{'units': 19530, 'nano': 0}","{'units': 18900, 'nano': 0}","{'units': 19070, 'nano': 0}",868,True,1
2025-02-24 00:00:00+00:00,"{'units': 19090, 'nano': 0}","{'units': 19490, 'nano': 0}","{'units': 19090, 'nano': 0}","{'units': 19200, 'nano': 0}",570,True,1
2025-02-25 00:00:00+00:00,"{'units': 19300, 'nano': 0}","{'units': 19780, 'nano': 0}","{'units': 19210, 'nano': 0}","{'units': 19600, 'nano': 0}",1548,True,1
2025-02-26 00:00:00+00:00,"{'units': 19820, 'nano': 0}","{'units': 22700, 'nano': 0}","{'units': 19610, 'nano': 0}","{'units': 21010, 'nano': 0}",11393,True,1
2025-02-27 00:00:00+00:00,"{'units': 21100, 'nano': 0}","{'units': 21200, 'nano': 0}","{'units': 20100, 'nano': 0}","{'units': 20770, 'nano': 0}",1352,True,1
2025-02-28 00:00:00+00:00,"{'units': 20420, 'nano': 0}","{'units': 20800, 'nano': 0}","{'units': 20020, 'nano': 0}","{'units': 20240, 'nano': 0}",617,True,1
2025-03-03 00:00:00+00:00,"{'units': 20260, 'nano': 0}","{'units': 22300, 'nano': 0}","{'units': 20260, 'nano': 0}","{'units': 20600, 'nano': 0}",2551,True,1
2025-03-04 00:00:00+00:00,"{'units': 21200, 'nano': 0}","{'units': 21700, 'nano': 0}","{'units': 20790, 'nano': 0}","{'units': 21270, 'nano': 0}",1762,True,1
2025-03-05 00:00:00+00:00,"{'units': 21250, 'nano': 0}","{'units': 22650, 'nano': 0}","{'units': 21130, 'nano': 0}","{'units': 21930, 'nano': 0}",1954,True,1
2025-03-06 00:00:00+00:00,"{'units': 21920, 'nano': 0}","{'units': 21960, 'nano': 0}","{'units': 21190, 'nano': 0}","{'units': 21470, 'nano': 0}",680,True,1
2025-03-07 00:00:00+00:00,"{'units': 21840, 'nano': 0}","{'units': 22390, 'nano': 0}","{'units': 21010, 'nano': 0}","{'units': 21010, 'nano': 0}",1233,True,1
2025-03-10 00:00:00+00:00,"{'units': 21380, 'nano': 0}","{'units': 21980, 'nano': 0}","{'units': 21380, 'nano': 0}","{'units': 21600, 'nano': 0}",693,True,1
2025-03-11 00:00:00+00:00,"{'units': 21700, 'nano': 0}","{'units': 21950, 'nano': 0}","{'units': 21340, 'nano': 0}","{'units': 21550, 'nano': 0}",473,True,1
2025-03-12 00:00:00+00:00,"{'units': 21560, 'nano': 0}","{'units': 21700, 'nano': 0}","{'units': 21140, 'nano': 0}","{'units': 21590, 'nano': 0}",306,True,1
2025-03-13 00:00:00+00:00,"{'units': 21670, 'nano': 0}","{'units': 22380, 'nano': 0}","{'units': 21060, 'nano': 0}","{'units': 21300, 'nano': 0}",1230,True,1
2025-03-14 00:00:00+00:00,"{'units': 21330, 'nano': 0}","{'units': 21650, 'nano': 0}","{'units': 20800, 'nano': 0}","{'units': 21380, 'nano': 0}",713,True,1
