time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 255, 'nano': 200000000}","{'units': 256, 'nano': 400000000}","{'units': 253, 'nano': 0}","{'units': 253, 'nano': 100000000}",931,True,1
2025-02-05 00:00:00+00:00,"{'units': 253, 'nano': 100000000}","{'units': 254, 'nano': 600000000}","{'units': 244, 'nano': 900000000}","{'units': 248, 'nano': 700000000}",2254,True,1
2025-02-06 00:00:00+00:00,"{'units': 252, 'nano': 200000000}","{'units': 259, 'nano': 700000000}","{'units': 250, 'nano': 400000000}","{'units': 253, 'nano': 400000000}",1864,True,1
2025-02-07 00:00:00+00:00,"{'units': 254, 'nano': 500000000}","{'units': 255, 'nano': 0}","{'units': 252, 'nano': 400000000}","{'units': 252, 'nano': 600000000}",482,True,1
2025-02-10 00:00:00+00:00,"{'units': 253, 'nano': 0}","{'units': 254, 'nano': 800000000}","{'units': 252, 'nano': 800000000}","{'units': 254, 'nano': 300000000}",789,True,1
2025-02-11 00:00:00+00:00,"{'units': 253, 'nano': 600000000}","{'units': 254, 'nano': 700000000}","{'units': 253, 'nano': 0}","{'units': 253, 'nano': 800000000}",817,True,1
2025-02-12 00:00:00+00:00,"{'units': 253, 'nano': 800000000}","{'units': 260, 'nano': 400000000}","{'units': 253, 'nano': 800000000}","{'units': 257, 'nano': 0}",4233,True,1
2025-02-13 00:00:00+00:00,"{'units': 260, 'nano': 300000000}","{'units': 263, 'nano': 700000000}","{'units': 255, 'nano': 0}","{'units': 256, 'nano': 100000000}",2741,True,1
2025-02-14 00:00:00+00:00,"{'units': 257, 'nano': 700000000}","{'units': 259, 'nano': 0}","{'units': 251, 'nano': 900000000}","{'units': 253, 'nano': 700000000}",3327,True,1
2025-02-17 00:00:00+00:00,"{'units': 253, 'nano': 700000000}","{'units': 257, 'nano': 600000000}","{'units': 252, 'nano': 0}","{'units': 257, 'nano': 0}",1618,True,1
2025-02-18 00:00:00+00:00,"{'units': 257, 'nano': 0}","{'units': 257, 'nano': 0}","{'units': 253, 'nano': 300000000}","{'units': 255, 'nano': 0}",859,True,1
2025-02-19 00:00:00+00:00,"{'units': 255, 'nano': 900000000}","{'units': 257, 'nano': 300000000}","{'units': 254, 'nano': 200000000}","{'units': 254, 'nano': 300000000}",1003,True,1
2025-02-20 00:00:00+00:00,"{'units': 255, 'nano': 600000000}","{'units': 256, 'nano': 500000000}","{'units': 254, 'nano': 500000000}","{'units': 256, 'nano': 0}",894,True,1
2025-02-21 00:00:00+00:00,"{'units': 256, 'nano': 0}","{'units': 260, 'nano': 900000000}","{'units': 255, 'nano': 100000000}","{'units': 256, 'nano': 400000000}",2783,True,1
2025-02-24 00:00:00+00:00,"{'units': 259, 'nano': 200000000}","{'units': 262, 'nano': 700000000}","{'units': 257, 'nano': 400000000}","{'units': 259, 'nano': 100000000}",3895,True,1
2025-02-25 00:00:00+00:00,"{'units': 261, 'nano': 600000000}","{'units': 261, 'nano': 600000000}","{'units': 258, 'nano': 0}","{'units': 258, 'nano': 100000000}",3133,True,1
2025-02-26 00:00:00+00:00,"{'units': 258, 'nano': 900000000}","{'units': 265, 'nano': 0}","{'units': 254, 'nano': 200000000}","{'units': 256, 'nano': 400000000}",5255,True,1
2025-02-27 00:00:00+00:00,"{'units': 256, 'nano': 700000000}","{'units': 257, 'nano': 700000000}","{'units': 253, 'nano': 300000000}","{'units': 254, 'nano': 900000000}",1168,True,1
2025-02-28 00:00:00+00:00,"{'units': 254, 'nano': 900000000}","{'units': 255, 'nano': 100000000}","{'units': 252, 'nano': 300000000}","{'units': 253, 'nano': 500000000}",1058,True,1
2025-03-03 00:00:00+00:00,"{'units': 252, 'nano': 500000000}","{'units': 253, 'nano': 600000000}","{'units': 249, 'nano': 100000000}","{'units': 251, 'nano': 0}",949,True,1
2025-03-04 00:00:00+00:00,"{'units': 251, 'nano': 900000000}","{'units': 254, 'nano': 800000000}","{'units': 250, 'nano': 600000000}","{'units': 252, 'nano': 800000000}",695,True,1
2025-03-05 00:00:00+00:00,"{'units': 253, 'nano': 800000000}","{'units': 260, 'nano': 900000000}","{'units': 252, 'nano': 800000000}","{'units': 257, 'nano': 100000000}",4189,True,1
