time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 14, 'nano': 700000000}","{'units': 14, 'nano': 990000000}","{'units': 14, 'nano': 700000000}","{'units': 14, 'nano': 860000000}",1495,True,1
2025-02-05 00:00:00+00:00,"{'units': 14, 'nano': 750000000}","{'units': 15, 'nano': 100000000}","{'units': 14, 'nano': 410000000}","{'units': 14, 'nano': 800000000}",5102,True,1
2025-02-06 00:00:00+00:00,"{'units': 14, 'nano': 800000000}","{'units': 15, 'nano': 140000000}","{'units': 14, 'nano': 800000000}","{'units': 14, 'nano': 980000000}",2691,True,1
2025-02-07 00:00:00+00:00,"{'units': 15, 'nano': 40000000}","{'units': 15, 'nano': 500000000}","{'units': 14, 'nano': 930000000}","{'units': 14, 'nano': 970000000}",2583,True,1
2025-02-10 00:00:00+00:00,"{'units': 15, 'nano': 100000000}","{'units': 15, 'nano': 200000000}","{'units': 14, 'nano': 460000000}","{'units': 14, 'nano': 810000000}",6638,True,1
2025-02-11 00:00:00+00:00,"{'units': 14, 'nano': 800000000}","{'units': 14, 'nano': 820000000}","{'units': 14, 'nano': 510000000}","{'units': 14, 'nano': 620000000}",2484,True,1
2025-02-12 00:00:00+00:00,"{'units': 14, 'nano': 980000000}","{'units': 14, 'nano': 990000000}","{'units': 14, 'nano': 390000000}","{'units': 14, 'nano': 570000000}",7484,True,1
2025-02-13 00:00:00+00:00,"{'units': 14, 'nano': 800000000}","{'units': 15, 'nano': 210000000}","{'units': 14, 'nano': 740000000}","{'units': 14, 'nano': 920000000}",6477,True,1
2025-02-14 00:00:00+00:00,"{'units': 14, 'nano': 980000000}","{'units': 15, 'nano': 690000000}","{'units': 14, 'nano': 820000000}","{'units': 15, 'nano': 0}",18806,True,1
2025-02-17 00:00:00+00:00,"{'units': 15, 'nano': 150000000}","{'units': 16, 'nano': 880000000}","{'units': 15, 'nano': 150000000}","{'units': 16, 'nano': 640000000}",44027,True,1
2025-02-18 00:00:00+00:00,"{'units': 16, 'nano': 640000000}","{'units': 16, 'nano': 700000000}","{'units': 15, 'nano': 810000000}","{'units': 16, 'nano': 130000000}",12645,True,1
2025-02-19 00:00:00+00:00,"{'units': 16, 'nano': 120000000}","{'units': 16, 'nano': 580000000}","{'units': 16, 'nano': 90000000}","{'units': 16, 'nano': 350000000}",6208,True,1
2025-02-20 00:00:00+00:00,"{'units': 16, 'nano': 600000000}","{'units': 18, 'nano': 0}","{'units': 16, 'nano': 420000000}","{'units': 17, 'nano': 290000000}",22902,True,1
2025-02-21 00:00:00+00:00,"{'units': 17, 'nano': 850000000}","{'units': 18, 'nano': 630000000}","{'units': 17, 'nano': 550000000}","{'units': 17, 'nano': 960000000}",18117,True,1
2025-02-24 00:00:00+00:00,"{'units': 18, 'nano': 10000000}","{'units': 18, 'nano': 620000000}","{'units': 17, 'nano': 840000000}","{'units': 17, 'nano': 960000000}",12498,True,1
2025-02-25 00:00:00+00:00,"{'units': 18, 'nano': 0}","{'units': 18, 'nano': 300000000}","{'units': 17, 'nano': 920000000}","{'units': 18, 'nano': 0}",6418,True,1
2025-02-26 00:00:00+00:00,"{'units': 18, 'nano': 100000000}","{'units': 18, 'nano': 200000000}","{'units': 17, 'nano': 0}","{'units': 17, 'nano': 510000000}",11771,True,1
2025-02-27 00:00:00+00:00,"{'units': 17, 'nano': 570000000}","{'units': 17, 'nano': 700000000}","{'units': 17, 'nano': 0}","{'units': 17, 'nano': 200000000}",3946,True,1
2025-02-28 00:00:00+00:00,"{'units': 17, 'nano': 140000000}","{'units': 17, 'nano': 140000000}","{'units': 16, 'nano': 150000000}","{'units': 16, 'nano': 690000000}",8528,True,1
2025-03-03 00:00:00+00:00,"{'units': 16, 'nano': 400000000}","{'units': 16, 'nano': 670000000}","{'units': 16, 'nano': 0}","{'units': 16, 'nano': 500000000}",6580,True,1
2025-03-04 00:00:00+00:00,"{'units': 16, 'nano': 750000000}","{'units': 17, 'nano': 600000000}","{'units': 16, 'nano': 610000000}","{'units': 17, 'nano': 290000000}",9176,True,1
2025-03-05 00:00:00+00:00,"{'units': 17, 'nano': 290000000}","{'units': 17, 'nano': 470000000}","{'units': 17, 'nano': 110000000}","{'units': 17, 'nano': 140000000}",3567,True,1
2025-03-06 00:00:00+00:00,"{'units': 17, 'nano': 320000000}","{'units': 17, 'nano': 320000000}","{'units': 16, 'nano': 670000000}","{'units': 16, 'nano': 880000000}",3789,True,1
2025-03-07 00:00:00+00:00,"{'units': 16, 'nano': 760000000}","{'units': 17, 'nano': 160000000}","{'units': 16, 'nano': 520000000}","{'units': 16, 'nano': 630000000}",2436,True,1
2025-03-10 00:00:00+00:00,"{'units': 16, 'nano': 790000000}","{'units': 16, 'nano': 940000000}","{'units': 16, 'nano': 720000000}","{'units': 16, 'nano': 790000000}",2268,True,1
2025-03-11 00:00:00+00:00,"{'units': 16, 'nano': 480000000}","{'units': 17, 'nano': 0}","{'units': 16, 'nano': 480000000}","{'units': 16, 'nano': 840000000}",2577,True,1
2025-03-12 00:00:00+00:00,"{'units': 16, 'nano': 690000000}","{'units': 16, 'nano': 990000000}","{'units': 16, 'nano': 510000000}","{'units': 16, 'nano': 700000000}",2156,True,1
2025-03-13 00:00:00+00:00,"{'units': 16, 'nano': 700000000}","{'units': 16, 'nano': 700000000}","{'units': 15, 'nano': 950000000}","{'units': 15, 'nano': 980000000}",5603,True,1
2025-03-14 00:00:00+00:00,"{'units': 16, 'nano': 140000000}","{'units': 16, 'nano': 740000000}","{'units': 16, 'nano': 130000000}","{'units': 16, 'nano': 650000000}",5153,True,1
2025-03-17 00:00:00+00:00,"{'units': 17, 'nano': 140000000}","{'units': 17, 'nano': 140000000}","{'units': 16, 'nano': 820000000}","{'units': 16, 'nano': 870000000}",3823,True,1
2025-03-18 00:00:00+00:00,"{'units': 16, 'nano': 870000000}","{'units': 17, 'nano': 40000000}","{'units': 16, 'nano': 840000000}","{'units': 16, 'nano': 880000000}",2722,True,1
2025-03-19 00:00:00+00:00,"{'units': 16, 'nano': 850000000}","{'units': 16, 'nano': 970000000}","{'units': 16, 'nano': 730000000}","{'units': 16, 'nano': 910000000}",1952,True,1
2025-03-20 00:00:00+00:00,"{'units': 17, 'nano': 50000000}","{'units': 17, 'nano': 80000000}","{'units': 16, 'nano': 660000000}","{'units': 16, 'nano': 800000000}",4251,True,1
2025-03-21 00:00:00+00:00,"{'units': 17, 'nano': 50000000}","{'units': 17, 'nano': 50000000}","{'units': 16, 'nano': 540000000}","{'units': 16, 'nano': 600000000}",3876,True,1
2025-03-24 00:00:00+00:00,"{'units': 16, 'nano': 800000000}","{'units': 16, 'nano': 800000000}","{'units': 16, 'nano': 160000000}","{'units': 16, 'nano': 230000000}",3684,True,1
2025-03-25 00:00:00+00:00,"{'units': 16, 'nano': 450000000}","{'units': 16, 'nano': 530000000}","{'units': 16, 'nano': 50000000}","{'units': 16, 'nano': 120000000}",1973,True,1
2025-03-26 00:00:00+00:00,"{'units': 16, 'nano': 270000000}","{'units': 16, 'nano': 570000000}","{'units': 16, 'nano': 110000000}","{'units': 16, 'nano': 110000000}",3093,True,1
2025-03-27 00:00:00+00:00,"{'units': 16, 'nano': 110000000}","{'units': 16, 'nano': 360000000}","{'units': 15, 'nano': 420000000}","{'units': 15, 'nano': 540000000}",8131,True,1
2025-03-28 00:00:00+00:00,"{'units': 15, 'nano': 200000000}","{'units': 15, 'nano': 480000000}","{'units': 15, 'nano': 60000000}","{'units': 15, 'nano': 60000000}",4562,True,1
2025-03-31 00:00:00+00:00,"{'units': 15, 'nano': 0}","{'units': 15, 'nano': 70000000}","{'units': 14, 'nano': 440000000}","{'units': 14, 'nano': 810000000}",6708,True,1
2025-04-01 00:00:00+00:00,"{'units': 15, 'nano': 0}","{'units': 15, 'nano': 450000000}","{'units': 14, 'nano': 760000000}","{'units': 15, 'nano': 0}",7940,True,1
2025-04-02 00:00:00+00:00,"{'units': 14, 'nano': 700000000}","{'units': 14, 'nano': 990000000}","{'units': 14, 'nano': 630000000}","{'units': 14, 'nano': 680000000}",3709,True,1
2025-04-03 00:00:00+00:00,"{'units': 14, 'nano': 780000000}","{'units': 14, 'nano': 930000000}","{'units': 14, 'nano': 450000000}","{'units': 14, 'nano': 450000000}",1831,True,1
2025-04-04 00:00:00+00:00,"{'units': 14, 'nano': 450000000}","{'units': 14, 'nano': 750000000}","{'units': 13, 'nano': 720000000}","{'units': 14, 'nano': 70000000}",8584,True,1
