time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 68900000}","{'units': 0, 'nano': 68900000}","{'units': 0, 'nano': 67100000}","{'units': 0, 'nano': 67900000}",8312,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 67900000}","{'units': 0, 'nano': 68050000}","{'units': 0, 'nano': 66100000}","{'units': 0, 'nano': 67300000}",14096,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 67750000}","{'units': 0, 'nano': 69800000}","{'units': 0, 'nano': 67550000}","{'units': 0, 'nano': 68800000}",10869,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 68750000}","{'units': 0, 'nano': 69650000}","{'units': 0, 'nano': 68050000}","{'units': 0, 'nano': 68750000}",16029,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 69500000}","{'units': 0, 'nano': 69850000}","{'units': 0, 'nano': 68850000}","{'units': 0, 'nano': 69250000}",8347,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 70000000}","{'units': 0, 'nano': 71150000}","{'units': 0, 'nano': 68950000}","{'units': 0, 'nano': 70000000}",38165,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 70400000}","{'units': 0, 'nano': 70750000}","{'units': 0, 'nano': 69900000}","{'units': 0, 'nano': 69950000}",10265,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 72000000}","{'units': 0, 'nano': 73000000}","{'units': 0, 'nano': 70600000}","{'units': 0, 'nano': 71650000}",25185,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 71750000}","{'units': 0, 'nano': 72850000}","{'units': 0, 'nano': 69600000}","{'units': 0, 'nano': 70100000}",31920,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 70450000}","{'units': 0, 'nano': 72400000}","{'units': 0, 'nano': 70350000}","{'units': 0, 'nano': 72100000}",30467,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 72100000}","{'units': 0, 'nano': 77300000}","{'units': 0, 'nano': 71600000}","{'units': 0, 'nano': 73950000}",84040,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 73400000}","{'units': 0, 'nano': 76000000}","{'units': 0, 'nano': 73400000}","{'units': 0, 'nano': 75700000}",21126,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 75400000}","{'units': 0, 'nano': 78000000}","{'units': 0, 'nano': 75150000}","{'units': 0, 'nano': 77800000}",40440,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 77800000}","{'units': 0, 'nano': 80000000}","{'units': 0, 'nano': 76700000}","{'units': 0, 'nano': 79350000}",42732,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 78650000}","{'units': 0, 'nano': 82250000}","{'units': 0, 'nano': 78650000}","{'units': 0, 'nano': 79600000}",73241,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 79850000}","{'units': 0, 'nano': 81500000}","{'units': 0, 'nano': 76550000}","{'units': 0, 'nano': 78100000}",47211,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 79350000}","{'units': 0, 'nano': 81800000}","{'units': 0, 'nano': 77700000}","{'units': 0, 'nano': 79300000}",64764,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 77450000}","{'units': 0, 'nano': 79700000}","{'units': 0, 'nano': 73450000}","{'units': 0, 'nano': 76050000}",53954,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 76750000}","{'units': 0, 'nano': 76750000}","{'units': 0, 'nano': 72950000}","{'units': 0, 'nano': 75100000}",30499,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 74350000}","{'units': 0, 'nano': 76900000}","{'units': 0, 'nano': 73750000}","{'units': 0, 'nano': 75650000}",69203,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 76000000}","{'units': 0, 'nano': 81000000}","{'units': 0, 'nano': 75400000}","{'units': 0, 'nano': 78550000}",58614,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 78550000}","{'units': 0, 'nano': 79700000}","{'units': 0, 'nano': 77550000}","{'units': 0, 'nano': 78850000}",20238,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 78350000}","{'units': 0, 'nano': 80800000}","{'units': 0, 'nano': 76500000}","{'units': 0, 'nano': 76800000}",26656,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 76800000}","{'units': 0, 'nano': 77550000}","{'units': 0, 'nano': 75200000}","{'units': 0, 'nano': 75700000}",22021,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 76200000}","{'units': 0, 'nano': 78100000}","{'units': 0, 'nano': 76200000}","{'units': 0, 'nano': 77100000}",20421,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 76750000}","{'units': 0, 'nano': 79000000}","{'units': 0, 'nano': 76550000}","{'units': 0, 'nano': 76800000}",20152,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 76000000}","{'units': 0, 'nano': 77250000}","{'units': 0, 'nano': 75750000}","{'units': 0, 'nano': 76350000}",20337,True,1
2025-03-13 00:00:00+00:00,"{'units': 0, 'nano': 75850000}","{'units': 0, 'nano': 75900000}","{'units': 0, 'nano': 72100000}","{'units': 0, 'nano': 73200000}",32725,True,1
2025-03-14 00:00:00+00:00,"{'units': 0, 'nano': 73650000}","{'units': 0, 'nano': 75300000}","{'units': 0, 'nano': 73100000}","{'units': 0, 'nano': 74350000}",16377,True,1
2025-03-17 00:00:00+00:00,"{'units': 0, 'nano': 75100000}","{'units': 0, 'nano': 75850000}","{'units': 0, 'nano': 73500000}","{'units': 0, 'nano': 74350000}",16560,True,1
2025-03-18 00:00:00+00:00,"{'units': 0, 'nano': 74500000}","{'units': 0, 'nano': 77150000}","{'units': 0, 'nano': 74350000}","{'units': 0, 'nano': 75250000}",34565,True,1
2025-03-19 00:00:00+00:00,"{'units': 0, 'nano': 75150000}","{'units': 0, 'nano': 75950000}","{'units': 0, 'nano': 74050000}","{'units': 0, 'nano': 75250000}",20264,True,1
2025-03-20 00:00:00+00:00,"{'units': 0, 'nano': 75250000}","{'units': 0, 'nano': 75800000}","{'units': 0, 'nano': 74400000}","{'units': 0, 'nano': 75000000}",12886,True,1
2025-03-21 00:00:00+00:00,"{'units': 0, 'nano': 74450000}","{'units': 0, 'nano': 75500000}","{'units': 0, 'nano': 74250000}","{'units': 0, 'nano': 74250000}",12834,True,1
2025-03-24 00:00:00+00:00,"{'units': 0, 'nano': 74000000}","{'units': 0, 'nano': 77500000}","{'units': 0, 'nano': 73900000}","{'units': 0, 'nano': 75300000}",37726,True,1
2025-03-25 00:00:00+00:00,"{'units': 0, 'nano': 75300000}","{'units': 0, 'nano': 76100000}","{'units': 0, 'nano': 74250000}","{'units': 0, 'nano': 75000000}",9476,True,1
2025-03-26 00:00:00+00:00,"{'units': 0, 'nano': 74950000}","{'units': 0, 'nano': 75600000}","{'units': 0, 'nano': 74500000}","{'units': 0, 'nano': 74550000}",7006,True,1
