time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 7810000}","{'units': 0, 'nano': 7930000}","{'units': 0, 'nano': 7675000}","{'units': 0, 'nano': 7800000}",558,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 7820000}","{'units': 0, 'nano': 7820000}","{'units': 0, 'nano': 7200000}","{'units': 0, 'nano': 7495000}",3093,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 7680000}","{'units': 0, 'nano': 7695000}","{'units': 0, 'nano': 7455000}","{'units': 0, 'nano': 7510000}",1050,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 7595000}","{'units': 0, 'nano': 7595000}","{'units': 0, 'nano': 7390000}","{'units': 0, 'nano': 7445000}",438,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 7445000}","{'units': 0, 'nano': 7535000}","{'units': 0, 'nano': 7445000}","{'units': 0, 'nano': 7465000}",455,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 7560000}","{'units': 0, 'nano': 7600000}","{'units': 0, 'nano': 7425000}","{'units': 0, 'nano': 7550000}",403,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 7590000}","{'units': 0, 'nano': 7665000}","{'units': 0, 'nano': 7570000}","{'units': 0, 'nano': 7610000}",777,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 7785000}","{'units': 0, 'nano': 8195000}","{'units': 0, 'nano': 7760000}","{'units': 0, 'nano': 7890000}",1294,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 7940000}","{'units': 0, 'nano': 8145000}","{'units': 0, 'nano': 7815000}","{'units': 0, 'nano': 7840000}",2796,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 7915000}","{'units': 0, 'nano': 8145000}","{'units': 0, 'nano': 7915000}","{'units': 0, 'nano': 8080000}",1578,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 8050000}","{'units': 0, 'nano': 8050000}","{'units': 0, 'nano': 7850000}","{'units': 0, 'nano': 7850000}",2065,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 7875000}","{'units': 0, 'nano': 8045000}","{'units': 0, 'nano': 7875000}","{'units': 0, 'nano': 7940000}",1146,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 7895000}","{'units': 0, 'nano': 8215000}","{'units': 0, 'nano': 7895000}","{'units': 0, 'nano': 8095000}",2188,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 8090000}","{'units': 0, 'nano': 8395000}","{'units': 0, 'nano': 8065000}","{'units': 0, 'nano': 8360000}",1633,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 8370000}","{'units': 0, 'nano': 8950000}","{'units': 0, 'nano': 8370000}","{'units': 0, 'nano': 8680000}",3756,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 8810000}","{'units': 0, 'nano': 8995000}","{'units': 0, 'nano': 8680000}","{'units': 0, 'nano': 8710000}",1896,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 8720000}","{'units': 0, 'nano': 8920000}","{'units': 0, 'nano': 8355000}","{'units': 0, 'nano': 8490000}",1761,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 8455000}","{'units': 0, 'nano': 8460000}","{'units': 0, 'nano': 8150000}","{'units': 0, 'nano': 8305000}",1307,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 8220000}","{'units': 0, 'nano': 8270000}","{'units': 0, 'nano': 8005000}","{'units': 0, 'nano': 8035000}",1529,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 8035000}","{'units': 0, 'nano': 8040000}","{'units': 0, 'nano': 7775000}","{'units': 0, 'nano': 7800000}",1081,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 7980000}","{'units': 0, 'nano': 8195000}","{'units': 0, 'nano': 7920000}","{'units': 0, 'nano': 8030000}",794,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 8065000}","{'units': 0, 'nano': 8250000}","{'units': 0, 'nano': 8005000}","{'units': 0, 'nano': 8130000}",1932,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 8090000}","{'units': 0, 'nano': 8600000}","{'units': 0, 'nano': 8010000}","{'units': 0, 'nano': 8145000}",1276,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 8150000}","{'units': 0, 'nano': 8385000}","{'units': 0, 'nano': 7905000}","{'units': 0, 'nano': 7910000}",1029,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 7995000}","{'units': 0, 'nano': 8180000}","{'units': 0, 'nano': 7925000}","{'units': 0, 'nano': 8090000}",405,True,1
