time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 596000000}","{'units': 0, 'nano': 599000000}","{'units': 0, 'nano': 582500000}","{'units': 0, 'nano': 584500000}",46304,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 585000000}","{'units': 0, 'nano': 598000000}","{'units': 0, 'nano': 572500000}","{'units': 0, 'nano': 592000000}",88192,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 598000000}","{'units': 0, 'nano': 602500000}","{'units': 0, 'nano': 590500000}","{'units': 0, 'nano': 592000000}",43081,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 592500000}","{'units': 0, 'nano': 594000000}","{'units': 0, 'nano': 580000000}","{'units': 0, 'nano': 588500000}",66245,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 599500000}","{'units': 0, 'nano': 609000000}","{'units': 0, 'nano': 590000000}","{'units': 0, 'nano': 596500000}",101534,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 602500000}","{'units': 0, 'nano': 610000000}","{'units': 0, 'nano': 598000000}","{'units': 0, 'nano': 605500000}",109622,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 609500000}","{'units': 0, 'nano': 655000000}","{'units': 0, 'nano': 605000000}","{'units': 0, 'nano': 631000000}",625828,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 640000000}","{'units': 0, 'nano': 644000000}","{'units': 0, 'nano': 615000000}","{'units': 0, 'nano': 624000000}",152354,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 630000000}","{'units': 0, 'nano': 633500000}","{'units': 0, 'nano': 593500000}","{'units': 0, 'nano': 608500000}",404931,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 610000000}","{'units': 0, 'nano': 624000000}","{'units': 0, 'nano': 606000000}","{'units': 0, 'nano': 620000000}",265744,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 619000000}","{'units': 0, 'nano': 622000000}","{'units': 0, 'nano': 607000000}","{'units': 0, 'nano': 612500000}",140287,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 618000000}","{'units': 0, 'nano': 624000000}","{'units': 0, 'nano': 610000000}","{'units': 0, 'nano': 619500000}",98374,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 620000000}","{'units': 0, 'nano': 621500000}","{'units': 0, 'nano': 614500000}","{'units': 0, 'nano': 619000000}",98119,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 619000000}","{'units': 0, 'nano': 635000000}","{'units': 0, 'nano': 607000000}","{'units': 0, 'nano': 618000000}",397624,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 618000000}","{'units': 0, 'nano': 625000000}","{'units': 0, 'nano': 614000000}","{'units': 0, 'nano': 620000000}",136365,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 620500000}","{'units': 0, 'nano': 696000000}","{'units': 0, 'nano': 616000000}","{'units': 0, 'nano': 678000000}",2303573,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 686500000}","{'units': 0, 'nano': 737500000}","{'units': 0, 'nano': 651500000}","{'units': 0, 'nano': 660000000}",2475128,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 659000000}","{'units': 0, 'nano': 698500000}","{'units': 0, 'nano': 630000000}","{'units': 0, 'nano': 643500000}",1011490,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 644000000}","{'units': 0, 'nano': 724000000}","{'units': 0, 'nano': 631500000}","{'units': 0, 'nano': 680500000}",3594065,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 675000000}","{'units': 0, 'nano': 722500000}","{'units': 0, 'nano': 660000000}","{'units': 0, 'nano': 700000000}",2161335,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 709000000}","{'units': 0, 'nano': 741000000}","{'units': 0, 'nano': 700500000}","{'units': 0, 'nano': 714500000}",1713192,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 720000000}","{'units': 0, 'nano': 738000000}","{'units': 0, 'nano': 686500000}","{'units': 0, 'nano': 711000000}",1135144,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 713500000}","{'units': 0, 'nano': 719000000}","{'units': 0, 'nano': 661000000}","{'units': 0, 'nano': 670000000}",1138790,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 688500000}","{'units': 0, 'nano': 696000000}","{'units': 0, 'nano': 627500000}","{'units': 0, 'nano': 649500000}",1257163,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 651500000}","{'units': 0, 'nano': 677500000}","{'units': 0, 'nano': 630500000}","{'units': 0, 'nano': 653000000}",744203,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 646500000}","{'units': 0, 'nano': 661000000}","{'units': 0, 'nano': 636000000}","{'units': 0, 'nano': 641500000}",397031,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 642000000}","{'units': 0, 'nano': 646000000}","{'units': 0, 'nano': 630500000}","{'units': 0, 'nano': 634500000}",310002,True,1
2025-03-13 00:00:00+00:00,"{'units': 0, 'nano': 630000000}","{'units': 0, 'nano': 649000000}","{'units': 0, 'nano': 611500000}","{'units': 0, 'nano': 632000000}",392685,True,1
2025-03-14 00:00:00+00:00,"{'units': 0, 'nano': 631500000}","{'units': 0, 'nano': 657000000}","{'units': 0, 'nano': 629500000}","{'units': 0, 'nano': 641000000}",457879,True,1
2025-03-17 00:00:00+00:00,"{'units': 0, 'nano': 681000000}","{'units': 0, 'nano': 690000000}","{'units': 0, 'nano': 658500000}","{'units': 0, 'nano': 667000000}",533799,True,1
2025-03-18 00:00:00+00:00,"{'units': 0, 'nano': 673500000}","{'units': 0, 'nano': 673500000}","{'units': 0, 'nano': 651000000}","{'units': 0, 'nano': 654500000}",446447,True,1
2025-03-19 00:00:00+00:00,"{'units': 0, 'nano': 650000000}","{'units': 0, 'nano': 663000000}","{'units': 0, 'nano': 645000000}","{'units': 0, 'nano': 654500000}",191064,True,1
2025-03-20 00:00:00+00:00,"{'units': 0, 'nano': 656500000}","{'units': 0, 'nano': 661000000}","{'units': 0, 'nano': 646000000}","{'units': 0, 'nano': 648500000}",157474,True,1
2025-03-21 00:00:00+00:00,"{'units': 0, 'nano': 649500000}","{'units': 0, 'nano': 653500000}","{'units': 0, 'nano': 637500000}","{'units': 0, 'nano': 638500000}",170477,True,1
2025-03-24 00:00:00+00:00,"{'units': 0, 'nano': 644000000}","{'units': 0, 'nano': 654000000}","{'units': 0, 'nano': 638500000}","{'units': 0, 'nano': 643500000}",193744,True,1
2025-03-25 00:00:00+00:00,"{'units': 0, 'nano': 644000000}","{'units': 0, 'nano': 653500000}","{'units': 0, 'nano': 630500000}","{'units': 0, 'nano': 645500000}",209489,True,1
2025-03-26 00:00:00+00:00,"{'units': 0, 'nano': 646500000}","{'units': 0, 'nano': 659500000}","{'units': 0, 'nano': 637000000}","{'units': 0, 'nano': 640000000}",284358,True,1
2025-03-27 00:00:00+00:00,"{'units': 0, 'nano': 641000000}","{'units': 0, 'nano': 643500000}","{'units': 0, 'nano': 630000000}","{'units': 0, 'nano': 631000000}",201777,True,1
2025-03-28 00:00:00+00:00,"{'units': 0, 'nano': 631000000}","{'units': 0, 'nano': 631000000}","{'units': 0, 'nano': 608000000}","{'units': 0, 'nano': 618500000}",217666,True,1
2025-03-31 00:00:00+00:00,"{'units': 0, 'nano': 597500000}","{'units': 0, 'nano': 628000000}","{'units': 0, 'nano': 597500000}","{'units': 0, 'nano': 622000000}",220328,True,1
2025-04-01 00:00:00+00:00,"{'units': 0, 'nano': 622000000}","{'units': 0, 'nano': 638000000}","{'units': 0, 'nano': 611000000}","{'units': 0, 'nano': 615000000}",269922,True,1
2025-04-02 00:00:00+00:00,"{'units': 0, 'nano': 617000000}","{'units': 0, 'nano': 627000000}","{'units': 0, 'nano': 609500000}","{'units': 0, 'nano': 620000000}",110399,True,1
2025-04-03 00:00:00+00:00,"{'units': 0, 'nano': 622000000}","{'units': 0, 'nano': 631000000}","{'units': 0, 'nano': 600000000}","{'units': 0, 'nano': 617500000}",186113,True,1
2025-04-04 00:00:00+00:00,"{'units': 0, 'nano': 617500000}","{'units': 0, 'nano': 623500000}","{'units': 0, 'nano': 577500000}","{'units': 0, 'nano': 580000000}",283485,True,1
2025-04-07 00:00:00+00:00,"{'units': 0, 'nano': 579000000}","{'units': 0, 'nano': 581500000}","{'units': 0, 'nano': 510500000}","{'units': 0, 'nano': 540000000}",693056,True,1
2025-04-08 00:00:00+00:00,"{'units': 0, 'nano': 546000000}","{'units': 0, 'nano': 569000000}","{'units': 0, 'nano': 531000000}","{'units': 0, 'nano': 532000000}",254543,True,1
2025-04-09 00:00:00+00:00,"{'units': 0, 'nano': 532000000}","{'units': 0, 'nano': 567500000}","{'units': 0, 'nano': 516000000}","{'units': 0, 'nano': 561000000}",442283,True,1
2025-04-10 00:00:00+00:00,"{'units': 0, 'nano': 565000000}","{'units': 0, 'nano': 574500000}","{'units': 0, 'nano': 549500000}","{'units': 0, 'nano': 560000000}",225253,True,1
2025-04-11 00:00:00+00:00,"{'units': 0, 'nano': 562500000}","{'units': 0, 'nano': 580000000}","{'units': 0, 'nano': 558500000}","{'units': 0, 'nano': 570000000}",151649,True,1
2025-04-12 00:00:00+00:00,"{'units': 0, 'nano': 573000000}","{'units': 0, 'nano': 587500000}","{'units': 0, 'nano': 573000000}","{'units': 0, 'nano': 587500000}",46843,True,1
2025-04-13 00:00:00+00:00,"{'units': 0, 'nano': 587500000}","{'units': 0, 'nano': 587500000}","{'units': 0, 'nano': 582000000}","{'units': 0, 'nano': 587500000}",27625,True,1
2025-04-14 00:00:00+00:00,"{'units': 0, 'nano': 587500000}","{'units': 0, 'nano': 595500000}","{'units': 0, 'nano': 570000000}","{'units': 0, 'nano': 572500000}",164057,True,1
2025-04-15 00:00:00+00:00,"{'units': 0, 'nano': 576000000}","{'units': 0, 'nano': 577500000}","{'units': 0, 'nano': 560500000}","{'units': 0, 'nano': 569000000}",87157,True,1
2025-04-16 00:00:00+00:00,"{'units': 0, 'nano': 566000000}","{'units': 0, 'nano': 595000000}","{'units': 0, 'nano': 563500000}","{'units': 0, 'nano': 585500000}",127906,True,1
2025-04-17 00:00:00+00:00,"{'units': 0, 'nano': 585500000}","{'units': 0, 'nano': 597500000}","{'units': 0, 'nano': 584000000}","{'units': 0, 'nano': 593500000}",209824,True,1
2025-04-18 00:00:00+00:00,"{'units': 0, 'nano': 588500000}","{'units': 0, 'nano': 597000000}","{'units': 0, 'nano': 587500000}","{'units': 0, 'nano': 589500000}",156392,True,1
2025-04-21 00:00:00+00:00,"{'units': 0, 'nano': 589500000}","{'units': 0, 'nano': 616000000}","{'units': 0, 'nano': 589500000}","{'units': 0, 'nano': 611500000}",134829,True,1
2025-04-22 00:00:00+00:00,"{'units': 0, 'nano': 612000000}","{'units': 0, 'nano': 650000000}","{'units': 0, 'nano': 612000000}","{'units': 0, 'nano': 625000000}",293816,True,1
2025-04-23 00:00:00+00:00,"{'units': 0, 'nano': 639500000}","{'units': 0, 'nano': 655500000}","{'units': 0, 'nano': 627000000}","{'units': 0, 'nano': 640000000}",314624,True,1
2025-04-24 00:00:00+00:00,"{'units': 0, 'nano': 643500000}","{'units': 0, 'nano': 643500000}","{'units': 0, 'nano': 632000000}","{'units': 0, 'nano': 634500000}",114175,True,1
2025-04-25 00:00:00+00:00,"{'units': 0, 'nano': 636000000}","{'units': 0, 'nano': 639500000}","{'units': 0, 'nano': 628000000}","{'units': 0, 'nano': 634000000}",105062,True,1
2025-04-26 00:00:00+00:00,"{'units': 0, 'nano': 634000000}","{'units': 0, 'nano': 641500000}","{'units': 0, 'nano': 633500000}","{'units': 0, 'nano': 636500000}",18679,True,1
2025-04-27 00:00:00+00:00,"{'units': 0, 'nano': 635500000}","{'units': 0, 'nano': 640000000}","{'units': 0, 'nano': 624500000}","{'units': 0, 'nano': 639500000}",31534,True,1
