time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 61, 'nano': 80000000}","{'units': 61, 'nano': 430000000}","{'units': 59, 'nano': 340000000}","{'units': 59, 'nano': 540000000}",174319,True,1
2025-02-05 00:00:00+00:00,"{'units': 59, 'nano': 400000000}","{'units': 63, 'nano': 470000000}","{'units': 58, 'nano': 330000000}","{'units': 63, 'nano': 90000000}",452500,True,1
2025-02-06 00:00:00+00:00,"{'units': 63, 'nano': 0}","{'units': 67, 'nano': 680000000}","{'units': 62, 'nano': 260000000}","{'units': 64, 'nano': 50000000}",1815009,True,1
2025-02-07 00:00:00+00:00,"{'units': 64, 'nano': 590000000}","{'units': 64, 'nano': 590000000}","{'units': 62, 'nano': 500000000}","{'units': 63, 'nano': 440000000}",286471,True,1
2025-02-10 00:00:00+00:00,"{'units': 64, 'nano': 390000000}","{'units': 64, 'nano': 390000000}","{'units': 61, 'nano': 650000000}","{'units': 62, 'nano': 150000000}",309206,True,1
2025-02-11 00:00:00+00:00,"{'units': 62, 'nano': 540000000}","{'units': 63, 'nano': 840000000}","{'units': 62, 'nano': 140000000}","{'units': 63, 'nano': 300000000}",184665,True,1
2025-02-12 00:00:00+00:00,"{'units': 63, 'nano': 600000000}","{'units': 66, 'nano': 700000000}","{'units': 62, 'nano': 720000000}","{'units': 65, 'nano': 960000000}",631589,True,1
2025-02-13 00:00:00+00:00,"{'units': 66, 'nano': 440000000}","{'units': 66, 'nano': 960000000}","{'units': 63, 'nano': 60000000}","{'units': 64, 'nano': 680000000}",326176,True,1
2025-02-14 00:00:00+00:00,"{'units': 65, 'nano': 650000000}","{'units': 66, 'nano': 810000000}","{'units': 62, 'nano': 0}","{'units': 63, 'nano': 690000000}",576845,True,1
2025-02-17 00:00:00+00:00,"{'units': 64, 'nano': 720000000}","{'units': 68, 'nano': 800000000}","{'units': 64, 'nano': 370000000}","{'units': 68, 'nano': 340000000}",1121775,True,1
2025-02-18 00:00:00+00:00,"{'units': 67, 'nano': 500000000}","{'units': 67, 'nano': 870000000}","{'units': 62, 'nano': 360000000}","{'units': 63, 'nano': 880000000}",721605,True,1
2025-02-19 00:00:00+00:00,"{'units': 64, 'nano': 390000000}","{'units': 69, 'nano': 480000000}","{'units': 63, 'nano': 180000000}","{'units': 68, 'nano': 900000000}",1136081,True,1
