time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 7318000}","{'units': 0, 'nano': 7380000}","{'units': 0, 'nano': 7184000}","{'units': 0, 'nano': 7222000}",41211,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 7200000}","{'units': 0, 'nano': 7338000}","{'units': 0, 'nano': 7100000}","{'units': 0, 'nano': 7334000}",50844,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 7348000}","{'units': 0, 'nano': 7384000}","{'units': 0, 'nano': 7292000}","{'units': 0, 'nano': 7316000}",20759,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 7386000}","{'units': 0, 'nano': 7386000}","{'units': 0, 'nano': 7216000}","{'units': 0, 'nano': 7286000}",17490,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 7296000}","{'units': 0, 'nano': 7398000}","{'units': 0, 'nano': 7228000}","{'units': 0, 'nano': 7270000}",30237,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 7324000}","{'units': 0, 'nano': 7386000}","{'units': 0, 'nano': 7240000}","{'units': 0, 'nano': 7370000}",32055,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 7428000}","{'units': 0, 'nano': 8206000}","{'units': 0, 'nano': 7404000}","{'units': 0, 'nano': 8132000}",530250,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 8400000}","{'units': 0, 'nano': 8400000}","{'units': 0, 'nano': 7628000}","{'units': 0, 'nano': 7928000}",236921,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 8050000}","{'units': 0, 'nano': 8498000}","{'units': 0, 'nano': 7700000}","{'units': 0, 'nano': 7936000}",209270,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 8100000}","{'units': 0, 'nano': 8478000}","{'units': 0, 'nano': 8036000}","{'units': 0, 'nano': 8470000}",226571,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 8386000}","{'units': 0, 'nano': 8430000}","{'units': 0, 'nano': 8002000}","{'units': 0, 'nano': 8126000}",207314,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 8140000}","{'units': 0, 'nano': 8330000}","{'units': 0, 'nano': 8050000}","{'units': 0, 'nano': 8236000}",73422,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 8186000}","{'units': 0, 'nano': 8582000}","{'units': 0, 'nano': 8184000}","{'units': 0, 'nano': 8510000}",171256,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 8570000}","{'units': 0, 'nano': 8570000}","{'units': 0, 'nano': 8358000}","{'units': 0, 'nano': 8404000}",67991,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 8486000}","{'units': 0, 'nano': 8538000}","{'units': 0, 'nano': 8166000}","{'units': 0, 'nano': 8478000}",141609,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 8522000}","{'units': 0, 'nano': 8528000}","{'units': 0, 'nano': 8284000}","{'units': 0, 'nano': 8378000}",95771,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 8378000}","{'units': 0, 'nano': 8406000}","{'units': 0, 'nano': 7820000}","{'units': 0, 'nano': 8046000}",141613,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 8034000}","{'units': 0, 'nano': 8178000}","{'units': 0, 'nano': 7904000}","{'units': 0, 'nano': 7912000}",67507,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 7956000}","{'units': 0, 'nano': 8136000}","{'units': 0, 'nano': 7830000}","{'units': 0, 'nano': 8090000}",67584,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 8026000}","{'units': 0, 'nano': 8100000}","{'units': 0, 'nano': 7836000}","{'units': 0, 'nano': 7992000}",70697,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 8000000}","{'units': 0, 'nano': 8180000}","{'units': 0, 'nano': 7900000}","{'units': 0, 'nano': 8028000}",91558,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 7998000}","{'units': 0, 'nano': 8102000}","{'units': 0, 'nano': 7952000}","{'units': 0, 'nano': 7984000}",52887,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 8022000}","{'units': 0, 'nano': 8056000}","{'units': 0, 'nano': 7644000}","{'units': 0, 'nano': 7980000}",115441,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 7980000}","{'units': 0, 'nano': 8056000}","{'units': 0, 'nano': 7750000}","{'units': 0, 'nano': 7922000}",86818,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 7906000}","{'units': 0, 'nano': 8200000}","{'units': 0, 'nano': 7800000}","{'units': 0, 'nano': 7916000}",45261,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 7952000}","{'units': 0, 'nano': 7990000}","{'units': 0, 'nano': 7784000}","{'units': 0, 'nano': 7790000}",72833,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 7796000}","{'units': 0, 'nano': 7808000}","{'units': 0, 'nano': 7550000}","{'units': 0, 'nano': 7662000}",54841,True,1
