time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 87, 'nano': 360000000}","{'units': 87, 'nano': 950000000}","{'units': 86, 'nano': 720000000}","{'units': 86, 'nano': 890000000}",162796,True,1
2025-02-05 00:00:00+00:00,"{'units': 86, 'nano': 860000000}","{'units': 88, 'nano': 400000000}","{'units': 85, 'nano': 500000000}","{'units': 88, 'nano': 50000000}",488753,True,1
2025-02-06 00:00:00+00:00,"{'units': 88, 'nano': 100000000}","{'units': 90, 'nano': 500000000}","{'units': 87, 'nano': 200000000}","{'units': 88, 'nano': 250000000}",514130,True,1
2025-02-07 00:00:00+00:00,"{'units': 88, 'nano': 250000000}","{'units': 88, 'nano': 730000000}","{'units': 87, 'nano': 30000000}","{'units': 87, 'nano': 450000000}",265147,True,1
2025-02-10 00:00:00+00:00,"{'units': 87, 'nano': 840000000}","{'units': 88, 'nano': 860000000}","{'units': 85, 'nano': 640000000}","{'units': 86, 'nano': 410000000}",960424,True,1
2025-02-11 00:00:00+00:00,"{'units': 86, 'nano': 410000000}","{'units': 88, 'nano': 740000000}","{'units': 86, 'nano': 300000000}","{'units': 88, 'nano': 340000000}",478373,True,1
2025-02-12 00:00:00+00:00,"{'units': 88, 'nano': 340000000}","{'units': 95, 'nano': 300000000}","{'units': 87, 'nano': 620000000}","{'units': 94, 'nano': 440000000}",1489192,True,1
2025-02-13 00:00:00+00:00,"{'units': 95, 'nano': 590000000}","{'units': 95, 'nano': 880000000}","{'units': 92, 'nano': 410000000}","{'units': 94, 'nano': 400000000}",943015,True,1
2025-02-14 00:00:00+00:00,"{'units': 98, 'nano': 400000000}","{'units': 102, 'nano': 850000000}","{'units': 92, 'nano': 400000000}","{'units': 100, 'nano': 750000000}",3562699,True,1
2025-02-17 00:00:00+00:00,"{'units': 101, 'nano': 900000000}","{'units': 108, 'nano': 270000000}","{'units': 99, 'nano': 700000000}","{'units': 105, 'nano': 860000000}",4413224,True,1
2025-02-18 00:00:00+00:00,"{'units': 106, 'nano': 800000000}","{'units': 107, 'nano': 0}","{'units': 100, 'nano': 360000000}","{'units': 101, 'nano': 890000000}",1693155,True,1
2025-02-19 00:00:00+00:00,"{'units': 102, 'nano': 830000000}","{'units': 104, 'nano': 190000000}","{'units': 99, 'nano': 350000000}","{'units': 102, 'nano': 190000000}",1276005,True,1
2025-02-20 00:00:00+00:00,"{'units': 102, 'nano': 200000000}","{'units': 105, 'nano': 100000000}","{'units': 102, 'nano': 190000000}","{'units': 104, 'nano': 40000000}",874200,True,1
2025-02-21 00:00:00+00:00,"{'units': 104, 'nano': 40000000}","{'units': 104, 'nano': 900000000}","{'units': 101, 'nano': 530000000}","{'units': 103, 'nano': 970000000}",612194,True,1
2025-02-24 00:00:00+00:00,"{'units': 103, 'nano': 970000000}","{'units': 105, 'nano': 990000000}","{'units': 102, 'nano': 680000000}","{'units': 104, 'nano': 550000000}",1003121,True,1
2025-02-25 00:00:00+00:00,"{'units': 104, 'nano': 600000000}","{'units': 106, 'nano': 300000000}","{'units': 103, 'nano': 800000000}","{'units': 105, 'nano': 80000000}",790343,True,1
2025-02-26 00:00:00+00:00,"{'units': 105, 'nano': 80000000}","{'units': 105, 'nano': 800000000}","{'units': 100, 'nano': 300000000}","{'units': 101, 'nano': 90000000}",753835,True,1
2025-02-27 00:00:00+00:00,"{'units': 101, 'nano': 150000000}","{'units': 103, 'nano': 300000000}","{'units': 98, 'nano': 700000000}","{'units': 100, 'nano': 110000000}",803233,True,1
2025-02-28 00:00:00+00:00,"{'units': 100, 'nano': 110000000}","{'units': 102, 'nano': 90000000}","{'units': 98, 'nano': 510000000}","{'units': 101, 'nano': 150000000}",1113044,True,1
