time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 8420000}","{'units': 0, 'nano': 8540000}","{'units': 0, 'nano': 8320000}","{'units': 0, 'nano': 8360000}",37360,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 8390000}","{'units': 0, 'nano': 8410000}","{'units': 0, 'nano': 8040000}","{'units': 0, 'nano': 8200000}",60084,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 8300000}","{'units': 0, 'nano': 8410000}","{'units': 0, 'nano': 8200000}","{'units': 0, 'nano': 8240000}",67115,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 8280000}","{'units': 0, 'nano': 8340000}","{'units': 0, 'nano': 8020000}","{'units': 0, 'nano': 8050000}",80339,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 8140000}","{'units': 0, 'nano': 8440000}","{'units': 0, 'nano': 8010000}","{'units': 0, 'nano': 8090000}",169787,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 8100000}","{'units': 0, 'nano': 8200000}","{'units': 0, 'nano': 8050000}","{'units': 0, 'nano': 8120000}",48431,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 8200000}","{'units': 0, 'nano': 8480000}","{'units': 0, 'nano': 8110000}","{'units': 0, 'nano': 8170000}",181703,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 8520000}","{'units': 0, 'nano': 8690000}","{'units': 0, 'nano': 8270000}","{'units': 0, 'nano': 8400000}",259967,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 8510000}","{'units': 0, 'nano': 8780000}","{'units': 0, 'nano': 8160000}","{'units': 0, 'nano': 8290000}",271916,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 8480000}","{'units': 0, 'nano': 8770000}","{'units': 0, 'nano': 8390000}","{'units': 0, 'nano': 8720000}",228031,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 8680000}","{'units': 0, 'nano': 8800000}","{'units': 0, 'nano': 8410000}","{'units': 0, 'nano': 8440000}",173564,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 8500000}","{'units': 0, 'nano': 8640000}","{'units': 0, 'nano': 8470000}","{'units': 0, 'nano': 8500000}",116002,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 8560000}","{'units': 0, 'nano': 9200000}","{'units': 0, 'nano': 8500000}","{'units': 0, 'nano': 8850000}",500959,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 8920000}","{'units': 0, 'nano': 9290000}","{'units': 0, 'nano': 8920000}","{'units': 0, 'nano': 9110000}",276208,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 9330000}","{'units': 0, 'nano': 9650000}","{'units': 0, 'nano': 9160000}","{'units': 0, 'nano': 9440000}",306967,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 9850000}","{'units': 0, 'nano': 9890000}","{'units': 0, 'nano': 9470000}","{'units': 0, 'nano': 9570000}",250618,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 9590000}","{'units': 0, 'nano': 9870000}","{'units': 0, 'nano': 9030000}","{'units': 0, 'nano': 9250000}",198433,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 9180000}","{'units': 0, 'nano': 9180000}","{'units': 0, 'nano': 8860000}","{'units': 0, 'nano': 8990000}",105897,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 9000000}","{'units': 0, 'nano': 9050000}","{'units': 0, 'nano': 8650000}","{'units': 0, 'nano': 8920000}",83303,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 8880000}","{'units': 0, 'nano': 8880000}","{'units': 0, 'nano': 8730000}","{'units': 0, 'nano': 8810000}",39445,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 8900000}","{'units': 0, 'nano': 9110000}","{'units': 0, 'nano': 8860000}","{'units': 0, 'nano': 8980000}",107058,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 8980000}","{'units': 0, 'nano': 9600000}","{'units': 0, 'nano': 8940000}","{'units': 0, 'nano': 9300000}",273946,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 9340000}","{'units': 0, 'nano': 9500000}","{'units': 0, 'nano': 9030000}","{'units': 0, 'nano': 9100000}",84502,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 9200000}","{'units': 0, 'nano': 9410000}","{'units': 0, 'nano': 8760000}","{'units': 0, 'nano': 8930000}",119646,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 9020000}","{'units': 0, 'nano': 9140000}","{'units': 0, 'nano': 8970000}","{'units': 0, 'nano': 9020000}",67425,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 9040000}","{'units': 0, 'nano': 9360000}","{'units': 0, 'nano': 8880000}","{'units': 0, 'nano': 9120000}",137650,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 9100000}","{'units': 0, 'nano': 9140000}","{'units': 0, 'nano': 8900000}","{'units': 0, 'nano': 9030000}",67668,True,1
2025-03-13 00:00:00+00:00,"{'units': 0, 'nano': 9020000}","{'units': 0, 'nano': 9130000}","{'units': 0, 'nano': 8360000}","{'units': 0, 'nano': 8840000}",138428,True,1
2025-03-14 00:00:00+00:00,"{'units': 0, 'nano': 8960000}","{'units': 0, 'nano': 9110000}","{'units': 0, 'nano': 8960000}","{'units': 0, 'nano': 9090000}",40114,True,1
