time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 766000000}","{'units': 0, 'nano': 792000000}","{'units': 0, 'nano': 766000000}","{'units': 0, 'nano': 770000000}",8407,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 777000000}","{'units': 0, 'nano': 783000000}","{'units': 0, 'nano': 748500000}","{'units': 0, 'nano': 759000000}",6100,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 775000000}","{'units': 0, 'nano': 775000000}","{'units': 0, 'nano': 750000000}","{'units': 0, 'nano': 759500000}",6938,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 762000000}","{'units': 0, 'nano': 762000000}","{'units': 0, 'nano': 741000000}","{'units': 0, 'nano': 752500000}",4622,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 759000000}","{'units': 0, 'nano': 780000000}","{'units': 0, 'nano': 755500000}","{'units': 0, 'nano': 773000000}",5081,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 773000000}","{'units': 0, 'nano': 779500000}","{'units': 0, 'nano': 757000000}","{'units': 0, 'nano': 771500000}",5376,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 771500000}","{'units': 0, 'nano': 790000000}","{'units': 0, 'nano': 769500000}","{'units': 0, 'nano': 770000000}",4377,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 777500000}","{'units': 0, 'nano': 799000000}","{'units': 0, 'nano': 772500000}","{'units': 0, 'nano': 785000000}",10844,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 784500000}","{'units': 0, 'nano': 810000000}","{'units': 0, 'nano': 781000000}","{'units': 0, 'nano': 786500000}",14588,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 788000000}","{'units': 0, 'nano': 816000000}","{'units': 0, 'nano': 770000000}","{'units': 0, 'nano': 806000000}",23261,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 806000000}","{'units': 0, 'nano': 809000000}","{'units': 0, 'nano': 789000000}","{'units': 0, 'nano': 796500000}",10324,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 796500000}","{'units': 0, 'nano': 805500000}","{'units': 0, 'nano': 780000000}","{'units': 0, 'nano': 792000000}",4046,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 792000000}","{'units': 0, 'nano': 830000000}","{'units': 0, 'nano': 792000000}","{'units': 0, 'nano': 800500000}",18404,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 974500000}","{'units': 0, 'nano': 974500000}","{'units': 0, 'nano': 831000000}","{'units': 0, 'nano': 860500000}",169688,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 897000000}","{'units': 0, 'nano': 900000000}","{'units': 0, 'nano': 840000000}","{'units': 0, 'nano': 840000000}",37580,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 861500000}","{'units': 0, 'nano': 869500000}","{'units': 0, 'nano': 833000000}","{'units': 0, 'nano': 842000000}",21080,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 834000000}","{'units': 0, 'nano': 854500000}","{'units': 0, 'nano': 820500000}","{'units': 0, 'nano': 827000000}",14459,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 826000000}","{'units': 0, 'nano': 826500000}","{'units': 0, 'nano': 800000000}","{'units': 0, 'nano': 817500000}",7848,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 813000000}","{'units': 0, 'nano': 820000000}","{'units': 0, 'nano': 790000000}","{'units': 0, 'nano': 812500000}",7385,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 816000000}","{'units': 0, 'nano': 835500000}","{'units': 0, 'nano': 794000000}","{'units': 0, 'nano': 818500000}",6149,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 820000000}","{'units': 0, 'nano': 835000000}","{'units': 0, 'nano': 818000000}","{'units': 0, 'nano': 822000000}",6424,True,1
