time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 4545, 'nano': 0}","{'units': 4592, 'nano': 0}","{'units': 4450, 'nano': 0}","{'units': 4456, 'nano': 0}",3105,True,1
2025-02-05 00:00:00+00:00,"{'units': 4456, 'nano': 0}","{'units': 4456, 'nano': 0}","{'units': 4370, 'nano': 0}","{'units': 4428, 'nano': 0}",2685,True,1
2025-02-06 00:00:00+00:00,"{'units': 4433, 'nano': 0}","{'units': 4524, 'nano': 0}","{'units': 4433, 'nano': 0}","{'units': 4504, 'nano': 0}",1335,True,1
2025-02-07 00:00:00+00:00,"{'units': 4519, 'nano': 0}","{'units': 4523, 'nano': 0}","{'units': 4424, 'nano': 0}","{'units': 4464, 'nano': 0}",1310,True,1
2025-02-10 00:00:00+00:00,"{'units': 4523, 'nano': 0}","{'units': 4524, 'nano': 0}","{'units': 4460, 'nano': 0}","{'units': 4460, 'nano': 0}",2161,True,1
2025-02-11 00:00:00+00:00,"{'units': 4455, 'nano': 0}","{'units': 4620, 'nano': 0}","{'units': 4413, 'nano': 0}","{'units': 4483, 'nano': 0}",9941,True,1
2025-02-12 00:00:00+00:00,"{'units': 4520, 'nano': 0}","{'units': 4556, 'nano': 0}","{'units': 4441, 'nano': 0}","{'units': 4492, 'nano': 0}",6697,True,1
2025-02-13 00:00:00+00:00,"{'units': 4572, 'nano': 0}","{'units': 4745, 'nano': 0}","{'units': 4507, 'nano': 0}","{'units': 4639, 'nano': 0}",18965,True,1
2025-02-14 00:00:00+00:00,"{'units': 4639, 'nano': 0}","{'units': 4669, 'nano': 0}","{'units': 4407, 'nano': 0}","{'units': 4460, 'nano': 0}",12780,True,1
2025-02-17 00:00:00+00:00,"{'units': 4455, 'nano': 0}","{'units': 4500, 'nano': 0}","{'units': 4438, 'nano': 0}","{'units': 4487, 'nano': 0}",8544,True,1
2025-02-18 00:00:00+00:00,"{'units': 4487, 'nano': 0}","{'units': 4488, 'nano': 0}","{'units': 4427, 'nano': 0}","{'units': 4433, 'nano': 0}",4010,True,1
2025-02-19 00:00:00+00:00,"{'units': 4425, 'nano': 0}","{'units': 4444, 'nano': 0}","{'units': 4380, 'nano': 0}","{'units': 4391, 'nano': 0}",4283,True,1
