time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 66300000}","{'units': 0, 'nano': 67850000}","{'units': 0, 'nano': 65750000}","{'units': 0, 'nano': 66100000}",12263,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 66150000}","{'units': 0, 'nano': 66150000}","{'units': 0, 'nano': 64150000}","{'units': 0, 'nano': 65500000}",9620,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 65600000}","{'units': 0, 'nano': 66500000}","{'units': 0, 'nano': 65050000}","{'units': 0, 'nano': 65450000}",8670,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 65450000}","{'units': 0, 'nano': 66250000}","{'units': 0, 'nano': 64400000}","{'units': 0, 'nano': 64750000}",7865,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 64900000}","{'units': 0, 'nano': 66150000}","{'units': 0, 'nano': 64400000}","{'units': 0, 'nano': 65250000}",10331,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 65900000}","{'units': 0, 'nano': 67450000}","{'units': 0, 'nano': 64450000}","{'units': 0, 'nano': 65500000}",14398,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 65800000}","{'units': 0, 'nano': 66150000}","{'units': 0, 'nano': 65300000}","{'units': 0, 'nano': 65750000}",8431,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 69000000}","{'units': 0, 'nano': 69500000}","{'units': 0, 'nano': 65400000}","{'units': 0, 'nano': 67400000}",32390,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 67300000}","{'units': 0, 'nano': 68450000}","{'units': 0, 'nano': 64550000}","{'units': 0, 'nano': 67000000}",35546,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 67150000}","{'units': 0, 'nano': 70250000}","{'units': 0, 'nano': 67150000}","{'units': 0, 'nano': 69500000}",41039,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 69850000}","{'units': 0, 'nano': 69850000}","{'units': 0, 'nano': 66400000}","{'units': 0, 'nano': 67500000}",28238,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 67600000}","{'units': 0, 'nano': 71850000}","{'units': 0, 'nano': 67500000}","{'units': 0, 'nano': 69150000}",54337,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 70450000}","{'units': 0, 'nano': 71450000}","{'units': 0, 'nano': 68700000}","{'units': 0, 'nano': 70100000}",51204,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 70500000}","{'units': 0, 'nano': 71800000}","{'units': 0, 'nano': 69050000}","{'units': 0, 'nano': 70650000}",30533,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 73500000}","{'units': 0, 'nano': 80500000}","{'units': 0, 'nano': 71050000}","{'units': 0, 'nano': 75350000}",221541,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 77950000}","{'units': 0, 'nano': 79200000}","{'units': 0, 'nano': 75000000}","{'units': 0, 'nano': 76400000}",38263,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 74350000}","{'units': 0, 'nano': 75950000}","{'units': 0, 'nano': 71900000}","{'units': 0, 'nano': 75250000}",37750,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 74050000}","{'units': 0, 'nano': 75600000}","{'units': 0, 'nano': 73350000}","{'units': 0, 'nano': 73900000}",14816,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 73400000}","{'units': 0, 'nano': 74100000}","{'units': 0, 'nano': 70150000}","{'units': 0, 'nano': 71200000}",20318,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 70900000}","{'units': 0, 'nano': 72500000}","{'units': 0, 'nano': 69650000}","{'units': 0, 'nano': 72000000}",12472,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 71500000}","{'units': 0, 'nano': 75800000}","{'units': 0, 'nano': 71300000}","{'units': 0, 'nano': 74100000}",37611,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 74950000}","{'units': 0, 'nano': 75350000}","{'units': 0, 'nano': 73100000}","{'units': 0, 'nano': 73900000}",15587,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 73900000}","{'units': 0, 'nano': 73950000}","{'units': 0, 'nano': 72000000}","{'units': 0, 'nano': 72200000}",10582,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 72250000}","{'units': 0, 'nano': 73150000}","{'units': 0, 'nano': 70800000}","{'units': 0, 'nano': 70950000}",6160,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 72300000}","{'units': 0, 'nano': 73400000}","{'units': 0, 'nano': 71400000}","{'units': 0, 'nano': 72300000}",17340,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 71450000}","{'units': 0, 'nano': 73950000}","{'units': 0, 'nano': 71150000}","{'units': 0, 'nano': 71800000}",12781,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 71200000}","{'units': 0, 'nano': 73150000}","{'units': 0, 'nano': 71100000}","{'units': 0, 'nano': 71300000}",5330,True,1
2025-03-13 00:00:00+00:00,"{'units': 0, 'nano': 71050000}","{'units': 0, 'nano': 71050000}","{'units': 0, 'nano': 68550000}","{'units': 0, 'nano': 68800000}",15060,True,1
2025-03-14 00:00:00+00:00,"{'units': 0, 'nano': 70100000}","{'units': 0, 'nano': 71100000}","{'units': 0, 'nano': 67150000}","{'units': 0, 'nano': 69600000}",21489,True,1
2025-03-17 00:00:00+00:00,"{'units': 0, 'nano': 71500000}","{'units': 0, 'nano': 72500000}","{'units': 0, 'nano': 71300000}","{'units': 0, 'nano': 71600000}",9838,True,1
2025-03-18 00:00:00+00:00,"{'units': 0, 'nano': 71950000}","{'units': 0, 'nano': 75450000}","{'units': 0, 'nano': 71700000}","{'units': 0, 'nano': 72550000}",59207,True,1
2025-03-19 00:00:00+00:00,"{'units': 0, 'nano': 73500000}","{'units': 0, 'nano': 78200000}","{'units': 0, 'nano': 72200000}","{'units': 0, 'nano': 74000000}",72474,True,1
2025-03-20 00:00:00+00:00,"{'units': 0, 'nano': 74900000}","{'units': 0, 'nano': 74900000}","{'units': 0, 'nano': 72200000}","{'units': 0, 'nano': 73000000}",12980,True,1
2025-03-21 00:00:00+00:00,"{'units': 0, 'nano': 72800000}","{'units': 0, 'nano': 73800000}","{'units': 0, 'nano': 71600000}","{'units': 0, 'nano': 72250000}",8335,True,1
2025-03-24 00:00:00+00:00,"{'units': 0, 'nano': 72300000}","{'units': 0, 'nano': 73600000}","{'units': 0, 'nano': 71650000}","{'units': 0, 'nano': 71800000}",6685,True,1
2025-03-25 00:00:00+00:00,"{'units': 0, 'nano': 72300000}","{'units': 0, 'nano': 72450000}","{'units': 0, 'nano': 70500000}","{'units': 0, 'nano': 71050000}",7228,True,1
2025-03-26 00:00:00+00:00,"{'units': 0, 'nano': 71100000}","{'units': 0, 'nano': 73000000}","{'units': 0, 'nano': 70550000}","{'units': 0, 'nano': 70600000}",8878,True,1
2025-03-27 00:00:00+00:00,"{'units': 0, 'nano': 70400000}","{'units': 0, 'nano': 70400000}","{'units': 0, 'nano': 66100000}","{'units': 0, 'nano': 67850000}",18643,True,1
2025-03-28 00:00:00+00:00,"{'units': 0, 'nano': 67850000}","{'units': 0, 'nano': 68200000}","{'units': 0, 'nano': 65300000}","{'units': 0, 'nano': 65950000}",9480,True,1
2025-03-31 00:00:00+00:00,"{'units': 0, 'nano': 65300000}","{'units': 0, 'nano': 66800000}","{'units': 0, 'nano': 62150000}","{'units': 0, 'nano': 64150000}",21635,True,1
2025-04-01 00:00:00+00:00,"{'units': 0, 'nano': 64450000}","{'units': 0, 'nano': 65450000}","{'units': 0, 'nano': 61550000}","{'units': 0, 'nano': 63600000}",19517,True,1
2025-04-02 00:00:00+00:00,"{'units': 0, 'nano': 62300000}","{'units': 0, 'nano': 63250000}","{'units': 0, 'nano': 62250000}","{'units': 0, 'nano': 62650000}",2531,True,1
2025-04-03 00:00:00+00:00,"{'units': 0, 'nano': 63200000}","{'units': 0, 'nano': 64800000}","{'units': 0, 'nano': 61100000}","{'units': 0, 'nano': 61400000}",14830,True,1
2025-04-04 00:00:00+00:00,"{'units': 0, 'nano': 61500000}","{'units': 0, 'nano': 62900000}","{'units': 0, 'nano': 58150000}","{'units': 0, 'nano': 58200000}",16533,True,1
2025-04-07 00:00:00+00:00,"{'units': 0, 'nano': 56650000}","{'units': 0, 'nano': 58450000}","{'units': 0, 'nano': 54050000}","{'units': 0, 'nano': 57550000}",15815,True,1
2025-04-08 00:00:00+00:00,"{'units': 0, 'nano': 60000000}","{'units': 0, 'nano': 61950000}","{'units': 0, 'nano': 58600000}","{'units': 0, 'nano': 60000000}",9374,True,1
2025-04-09 00:00:00+00:00,"{'units': 0, 'nano': 58650000}","{'units': 0, 'nano': 60150000}","{'units': 0, 'nano': 56650000}","{'units': 0, 'nano': 57950000}",11846,True,1
2025-04-10 00:00:00+00:00,"{'units': 0, 'nano': 59950000}","{'units': 0, 'nano': 61450000}","{'units': 0, 'nano': 59650000}","{'units': 0, 'nano': 60100000}",4842,True,1
2025-04-11 00:00:00+00:00,"{'units': 0, 'nano': 60100000}","{'units': 0, 'nano': 62500000}","{'units': 0, 'nano': 60100000}","{'units': 0, 'nano': 61450000}",5758,True,1
2025-04-14 00:00:00+00:00,"{'units': 0, 'nano': 61900000}","{'units': 0, 'nano': 62450000}","{'units': 0, 'nano': 60800000}","{'units': 0, 'nano': 61350000}",3660,True,1
2025-04-15 00:00:00+00:00,"{'units': 0, 'nano': 61150000}","{'units': 0, 'nano': 61950000}","{'units': 0, 'nano': 60300000}","{'units': 0, 'nano': 60750000}",2843,True,1
2025-04-16 00:00:00+00:00,"{'units': 0, 'nano': 61500000}","{'units': 0, 'nano': 61500000}","{'units': 0, 'nano': 60500000}","{'units': 0, 'nano': 61050000}",1652,True,1
2025-04-17 00:00:00+00:00,"{'units': 0, 'nano': 61100000}","{'units': 0, 'nano': 61400000}","{'units': 0, 'nano': 60500000}","{'units': 0, 'nano': 60550000}",4926,True,1
2025-04-18 00:00:00+00:00,"{'units': 0, 'nano': 61300000}","{'units': 0, 'nano': 64150000}","{'units': 0, 'nano': 61000000}","{'units': 0, 'nano': 62150000}",19325,True,1
2025-04-21 00:00:00+00:00,"{'units': 0, 'nano': 62700000}","{'units': 0, 'nano': 63500000}","{'units': 0, 'nano': 61850000}","{'units': 0, 'nano': 62950000}",4952,True,1
2025-04-22 00:00:00+00:00,"{'units': 0, 'nano': 63050000}","{'units': 0, 'nano': 64450000}","{'units': 0, 'nano': 61800000}","{'units': 0, 'nano': 61800000}",16484,True,1
2025-04-23 00:00:00+00:00,"{'units': 0, 'nano': 61800000}","{'units': 0, 'nano': 63150000}","{'units': 0, 'nano': 60000000}","{'units': 0, 'nano': 62500000}",11158,True,1
2025-04-24 00:00:00+00:00,"{'units': 0, 'nano': 62700000}","{'units': 0, 'nano': 63950000}","{'units': 0, 'nano': 62050000}","{'units': 0, 'nano': 62050000}",3709,True,1
2025-04-25 00:00:00+00:00,"{'units': 0, 'nano': 62400000}","{'units': 0, 'nano': 63550000}","{'units': 0, 'nano': 62300000}","{'units': 0, 'nano': 62350000}",8304,True,1
2025-04-28 00:00:00+00:00,"{'units': 0, 'nano': 62850000}","{'units': 0, 'nano': 63750000}","{'units': 0, 'nano': 62100000}","{'units': 0, 'nano': 63050000}",6546,True,1
2025-04-29 00:00:00+00:00,"{'units': 0, 'nano': 63000000}","{'units': 0, 'nano': 63000000}","{'units': 0, 'nano': 60000000}","{'units': 0, 'nano': 61000000}",11198,True,1
2025-04-30 00:00:00+00:00,"{'units': 0, 'nano': 59750000}","{'units': 0, 'nano': 62400000}","{'units': 0, 'nano': 58500000}","{'units': 0, 'nano': 61000000}",13658,True,1
2025-05-02 00:00:00+00:00,"{'units': 0, 'nano': 61000000}","{'units': 0, 'nano': 61450000}","{'units': 0, 'nano': 60150000}","{'units': 0, 'nano': 60150000}",2373,True,1
2025-05-05 00:00:00+00:00,"{'units': 0, 'nano': 62800000}","{'units': 0, 'nano': 67900000}","{'units': 0, 'nano': 61000000}","{'units': 0, 'nano': 61200000}",58262,True,1
2025-05-06 00:00:00+00:00,"{'units': 0, 'nano': 62400000}","{'units': 0, 'nano': 66700000}","{'units': 0, 'nano': 62150000}","{'units': 0, 'nano': 65800000}",50961,True,1
2025-05-07 00:00:00+00:00,"{'units': 0, 'nano': 65750000}","{'units': 0, 'nano': 65750000}","{'units': 0, 'nano': 64300000}","{'units': 0, 'nano': 64950000}",9067,True,1
2025-05-08 00:00:00+00:00,"{'units': 0, 'nano': 65200000}","{'units': 0, 'nano': 65500000}","{'units': 0, 'nano': 64000000}","{'units': 0, 'nano': 64850000}",6771,True,1
2025-05-12 00:00:00+00:00,"{'units': 0, 'nano': 65400000}","{'units': 0, 'nano': 66600000}","{'units': 0, 'nano': 65100000}","{'units': 0, 'nano': 66450000}",13509,True,1
2025-05-13 00:00:00+00:00,"{'units': 0, 'nano': 66700000}","{'units': 0, 'nano': 76900000}","{'units': 0, 'nano': 66700000}","{'units': 0, 'nano': 75650000}",120025,True,1
2025-05-14 00:00:00+00:00,"{'units': 0, 'nano': 76100000}","{'units': 0, 'nano': 77750000}","{'units': 0, 'nano': 72050000}","{'units': 0, 'nano': 75750000}",58597,True,1
2025-05-15 00:00:00+00:00,"{'units': 0, 'nano': 74650000}","{'units': 0, 'nano': 79000000}","{'units': 0, 'nano': 72600000}","{'units': 0, 'nano': 76150000}",29655,True,1
2025-05-16 00:00:00+00:00,"{'units': 0, 'nano': 77200000}","{'units': 0, 'nano': 77500000}","{'units': 0, 'nano': 66900000}","{'units': 0, 'nano': 68850000}",155242,True,1
2025-05-17 00:00:00+00:00,"{'units': 0, 'nano': 68550000}","{'units': 0, 'nano': 69200000}","{'units': 0, 'nano': 67600000}","{'units': 0, 'nano': 68150000}",8046,True,1
2025-05-18 00:00:00+00:00,"{'units': 0, 'nano': 68250000}","{'units': 0, 'nano': 69050000}","{'units': 0, 'nano': 68100000}","{'units': 0, 'nano': 68100000}",5138,True,1
2025-05-19 00:00:00+00:00,"{'units': 0, 'nano': 68850000}","{'units': 0, 'nano': 68850000}","{'units': 0, 'nano': 66250000}","{'units': 0, 'nano': 66700000}",31075,True,1
2025-05-20 00:00:00+00:00,"{'units': 0, 'nano': 67100000}","{'units': 0, 'nano': 67100000}","{'units': 0, 'nano': 65550000}","{'units': 0, 'nano': 65800000}",12780,True,1
2025-05-21 00:00:00+00:00,"{'units': 0, 'nano': 66050000}","{'units': 0, 'nano': 66700000}","{'units': 0, 'nano': 65500000}","{'units': 0, 'nano': 65850000}",11094,True,1
