time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 510, 'nano': 0}","{'units': 514, 'nano': 600000000}","{'units': 509, 'nano': 0}","{'units': 509, 'nano': 600000000}",142047,True,1
2025-02-05 00:00:00+00:00,"{'units': 509, 'nano': 600000000}","{'units': 517, 'nano': 0}","{'units': 498, 'nano': 0}","{'units': 511, 'nano': 600000000}",471668,True,1
2025-02-06 00:00:00+00:00,"{'units': 512, 'nano': 600000000}","{'units': 515, 'nano': 600000000}","{'units': 508, 'nano': 0}","{'units': 511, 'nano': 0}",217358,True,1
2025-02-07 00:00:00+00:00,"{'units': 511, 'nano': 0}","{'units': 515, 'nano': 0}","{'units': 509, 'nano': 0}","{'units': 513, 'nano': 0}",233457,True,1
2025-02-10 00:00:00+00:00,"{'units': 517, 'nano': 0}","{'units': 522, 'nano': 600000000}","{'units': 503, 'nano': 0}","{'units': 505, 'nano': 600000000}",548875,True,1
2025-02-11 00:00:00+00:00,"{'units': 506, 'nano': 0}","{'units': 516, 'nano': 600000000}","{'units': 506, 'nano': 0}","{'units': 512, 'nano': 0}",431416,True,1
2025-02-12 00:00:00+00:00,"{'units': 514, 'nano': 600000000}","{'units': 537, 'nano': 0}","{'units': 508, 'nano': 0}","{'units': 531, 'nano': 600000000}",992677,True,1
2025-02-13 00:00:00+00:00,"{'units': 532, 'nano': 0}","{'units': 535, 'nano': 0}","{'units': 512, 'nano': 0}","{'units': 516, 'nano': 0}",474832,True,1
2025-02-14 00:00:00+00:00,"{'units': 524, 'nano': 0}","{'units': 528, 'nano': 600000000}","{'units': 515, 'nano': 600000000}","{'units': 522, 'nano': 0}",654004,True,1
2025-02-17 00:00:00+00:00,"{'units': 527, 'nano': 0}","{'units': 549, 'nano': 0}","{'units': 524, 'nano': 600000000}","{'units': 547, 'nano': 0}",1107709,True,1
2025-02-18 00:00:00+00:00,"{'units': 542, 'nano': 600000000}","{'units': 542, 'nano': 600000000}","{'units': 527, 'nano': 0}","{'units': 533, 'nano': 600000000}",876497,True,1
2025-02-19 00:00:00+00:00,"{'units': 535, 'nano': 600000000}","{'units': 537, 'nano': 600000000}","{'units': 530, 'nano': 0}","{'units': 535, 'nano': 0}",282817,True,1
2025-02-20 00:00:00+00:00,"{'units': 535, 'nano': 0}","{'units': 543, 'nano': 0}","{'units': 534, 'nano': 600000000}","{'units': 536, 'nano': 600000000}",395658,True,1
2025-02-21 00:00:00+00:00,"{'units': 538, 'nano': 0}","{'units': 557, 'nano': 600000000}","{'units': 538, 'nano': 0}","{'units': 546, 'nano': 0}",877255,True,1
2025-02-24 00:00:00+00:00,"{'units': 550, 'nano': 0}","{'units': 555, 'nano': 0}","{'units': 544, 'nano': 0}","{'units': 550, 'nano': 0}",505091,True,1
2025-02-25 00:00:00+00:00,"{'units': 553, 'nano': 600000000}","{'units': 566, 'nano': 600000000}","{'units': 545, 'nano': 600000000}","{'units': 562, 'nano': 600000000}",677014,True,1
2025-02-26 00:00:00+00:00,"{'units': 564, 'nano': 0}","{'units': 579, 'nano': 0}","{'units': 540, 'nano': 0}","{'units': 543, 'nano': 600000000}",1225586,True,1
2025-02-27 00:00:00+00:00,"{'units': 540, 'nano': 0}","{'units': 545, 'nano': 0}","{'units': 530, 'nano': 600000000}","{'units': 534, 'nano': 0}",489569,True,1
2025-02-28 00:00:00+00:00,"{'units': 536, 'nano': 0}","{'units': 545, 'nano': 0}","{'units': 525, 'nano': 600000000}","{'units': 538, 'nano': 0}",468378,True,1
2025-03-03 00:00:00+00:00,"{'units': 538, 'nano': 0}","{'units': 538, 'nano': 0}","{'units': 519, 'nano': 0}","{'units': 527, 'nano': 600000000}",490050,True,1
2025-03-04 00:00:00+00:00,"{'units': 531, 'nano': 0}","{'units': 538, 'nano': 0}","{'units': 526, 'nano': 0}","{'units': 531, 'nano': 600000000}",349605,True,1
2025-03-05 00:00:00+00:00,"{'units': 529, 'nano': 600000000}","{'units': 537, 'nano': 600000000}","{'units': 527, 'nano': 600000000}","{'units': 530, 'nano': 0}",219079,True,1
2025-03-06 00:00:00+00:00,"{'units': 531, 'nano': 0}","{'units': 533, 'nano': 600000000}","{'units': 510, 'nano': 0}","{'units': 514, 'nano': 600000000}",775319,True,1
2025-03-07 00:00:00+00:00,"{'units': 516, 'nano': 600000000}","{'units': 545, 'nano': 600000000}","{'units': 514, 'nano': 600000000}","{'units': 535, 'nano': 0}",2075691,True,1
