time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 2, 'nano': 370000000}","{'units': 2, 'nano': 438000000}","{'units': 2, 'nano': 370000000}","{'units': 2, 'nano': 390000000}",3492,True,1
2025-02-05 00:00:00+00:00,"{'units': 2, 'nano': 390000000}","{'units': 2, 'nano': 402000000}","{'units': 2, 'nano': 332000000}","{'units': 2, 'nano': 364000000}",1471,True,1
2025-02-06 00:00:00+00:00,"{'units': 2, 'nano': 372000000}","{'units': 2, 'nano': 404000000}","{'units': 2, 'nano': 369000000}","{'units': 2, 'nano': 393000000}",519,True,1
2025-02-07 00:00:00+00:00,"{'units': 2, 'nano': 390000000}","{'units': 2, 'nano': 400000000}","{'units': 2, 'nano': 350000000}","{'units': 2, 'nano': 370000000}",824,True,1
2025-02-10 00:00:00+00:00,"{'units': 2, 'nano': 384000000}","{'units': 2, 'nano': 420000000}","{'units': 2, 'nano': 376000000}","{'units': 2, 'nano': 387000000}",907,True,1
2025-02-11 00:00:00+00:00,"{'units': 2, 'nano': 381000000}","{'units': 2, 'nano': 410000000}","{'units': 2, 'nano': 361000000}","{'units': 2, 'nano': 365000000}",1552,True,1
2025-02-12 00:00:00+00:00,"{'units': 2, 'nano': 399000000}","{'units': 2, 'nano': 410000000}","{'units': 2, 'nano': 350000000}","{'units': 2, 'nano': 350000000}",2480,True,1
2025-02-13 00:00:00+00:00,"{'units': 2, 'nano': 451000000}","{'units': 2, 'nano': 451000000}","{'units': 2, 'nano': 380000000}","{'units': 2, 'nano': 380000000}",1938,True,1
2025-02-14 00:00:00+00:00,"{'units': 2, 'nano': 425000000}","{'units': 2, 'nano': 469000000}","{'units': 2, 'nano': 380000000}","{'units': 2, 'nano': 410000000}",5802,True,1
2025-02-17 00:00:00+00:00,"{'units': 2, 'nano': 421000000}","{'units': 2, 'nano': 494000000}","{'units': 2, 'nano': 404000000}","{'units': 2, 'nano': 450000000}",4379,True,1
2025-02-18 00:00:00+00:00,"{'units': 2, 'nano': 450000000}","{'units': 2, 'nano': 490000000}","{'units': 2, 'nano': 400000000}","{'units': 2, 'nano': 409000000}",2416,True,1
2025-02-19 00:00:00+00:00,"{'units': 2, 'nano': 420000000}","{'units': 2, 'nano': 424000000}","{'units': 2, 'nano': 401000000}","{'units': 2, 'nano': 416000000}",387,True,1
2025-02-20 00:00:00+00:00,"{'units': 2, 'nano': 444000000}","{'units': 2, 'nano': 510000000}","{'units': 2, 'nano': 410000000}","{'units': 2, 'nano': 441000000}",10624,True,1
