time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 370600000}","{'units': 0, 'nano': 374300000}","{'units': 0, 'nano': 367400000}","{'units': 0, 'nano': 367700000}",2378,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 367100000}","{'units': 0, 'nano': 370000000}","{'units': 0, 'nano': 362300000}","{'units': 0, 'nano': 370000000}",3141,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 370000000}","{'units': 0, 'nano': 375000000}","{'units': 0, 'nano': 369200000}","{'units': 0, 'nano': 373000000}",5699,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 373400000}","{'units': 0, 'nano': 380000000}","{'units': 0, 'nano': 370500000}","{'units': 0, 'nano': 378300000}",6967,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 380000000}","{'units': 0, 'nano': 382500000}","{'units': 0, 'nano': 377900000}","{'units': 0, 'nano': 380400000}",4937,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 380800000}","{'units': 0, 'nano': 381700000}","{'units': 0, 'nano': 374300000}","{'units': 0, 'nano': 379700000}",4187,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 379700000}","{'units': 0, 'nano': 387000000}","{'units': 0, 'nano': 378400000}","{'units': 0, 'nano': 379000000}",6209,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 390000000}","{'units': 0, 'nano': 398900000}","{'units': 0, 'nano': 379000000}","{'units': 0, 'nano': 385000000}",12758,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 386000000}","{'units': 0, 'nano': 390900000}","{'units': 0, 'nano': 355100000}","{'units': 0, 'nano': 358000000}",47655,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 365900000}","{'units': 0, 'nano': 370600000}","{'units': 0, 'nano': 359000000}","{'units': 0, 'nano': 365400000}",50934,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 369000000}","{'units': 0, 'nano': 369000000}","{'units': 0, 'nano': 360100000}","{'units': 0, 'nano': 363000000}",14311,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 366000000}","{'units': 0, 'nano': 366600000}","{'units': 0, 'nano': 360500000}","{'units': 0, 'nano': 365300000}",5729,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 365400000}","{'units': 0, 'nano': 375900000}","{'units': 0, 'nano': 365400000}","{'units': 0, 'nano': 370000000}",17252,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 370700000}","{'units': 0, 'nano': 380500000}","{'units': 0, 'nano': 367500000}","{'units': 0, 'nano': 373700000}",26372,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 378000000}","{'units': 0, 'nano': 389300000}","{'units': 0, 'nano': 377100000}","{'units': 0, 'nano': 383000000}",40218,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 383300000}","{'units': 0, 'nano': 389000000}","{'units': 0, 'nano': 375100000}","{'units': 0, 'nano': 377100000}",38669,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 382000000}","{'units': 0, 'nano': 382800000}","{'units': 0, 'nano': 361800000}","{'units': 0, 'nano': 369600000}",19801,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 369500000}","{'units': 0, 'nano': 369900000}","{'units': 0, 'nano': 360600000}","{'units': 0, 'nano': 365600000}",13139,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 363800000}","{'units': 0, 'nano': 366500000}","{'units': 0, 'nano': 357400000}","{'units': 0, 'nano': 363100000}",18161,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 363000000}","{'units': 0, 'nano': 363000000}","{'units': 0, 'nano': 351900000}","{'units': 0, 'nano': 353400000}",10057,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 358800000}","{'units': 0, 'nano': 374900000}","{'units': 0, 'nano': 357500000}","{'units': 0, 'nano': 363200000}",21089,True,1
