time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 515200000}","{'units': 0, 'nano': 534600000}","{'units': 0, 'nano': 515200000}","{'units': 0, 'nano': 531400000}",79568,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 531800000}","{'units': 0, 'nano': 532200000}","{'units': 0, 'nano': 520200000}","{'units': 0, 'nano': 526000000}",31152,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 532200000}","{'units': 0, 'nano': 534800000}","{'units': 0, 'nano': 516800000}","{'units': 0, 'nano': 527800000}",34745,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 528000000}","{'units': 0, 'nano': 530600000}","{'units': 0, 'nano': 524400000}","{'units': 0, 'nano': 525800000}",13573,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 525800000}","{'units': 0, 'nano': 533800000}","{'units': 0, 'nano': 525000000}","{'units': 0, 'nano': 530400000}",21157,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 533600000}","{'units': 0, 'nano': 533600000}","{'units': 0, 'nano': 523400000}","{'units': 0, 'nano': 530400000}",20988,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 532600000}","{'units': 0, 'nano': 537800000}","{'units': 0, 'nano': 529800000}","{'units': 0, 'nano': 530000000}",30304,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 540800000}","{'units': 0, 'nano': 552200000}","{'units': 0, 'nano': 538600000}","{'units': 0, 'nano': 548200000}",74360,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 545200000}","{'units': 0, 'nano': 557400000}","{'units': 0, 'nano': 530800000}","{'units': 0, 'nano': 545000000}",93750,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 548200000}","{'units': 0, 'nano': 568000000}","{'units': 0, 'nano': 548200000}","{'units': 0, 'nano': 562800000}",64262,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 562600000}","{'units': 0, 'nano': 563800000}","{'units': 0, 'nano': 554400000}","{'units': 0, 'nano': 555200000}",41267,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 555200000}","{'units': 0, 'nano': 560600000}","{'units': 0, 'nano': 550800000}","{'units': 0, 'nano': 559800000}",33866,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 560200000}","{'units': 0, 'nano': 591000000}","{'units': 0, 'nano': 558600000}","{'units': 0, 'nano': 590000000}",149416,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 590000000}","{'units': 0, 'nano': 632800000}","{'units': 0, 'nano': 590000000}","{'units': 0, 'nano': 616800000}",368065,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 620000000}","{'units': 0, 'nano': 630000000}","{'units': 0, 'nano': 610000000}","{'units': 0, 'nano': 622000000}",109855,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 621000000}","{'units': 0, 'nano': 673200000}","{'units': 0, 'nano': 621000000}","{'units': 0, 'nano': 669800000}",503685,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 669800000}","{'units': 0, 'nano': 679400000}","{'units': 0, 'nano': 649200000}","{'units': 0, 'nano': 663000000}",258928,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 661000000}","{'units': 0, 'nano': 662000000}","{'units': 0, 'nano': 624600000}","{'units': 0, 'nano': 627200000}",263719,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 621800000}","{'units': 0, 'nano': 624000000}","{'units': 0, 'nano': 604800000}","{'units': 0, 'nano': 616200000}",78377,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 617200000}","{'units': 0, 'nano': 622800000}","{'units': 0, 'nano': 602000000}","{'units': 0, 'nano': 604400000}",58453,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 612000000}","{'units': 0, 'nano': 650000000}","{'units': 0, 'nano': 606400000}","{'units': 0, 'nano': 650000000}",102333,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 639200000}","{'units': 0, 'nano': 670000000}","{'units': 0, 'nano': 637200000}","{'units': 0, 'nano': 656200000}",115553,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 656400000}","{'units': 0, 'nano': 657200000}","{'units': 0, 'nano': 637200000}","{'units': 0, 'nano': 641600000}",43042,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 642600000}","{'units': 0, 'nano': 655600000}","{'units': 0, 'nano': 633200000}","{'units': 0, 'nano': 636600000}",61159,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 642400000}","{'units': 0, 'nano': 645000000}","{'units': 0, 'nano': 633600000}","{'units': 0, 'nano': 633600000}",45373,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 630000000}","{'units': 0, 'nano': 661600000}","{'units': 0, 'nano': 626000000}","{'units': 0, 'nano': 656600000}",63276,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 651000000}","{'units': 0, 'nano': 654000000}","{'units': 0, 'nano': 643000000}","{'units': 0, 'nano': 645200000}",44366,True,1
2025-03-13 00:00:00+00:00,"{'units': 0, 'nano': 637000000}","{'units': 0, 'nano': 643800000}","{'units': 0, 'nano': 627200000}","{'units': 0, 'nano': 631400000}",36351,True,1
