time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 596500000}","{'units': 0, 'nano': 619500000}","{'units': 0, 'nano': 576500000}","{'units': 0, 'nano': 586500000}",50847,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 583000000}","{'units': 0, 'nano': 583500000}","{'units': 0, 'nano': 573500000}","{'units': 0, 'nano': 579000000}",9538,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 582500000}","{'units': 0, 'nano': 588000000}","{'units': 0, 'nano': 575500000}","{'units': 0, 'nano': 580000000}",8493,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 576000000}","{'units': 0, 'nano': 580000000}","{'units': 0, 'nano': 571000000}","{'units': 0, 'nano': 571500000}",5588,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 579500000}","{'units': 0, 'nano': 579500000}","{'units': 0, 'nano': 565000000}","{'units': 0, 'nano': 574000000}",7296,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 574500000}","{'units': 0, 'nano': 597000000}","{'units': 0, 'nano': 570000000}","{'units': 0, 'nano': 577500000}",21823,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 580000000}","{'units': 0, 'nano': 585500000}","{'units': 0, 'nano': 574000000}","{'units': 0, 'nano': 577500000}",13027,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 591000000}","{'units': 0, 'nano': 606000000}","{'units': 0, 'nano': 582000000}","{'units': 0, 'nano': 590000000}",10348,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 594500000}","{'units': 0, 'nano': 598000000}","{'units': 0, 'nano': 576000000}","{'units': 0, 'nano': 580500000}",15186,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 580500000}","{'units': 0, 'nano': 603000000}","{'units': 0, 'nano': 580500000}","{'units': 0, 'nano': 600000000}",20794,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 597500000}","{'units': 0, 'nano': 610000000}","{'units': 0, 'nano': 587500000}","{'units': 0, 'nano': 591000000}",10751,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 593000000}","{'units': 0, 'nano': 598500000}","{'units': 0, 'nano': 590000000}","{'units': 0, 'nano': 595000000}",6421,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 597500000}","{'units': 0, 'nano': 615000000}","{'units': 0, 'nano': 597500000}","{'units': 0, 'nano': 610000000}",13759,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 619000000}","{'units': 0, 'nano': 622500000}","{'units': 0, 'nano': 590000000}","{'units': 0, 'nano': 597500000}",28548,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 618000000}","{'units': 0, 'nano': 695000000}","{'units': 0, 'nano': 605000000}","{'units': 0, 'nano': 650500000}",221638,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 660000000}","{'units': 0, 'nano': 674500000}","{'units': 0, 'nano': 629500000}","{'units': 0, 'nano': 653000000}",53970,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 650500000}","{'units': 0, 'nano': 656500000}","{'units': 0, 'nano': 624000000}","{'units': 0, 'nano': 634000000}",33120,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 629000000}","{'units': 0, 'nano': 634000000}","{'units': 0, 'nano': 619000000}","{'units': 0, 'nano': 622000000}",8340,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 615000000}","{'units': 0, 'nano': 640500000}","{'units': 0, 'nano': 615000000}","{'units': 0, 'nano': 626000000}",13707,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 626000000}","{'units': 0, 'nano': 632000000}","{'units': 0, 'nano': 599000000}","{'units': 0, 'nano': 603500000}",12621,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 613000000}","{'units': 0, 'nano': 653500000}","{'units': 0, 'nano': 607000000}","{'units': 0, 'nano': 616500000}",38133,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 628500000}","{'units': 0, 'nano': 648500000}","{'units': 0, 'nano': 612500000}","{'units': 0, 'nano': 623500000}",19346,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 626000000}","{'units': 0, 'nano': 638500000}","{'units': 0, 'nano': 605500000}","{'units': 0, 'nano': 612500000}",9082,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 615000000}","{'units': 0, 'nano': 638500000}","{'units': 0, 'nano': 600000000}","{'units': 0, 'nano': 606000000}",15276,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 610000000}","{'units': 0, 'nano': 625500000}","{'units': 0, 'nano': 610000000}","{'units': 0, 'nano': 619500000}",7102,True,1
2025-03-11 00:00:00+00:00,"{'units': 0, 'nano': 613500000}","{'units': 0, 'nano': 631500000}","{'units': 0, 'nano': 612500000}","{'units': 0, 'nano': 622000000}",8910,True,1
2025-03-12 00:00:00+00:00,"{'units': 0, 'nano': 617500000}","{'units': 0, 'nano': 624000000}","{'units': 0, 'nano': 614500000}","{'units': 0, 'nano': 614500000}",5071,True,1
2025-03-13 00:00:00+00:00,"{'units': 0, 'nano': 616000000}","{'units': 0, 'nano': 617000000}","{'units': 0, 'nano': 586000000}","{'units': 0, 'nano': 592000000}",13666,True,1
2025-03-14 00:00:00+00:00,"{'units': 0, 'nano': 601000000}","{'units': 0, 'nano': 637000000}","{'units': 0, 'nano': 600000000}","{'units': 0, 'nano': 605500000}",18143,True,1
2025-03-17 00:00:00+00:00,"{'units': 0, 'nano': 613000000}","{'units': 0, 'nano': 625500000}","{'units': 0, 'nano': 609000000}","{'units': 0, 'nano': 612500000}",11675,True,1
2025-03-18 00:00:00+00:00,"{'units': 0, 'nano': 619000000}","{'units': 0, 'nano': 623500000}","{'units': 0, 'nano': 601000000}","{'units': 0, 'nano': 607500000}",10612,True,1
2025-03-19 00:00:00+00:00,"{'units': 0, 'nano': 620000000}","{'units': 0, 'nano': 660000000}","{'units': 0, 'nano': 607000000}","{'units': 0, 'nano': 621000000}",41582,True,1
2025-03-20 00:00:00+00:00,"{'units': 0, 'nano': 629500000}","{'units': 0, 'nano': 630000000}","{'units': 0, 'nano': 613500000}","{'units': 0, 'nano': 615000000}",7435,True,1
2025-03-21 00:00:00+00:00,"{'units': 0, 'nano': 616000000}","{'units': 0, 'nano': 618000000}","{'units': 0, 'nano': 600000000}","{'units': 0, 'nano': 602000000}",6438,True,1
2025-03-24 00:00:00+00:00,"{'units': 0, 'nano': 612500000}","{'units': 0, 'nano': 623500000}","{'units': 0, 'nano': 608000000}","{'units': 0, 'nano': 608000000}",6151,True,1
