time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 407000000}","{'units': 0, 'nano': 417800000}","{'units': 0, 'nano': 403000000}","{'units': 0, 'nano': 404200000}",3866,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 404200000}","{'units': 0, 'nano': 405400000}","{'units': 0, 'nano': 392400000}","{'units': 0, 'nano': 400400000}",2417,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 403000000}","{'units': 0, 'nano': 411000000}","{'units': 0, 'nano': 402400000}","{'units': 0, 'nano': 406800000}",3029,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 406800000}","{'units': 0, 'nano': 417000000}","{'units': 0, 'nano': 405000000}","{'units': 0, 'nano': 412800000}",4093,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 418000000}","{'units': 0, 'nano': 419800000}","{'units': 0, 'nano': 412000000}","{'units': 0, 'nano': 419400000}",4330,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 419400000}","{'units': 0, 'nano': 425200000}","{'units': 0, 'nano': 415200000}","{'units': 0, 'nano': 417000000}",5736,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 425000000}","{'units': 0, 'nano': 426200000}","{'units': 0, 'nano': 417200000}","{'units': 0, 'nano': 420200000}",4650,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 430000000}","{'units': 0, 'nano': 439000000}","{'units': 0, 'nano': 421800000}","{'units': 0, 'nano': 428000000}",4804,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 430000000}","{'units': 0, 'nano': 437000000}","{'units': 0, 'nano': 412000000}","{'units': 0, 'nano': 414200000}",8823,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 429400000}","{'units': 0, 'nano': 429400000}","{'units': 0, 'nano': 413000000}","{'units': 0, 'nano': 426200000}",5598,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 426200000}","{'units': 0, 'nano': 427800000}","{'units': 0, 'nano': 413000000}","{'units': 0, 'nano': 417000000}",6975,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 419400000}","{'units': 0, 'nano': 419800000}","{'units': 0, 'nano': 415000000}","{'units': 0, 'nano': 419200000}",1852,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 419200000}","{'units': 0, 'nano': 426600000}","{'units': 0, 'nano': 419200000}","{'units': 0, 'nano': 419400000}",3560,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 419400000}","{'units': 0, 'nano': 426000000}","{'units': 0, 'nano': 417200000}","{'units': 0, 'nano': 423400000}",4389,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 423400000}","{'units': 0, 'nano': 459800000}","{'units': 0, 'nano': 422000000}","{'units': 0, 'nano': 441000000}",29293,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 446400000}","{'units': 0, 'nano': 462000000}","{'units': 0, 'nano': 446400000}","{'units': 0, 'nano': 454200000}",15719,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 454400000}","{'units': 0, 'nano': 455800000}","{'units': 0, 'nano': 421800000}","{'units': 0, 'nano': 443600000}",11454,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 437000000}","{'units': 0, 'nano': 441000000}","{'units': 0, 'nano': 430600000}","{'units': 0, 'nano': 433800000}",5418,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 434000000}","{'units': 0, 'nano': 437400000}","{'units': 0, 'nano': 426200000}","{'units': 0, 'nano': 432000000}",3990,True,1
2025-03-03 00:00:00+00:00,"{'units': 0, 'nano': 428000000}","{'units': 0, 'nano': 446000000}","{'units': 0, 'nano': 427000000}","{'units': 0, 'nano': 437200000}",4643,True,1
2025-03-04 00:00:00+00:00,"{'units': 0, 'nano': 438600000}","{'units': 0, 'nano': 459000000}","{'units': 0, 'nano': 438200000}","{'units': 0, 'nano': 455800000}",8907,True,1
2025-03-05 00:00:00+00:00,"{'units': 0, 'nano': 452600000}","{'units': 0, 'nano': 459200000}","{'units': 0, 'nano': 447200000}","{'units': 0, 'nano': 451200000}",3979,True,1
2025-03-06 00:00:00+00:00,"{'units': 0, 'nano': 452600000}","{'units': 0, 'nano': 452600000}","{'units': 0, 'nano': 437600000}","{'units': 0, 'nano': 441600000}",3063,True,1
2025-03-07 00:00:00+00:00,"{'units': 0, 'nano': 441600000}","{'units': 0, 'nano': 457800000}","{'units': 0, 'nano': 422000000}","{'units': 0, 'nano': 428000000}",6486,True,1
2025-03-10 00:00:00+00:00,"{'units': 0, 'nano': 458000000}","{'units': 0, 'nano': 458000000}","{'units': 0, 'nano': 438000000}","{'units': 0, 'nano': 445800000}",8085,True,1
