time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 677, 'nano': 500000000}","{'units': 683, 'nano': 0}","{'units': 670, 'nano': 500000000}","{'units': 672, 'nano': 500000000}",74984,True,1
2025-02-05 00:00:00+00:00,"{'units': 673, 'nano': 500000000}","{'units': 684, 'nano': 0}","{'units': 661, 'nano': 500000000}","{'units': 678, 'nano': 500000000}",97343,True,1
2025-02-06 00:00:00+00:00,"{'units': 680, 'nano': 500000000}","{'units': 686, 'nano': 0}","{'units': 677, 'nano': 500000000}","{'units': 678, 'nano': 0}",46852,True,1
2025-02-07 00:00:00+00:00,"{'units': 679, 'nano': 500000000}","{'units': 687, 'nano': 500000000}","{'units': 679, 'nano': 0}","{'units': 683, 'nano': 0}",62052,True,1
2025-02-10 00:00:00+00:00,"{'units': 684, 'nano': 500000000}","{'units': 751, 'nano': 500000000}","{'units': 684, 'nano': 500000000}","{'units': 713, 'nano': 0}",1310190,True,1
2025-02-11 00:00:00+00:00,"{'units': 720, 'nano': 0}","{'units': 730, 'nano': 500000000}","{'units': 699, 'nano': 500000000}","{'units': 708, 'nano': 500000000}",319390,True,1
2025-02-12 00:00:00+00:00,"{'units': 714, 'nano': 0}","{'units': 728, 'nano': 0}","{'units': 696, 'nano': 500000000}","{'units': 727, 'nano': 500000000}",968049,True,1
2025-02-13 00:00:00+00:00,"{'units': 730, 'nano': 0}","{'units': 738, 'nano': 0}","{'units': 713, 'nano': 0}","{'units': 719, 'nano': 0}",190167,True,1
2025-02-14 00:00:00+00:00,"{'units': 723, 'nano': 0}","{'units': 727, 'nano': 500000000}","{'units': 700, 'nano': 0}","{'units': 707, 'nano': 500000000}",245773,True,1
2025-02-17 00:00:00+00:00,"{'units': 717, 'nano': 0}","{'units': 726, 'nano': 0}","{'units': 712, 'nano': 500000000}","{'units': 724, 'nano': 0}",163054,True,1
2025-02-18 00:00:00+00:00,"{'units': 721, 'nano': 500000000}","{'units': 723, 'nano': 0}","{'units': 702, 'nano': 500000000}","{'units': 708, 'nano': 0}",194703,True,1
2025-02-19 00:00:00+00:00,"{'units': 711, 'nano': 0}","{'units': 719, 'nano': 500000000}","{'units': 701, 'nano': 500000000}","{'units': 719, 'nano': 500000000}",81234,True,1
2025-02-20 00:00:00+00:00,"{'units': 722, 'nano': 0}","{'units': 737, 'nano': 0}","{'units': 720, 'nano': 0}","{'units': 731, 'nano': 500000000}",317417,True,1
2025-02-21 00:00:00+00:00,"{'units': 734, 'nano': 500000000}","{'units': 759, 'nano': 500000000}","{'units': 723, 'nano': 500000000}","{'units': 737, 'nano': 500000000}",532383,True,1
2025-02-24 00:00:00+00:00,"{'units': 741, 'nano': 500000000}","{'units': 749, 'nano': 0}","{'units': 733, 'nano': 500000000}","{'units': 742, 'nano': 500000000}",171276,True,1
2025-02-25 00:00:00+00:00,"{'units': 748, 'nano': 0}","{'units': 750, 'nano': 500000000}","{'units': 740, 'nano': 0}","{'units': 746, 'nano': 500000000}",157059,True,1
2025-02-26 00:00:00+00:00,"{'units': 750, 'nano': 0}","{'units': 751, 'nano': 0}","{'units': 706, 'nano': 0}","{'units': 722, 'nano': 500000000}",435644,True,1
2025-02-27 00:00:00+00:00,"{'units': 721, 'nano': 500000000}","{'units': 735, 'nano': 500000000}","{'units': 705, 'nano': 500000000}","{'units': 710, 'nano': 0}",203627,True,1
2025-02-28 00:00:00+00:00,"{'units': 712, 'nano': 0}","{'units': 727, 'nano': 0}","{'units': 692, 'nano': 0}","{'units': 717, 'nano': 0}",251413,True,1
2025-03-03 00:00:00+00:00,"{'units': 701, 'nano': 0}","{'units': 729, 'nano': 0}","{'units': 700, 'nano': 500000000}","{'units': 721, 'nano': 500000000}",156220,True,1
2025-03-04 00:00:00+00:00,"{'units': 729, 'nano': 0}","{'units': 735, 'nano': 500000000}","{'units': 725, 'nano': 500000000}","{'units': 732, 'nano': 500000000}",98966,True,1
2025-03-05 00:00:00+00:00,"{'units': 731, 'nano': 0}","{'units': 733, 'nano': 500000000}","{'units': 715, 'nano': 0}","{'units': 718, 'nano': 0}",114149,True,1
2025-03-06 00:00:00+00:00,"{'units': 719, 'nano': 0}","{'units': 725, 'nano': 500000000}","{'units': 712, 'nano': 500000000}","{'units': 716, 'nano': 0}",67704,True,1
2025-03-07 00:00:00+00:00,"{'units': 716, 'nano': 500000000}","{'units': 725, 'nano': 0}","{'units': 687, 'nano': 0}","{'units': 719, 'nano': 500000000}",151865,True,1
2025-03-10 00:00:00+00:00,"{'units': 719, 'nano': 500000000}","{'units': 726, 'nano': 0}","{'units': 709, 'nano': 500000000}","{'units': 720, 'nano': 0}",80570,True,1
2025-03-11 00:00:00+00:00,"{'units': 716, 'nano': 500000000}","{'units': 719, 'nano': 0}","{'units': 707, 'nano': 500000000}","{'units': 716, 'nano': 0}",81256,True,1
2025-03-12 00:00:00+00:00,"{'units': 713, 'nano': 0}","{'units': 714, 'nano': 500000000}","{'units': 700, 'nano': 0}","{'units': 702, 'nano': 500000000}",85856,True,1
2025-03-13 00:00:00+00:00,"{'units': 700, 'nano': 0}","{'units': 711, 'nano': 0}","{'units': 675, 'nano': 500000000}","{'units': 700, 'nano': 500000000}",180737,True,1
2025-03-14 00:00:00+00:00,"{'units': 700, 'nano': 0}","{'units': 728, 'nano': 500000000}","{'units': 700, 'nano': 0}","{'units': 717, 'nano': 0}",116057,True,1
2025-03-17 00:00:00+00:00,"{'units': 724, 'nano': 500000000}","{'units': 776, 'nano': 0}","{'units': 720, 'nano': 500000000}","{'units': 768, 'nano': 500000000}",758465,True,1
2025-03-18 00:00:00+00:00,"{'units': 763, 'nano': 0}","{'units': 764, 'nano': 500000000}","{'units': 727, 'nano': 0}","{'units': 731, 'nano': 500000000}",1410127,True,1
2025-03-19 00:00:00+00:00,"{'units': 735, 'nano': 0}","{'units': 747, 'nano': 0}","{'units': 713, 'nano': 0}","{'units': 718, 'nano': 500000000}",334109,True,1
2025-03-20 00:00:00+00:00,"{'units': 721, 'nano': 500000000}","{'units': 726, 'nano': 0}","{'units': 710, 'nano': 0}","{'units': 715, 'nano': 500000000}",179698,True,1
2025-03-21 00:00:00+00:00,"{'units': 718, 'nano': 0}","{'units': 722, 'nano': 500000000}","{'units': 707, 'nano': 0}","{'units': 709, 'nano': 0}",111573,True,1
2025-03-24 00:00:00+00:00,"{'units': 710, 'nano': 0}","{'units': 712, 'nano': 0}","{'units': 693, 'nano': 500000000}","{'units': 694, 'nano': 0}",103507,True,1
2025-03-25 00:00:00+00:00,"{'units': 694, 'nano': 0}","{'units': 716, 'nano': 0}","{'units': 691, 'nano': 0}","{'units': 705, 'nano': 0}",205576,True,1
2025-03-26 00:00:00+00:00,"{'units': 711, 'nano': 0}","{'units': 716, 'nano': 0}","{'units': 695, 'nano': 0}","{'units': 699, 'nano': 0}",123746,True,1
2025-03-27 00:00:00+00:00,"{'units': 699, 'nano': 0}","{'units': 699, 'nano': 0}","{'units': 683, 'nano': 500000000}","{'units': 687, 'nano': 0}",113792,True,1
2025-03-28 00:00:00+00:00,"{'units': 687, 'nano': 0}","{'units': 688, 'nano': 500000000}","{'units': 653, 'nano': 0}","{'units': 665, 'nano': 0}",169776,True,1
2025-03-31 00:00:00+00:00,"{'units': 650, 'nano': 0}","{'units': 698, 'nano': 500000000}","{'units': 641, 'nano': 0}","{'units': 688, 'nano': 0}",228934,True,1
2025-04-01 00:00:00+00:00,"{'units': 688, 'nano': 0}","{'units': 714, 'nano': 500000000}","{'units': 681, 'nano': 0}","{'units': 682, 'nano': 500000000}",274984,True,1
2025-04-02 00:00:00+00:00,"{'units': 689, 'nano': 500000000}","{'units': 693, 'nano': 0}","{'units': 668, 'nano': 0}","{'units': 681, 'nano': 500000000}",126839,True,1
2025-04-03 00:00:00+00:00,"{'units': 684, 'nano': 500000000}","{'units': 694, 'nano': 0}","{'units': 646, 'nano': 500000000}","{'units': 671, 'nano': 500000000}",125671,True,1
2025-04-04 00:00:00+00:00,"{'units': 671, 'nano': 500000000}","{'units': 692, 'nano': 0}","{'units': 634, 'nano': 500000000}","{'units': 672, 'nano': 500000000}",393500,True,1
2025-04-07 00:00:00+00:00,"{'units': 672, 'nano': 0}","{'units': 675, 'nano': 0}","{'units': 606, 'nano': 0}","{'units': 651, 'nano': 500000000}",311656,True,1
2025-04-08 00:00:00+00:00,"{'units': 653, 'nano': 0}","{'units': 674, 'nano': 0}","{'units': 653, 'nano': 0}","{'units': 656, 'nano': 500000000}",93759,True,1
2025-04-09 00:00:00+00:00,"{'units': 657, 'nano': 0}","{'units': 671, 'nano': 0}","{'units': 620, 'nano': 0}","{'units': 667, 'nano': 500000000}",231042,True,1
