time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 27, 'nano': 110000000}","{'units': 27, 'nano': 960000000}","{'units': 26, 'nano': 920000000}","{'units': 27, 'nano': 630000000}",9320,True,1
2025-02-05 00:00:00+00:00,"{'units': 28, 'nano': 0}","{'units': 28, 'nano': 360000000}","{'units': 27, 'nano': 70000000}","{'units': 27, 'nano': 700000000}",11485,True,1
2025-02-06 00:00:00+00:00,"{'units': 28, 'nano': 20000000}","{'units': 28, 'nano': 430000000}","{'units': 27, 'nano': 630000000}","{'units': 28, 'nano': 270000000}",8636,True,1
2025-02-07 00:00:00+00:00,"{'units': 28, 'nano': 270000000}","{'units': 28, 'nano': 880000000}","{'units': 28, 'nano': 20000000}","{'units': 28, 'nano': 330000000}",13696,True,1
2025-02-10 00:00:00+00:00,"{'units': 28, 'nano': 270000000}","{'units': 28, 'nano': 570000000}","{'units': 27, 'nano': 690000000}","{'units': 28, 'nano': 150000000}",8584,True,1
2025-02-11 00:00:00+00:00,"{'units': 27, 'nano': 880000000}","{'units': 28, 'nano': 130000000}","{'units': 27, 'nano': 600000000}","{'units': 27, 'nano': 980000000}",4902,True,1
2025-02-12 00:00:00+00:00,"{'units': 28, 'nano': 120000000}","{'units': 28, 'nano': 440000000}","{'units': 28, 'nano': 10000000}","{'units': 28, 'nano': 20000000}",4958,True,1
2025-02-13 00:00:00+00:00,"{'units': 28, 'nano': 570000000}","{'units': 29, 'nano': 640000000}","{'units': 28, 'nano': 300000000}","{'units': 29, 'nano': 80000000}",20332,True,1
2025-02-14 00:00:00+00:00,"{'units': 29, 'nano': 310000000}","{'units': 29, 'nano': 760000000}","{'units': 28, 'nano': 10000000}","{'units': 28, 'nano': 640000000}",35197,True,1
2025-02-17 00:00:00+00:00,"{'units': 29, 'nano': 380000000}","{'units': 31, 'nano': 0}","{'units': 29, 'nano': 130000000}","{'units': 30, 'nano': 200000000}",37033,True,1
2025-02-18 00:00:00+00:00,"{'units': 31, 'nano': 290000000}","{'units': 31, 'nano': 290000000}","{'units': 29, 'nano': 650000000}","{'units': 29, 'nano': 750000000}",13130,True,1
2025-02-19 00:00:00+00:00,"{'units': 29, 'nano': 490000000}","{'units': 30, 'nano': 200000000}","{'units': 29, 'nano': 220000000}","{'units': 29, 'nano': 980000000}",4871,True,1
2025-02-20 00:00:00+00:00,"{'units': 30, 'nano': 270000000}","{'units': 30, 'nano': 860000000}","{'units': 29, 'nano': 350000000}","{'units': 30, 'nano': 60000000}",8967,True,1
2025-02-21 00:00:00+00:00,"{'units': 29, 'nano': 940000000}","{'units': 30, 'nano': 900000000}","{'units': 29, 'nano': 830000000}","{'units': 29, 'nano': 920000000}",10197,True,1
2025-02-24 00:00:00+00:00,"{'units': 30, 'nano': 220000000}","{'units': 30, 'nano': 620000000}","{'units': 30, 'nano': 110000000}","{'units': 30, 'nano': 190000000}",8905,True,1
2025-02-25 00:00:00+00:00,"{'units': 30, 'nano': 700000000}","{'units': 31, 'nano': 260000000}","{'units': 30, 'nano': 240000000}","{'units': 30, 'nano': 480000000}",10924,True,1
2025-02-26 00:00:00+00:00,"{'units': 30, 'nano': 600000000}","{'units': 31, 'nano': 270000000}","{'units': 28, 'nano': 640000000}","{'units': 29, 'nano': 0}",24479,True,1
2025-02-27 00:00:00+00:00,"{'units': 29, 'nano': 80000000}","{'units': 29, 'nano': 820000000}","{'units': 27, 'nano': 890000000}","{'units': 28, 'nano': 820000000}",13741,True,1
2025-02-28 00:00:00+00:00,"{'units': 28, 'nano': 500000000}","{'units': 29, 'nano': 690000000}","{'units': 28, 'nano': 80000000}","{'units': 28, 'nano': 750000000}",13228,True,1
2025-03-03 00:00:00+00:00,"{'units': 28, 'nano': 820000000}","{'units': 29, 'nano': 80000000}","{'units': 28, 'nano': 420000000}","{'units': 28, 'nano': 720000000}",4813,True,1
2025-03-04 00:00:00+00:00,"{'units': 28, 'nano': 770000000}","{'units': 34, 'nano': 900000000}","{'units': 28, 'nano': 770000000}","{'units': 32, 'nano': 820000000}",308010,True,1
2025-03-05 00:00:00+00:00,"{'units': 33, 'nano': 500000000}","{'units': 35, 'nano': 800000000}","{'units': 33, 'nano': 500000000}","{'units': 34, 'nano': 220000000}",236107,True,1
2025-03-06 00:00:00+00:00,"{'units': 34, 'nano': 500000000}","{'units': 34, 'nano': 590000000}","{'units': 32, 'nano': 340000000}","{'units': 33, 'nano': 670000000}",36832,True,1
2025-03-07 00:00:00+00:00,"{'units': 33, 'nano': 350000000}","{'units': 34, 'nano': 340000000}","{'units': 32, 'nano': 730000000}","{'units': 32, 'nano': 910000000}",26307,True,1
2025-03-10 00:00:00+00:00,"{'units': 33, 'nano': 970000000}","{'units': 35, 'nano': 0}","{'units': 33, 'nano': 810000000}","{'units': 34, 'nano': 50000000}",32905,True,1
2025-03-11 00:00:00+00:00,"{'units': 34, 'nano': 50000000}","{'units': 35, 'nano': 0}","{'units': 33, 'nano': 800000000}","{'units': 34, 'nano': 210000000}",12108,True,1
2025-03-12 00:00:00+00:00,"{'units': 34, 'nano': 0}","{'units': 34, 'nano': 170000000}","{'units': 33, 'nano': 150000000}","{'units': 33, 'nano': 800000000}",9551,True,1
2025-03-13 00:00:00+00:00,"{'units': 33, 'nano': 360000000}","{'units': 33, 'nano': 630000000}","{'units': 32, 'nano': 490000000}","{'units': 33, 'nano': 100000000}",9671,True,1
2025-03-14 00:00:00+00:00,"{'units': 33, 'nano': 610000000}","{'units': 33, 'nano': 980000000}","{'units': 32, 'nano': 690000000}","{'units': 33, 'nano': 810000000}",6442,True,1
2025-03-17 00:00:00+00:00,"{'units': 33, 'nano': 830000000}","{'units': 34, 'nano': 890000000}","{'units': 32, 'nano': 940000000}","{'units': 33, 'nano': 550000000}",13193,True,1
2025-03-18 00:00:00+00:00,"{'units': 33, 'nano': 330000000}","{'units': 34, 'nano': 590000000}","{'units': 33, 'nano': 20000000}","{'units': 33, 'nano': 170000000}",9705,True,1
2025-03-19 00:00:00+00:00,"{'units': 33, 'nano': 250000000}","{'units': 33, 'nano': 680000000}","{'units': 32, 'nano': 970000000}","{'units': 33, 'nano': 420000000}",5791,True,1
2025-03-20 00:00:00+00:00,"{'units': 33, 'nano': 700000000}","{'units': 33, 'nano': 780000000}","{'units': 33, 'nano': 480000000}","{'units': 33, 'nano': 510000000}",7636,True,1
2025-03-21 00:00:00+00:00,"{'units': 33, 'nano': 560000000}","{'units': 33, 'nano': 950000000}","{'units': 33, 'nano': 130000000}","{'units': 33, 'nano': 210000000}",6853,True,1
2025-03-24 00:00:00+00:00,"{'units': 34, 'nano': 0}","{'units': 34, 'nano': 0}","{'units': 32, 'nano': 320000000}","{'units': 32, 'nano': 650000000}",15182,True,1
2025-03-25 00:00:00+00:00,"{'units': 34, 'nano': 870000000}","{'units': 36, 'nano': 970000000}","{'units': 32, 'nano': 510000000}","{'units': 32, 'nano': 700000000}",212973,True,1
2025-03-26 00:00:00+00:00,"{'units': 33, 'nano': 500000000}","{'units': 33, 'nano': 500000000}","{'units': 31, 'nano': 240000000}","{'units': 32, 'nano': 90000000}",19454,True,1
2025-03-27 00:00:00+00:00,"{'units': 31, 'nano': 300000000}","{'units': 33, 'nano': 120000000}","{'units': 30, 'nano': 180000000}","{'units': 31, 'nano': 630000000}",40281,True,1
2025-03-28 00:00:00+00:00,"{'units': 31, 'nano': 100000000}","{'units': 32, 'nano': 190000000}","{'units': 29, 'nano': 100000000}","{'units': 29, 'nano': 850000000}",33917,True,1
2025-03-31 00:00:00+00:00,"{'units': 30, 'nano': 560000000}","{'units': 31, 'nano': 150000000}","{'units': 29, 'nano': 350000000}","{'units': 29, 'nano': 610000000}",13565,True,1
2025-04-01 00:00:00+00:00,"{'units': 34, 'nano': 800000000}","{'units': 35, 'nano': 160000000}","{'units': 31, 'nano': 260000000}","{'units': 32, 'nano': 70000000}",102477,True,1
2025-04-02 00:00:00+00:00,"{'units': 32, 'nano': 80000000}","{'units': 32, 'nano': 520000000}","{'units': 31, 'nano': 430000000}","{'units': 32, 'nano': 200000000}",6606,True,1
2025-04-03 00:00:00+00:00,"{'units': 32, 'nano': 200000000}","{'units': 33, 'nano': 640000000}","{'units': 31, 'nano': 670000000}","{'units': 31, 'nano': 670000000}",23370,True,1
2025-04-04 00:00:00+00:00,"{'units': 32, 'nano': 500000000}","{'units': 32, 'nano': 620000000}","{'units': 29, 'nano': 990000000}","{'units': 30, 'nano': 390000000}",16023,True,1
2025-04-07 00:00:00+00:00,"{'units': 30, 'nano': 350000000}","{'units': 30, 'nano': 840000000}","{'units': 29, 'nano': 30000000}","{'units': 30, 'nano': 10000000}",8014,True,1
2025-04-08 00:00:00+00:00,"{'units': 30, 'nano': 60000000}","{'units': 30, 'nano': 930000000}","{'units': 30, 'nano': 60000000}","{'units': 30, 'nano': 480000000}",3773,True,1
2025-04-09 00:00:00+00:00,"{'units': 30, 'nano': 400000000}","{'units': 30, 'nano': 700000000}","{'units': 28, 'nano': 530000000}","{'units': 29, 'nano': 360000000}",8596,True,1
2025-04-10 00:00:00+00:00,"{'units': 30, 'nano': 560000000}","{'units': 31, 'nano': 450000000}","{'units': 30, 'nano': 190000000}","{'units': 30, 'nano': 420000000}",6446,True,1
2025-04-11 00:00:00+00:00,"{'units': 31, 'nano': 350000000}","{'units': 31, 'nano': 350000000}","{'units': 30, 'nano': 460000000}","{'units': 30, 'nano': 500000000}",7956,True,1
2025-04-14 00:00:00+00:00,"{'units': 30, 'nano': 500000000}","{'units': 32, 'nano': 600000000}","{'units': 30, 'nano': 0}","{'units': 30, 'nano': 500000000}",30147,True,1
2025-04-15 00:00:00+00:00,"{'units': 30, 'nano': 700000000}","{'units': 31, 'nano': 80000000}","{'units': 30, 'nano': 390000000}","{'units': 30, 'nano': 530000000}",1143,True,1
2025-04-16 00:00:00+00:00,"{'units': 30, 'nano': 540000000}","{'units': 32, 'nano': 0}","{'units': 30, 'nano': 510000000}","{'units': 30, 'nano': 930000000}",13263,True,1
2025-04-17 00:00:00+00:00,"{'units': 30, 'nano': 630000000}","{'units': 31, 'nano': 300000000}","{'units': 30, 'nano': 630000000}","{'units': 30, 'nano': 670000000}",7388,True,1
2025-04-18 00:00:00+00:00,"{'units': 31, 'nano': 130000000}","{'units': 31, 'nano': 200000000}","{'units': 30, 'nano': 110000000}","{'units': 30, 'nano': 380000000}",4302,True,1
2025-04-21 00:00:00+00:00,"{'units': 31, 'nano': 180000000}","{'units': 31, 'nano': 180000000}","{'units': 30, 'nano': 420000000}","{'units': 30, 'nano': 760000000}",5910,True,1
2025-04-22 00:00:00+00:00,"{'units': 30, 'nano': 840000000}","{'units': 31, 'nano': 170000000}","{'units': 30, 'nano': 630000000}","{'units': 30, 'nano': 890000000}",4479,True,1
2025-04-23 00:00:00+00:00,"{'units': 30, 'nano': 640000000}","{'units': 31, 'nano': 130000000}","{'units': 30, 'nano': 450000000}","{'units': 30, 'nano': 630000000}",2286,True,1
2025-04-24 00:00:00+00:00,"{'units': 30, 'nano': 640000000}","{'units': 30, 'nano': 880000000}","{'units': 30, 'nano': 630000000}","{'units': 30, 'nano': 630000000}",3643,True,1
2025-04-25 00:00:00+00:00,"{'units': 30, 'nano': 710000000}","{'units': 30, 'nano': 860000000}","{'units': 30, 'nano': 370000000}","{'units': 30, 'nano': 390000000}",9050,True,1
2025-04-28 00:00:00+00:00,"{'units': 30, 'nano': 570000000}","{'units': 31, 'nano': 100000000}","{'units': 30, 'nano': 410000000}","{'units': 30, 'nano': 410000000}",6320,True,1
2025-04-29 00:00:00+00:00,"{'units': 30, 'nano': 560000000}","{'units': 30, 'nano': 700000000}","{'units': 30, 'nano': 400000000}","{'units': 30, 'nano': 410000000}",7365,True,1
2025-04-30 00:00:00+00:00,"{'units': 30, 'nano': 400000000}","{'units': 30, 'nano': 440000000}","{'units': 29, 'nano': 440000000}","{'units': 29, 'nano': 630000000}",9968,True,1
2025-05-02 00:00:00+00:00,"{'units': 30, 'nano': 120000000}","{'units': 30, 'nano': 120000000}","{'units': 29, 'nano': 0}","{'units': 29, 'nano': 20000000}",7481,True,1
2025-05-05 00:00:00+00:00,"{'units': 29, 'nano': 750000000}","{'units': 29, 'nano': 750000000}","{'units': 28, 'nano': 190000000}","{'units': 28, 'nano': 460000000}",9049,True,1
2025-05-06 00:00:00+00:00,"{'units': 28, 'nano': 930000000}","{'units': 29, 'nano': 150000000}","{'units': 28, 'nano': 460000000}","{'units': 28, 'nano': 890000000}",4019,True,1
2025-05-07 00:00:00+00:00,"{'units': 28, 'nano': 800000000}","{'units': 29, 'nano': 140000000}","{'units': 28, 'nano': 670000000}","{'units': 28, 'nano': 950000000}",1642,True,1
2025-05-08 00:00:00+00:00,"{'units': 31, 'nano': 250000000}","{'units': 31, 'nano': 250000000}","{'units': 29, 'nano': 50000000}","{'units': 29, 'nano': 240000000}",5959,True,1
2025-05-12 00:00:00+00:00,"{'units': 29, 'nano': 890000000}","{'units': 29, 'nano': 890000000}","{'units': 29, 'nano': 510000000}","{'units': 29, 'nano': 530000000}",6463,True,1
