time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 42, 'nano': 50000000}","{'units': 45, 'nano': 250000000}","{'units': 41, 'nano': 800000000}","{'units': 45, 'nano': 190000000}",3039224,True,1
2025-02-05 00:00:00+00:00,"{'units': 45, 'nano': 210000000}","{'units': 52, 'nano': 50000000}","{'units': 45, 'nano': 210000000}","{'units': 51, 'nano': 940000000}",22056036,True,1
2025-02-06 00:00:00+00:00,"{'units': 52, 'nano': 200000000}","{'units': 56, 'nano': 300000000}","{'units': 48, 'nano': 200000000}","{'units': 50, 'nano': 140000000}",53309172,True,1
2025-02-07 00:00:00+00:00,"{'units': 50, 'nano': 580000000}","{'units': 52, 'nano': 980000000}","{'units': 49, 'nano': 960000000}","{'units': 51, 'nano': 880000000}",18577394,True,1
2025-02-10 00:00:00+00:00,"{'units': 52, 'nano': 300000000}","{'units': 53, 'nano': 260000000}","{'units': 50, 'nano': 920000000}","{'units': 52, 'nano': 0}",8525388,True,1
2025-02-11 00:00:00+00:00,"{'units': 52, 'nano': 430000000}","{'units': 52, 'nano': 850000000}","{'units': 51, 'nano': 590000000}","{'units': 52, 'nano': 120000000}",2343835,True,1
2025-02-12 00:00:00+00:00,"{'units': 52, 'nano': 120000000}","{'units': 54, 'nano': 500000000}","{'units': 50, 'nano': 770000000}","{'units': 53, 'nano': 10000000}",4158330,True,1
2025-02-13 00:00:00+00:00,"{'units': 53, 'nano': 80000000}","{'units': 56, 'nano': 440000000}","{'units': 53, 'nano': 10000000}","{'units': 53, 'nano': 640000000}",2668154,True,1
2025-02-14 00:00:00+00:00,"{'units': 53, 'nano': 640000000}","{'units': 54, 'nano': 290000000}","{'units': 52, 'nano': 50000000}","{'units': 53, 'nano': 260000000}",928443,True,1
2025-02-17 00:00:00+00:00,"{'units': 53, 'nano': 540000000}","{'units': 55, 'nano': 370000000}","{'units': 53, 'nano': 280000000}","{'units': 54, 'nano': 100000000}",1509118,True,1
2025-02-18 00:00:00+00:00,"{'units': 54, 'nano': 130000000}","{'units': 54, 'nano': 690000000}","{'units': 53, 'nano': 350000000}","{'units': 54, 'nano': 380000000}",842130,True,1
2025-02-19 00:00:00+00:00,"{'units': 54, 'nano': 360000000}","{'units': 57, 'nano': 170000000}","{'units': 53, 'nano': 990000000}","{'units': 56, 'nano': 440000000}",4385413,True,1
2025-02-20 00:00:00+00:00,"{'units': 56, 'nano': 600000000}","{'units': 58, 'nano': 200000000}","{'units': 55, 'nano': 400000000}","{'units': 55, 'nano': 980000000}",2528552,True,1
2025-02-21 00:00:00+00:00,"{'units': 56, 'nano': 330000000}","{'units': 56, 'nano': 400000000}","{'units': 54, 'nano': 620000000}","{'units': 55, 'nano': 600000000}",857353,True,1
2025-02-24 00:00:00+00:00,"{'units': 55, 'nano': 550000000}","{'units': 56, 'nano': 580000000}","{'units': 54, 'nano': 660000000}","{'units': 55, 'nano': 850000000}",913078,True,1
2025-02-25 00:00:00+00:00,"{'units': 56, 'nano': 0}","{'units': 56, 'nano': 360000000}","{'units': 54, 'nano': 420000000}","{'units': 54, 'nano': 820000000}",836006,True,1
2025-02-26 00:00:00+00:00,"{'units': 54, 'nano': 880000000}","{'units': 55, 'nano': 250000000}","{'units': 51, 'nano': 520000000}","{'units': 52, 'nano': 60000000}",1307667,True,1
2025-02-27 00:00:00+00:00,"{'units': 52, 'nano': 510000000}","{'units': 52, 'nano': 590000000}","{'units': 50, 'nano': 400000000}","{'units': 50, 'nano': 740000000}",572394,True,1
2025-02-28 00:00:00+00:00,"{'units': 50, 'nano': 350000000}","{'units': 51, 'nano': 280000000}","{'units': 49, 'nano': 120000000}","{'units': 50, 'nano': 400000000}",988128,True,1
2025-03-01 00:00:00+00:00,"{'units': 50, 'nano': 400000000}","{'units': 50, 'nano': 760000000}","{'units': 50, 'nano': 160000000}","{'units': 50, 'nano': 580000000}",29815,True,1
2025-03-02 00:00:00+00:00,"{'units': 50, 'nano': 500000000}","{'units': 51, 'nano': 230000000}","{'units': 50, 'nano': 500000000}","{'units': 51, 'nano': 120000000}",69243,True,1
2025-03-03 00:00:00+00:00,"{'units': 51, 'nano': 0}","{'units': 51, 'nano': 460000000}","{'units': 49, 'nano': 500000000}","{'units': 50, 'nano': 740000000}",605200,True,1
