time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 87, 'nano': 100000000}","{'units': 87, 'nano': 600000000}","{'units': 83, 'nano': 700000000}","{'units': 84, 'nano': 600000000}",8354,True,1
2025-02-05 00:00:00+00:00,"{'units': 84, 'nano': 600000000}","{'units': 84, 'nano': 800000000}","{'units': 83, 'nano': 0}","{'units': 83, 'nano': 700000000}",3891,True,1
2025-02-06 00:00:00+00:00,"{'units': 84, 'nano': 600000000}","{'units': 86, 'nano': 200000000}","{'units': 84, 'nano': 300000000}","{'units': 85, 'nano': 500000000}",3743,True,1
2025-02-07 00:00:00+00:00,"{'units': 85, 'nano': 500000000}","{'units': 86, 'nano': 500000000}","{'units': 84, 'nano': 100000000}","{'units': 85, 'nano': 100000000}",3382,True,1
2025-02-10 00:00:00+00:00,"{'units': 85, 'nano': 300000000}","{'units': 86, 'nano': 400000000}","{'units': 85, 'nano': 0}","{'units': 86, 'nano': 100000000}",4189,True,1
2025-02-11 00:00:00+00:00,"{'units': 86, 'nano': 0}","{'units': 86, 'nano': 500000000}","{'units': 85, 'nano': 200000000}","{'units': 85, 'nano': 900000000}",4341,True,1
2025-02-12 00:00:00+00:00,"{'units': 86, 'nano': 700000000}","{'units': 87, 'nano': 800000000}","{'units': 85, 'nano': 700000000}","{'units': 86, 'nano': 400000000}",6434,True,1
2025-02-13 00:00:00+00:00,"{'units': 88, 'nano': 300000000}","{'units': 89, 'nano': 600000000}","{'units': 87, 'nano': 0}","{'units': 87, 'nano': 700000000}",7194,True,1
2025-02-14 00:00:00+00:00,"{'units': 88, 'nano': 800000000}","{'units': 89, 'nano': 800000000}","{'units': 87, 'nano': 0}","{'units': 87, 'nano': 500000000}",8401,True,1
2025-02-17 00:00:00+00:00,"{'units': 88, 'nano': 600000000}","{'units': 89, 'nano': 700000000}","{'units': 88, 'nano': 200000000}","{'units': 89, 'nano': 600000000}",5999,True,1
2025-02-18 00:00:00+00:00,"{'units': 89, 'nano': 600000000}","{'units': 89, 'nano': 600000000}","{'units': 87, 'nano': 700000000}","{'units': 88, 'nano': 500000000}",5749,True,1
2025-02-19 00:00:00+00:00,"{'units': 88, 'nano': 900000000}","{'units': 89, 'nano': 100000000}","{'units': 88, 'nano': 200000000}","{'units': 89, 'nano': 100000000}",3267,True,1
2025-02-20 00:00:00+00:00,"{'units': 89, 'nano': 0}","{'units': 90, 'nano': 0}","{'units': 88, 'nano': 900000000}","{'units': 89, 'nano': 400000000}",7378,True,1
2025-02-21 00:00:00+00:00,"{'units': 90, 'nano': 0}","{'units': 90, 'nano': 800000000}","{'units': 89, 'nano': 0}","{'units': 90, 'nano': 300000000}",9151,True,1
2025-02-24 00:00:00+00:00,"{'units': 90, 'nano': 300000000}","{'units': 91, 'nano': 900000000}","{'units': 90, 'nano': 300000000}","{'units': 91, 'nano': 100000000}",14016,True,1
2025-02-25 00:00:00+00:00,"{'units': 91, 'nano': 300000000}","{'units': 97, 'nano': 900000000}","{'units': 91, 'nano': 200000000}","{'units': 93, 'nano': 300000000}",42139,True,1
2025-02-26 00:00:00+00:00,"{'units': 94, 'nano': 400000000}","{'units': 98, 'nano': 900000000}","{'units': 91, 'nano': 0}","{'units': 91, 'nano': 300000000}",50988,True,1
2025-02-27 00:00:00+00:00,"{'units': 91, 'nano': 0}","{'units': 91, 'nano': 200000000}","{'units': 87, 'nano': 100000000}","{'units': 88, 'nano': 800000000}",17404,True,1
2025-02-28 00:00:00+00:00,"{'units': 88, 'nano': 300000000}","{'units': 89, 'nano': 0}","{'units': 84, 'nano': 400000000}","{'units': 88, 'nano': 400000000}",12260,True,1
2025-03-03 00:00:00+00:00,"{'units': 88, 'nano': 400000000}","{'units': 88, 'nano': 900000000}","{'units': 86, 'nano': 500000000}","{'units': 88, 'nano': 100000000}",4609,True,1
2025-03-04 00:00:00+00:00,"{'units': 88, 'nano': 500000000}","{'units': 90, 'nano': 500000000}","{'units': 88, 'nano': 500000000}","{'units': 90, 'nano': 300000000}",5207,True,1
2025-03-05 00:00:00+00:00,"{'units': 90, 'nano': 600000000}","{'units': 92, 'nano': 500000000}","{'units': 89, 'nano': 700000000}","{'units': 90, 'nano': 200000000}",8543,True,1
2025-03-06 00:00:00+00:00,"{'units': 89, 'nano': 900000000}","{'units': 92, 'nano': 100000000}","{'units': 89, 'nano': 0}","{'units': 89, 'nano': 800000000}",10240,True,1
2025-03-07 00:00:00+00:00,"{'units': 91, 'nano': 400000000}","{'units': 92, 'nano': 0}","{'units': 90, 'nano': 0}","{'units': 90, 'nano': 500000000}",8862,True,1
2025-03-10 00:00:00+00:00,"{'units': 91, 'nano': 0}","{'units': 91, 'nano': 500000000}","{'units': 90, 'nano': 500000000}","{'units': 90, 'nano': 700000000}",2346,True,1
2025-03-11 00:00:00+00:00,"{'units': 90, 'nano': 600000000}","{'units': 90, 'nano': 800000000}","{'units': 89, 'nano': 0}","{'units': 89, 'nano': 500000000}",5623,True,1
2025-03-12 00:00:00+00:00,"{'units': 89, 'nano': 200000000}","{'units': 89, 'nano': 300000000}","{'units': 86, 'nano': 0}","{'units': 86, 'nano': 900000000}",9902,True,1
2025-03-13 00:00:00+00:00,"{'units': 86, 'nano': 900000000}","{'units': 87, 'nano': 200000000}","{'units': 85, 'nano': 0}","{'units': 85, 'nano': 900000000}",8066,True,1
2025-03-14 00:00:00+00:00,"{'units': 85, 'nano': 900000000}","{'units': 88, 'nano': 0}","{'units': 85, 'nano': 100000000}","{'units': 86, 'nano': 800000000}",4502,True,1
2025-03-17 00:00:00+00:00,"{'units': 88, 'nano': 700000000}","{'units': 90, 'nano': 900000000}","{'units': 87, 'nano': 900000000}","{'units': 89, 'nano': 300000000}",17706,True,1
2025-03-18 00:00:00+00:00,"{'units': 89, 'nano': 400000000}","{'units': 90, 'nano': 900000000}","{'units': 88, 'nano': 0}","{'units': 88, 'nano': 400000000}",4552,True,1
2025-03-19 00:00:00+00:00,"{'units': 88, 'nano': 500000000}","{'units': 88, 'nano': 700000000}","{'units': 86, 'nano': 500000000}","{'units': 88, 'nano': 0}",4417,True,1
2025-03-20 00:00:00+00:00,"{'units': 89, 'nano': 500000000}","{'units': 89, 'nano': 500000000}","{'units': 84, 'nano': 600000000}","{'units': 86, 'nano': 300000000}",18598,True,1
2025-03-21 00:00:00+00:00,"{'units': 86, 'nano': 300000000}","{'units': 87, 'nano': 400000000}","{'units': 85, 'nano': 500000000}","{'units': 85, 'nano': 700000000}",6167,True,1
2025-03-24 00:00:00+00:00,"{'units': 85, 'nano': 700000000}","{'units': 87, 'nano': 0}","{'units': 85, 'nano': 700000000}","{'units': 86, 'nano': 200000000}",3456,True,1
2025-03-25 00:00:00+00:00,"{'units': 86, 'nano': 200000000}","{'units': 86, 'nano': 900000000}","{'units': 84, 'nano': 900000000}","{'units': 85, 'nano': 100000000}",7121,True,1
2025-03-26 00:00:00+00:00,"{'units': 85, 'nano': 200000000}","{'units': 88, 'nano': 500000000}","{'units': 85, 'nano': 200000000}","{'units': 86, 'nano': 0}",10002,True,1
2025-03-27 00:00:00+00:00,"{'units': 85, 'nano': 900000000}","{'units': 86, 'nano': 400000000}","{'units': 84, 'nano': 500000000}","{'units': 84, 'nano': 600000000}",2825,True,1
2025-03-28 00:00:00+00:00,"{'units': 84, 'nano': 500000000}","{'units': 85, 'nano': 300000000}","{'units': 83, 'nano': 100000000}","{'units': 83, 'nano': 700000000}",3473,True,1
2025-03-31 00:00:00+00:00,"{'units': 83, 'nano': 700000000}","{'units': 88, 'nano': 0}","{'units': 83, 'nano': 600000000}","{'units': 85, 'nano': 0}",12410,True,1
2025-04-01 00:00:00+00:00,"{'units': 85, 'nano': 700000000}","{'units': 87, 'nano': 900000000}","{'units': 85, 'nano': 100000000}","{'units': 85, 'nano': 900000000}",4412,True,1
