time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 58, 'nano': 700000000}","{'units': 59, 'nano': 100000000}","{'units': 57, 'nano': 350000000}","{'units': 57, 'nano': 550000000}",6581,True,1
2025-02-05 00:00:00+00:00,"{'units': 57, 'nano': 550000000}","{'units': 57, 'nano': 600000000}","{'units': 56, 'nano': 250000000}","{'units': 57, 'nano': 0}",4935,True,1
2025-02-06 00:00:00+00:00,"{'units': 57, 'nano': 50000000}","{'units': 59, 'nano': 300000000}","{'units': 57, 'nano': 50000000}","{'units': 58, 'nano': 250000000}",3628,True,1
2025-02-07 00:00:00+00:00,"{'units': 58, 'nano': 150000000}","{'units': 58, 'nano': 350000000}","{'units': 57, 'nano': 200000000}","{'units': 57, 'nano': 300000000}",5303,True,1
2025-02-10 00:00:00+00:00,"{'units': 57, 'nano': 950000000}","{'units': 58, 'nano': 500000000}","{'units': 57, 'nano': 300000000}","{'units': 57, 'nano': 650000000}",6211,True,1
2025-02-11 00:00:00+00:00,"{'units': 57, 'nano': 500000000}","{'units': 59, 'nano': 450000000}","{'units': 57, 'nano': 200000000}","{'units': 58, 'nano': 450000000}",6055,True,1
2025-02-12 00:00:00+00:00,"{'units': 58, 'nano': 600000000}","{'units': 59, 'nano': 850000000}","{'units': 58, 'nano': 600000000}","{'units': 59, 'nano': 250000000}",5304,True,1
2025-02-13 00:00:00+00:00,"{'units': 61, 'nano': 50000000}","{'units': 62, 'nano': 700000000}","{'units': 58, 'nano': 800000000}","{'units': 59, 'nano': 500000000}",15253,True,1
2025-02-14 00:00:00+00:00,"{'units': 60, 'nano': 250000000}","{'units': 62, 'nano': 100000000}","{'units': 59, 'nano': 50000000}","{'units': 59, 'nano': 550000000}",21362,True,1
2025-02-17 00:00:00+00:00,"{'units': 60, 'nano': 300000000}","{'units': 62, 'nano': 150000000}","{'units': 59, 'nano': 550000000}","{'units': 61, 'nano': 0}",18548,True,1
2025-02-18 00:00:00+00:00,"{'units': 61, 'nano': 0}","{'units': 61, 'nano': 950000000}","{'units': 59, 'nano': 650000000}","{'units': 60, 'nano': 450000000}",9041,True,1
2025-02-19 00:00:00+00:00,"{'units': 60, 'nano': 250000000}","{'units': 61, 'nano': 400000000}","{'units': 59, 'nano': 700000000}","{'units': 60, 'nano': 150000000}",5108,True,1
2025-02-20 00:00:00+00:00,"{'units': 60, 'nano': 250000000}","{'units': 69, 'nano': 500000000}","{'units': 60, 'nano': 250000000}","{'units': 66, 'nano': 850000000}",135126,True,1
2025-02-21 00:00:00+00:00,"{'units': 68, 'nano': 600000000}","{'units': 76, 'nano': 350000000}","{'units': 66, 'nano': 750000000}","{'units': 70, 'nano': 0}",102949,True,1
2025-02-24 00:00:00+00:00,"{'units': 69, 'nano': 950000000}","{'units': 71, 'nano': 500000000}","{'units': 67, 'nano': 0}","{'units': 68, 'nano': 600000000}",36477,True,1
2025-02-25 00:00:00+00:00,"{'units': 69, 'nano': 250000000}","{'units': 69, 'nano': 950000000}","{'units': 68, 'nano': 100000000}","{'units': 68, 'nano': 300000000}",16694,True,1
2025-02-26 00:00:00+00:00,"{'units': 68, 'nano': 300000000}","{'units': 70, 'nano': 0}","{'units': 67, 'nano': 700000000}","{'units': 68, 'nano': 100000000}",12285,True,1
2025-02-27 00:00:00+00:00,"{'units': 67, 'nano': 450000000}","{'units': 67, 'nano': 450000000}","{'units': 63, 'nano': 700000000}","{'units': 64, 'nano': 800000000}",30455,True,1
