time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 492, 'nano': 0}","{'units': 503, 'nano': 800000000}","{'units': 490, 'nano': 400000000}","{'units': 499, 'nano': 0}",656,True,1
2025-02-05 00:00:00+00:00,"{'units': 497, 'nano': 0}","{'units': 504, 'nano': 200000000}","{'units': 494, 'nano': 0}","{'units': 501, 'nano': 400000000}",360,True,1
2025-02-06 00:00:00+00:00,"{'units': 500, 'nano': 800000000}","{'units': 509, 'nano': 600000000}","{'units': 500, 'nano': 800000000}","{'units': 505, 'nano': 0}",289,True,1
2025-02-07 00:00:00+00:00,"{'units': 506, 'nano': 200000000}","{'units': 507, 'nano': 200000000}","{'units': 501, 'nano': 200000000}","{'units': 502, 'nano': 200000000}",244,True,1
2025-02-10 00:00:00+00:00,"{'units': 501, 'nano': 800000000}","{'units': 510, 'nano': 0}","{'units': 501, 'nano': 800000000}","{'units': 501, 'nano': 800000000}",375,True,1
2025-02-11 00:00:00+00:00,"{'units': 502, 'nano': 200000000}","{'units': 506, 'nano': 0}","{'units': 499, 'nano': 400000000}","{'units': 500, 'nano': 0}",475,True,1
2025-02-12 00:00:00+00:00,"{'units': 500, 'nano': 400000000}","{'units': 500, 'nano': 400000000}","{'units': 497, 'nano': 400000000}","{'units': 497, 'nano': 400000000}",790,True,1
2025-02-13 00:00:00+00:00,"{'units': 510, 'nano': 0}","{'units': 516, 'nano': 600000000}","{'units': 498, 'nano': 800000000}","{'units': 512, 'nano': 400000000}",1391,True,1
2025-02-14 00:00:00+00:00,"{'units': 514, 'nano': 200000000}","{'units': 521, 'nano': 600000000}","{'units': 502, 'nano': 800000000}","{'units': 505, 'nano': 0}",1576,True,1
2025-02-17 00:00:00+00:00,"{'units': 510, 'nano': 600000000}","{'units': 521, 'nano': 800000000}","{'units': 505, 'nano': 0}","{'units': 520, 'nano': 400000000}",1002,True,1
2025-02-18 00:00:00+00:00,"{'units': 522, 'nano': 600000000}","{'units': 558, 'nano': 400000000}","{'units': 506, 'nano': 600000000}","{'units': 541, 'nano': 400000000}",3152,True,1
2025-02-19 00:00:00+00:00,"{'units': 541, 'nano': 400000000}","{'units': 545, 'nano': 0}","{'units': 537, 'nano': 800000000}","{'units': 538, 'nano': 200000000}",606,True,1
2025-02-20 00:00:00+00:00,"{'units': 540, 'nano': 200000000}","{'units': 551, 'nano': 0}","{'units': 540, 'nano': 0}","{'units': 547, 'nano': 0}",937,True,1
2025-02-21 00:00:00+00:00,"{'units': 547, 'nano': 600000000}","{'units': 564, 'nano': 600000000}","{'units': 546, 'nano': 400000000}","{'units': 549, 'nano': 200000000}",1149,True,1
2025-02-24 00:00:00+00:00,"{'units': 550, 'nano': 0}","{'units': 569, 'nano': 0}","{'units': 550, 'nano': 0}","{'units': 563, 'nano': 0}",1158,True,1
2025-02-25 00:00:00+00:00,"{'units': 576, 'nano': 0}","{'units': 593, 'nano': 0}","{'units': 570, 'nano': 0}","{'units': 584, 'nano': 0}",2763,True,1
2025-02-26 00:00:00+00:00,"{'units': 585, 'nano': 800000000}","{'units': 590, 'nano': 0}","{'units': 538, 'nano': 600000000}","{'units': 560, 'nano': 400000000}",2252,True,1
2025-02-27 00:00:00+00:00,"{'units': 556, 'nano': 0}","{'units': 561, 'nano': 400000000}","{'units': 540, 'nano': 800000000}","{'units': 550, 'nano': 0}",951,True,1
2025-02-28 00:00:00+00:00,"{'units': 540, 'nano': 200000000}","{'units': 548, 'nano': 400000000}","{'units': 522, 'nano': 0}","{'units': 543, 'nano': 400000000}",1070,True,1
2025-03-03 00:00:00+00:00,"{'units': 543, 'nano': 400000000}","{'units': 551, 'nano': 600000000}","{'units': 531, 'nano': 200000000}","{'units': 547, 'nano': 200000000}",947,True,1
2025-03-04 00:00:00+00:00,"{'units': 554, 'nano': 200000000}","{'units': 569, 'nano': 800000000}","{'units': 552, 'nano': 400000000}","{'units': 558, 'nano': 800000000}",879,True,1
2025-03-05 00:00:00+00:00,"{'units': 565, 'nano': 0}","{'units': 565, 'nano': 0}","{'units': 551, 'nano': 600000000}","{'units': 559, 'nano': 400000000}",384,True,1
2025-03-06 00:00:00+00:00,"{'units': 562, 'nano': 600000000}","{'units': 562, 'nano': 600000000}","{'units': 550, 'nano': 0}","{'units': 551, 'nano': 0}",611,True,1
2025-03-07 00:00:00+00:00,"{'units': 553, 'nano': 0}","{'units': 562, 'nano': 600000000}","{'units': 535, 'nano': 200000000}","{'units': 541, 'nano': 0}",724,True,1
2025-03-10 00:00:00+00:00,"{'units': 552, 'nano': 800000000}","{'units': 560, 'nano': 0}","{'units': 539, 'nano': 400000000}","{'units': 550, 'nano': 400000000}",705,True,1
2025-03-11 00:00:00+00:00,"{'units': 555, 'nano': 0}","{'units': 555, 'nano': 0}","{'units': 540, 'nano': 0}","{'units': 546, 'nano': 200000000}",389,True,1
2025-03-12 00:00:00+00:00,"{'units': 551, 'nano': 0}","{'units': 551, 'nano': 0}","{'units': 535, 'nano': 600000000}","{'units': 536, 'nano': 600000000}",421,True,1
2025-03-13 00:00:00+00:00,"{'units': 538, 'nano': 0}","{'units': 544, 'nano': 600000000}","{'units': 532, 'nano': 0}","{'units': 534, 'nano': 0}",584,True,1
2025-03-14 00:00:00+00:00,"{'units': 536, 'nano': 400000000}","{'units': 545, 'nano': 600000000}","{'units': 536, 'nano': 200000000}","{'units': 542, 'nano': 600000000}",506,True,1
2025-03-17 00:00:00+00:00,"{'units': 545, 'nano': 400000000}","{'units': 585, 'nano': 0}","{'units': 543, 'nano': 0}","{'units': 557, 'nano': 0}",2046,True,1
2025-03-18 00:00:00+00:00,"{'units': 576, 'nano': 0}","{'units': 581, 'nano': 0}","{'units': 547, 'nano': 0}","{'units': 548, 'nano': 800000000}",1159,True,1
