time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 335, 'nano': 0}","{'units': 337, 'nano': 0}","{'units': 331, 'nano': 500000000}","{'units': 332, 'nano': 500000000}",420,True,1
2025-02-05 00:00:00+00:00,"{'units': 328, 'nano': 500000000}","{'units': 331, 'nano': 0}","{'units': 321, 'nano': 0}","{'units': 325, 'nano': 500000000}",2414,True,1
2025-02-06 00:00:00+00:00,"{'units': 329, 'nano': 500000000}","{'units': 332, 'nano': 0}","{'units': 317, 'nano': 500000000}","{'units': 323, 'nano': 500000000}",2808,True,1
2025-02-07 00:00:00+00:00,"{'units': 323, 'nano': 500000000}","{'units': 324, 'nano': 0}","{'units': 318, 'nano': 500000000}","{'units': 321, 'nano': 500000000}",818,True,1
2025-02-10 00:00:00+00:00,"{'units': 327, 'nano': 0}","{'units': 327, 'nano': 0}","{'units': 319, 'nano': 500000000}","{'units': 323, 'nano': 500000000}",1104,True,1
2025-02-11 00:00:00+00:00,"{'units': 323, 'nano': 0}","{'units': 324, 'nano': 500000000}","{'units': 320, 'nano': 500000000}","{'units': 322, 'nano': 500000000}",412,True,1
2025-02-12 00:00:00+00:00,"{'units': 324, 'nano': 0}","{'units': 331, 'nano': 500000000}","{'units': 321, 'nano': 0}","{'units': 323, 'nano': 0}",2032,True,1
2025-02-13 00:00:00+00:00,"{'units': 334, 'nano': 500000000}","{'units': 343, 'nano': 500000000}","{'units': 325, 'nano': 0}","{'units': 328, 'nano': 500000000}",2307,True,1
2025-02-14 00:00:00+00:00,"{'units': 331, 'nano': 0}","{'units': 338, 'nano': 500000000}","{'units': 322, 'nano': 0}","{'units': 325, 'nano': 0}",2205,True,1
2025-02-17 00:00:00+00:00,"{'units': 330, 'nano': 0}","{'units': 348, 'nano': 0}","{'units': 329, 'nano': 0}","{'units': 335, 'nano': 0}",6341,True,1
2025-02-18 00:00:00+00:00,"{'units': 334, 'nano': 500000000}","{'units': 335, 'nano': 500000000}","{'units': 328, 'nano': 0}","{'units': 329, 'nano': 0}",1437,True,1
2025-02-19 00:00:00+00:00,"{'units': 329, 'nano': 500000000}","{'units': 331, 'nano': 0}","{'units': 327, 'nano': 500000000}","{'units': 328, 'nano': 0}",550,True,1
2025-02-20 00:00:00+00:00,"{'units': 332, 'nano': 0}","{'units': 344, 'nano': 0}","{'units': 330, 'nano': 0}","{'units': 334, 'nano': 500000000}",3306,True,1
2025-02-21 00:00:00+00:00,"{'units': 334, 'nano': 0}","{'units': 354, 'nano': 0}","{'units': 332, 'nano': 500000000}","{'units': 345, 'nano': 500000000}",5700,True,1
2025-02-24 00:00:00+00:00,"{'units': 362, 'nano': 0}","{'units': 380, 'nano': 0}","{'units': 350, 'nano': 0}","{'units': 353, 'nano': 500000000}",6903,True,1
2025-02-25 00:00:00+00:00,"{'units': 354, 'nano': 500000000}","{'units': 370, 'nano': 0}","{'units': 350, 'nano': 500000000}","{'units': 354, 'nano': 500000000}",6513,True,1
2025-02-26 00:00:00+00:00,"{'units': 360, 'nano': 0}","{'units': 388, 'nano': 500000000}","{'units': 356, 'nano': 0}","{'units': 368, 'nano': 500000000}",15178,True,1
2025-02-27 00:00:00+00:00,"{'units': 360, 'nano': 0}","{'units': 364, 'nano': 500000000}","{'units': 345, 'nano': 0}","{'units': 354, 'nano': 0}",3346,True,1
2025-02-28 00:00:00+00:00,"{'units': 357, 'nano': 0}","{'units': 357, 'nano': 0}","{'units': 343, 'nano': 0}","{'units': 348, 'nano': 0}",989,True,1
2025-03-03 00:00:00+00:00,"{'units': 351, 'nano': 500000000}","{'units': 358, 'nano': 0}","{'units': 336, 'nano': 500000000}","{'units': 338, 'nano': 500000000}",2464,True,1
2025-03-04 00:00:00+00:00,"{'units': 347, 'nano': 500000000}","{'units': 355, 'nano': 0}","{'units': 343, 'nano': 500000000}","{'units': 347, 'nano': 0}",1431,True,1
2025-03-05 00:00:00+00:00,"{'units': 350, 'nano': 500000000}","{'units': 360, 'nano': 0}","{'units': 347, 'nano': 0}","{'units': 351, 'nano': 0}",1630,True,1
2025-03-06 00:00:00+00:00,"{'units': 349, 'nano': 500000000}","{'units': 361, 'nano': 500000000}","{'units': 345, 'nano': 500000000}","{'units': 350, 'nano': 0}",1965,True,1
2025-03-07 00:00:00+00:00,"{'units': 351, 'nano': 500000000}","{'units': 360, 'nano': 0}","{'units': 345, 'nano': 0}","{'units': 347, 'nano': 500000000}",1037,True,1
2025-03-10 00:00:00+00:00,"{'units': 347, 'nano': 0}","{'units': 357, 'nano': 0}","{'units': 344, 'nano': 0}","{'units': 346, 'nano': 0}",678,True,1
2025-03-11 00:00:00+00:00,"{'units': 347, 'nano': 500000000}","{'units': 348, 'nano': 500000000}","{'units': 340, 'nano': 0}","{'units': 345, 'nano': 500000000}",424,True,1
2025-03-12 00:00:00+00:00,"{'units': 342, 'nano': 500000000}","{'units': 342, 'nano': 500000000}","{'units': 333, 'nano': 500000000}","{'units': 334, 'nano': 500000000}",786,True,1
2025-03-13 00:00:00+00:00,"{'units': 331, 'nano': 0}","{'units': 334, 'nano': 500000000}","{'units': 322, 'nano': 500000000}","{'units': 324, 'nano': 0}",986,True,1
2025-03-14 00:00:00+00:00,"{'units': 327, 'nano': 0}","{'units': 344, 'nano': 0}","{'units': 327, 'nano': 0}","{'units': 338, 'nano': 500000000}",944,True,1
2025-03-17 00:00:00+00:00,"{'units': 342, 'nano': 500000000}","{'units': 348, 'nano': 500000000}","{'units': 339, 'nano': 500000000}","{'units': 340, 'nano': 0}",863,True,1
2025-03-18 00:00:00+00:00,"{'units': 344, 'nano': 0}","{'units': 354, 'nano': 0}","{'units': 337, 'nano': 500000000}","{'units': 342, 'nano': 0}",2207,True,1
2025-03-19 00:00:00+00:00,"{'units': 347, 'nano': 0}","{'units': 414, 'nano': 500000000}","{'units': 345, 'nano': 0}","{'units': 403, 'nano': 0}",42919,True,1
2025-03-20 00:00:00+00:00,"{'units': 403, 'nano': 0}","{'units': 414, 'nano': 0}","{'units': 376, 'nano': 0}","{'units': 379, 'nano': 500000000}",11765,True,1
2025-03-21 00:00:00+00:00,"{'units': 383, 'nano': 500000000}","{'units': 386, 'nano': 500000000}","{'units': 365, 'nano': 0}","{'units': 368, 'nano': 500000000}",3257,True,1
2025-03-24 00:00:00+00:00,"{'units': 365, 'nano': 500000000}","{'units': 380, 'nano': 500000000}","{'units': 365, 'nano': 500000000}","{'units': 370, 'nano': 0}",2003,True,1
2025-03-25 00:00:00+00:00,"{'units': 375, 'nano': 500000000}","{'units': 377, 'nano': 0}","{'units': 363, 'nano': 0}","{'units': 365, 'nano': 0}",1005,True,1
2025-03-26 00:00:00+00:00,"{'units': 367, 'nano': 500000000}","{'units': 373, 'nano': 500000000}","{'units': 354, 'nano': 0}","{'units': 355, 'nano': 0}",2537,True,1
2025-03-27 00:00:00+00:00,"{'units': 355, 'nano': 500000000}","{'units': 372, 'nano': 0}","{'units': 344, 'nano': 0}","{'units': 352, 'nano': 500000000}",1647,True,1
2025-03-28 00:00:00+00:00,"{'units': 355, 'nano': 0}","{'units': 366, 'nano': 0}","{'units': 339, 'nano': 500000000}","{'units': 347, 'nano': 0}",2603,True,1
2025-03-31 00:00:00+00:00,"{'units': 344, 'nano': 500000000}","{'units': 348, 'nano': 0}","{'units': 331, 'nano': 0}","{'units': 337, 'nano': 500000000}",2605,True,1
2025-04-01 00:00:00+00:00,"{'units': 347, 'nano': 0}","{'units': 359, 'nano': 0}","{'units': 338, 'nano': 0}","{'units': 341, 'nano': 500000000}",3292,True,1
2025-04-02 00:00:00+00:00,"{'units': 339, 'nano': 500000000}","{'units': 346, 'nano': 500000000}","{'units': 334, 'nano': 500000000}","{'units': 341, 'nano': 0}",834,True,1
2025-04-03 00:00:00+00:00,"{'units': 344, 'nano': 500000000}","{'units': 361, 'nano': 500000000}","{'units': 340, 'nano': 500000000}","{'units': 340, 'nano': 500000000}",3362,True,1
2025-04-04 00:00:00+00:00,"{'units': 342, 'nano': 500000000}","{'units': 348, 'nano': 0}","{'units': 327, 'nano': 0}","{'units': 332, 'nano': 500000000}",973,True,1
2025-04-07 00:00:00+00:00,"{'units': 323, 'nano': 0}","{'units': 325, 'nano': 0}","{'units': 300, 'nano': 0}","{'units': 312, 'nano': 500000000}",2318,True,1
2025-04-08 00:00:00+00:00,"{'units': 315, 'nano': 0}","{'units': 329, 'nano': 500000000}","{'units': 314, 'nano': 500000000}","{'units': 318, 'nano': 0}",1501,True,1
2025-04-09 00:00:00+00:00,"{'units': 317, 'nano': 500000000}","{'units': 318, 'nano': 500000000}","{'units': 288, 'nano': 0}","{'units': 296, 'nano': 0}",2033,True,1
2025-04-10 00:00:00+00:00,"{'units': 308, 'nano': 500000000}","{'units': 317, 'nano': 0}","{'units': 304, 'nano': 500000000}","{'units': 306, 'nano': 500000000}",1279,True,1
2025-04-11 00:00:00+00:00,"{'units': 311, 'nano': 0}","{'units': 320, 'nano': 0}","{'units': 308, 'nano': 0}","{'units': 310, 'nano': 500000000}",1170,True,1
2025-04-14 00:00:00+00:00,"{'units': 314, 'nano': 0}","{'units': 319, 'nano': 500000000}","{'units': 306, 'nano': 500000000}","{'units': 309, 'nano': 0}",611,True,1
2025-04-15 00:00:00+00:00,"{'units': 310, 'nano': 500000000}","{'units': 315, 'nano': 0}","{'units': 309, 'nano': 0}","{'units': 310, 'nano': 0}",246,True,1
2025-04-16 00:00:00+00:00,"{'units': 310, 'nano': 0}","{'units': 324, 'nano': 0}","{'units': 310, 'nano': 0}","{'units': 313, 'nano': 500000000}",1131,True,1
2025-04-17 00:00:00+00:00,"{'units': 315, 'nano': 0}","{'units': 320, 'nano': 0}","{'units': 313, 'nano': 0}","{'units': 313, 'nano': 500000000}",520,True,1
2025-04-18 00:00:00+00:00,"{'units': 315, 'nano': 0}","{'units': 319, 'nano': 0}","{'units': 309, 'nano': 0}","{'units': 309, 'nano': 0}",852,True,1
2025-04-21 00:00:00+00:00,"{'units': 316, 'nano': 500000000}","{'units': 318, 'nano': 0}","{'units': 306, 'nano': 500000000}","{'units': 308, 'nano': 0}",917,True,1
2025-04-22 00:00:00+00:00,"{'units': 313, 'nano': 500000000}","{'units': 314, 'nano': 500000000}","{'units': 307, 'nano': 0}","{'units': 309, 'nano': 500000000}",2072,True,1
2025-04-23 00:00:00+00:00,"{'units': 312, 'nano': 0}","{'units': 312, 'nano': 0}","{'units': 306, 'nano': 500000000}","{'units': 307, 'nano': 500000000}",441,True,1
2025-04-24 00:00:00+00:00,"{'units': 309, 'nano': 0}","{'units': 313, 'nano': 0}","{'units': 306, 'nano': 0}","{'units': 307, 'nano': 500000000}",613,True,1
2025-04-25 00:00:00+00:00,"{'units': 309, 'nano': 500000000}","{'units': 312, 'nano': 500000000}","{'units': 306, 'nano': 500000000}","{'units': 307, 'nano': 500000000}",646,True,1
2025-04-28 00:00:00+00:00,"{'units': 310, 'nano': 500000000}","{'units': 328, 'nano': 0}","{'units': 307, 'nano': 0}","{'units': 314, 'nano': 0}",3401,True,1
2025-04-29 00:00:00+00:00,"{'units': 313, 'nano': 500000000}","{'units': 327, 'nano': 0}","{'units': 305, 'nano': 500000000}","{'units': 307, 'nano': 0}",4014,True,1
2025-04-30 00:00:00+00:00,"{'units': 303, 'nano': 0}","{'units': 312, 'nano': 0}","{'units': 301, 'nano': 0}","{'units': 302, 'nano': 500000000}",1901,True,1
2025-05-02 00:00:00+00:00,"{'units': 300, 'nano': 0}","{'units': 302, 'nano': 0}","{'units': 291, 'nano': 0}","{'units': 293, 'nano': 0}",909,True,1
2025-05-05 00:00:00+00:00,"{'units': 294, 'nano': 500000000}","{'units': 298, 'nano': 500000000}","{'units': 283, 'nano': 0}","{'units': 284, 'nano': 0}",562,True,1
2025-05-06 00:00:00+00:00,"{'units': 283, 'nano': 500000000}","{'units': 294, 'nano': 0}","{'units': 280, 'nano': 500000000}","{'units': 291, 'nano': 0}",729,True,1
2025-05-07 00:00:00+00:00,"{'units': 285, 'nano': 0}","{'units': 293, 'nano': 500000000}","{'units': 282, 'nano': 0}","{'units': 290, 'nano': 0}",964,True,1
2025-05-08 00:00:00+00:00,"{'units': 292, 'nano': 0}","{'units': 293, 'nano': 0}","{'units': 289, 'nano': 500000000}","{'units': 290, 'nano': 500000000}",243,True,1
2025-05-12 00:00:00+00:00,"{'units': 297, 'nano': 0}","{'units': 304, 'nano': 0}","{'units': 292, 'nano': 500000000}","{'units': 297, 'nano': 500000000}",778,True,1
2025-05-13 00:00:00+00:00,"{'units': 298, 'nano': 500000000}","{'units': 300, 'nano': 0}","{'units': 294, 'nano': 0}","{'units': 295, 'nano': 500000000}",194,True,1
2025-05-14 00:00:00+00:00,"{'units': 296, 'nano': 0}","{'units': 299, 'nano': 500000000}","{'units': 288, 'nano': 500000000}","{'units': 291, 'nano': 0}",745,True,1
2025-05-15 00:00:00+00:00,"{'units': 291, 'nano': 0}","{'units': 291, 'nano': 0}","{'units': 281, 'nano': 500000000}","{'units': 283, 'nano': 500000000}",556,True,1
2025-05-16 00:00:00+00:00,"{'units': 284, 'nano': 500000000}","{'units': 289, 'nano': 500000000}","{'units': 280, 'nano': 0}","{'units': 288, 'nano': 0}",508,True,1
2025-05-19 00:00:00+00:00,"{'units': 299, 'nano': 0}","{'units': 299, 'nano': 500000000}","{'units': 282, 'nano': 500000000}","{'units': 283, 'nano': 0}",814,True,1
2025-05-20 00:00:00+00:00,"{'units': 285, 'nano': 0}","{'units': 286, 'nano': 0}","{'units': 283, 'nano': 500000000}","{'units': 285, 'nano': 500000000}",223,True,1
2025-05-21 00:00:00+00:00,"{'units': 285, 'nano': 500000000}","{'units': 285, 'nano': 500000000}","{'units': 281, 'nano': 500000000}","{'units': 283, 'nano': 0}",279,True,1
2025-05-22 00:00:00+00:00,"{'units': 281, 'nano': 500000000}","{'units': 285, 'nano': 500000000}","{'units': 273, 'nano': 0}","{'units': 279, 'nano': 0}",599,True,1
2025-05-23 00:00:00+00:00,"{'units': 276, 'nano': 0}","{'units': 276, 'nano': 0}","{'units': 270, 'nano': 0}","{'units': 272, 'nano': 0}",504,True,1
2025-05-26 00:00:00+00:00,"{'units': 272, 'nano': 0}","{'units': 272, 'nano': 0}","{'units': 261, 'nano': 0}","{'units': 262, 'nano': 500000000}",351,True,1
2025-05-27 00:00:00+00:00,"{'units': 266, 'nano': 0}","{'units': 271, 'nano': 0}","{'units': 255, 'nano': 0}","{'units': 264, 'nano': 0}",1312,True,1
2025-05-28 00:00:00+00:00,"{'units': 266, 'nano': 0}","{'units': 271, 'nano': 500000000}","{'units': 264, 'nano': 500000000}","{'units': 271, 'nano': 0}",835,True,1
2025-05-29 00:00:00+00:00,"{'units': 271, 'nano': 0}","{'units': 275, 'nano': 0}","{'units': 267, 'nano': 500000000}","{'units': 267, 'nano': 500000000}",629,True,1
2025-05-30 00:00:00+00:00,"{'units': 269, 'nano': 500000000}","{'units': 272, 'nano': 0}","{'units': 260, 'nano': 500000000}","{'units': 263, 'nano': 0}",664,True,1
2025-06-02 00:00:00+00:00,"{'units': 262, 'nano': 0}","{'units': 269, 'nano': 0}","{'units': 257, 'nano': 0}","{'units': 266, 'nano': 500000000}",673,True,1
2025-06-03 00:00:00+00:00,"{'units': 268, 'nano': 500000000}","{'units': 277, 'nano': 0}","{'units': 267, 'nano': 500000000}","{'units': 275, 'nano': 0}",831,True,1
2025-06-04 00:00:00+00:00,"{'units': 280, 'nano': 0}","{'units': 280, 'nano': 500000000}","{'units': 272, 'nano': 500000000}","{'units': 274, 'nano': 0}",969,True,1
2025-06-05 00:00:00+00:00,"{'units': 275, 'nano': 0}","{'units': 284, 'nano': 0}","{'units': 275, 'nano': 0}","{'units': 279, 'nano': 0}",778,True,1
2025-06-06 00:00:00+00:00,"{'units': 282, 'nano': 0}","{'units': 283, 'nano': 0}","{'units': 272, 'nano': 500000000}","{'units': 274, 'nano': 0}",475,True,1
2025-06-09 00:00:00+00:00,"{'units': 271, 'nano': 500000000}","{'units': 272, 'nano': 500000000}","{'units': 263, 'nano': 0}","{'units': 266, 'nano': 500000000}",393,True,1
2025-06-10 00:00:00+00:00,"{'units': 268, 'nano': 0}","{'units': 272, 'nano': 0}","{'units': 268, 'nano': 0}","{'units': 269, 'nano': 0}",379,True,1
2025-06-11 00:00:00+00:00,"{'units': 267, 'nano': 0}","{'units': 275, 'nano': 0}","{'units': 265, 'nano': 0}","{'units': 272, 'nano': 0}",465,True,1
2025-06-13 00:00:00+00:00,"{'units': 269, 'nano': 0}","{'units': 275, 'nano': 0}","{'units': 266, 'nano': 500000000}","{'units': 268, 'nano': 0}",390,True,1
2025-06-16 00:00:00+00:00,"{'units': 267, 'nano': 0}","{'units': 268, 'nano': 0}","{'units': 261, 'nano': 500000000}","{'units': 263, 'nano': 0}",461,True,1
2025-06-17 00:00:00+00:00,"{'units': 262, 'nano': 0}","{'units': 265, 'nano': 0}","{'units': 261, 'nano': 500000000}","{'units': 264, 'nano': 500000000}",187,True,1
2025-06-18 00:00:00+00:00,"{'units': 265, 'nano': 0}","{'units': 279, 'nano': 500000000}","{'units': 265, 'nano': 0}","{'units': 271, 'nano': 500000000}",2259,True,1
2025-06-19 00:00:00+00:00,"{'units': 274, 'nano': 0}","{'units': 279, 'nano': 500000000}","{'units': 267, 'nano': 500000000}","{'units': 269, 'nano': 500000000}",241,True,1
2025-06-20 00:00:00+00:00,"{'units': 269, 'nano': 0}","{'units': 269, 'nano': 500000000}","{'units': 263, 'nano': 0}","{'units': 265, 'nano': 0}",445,True,1
2025-06-23 00:00:00+00:00,"{'units': 263, 'nano': 0}","{'units': 263, 'nano': 500000000}","{'units': 258, 'nano': 0}","{'units': 260, 'nano': 0}",416,True,1
2025-06-24 00:00:00+00:00,"{'units': 260, 'nano': 500000000}","{'units': 260, 'nano': 500000000}","{'units': 257, 'nano': 0}","{'units': 258, 'nano': 500000000}",212,True,1
2025-06-25 00:00:00+00:00,"{'units': 258, 'nano': 0}","{'units': 261, 'nano': 500000000}","{'units': 257, 'nano': 500000000}","{'units': 260, 'nano': 500000000}",393,True,1
