time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 188, 'nano': 800000000}","{'units': 192, 'nano': 800000000}","{'units': 185, 'nano': 0}","{'units': 187, 'nano': 0}",4868,True,1
2025-02-05 00:00:00+00:00,"{'units': 187, 'nano': 0}","{'units': 187, 'nano': 0}","{'units': 182, 'nano': 400000000}","{'units': 185, 'nano': 400000000}",5230,True,1
2025-02-06 00:00:00+00:00,"{'units': 186, 'nano': 800000000}","{'units': 187, 'nano': 200000000}","{'units': 175, 'nano': 800000000}","{'units': 178, 'nano': 800000000}",30226,True,1
2025-02-07 00:00:00+00:00,"{'units': 178, 'nano': 0}","{'units': 184, 'nano': 0}","{'units': 177, 'nano': 400000000}","{'units': 180, 'nano': 0}",9457,True,1
2025-02-10 00:00:00+00:00,"{'units': 183, 'nano': 0}","{'units': 185, 'nano': 600000000}","{'units': 180, 'nano': 200000000}","{'units': 184, 'nano': 400000000}",8390,True,1
2025-02-11 00:00:00+00:00,"{'units': 184, 'nano': 200000000}","{'units': 186, 'nano': 400000000}","{'units': 184, 'nano': 0}","{'units': 184, 'nano': 600000000}",4136,True,1
2025-02-12 00:00:00+00:00,"{'units': 186, 'nano': 600000000}","{'units': 187, 'nano': 600000000}","{'units': 184, 'nano': 600000000}","{'units': 185, 'nano': 200000000}",7263,True,1
2025-02-13 00:00:00+00:00,"{'units': 189, 'nano': 0}","{'units': 194, 'nano': 800000000}","{'units': 186, 'nano': 800000000}","{'units': 189, 'nano': 200000000}",9521,True,1
2025-02-14 00:00:00+00:00,"{'units': 191, 'nano': 800000000}","{'units': 196, 'nano': 200000000}","{'units': 186, 'nano': 600000000}","{'units': 187, 'nano': 600000000}",9948,True,1
2025-02-17 00:00:00+00:00,"{'units': 189, 'nano': 600000000}","{'units': 191, 'nano': 800000000}","{'units': 187, 'nano': 400000000}","{'units': 190, 'nano': 200000000}",10785,True,1
2025-02-18 00:00:00+00:00,"{'units': 192, 'nano': 0}","{'units': 192, 'nano': 0}","{'units': 185, 'nano': 200000000}","{'units': 187, 'nano': 200000000}",6180,True,1
2025-02-19 00:00:00+00:00,"{'units': 189, 'nano': 0}","{'units': 189, 'nano': 400000000}","{'units': 185, 'nano': 800000000}","{'units': 187, 'nano': 200000000}",3919,True,1
2025-02-20 00:00:00+00:00,"{'units': 187, 'nano': 200000000}","{'units': 190, 'nano': 0}","{'units': 186, 'nano': 0}","{'units': 188, 'nano': 0}",3733,True,1
2025-02-21 00:00:00+00:00,"{'units': 188, 'nano': 0}","{'units': 191, 'nano': 0}","{'units': 186, 'nano': 400000000}","{'units': 187, 'nano': 0}",6380,True,1
2025-02-24 00:00:00+00:00,"{'units': 189, 'nano': 400000000}","{'units': 190, 'nano': 600000000}","{'units': 187, 'nano': 0}","{'units': 189, 'nano': 800000000}",9250,True,1
2025-02-25 00:00:00+00:00,"{'units': 192, 'nano': 400000000}","{'units': 194, 'nano': 0}","{'units': 188, 'nano': 200000000}","{'units': 190, 'nano': 200000000}",12748,True,1
2025-02-26 00:00:00+00:00,"{'units': 193, 'nano': 0}","{'units': 210, 'nano': 600000000}","{'units': 191, 'nano': 0}","{'units': 197, 'nano': 600000000}",106596,True,1
2025-02-27 00:00:00+00:00,"{'units': 195, 'nano': 0}","{'units': 196, 'nano': 800000000}","{'units': 190, 'nano': 200000000}","{'units': 193, 'nano': 0}",10019,True,1
2025-02-28 00:00:00+00:00,"{'units': 193, 'nano': 0}","{'units': 202, 'nano': 0}","{'units': 187, 'nano': 0}","{'units': 197, 'nano': 600000000}",18969,True,1
2025-03-03 00:00:00+00:00,"{'units': 197, 'nano': 200000000}","{'units': 199, 'nano': 600000000}","{'units': 191, 'nano': 400000000}","{'units': 193, 'nano': 0}",6624,True,1
2025-03-04 00:00:00+00:00,"{'units': 235, 'nano': 400000000}","{'units': 235, 'nano': 400000000}","{'units': 223, 'nano': 0}","{'units': 235, 'nano': 400000000}",362220,True,1
2025-03-05 00:00:00+00:00,"{'units': 233, 'nano': 800000000}","{'units': 233, 'nano': 800000000}","{'units': 219, 'nano': 400000000}","{'units': 223, 'nano': 0}",133277,True,1
2025-03-06 00:00:00+00:00,"{'units': 222, 'nano': 200000000}","{'units': 222, 'nano': 200000000}","{'units': 207, 'nano': 400000000}","{'units': 211, 'nano': 0}",55214,True,1
2025-03-07 00:00:00+00:00,"{'units': 213, 'nano': 800000000}","{'units': 226, 'nano': 0}","{'units': 209, 'nano': 200000000}","{'units': 209, 'nano': 800000000}",76397,True,1
2025-03-10 00:00:00+00:00,"{'units': 213, 'nano': 0}","{'units': 217, 'nano': 800000000}","{'units': 210, 'nano': 400000000}","{'units': 214, 'nano': 400000000}",17501,True,1
2025-03-11 00:00:00+00:00,"{'units': 211, 'nano': 200000000}","{'units': 215, 'nano': 800000000}","{'units': 209, 'nano': 400000000}","{'units': 210, 'nano': 200000000}",15400,True,1
2025-03-12 00:00:00+00:00,"{'units': 210, 'nano': 200000000}","{'units': 211, 'nano': 400000000}","{'units': 207, 'nano': 200000000}","{'units': 210, 'nano': 400000000}",8155,True,1
2025-03-13 00:00:00+00:00,"{'units': 206, 'nano': 800000000}","{'units': 209, 'nano': 400000000}","{'units': 202, 'nano': 0}","{'units': 202, 'nano': 800000000}",14020,True,1
2025-03-14 00:00:00+00:00,"{'units': 206, 'nano': 0}","{'units': 207, 'nano': 400000000}","{'units': 202, 'nano': 600000000}","{'units': 206, 'nano': 400000000}",11076,True,1
2025-03-17 00:00:00+00:00,"{'units': 208, 'nano': 800000000}","{'units': 216, 'nano': 800000000}","{'units': 207, 'nano': 0}","{'units': 213, 'nano': 800000000}",30907,True,1
2025-03-18 00:00:00+00:00,"{'units': 217, 'nano': 0}","{'units': 219, 'nano': 600000000}","{'units': 212, 'nano': 800000000}","{'units': 213, 'nano': 400000000}",17519,True,1
2025-03-19 00:00:00+00:00,"{'units': 212, 'nano': 800000000}","{'units': 217, 'nano': 0}","{'units': 210, 'nano': 200000000}","{'units': 215, 'nano': 0}",9272,True,1
2025-03-20 00:00:00+00:00,"{'units': 217, 'nano': 0}","{'units': 218, 'nano': 0}","{'units': 209, 'nano': 0}","{'units': 211, 'nano': 800000000}",16557,True,1
2025-03-21 00:00:00+00:00,"{'units': 212, 'nano': 0}","{'units': 213, 'nano': 400000000}","{'units': 209, 'nano': 0}","{'units': 210, 'nano': 0}",6728,True,1
2025-03-24 00:00:00+00:00,"{'units': 211, 'nano': 0}","{'units': 211, 'nano': 0}","{'units': 208, 'nano': 200000000}","{'units': 208, 'nano': 200000000}",3629,True,1
2025-03-25 00:00:00+00:00,"{'units': 208, 'nano': 200000000}","{'units': 210, 'nano': 600000000}","{'units': 208, 'nano': 0}","{'units': 208, 'nano': 600000000}",6987,True,1
2025-03-26 00:00:00+00:00,"{'units': 209, 'nano': 200000000}","{'units': 211, 'nano': 800000000}","{'units': 207, 'nano': 0}","{'units': 207, 'nano': 200000000}",5913,True,1
2025-03-27 00:00:00+00:00,"{'units': 205, 'nano': 800000000}","{'units': 209, 'nano': 0}","{'units': 200, 'nano': 0}","{'units': 201, 'nano': 0}",10690,True,1
2025-03-28 00:00:00+00:00,"{'units': 200, 'nano': 0}","{'units': 202, 'nano': 600000000}","{'units': 195, 'nano': 400000000}","{'units': 195, 'nano': 400000000}",7071,True,1
2025-03-31 00:00:00+00:00,"{'units': 195, 'nano': 600000000}","{'units': 211, 'nano': 200000000}","{'units': 193, 'nano': 200000000}","{'units': 207, 'nano': 600000000}",13692,True,1
2025-04-01 00:00:00+00:00,"{'units': 210, 'nano': 0}","{'units': 212, 'nano': 400000000}","{'units': 201, 'nano': 200000000}","{'units': 203, 'nano': 600000000}",7452,True,1
2025-04-02 00:00:00+00:00,"{'units': 202, 'nano': 600000000}","{'units': 204, 'nano': 0}","{'units': 199, 'nano': 200000000}","{'units': 199, 'nano': 800000000}",3498,True,1
2025-04-03 00:00:00+00:00,"{'units': 200, 'nano': 400000000}","{'units': 201, 'nano': 600000000}","{'units': 193, 'nano': 600000000}","{'units': 193, 'nano': 600000000}",6883,True,1
2025-04-04 00:00:00+00:00,"{'units': 196, 'nano': 0}","{'units': 204, 'nano': 0}","{'units': 181, 'nano': 0}","{'units': 181, 'nano': 0}",21602,True,1
2025-04-07 00:00:00+00:00,"{'units': 177, 'nano': 0}","{'units': 181, 'nano': 0}","{'units': 175, 'nano': 0}","{'units': 177, 'nano': 400000000}",12584,True,1
2025-04-08 00:00:00+00:00,"{'units': 182, 'nano': 200000000}","{'units': 186, 'nano': 800000000}","{'units': 180, 'nano': 0}","{'units': 183, 'nano': 600000000}",6040,True,1
2025-04-09 00:00:00+00:00,"{'units': 178, 'nano': 800000000}","{'units': 183, 'nano': 200000000}","{'units': 173, 'nano': 0}","{'units': 175, 'nano': 800000000}",6825,True,1
2025-04-10 00:00:00+00:00,"{'units': 183, 'nano': 200000000}","{'units': 185, 'nano': 600000000}","{'units': 178, 'nano': 600000000}","{'units': 181, 'nano': 400000000}",5220,True,1
2025-04-11 00:00:00+00:00,"{'units': 184, 'nano': 0}","{'units': 185, 'nano': 400000000}","{'units': 178, 'nano': 800000000}","{'units': 182, 'nano': 800000000}",6717,True,1
2025-04-14 00:00:00+00:00,"{'units': 183, 'nano': 200000000}","{'units': 184, 'nano': 600000000}","{'units': 182, 'nano': 800000000}","{'units': 183, 'nano': 400000000}",2854,True,1
2025-04-15 00:00:00+00:00,"{'units': 183, 'nano': 400000000}","{'units': 188, 'nano': 0}","{'units': 183, 'nano': 400000000}","{'units': 185, 'nano': 600000000}",5168,True,1
2025-04-16 00:00:00+00:00,"{'units': 184, 'nano': 600000000}","{'units': 188, 'nano': 600000000}","{'units': 184, 'nano': 200000000}","{'units': 187, 'nano': 600000000}",3037,True,1
2025-04-17 00:00:00+00:00,"{'units': 188, 'nano': 0}","{'units': 188, 'nano': 800000000}","{'units': 185, 'nano': 800000000}","{'units': 186, 'nano': 800000000}",2911,True,1
2025-04-18 00:00:00+00:00,"{'units': 186, 'nano': 200000000}","{'units': 187, 'nano': 600000000}","{'units': 183, 'nano': 0}","{'units': 184, 'nano': 0}",2988,True,1
2025-04-21 00:00:00+00:00,"{'units': 184, 'nano': 800000000}","{'units': 185, 'nano': 600000000}","{'units': 183, 'nano': 200000000}","{'units': 185, 'nano': 400000000}",2286,True,1
2025-04-22 00:00:00+00:00,"{'units': 186, 'nano': 0}","{'units': 188, 'nano': 400000000}","{'units': 185, 'nano': 600000000}","{'units': 186, 'nano': 800000000}",3175,True,1
2025-04-23 00:00:00+00:00,"{'units': 186, 'nano': 800000000}","{'units': 188, 'nano': 0}","{'units': 185, 'nano': 0}","{'units': 186, 'nano': 800000000}",2660,True,1
2025-04-24 00:00:00+00:00,"{'units': 187, 'nano': 0}","{'units': 189, 'nano': 0}","{'units': 185, 'nano': 0}","{'units': 186, 'nano': 0}",3120,True,1
2025-04-25 00:00:00+00:00,"{'units': 186, 'nano': 600000000}","{'units': 188, 'nano': 0}","{'units': 185, 'nano': 0}","{'units': 185, 'nano': 400000000}",3957,True,1
2025-04-28 00:00:00+00:00,"{'units': 186, 'nano': 400000000}","{'units': 193, 'nano': 0}","{'units': 186, 'nano': 200000000}","{'units': 192, 'nano': 0}",10798,True,1
2025-04-29 00:00:00+00:00,"{'units': 190, 'nano': 200000000}","{'units': 191, 'nano': 600000000}","{'units': 187, 'nano': 0}","{'units': 187, 'nano': 400000000}",2995,True,1
2025-04-30 00:00:00+00:00,"{'units': 187, 'nano': 200000000}","{'units': 189, 'nano': 800000000}","{'units': 185, 'nano': 400000000}","{'units': 185, 'nano': 600000000}",2503,True,1
2025-05-02 00:00:00+00:00,"{'units': 187, 'nano': 200000000}","{'units': 187, 'nano': 200000000}","{'units': 180, 'nano': 0}","{'units': 180, 'nano': 0}",3438,True,1
2025-05-05 00:00:00+00:00,"{'units': 181, 'nano': 200000000}","{'units': 181, 'nano': 200000000}","{'units': 172, 'nano': 600000000}","{'units': 172, 'nano': 600000000}",4032,True,1
2025-05-06 00:00:00+00:00,"{'units': 175, 'nano': 800000000}","{'units': 181, 'nano': 600000000}","{'units': 174, 'nano': 800000000}","{'units': 180, 'nano': 0}",4333,True,1
2025-05-07 00:00:00+00:00,"{'units': 180, 'nano': 400000000}","{'units': 183, 'nano': 400000000}","{'units': 178, 'nano': 0}","{'units': 181, 'nano': 600000000}",2109,True,1
2025-05-08 00:00:00+00:00,"{'units': 181, 'nano': 800000000}","{'units': 184, 'nano': 600000000}","{'units': 180, 'nano': 600000000}","{'units': 183, 'nano': 0}",1437,True,1
2025-05-12 00:00:00+00:00,"{'units': 188, 'nano': 400000000}","{'units': 192, 'nano': 400000000}","{'units': 186, 'nano': 200000000}","{'units': 190, 'nano': 800000000}",9995,True,1
2025-05-13 00:00:00+00:00,"{'units': 190, 'nano': 800000000}","{'units': 193, 'nano': 200000000}","{'units': 187, 'nano': 800000000}","{'units': 188, 'nano': 600000000}",4178,True,1
2025-05-14 00:00:00+00:00,"{'units': 190, 'nano': 400000000}","{'units': 190, 'nano': 600000000}","{'units': 187, 'nano': 600000000}","{'units': 188, 'nano': 0}",2067,True,1
2025-05-15 00:00:00+00:00,"{'units': 187, 'nano': 0}","{'units': 193, 'nano': 800000000}","{'units': 183, 'nano': 0}","{'units': 187, 'nano': 200000000}",9508,True,1
2025-05-16 00:00:00+00:00,"{'units': 188, 'nano': 800000000}","{'units': 192, 'nano': 400000000}","{'units': 184, 'nano': 200000000}","{'units': 192, 'nano': 400000000}",9606,True,1
2025-05-19 00:00:00+00:00,"{'units': 194, 'nano': 600000000}","{'units': 202, 'nano': 0}","{'units': 191, 'nano': 200000000}","{'units': 194, 'nano': 200000000}",42015,True,1
2025-05-20 00:00:00+00:00,"{'units': 192, 'nano': 800000000}","{'units': 192, 'nano': 800000000}","{'units': 188, 'nano': 0}","{'units': 189, 'nano': 200000000}",8309,True,1
2025-05-21 00:00:00+00:00,"{'units': 188, 'nano': 400000000}","{'units': 194, 'nano': 800000000}","{'units': 187, 'nano': 800000000}","{'units': 188, 'nano': 600000000}",3252,True,1
2025-05-22 00:00:00+00:00,"{'units': 187, 'nano': 800000000}","{'units': 188, 'nano': 600000000}","{'units': 185, 'nano': 0}","{'units': 186, 'nano': 400000000}",4548,True,1
2025-05-23 00:00:00+00:00,"{'units': 185, 'nano': 200000000}","{'units': 185, 'nano': 800000000}","{'units': 180, 'nano': 600000000}","{'units': 180, 'nano': 600000000}",5018,True,1
2025-05-26 00:00:00+00:00,"{'units': 176, 'nano': 600000000}","{'units': 181, 'nano': 600000000}","{'units': 175, 'nano': 600000000}","{'units': 175, 'nano': 800000000}",5886,True,1
2025-05-27 00:00:00+00:00,"{'units': 176, 'nano': 200000000}","{'units': 183, 'nano': 200000000}","{'units': 176, 'nano': 200000000}","{'units': 183, 'nano': 200000000}",2610,True,1
2025-05-28 00:00:00+00:00,"{'units': 181, 'nano': 200000000}","{'units': 183, 'nano': 200000000}","{'units': 180, 'nano': 400000000}","{'units': 181, 'nano': 0}",3457,True,1
2025-05-29 00:00:00+00:00,"{'units': 180, 'nano': 400000000}","{'units': 181, 'nano': 600000000}","{'units': 178, 'nano': 600000000}","{'units': 178, 'nano': 600000000}",1849,True,1
2025-05-30 00:00:00+00:00,"{'units': 179, 'nano': 0}","{'units': 182, 'nano': 400000000}","{'units': 179, 'nano': 0}","{'units': 181, 'nano': 200000000}",2148,True,1
2025-06-02 00:00:00+00:00,"{'units': 177, 'nano': 800000000}","{'units': 182, 'nano': 0}","{'units': 176, 'nano': 600000000}","{'units': 181, 'nano': 600000000}",3580,True,1
2025-06-03 00:00:00+00:00,"{'units': 181, 'nano': 600000000}","{'units': 187, 'nano': 400000000}","{'units': 181, 'nano': 600000000}","{'units': 185, 'nano': 200000000}",5853,True,1
2025-06-04 00:00:00+00:00,"{'units': 185, 'nano': 0}","{'units': 189, 'nano': 600000000}","{'units': 185, 'nano': 0}","{'units': 186, 'nano': 0}",14119,True,1
2025-06-05 00:00:00+00:00,"{'units': 187, 'nano': 400000000}","{'units': 188, 'nano': 200000000}","{'units': 186, 'nano': 400000000}","{'units': 187, 'nano': 0}",2056,True,1
2025-06-06 00:00:00+00:00,"{'units': 187, 'nano': 0}","{'units': 192, 'nano': 0}","{'units': 181, 'nano': 400000000}","{'units': 181, 'nano': 400000000}",6831,True,1
2025-06-07 00:00:00+00:00,"{'units': 182, 'nano': 800000000}","{'units': 185, 'nano': 400000000}","{'units': 182, 'nano': 600000000}","{'units': 184, 'nano': 600000000}",795,True,1
2025-06-08 00:00:00+00:00,"{'units': 183, 'nano': 200000000}","{'units': 184, 'nano': 800000000}","{'units': 183, 'nano': 0}","{'units': 183, 'nano': 600000000}",206,True,1
2025-06-09 00:00:00+00:00,"{'units': 183, 'nano': 600000000}","{'units': 184, 'nano': 400000000}","{'units': 180, 'nano': 200000000}","{'units': 181, 'nano': 0}",1535,True,1
2025-06-10 00:00:00+00:00,"{'units': 182, 'nano': 0}","{'units': 183, 'nano': 0}","{'units': 179, 'nano': 800000000}","{'units': 180, 'nano': 0}",1945,True,1
2025-06-11 00:00:00+00:00,"{'units': 180, 'nano': 200000000}","{'units': 180, 'nano': 800000000}","{'units': 178, 'nano': 200000000}","{'units': 178, 'nano': 800000000}",2155,True,1
