time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 5960, 'nano': 0}","{'units': 6080, 'nano': 0}","{'units': 5960, 'nano': 0}","{'units': 6050, 'nano': 0}",184,True,1
2025-02-05 00:00:00+00:00,"{'units': 6050, 'nano': 0}","{'units': 6240, 'nano': 0}","{'units': 6030, 'nano': 0}","{'units': 6190, 'nano': 0}",910,True,1
2025-02-06 00:00:00+00:00,"{'units': 6190, 'nano': 0}","{'units': 6250, 'nano': 0}","{'units': 6190, 'nano': 0}","{'units': 6190, 'nano': 0}",451,True,1
2025-02-07 00:00:00+00:00,"{'units': 6200, 'nano': 0}","{'units': 6260, 'nano': 0}","{'units': 6190, 'nano': 0}","{'units': 6190, 'nano': 0}",364,True,1
2025-02-10 00:00:00+00:00,"{'units': 6230, 'nano': 0}","{'units': 6250, 'nano': 0}","{'units': 6200, 'nano': 0}","{'units': 6250, 'nano': 0}",205,True,1
2025-02-11 00:00:00+00:00,"{'units': 6230, 'nano': 0}","{'units': 6250, 'nano': 0}","{'units': 6170, 'nano': 0}","{'units': 6180, 'nano': 0}",290,True,1
2025-02-12 00:00:00+00:00,"{'units': 6180, 'nano': 0}","{'units': 6240, 'nano': 0}","{'units': 6150, 'nano': 0}","{'units': 6160, 'nano': 0}",223,True,1
2025-02-13 00:00:00+00:00,"{'units': 6240, 'nano': 0}","{'units': 6390, 'nano': 0}","{'units': 6200, 'nano': 0}","{'units': 6390, 'nano': 0}",1600,True,1
2025-02-14 00:00:00+00:00,"{'units': 6350, 'nano': 0}","{'units': 6480, 'nano': 0}","{'units': 6160, 'nano': 0}","{'units': 6230, 'nano': 0}",2143,True,1
2025-02-17 00:00:00+00:00,"{'units': 6340, 'nano': 0}","{'units': 6450, 'nano': 0}","{'units': 6250, 'nano': 0}","{'units': 6390, 'nano': 0}",1118,True,1
2025-02-18 00:00:00+00:00,"{'units': 6390, 'nano': 0}","{'units': 6400, 'nano': 0}","{'units': 6200, 'nano': 0}","{'units': 6260, 'nano': 0}",619,True,1
2025-02-19 00:00:00+00:00,"{'units': 6360, 'nano': 0}","{'units': 6450, 'nano': 0}","{'units': 6260, 'nano': 0}","{'units': 6390, 'nano': 0}",1044,True,1
2025-02-20 00:00:00+00:00,"{'units': 6410, 'nano': 0}","{'units': 6770, 'nano': 0}","{'units': 6410, 'nano': 0}","{'units': 6480, 'nano': 0}",3164,True,1
2025-02-21 00:00:00+00:00,"{'units': 6550, 'nano': 0}","{'units': 6590, 'nano': 0}","{'units': 6350, 'nano': 0}","{'units': 6500, 'nano': 0}",1112,True,1
2025-02-24 00:00:00+00:00,"{'units': 6510, 'nano': 0}","{'units': 7010, 'nano': 0}","{'units': 6510, 'nano': 0}","{'units': 6740, 'nano': 0}",3813,True,1
2025-02-25 00:00:00+00:00,"{'units': 7300, 'nano': 0}","{'units': 7550, 'nano': 0}","{'units': 6600, 'nano': 0}","{'units': 6780, 'nano': 0}",4111,True,1
2025-02-26 00:00:00+00:00,"{'units': 6960, 'nano': 0}","{'units': 7200, 'nano': 0}","{'units': 6550, 'nano': 0}","{'units': 6640, 'nano': 0}",2679,True,1
2025-02-27 00:00:00+00:00,"{'units': 6630, 'nano': 0}","{'units': 6760, 'nano': 0}","{'units': 6420, 'nano': 0}","{'units': 6670, 'nano': 0}",777,True,1
2025-02-28 00:00:00+00:00,"{'units': 6620, 'nano': 0}","{'units': 6650, 'nano': 0}","{'units': 6360, 'nano': 0}","{'units': 6410, 'nano': 0}",621,True,1
2025-03-03 00:00:00+00:00,"{'units': 6420, 'nano': 0}","{'units': 6420, 'nano': 0}","{'units': 6130, 'nano': 0}","{'units': 6260, 'nano': 0}",712,True,1
2025-03-04 00:00:00+00:00,"{'units': 6330, 'nano': 0}","{'units': 6510, 'nano': 0}","{'units': 6330, 'nano': 0}","{'units': 6400, 'nano': 0}",535,True,1
2025-03-05 00:00:00+00:00,"{'units': 6460, 'nano': 0}","{'units': 6630, 'nano': 0}","{'units': 6370, 'nano': 0}","{'units': 6540, 'nano': 0}",325,True,1
2025-03-06 00:00:00+00:00,"{'units': 6550, 'nano': 0}","{'units': 6610, 'nano': 0}","{'units': 6410, 'nano': 0}","{'units': 6480, 'nano': 0}",261,True,1
2025-03-07 00:00:00+00:00,"{'units': 6490, 'nano': 0}","{'units': 6650, 'nano': 0}","{'units': 6320, 'nano': 0}","{'units': 6340, 'nano': 0}",237,True,1
2025-03-10 00:00:00+00:00,"{'units': 6430, 'nano': 0}","{'units': 6460, 'nano': 0}","{'units': 6380, 'nano': 0}","{'units': 6400, 'nano': 0}",123,True,1
2025-03-11 00:00:00+00:00,"{'units': 6380, 'nano': 0}","{'units': 6390, 'nano': 0}","{'units': 6270, 'nano': 0}","{'units': 6300, 'nano': 0}",162,True,1
