time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 1352, 'nano': 0}","{'units': 1369, 'nano': 400000000}","{'units': 1308, 'nano': 600000000}","{'units': 1341, 'nano': 600000000}",240107,True,1
2025-02-05 00:00:00+00:00,"{'units': 1344, 'nano': 0}","{'units': 1369, 'nano': 800000000}","{'units': 1325, 'nano': 0}","{'units': 1362, 'nano': 800000000}",152210,True,1
2025-02-06 00:00:00+00:00,"{'units': 1363, 'nano': 0}","{'units': 1368, 'nano': 0}","{'units': 1342, 'nano': 200000000}","{'units': 1352, 'nano': 600000000}",125888,True,1
2025-02-07 00:00:00+00:00,"{'units': 1357, 'nano': 600000000}","{'units': 1374, 'nano': 800000000}","{'units': 1345, 'nano': 0}","{'units': 1350, 'nano': 400000000}",130062,True,1
2025-02-10 00:00:00+00:00,"{'units': 1370, 'nano': 0}","{'units': 1370, 'nano': 0}","{'units': 1343, 'nano': 0}","{'units': 1349, 'nano': 200000000}",127984,True,1
2025-02-11 00:00:00+00:00,"{'units': 1357, 'nano': 800000000}","{'units': 1402, 'nano': 600000000}","{'units': 1351, 'nano': 600000000}","{'units': 1370, 'nano': 600000000}",383660,True,1
2025-02-12 00:00:00+00:00,"{'units': 1382, 'nano': 0}","{'units': 1447, 'nano': 200000000}","{'units': 1372, 'nano': 0}","{'units': 1415, 'nano': 800000000}",907976,True,1
2025-02-13 00:00:00+00:00,"{'units': 1440, 'nano': 400000000}","{'units': 1500, 'nano': 0}","{'units': 1411, 'nano': 0}","{'units': 1499, 'nano': 600000000}",635311,True,1
2025-02-14 00:00:00+00:00,"{'units': 1508, 'nano': 0}","{'units': 1572, 'nano': 800000000}","{'units': 1417, 'nano': 200000000}","{'units': 1459, 'nano': 0}",1221164,True,1
2025-02-17 00:00:00+00:00,"{'units': 1510, 'nano': 0}","{'units': 1580, 'nano': 0}","{'units': 1475, 'nano': 600000000}","{'units': 1575, 'nano': 0}",535435,True,1
2025-02-18 00:00:00+00:00,"{'units': 1551, 'nano': 0}","{'units': 1573, 'nano': 400000000}","{'units': 1491, 'nano': 200000000}","{'units': 1519, 'nano': 400000000}",456479,True,1
2025-02-19 00:00:00+00:00,"{'units': 1541, 'nano': 0}","{'units': 1620, 'nano': 200000000}","{'units': 1519, 'nano': 400000000}","{'units': 1593, 'nano': 800000000}",513845,True,1
2025-02-20 00:00:00+00:00,"{'units': 1593, 'nano': 800000000}","{'units': 1691, 'nano': 0}","{'units': 1588, 'nano': 800000000}","{'units': 1637, 'nano': 400000000}",1172135,True,1
2025-02-21 00:00:00+00:00,"{'units': 1637, 'nano': 600000000}","{'units': 1673, 'nano': 0}","{'units': 1612, 'nano': 0}","{'units': 1634, 'nano': 800000000}",376372,True,1
2025-02-24 00:00:00+00:00,"{'units': 1635, 'nano': 0}","{'units': 1657, 'nano': 0}","{'units': 1620, 'nano': 0}","{'units': 1638, 'nano': 0}",226525,True,1
2025-02-25 00:00:00+00:00,"{'units': 1639, 'nano': 0}","{'units': 1658, 'nano': 0}","{'units': 1622, 'nano': 0}","{'units': 1629, 'nano': 400000000}",306349,True,1
2025-02-26 00:00:00+00:00,"{'units': 1636, 'nano': 200000000}","{'units': 1641, 'nano': 200000000}","{'units': 1580, 'nano': 400000000}","{'units': 1598, 'nano': 0}",276637,True,1
