time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 279, 'nano': 550000000}","{'units': 281, 'nano': 410000000}","{'units': 275, 'nano': 700000000}","{'units': 277, 'nano': 400000000}",23986670,True,1
2025-02-05 00:00:00+00:00,"{'units': 277, 'nano': 300000000}","{'units': 283, 'nano': 890000000}","{'units': 275, 'nano': 340000000}","{'units': 282, 'nano': 880000000}",43070410,True,1
2025-02-06 00:00:00+00:00,"{'units': 283, 'nano': 890000000}","{'units': 288, 'nano': 920000000}","{'units': 282, 'nano': 90000000}","{'units': 287, 'nano': 150000000}",69336490,True,1
2025-02-07 00:00:00+00:00,"{'units': 287, 'nano': 660000000}","{'units': 288, 'nano': 900000000}","{'units': 285, 'nano': 80000000}","{'units': 285, 'nano': 810000000}",27574460,True,1
2025-02-10 00:00:00+00:00,"{'units': 287, 'nano': 610000000}","{'units': 294, 'nano': 550000000}","{'units': 287, 'nano': 610000000}","{'units': 289, 'nano': 940000000}",73052590,True,1
2025-02-11 00:00:00+00:00,"{'units': 290, 'nano': 350000000}","{'units': 294, 'nano': 100000000}","{'units': 289, 'nano': 300000000}","{'units': 294, 'nano': 60000000}",56009830,True,1
2025-02-12 00:00:00+00:00,"{'units': 294, 'nano': 300000000}","{'units': 314, 'nano': 400000000}","{'units': 291, 'nano': 300000000}","{'units': 314, 'nano': 0}",185816680,True,1
2025-02-13 00:00:00+00:00,"{'units': 315, 'nano': 610000000}","{'units': 318, 'nano': 720000000}","{'units': 307, 'nano': 200000000}","{'units': 310, 'nano': 100000000}",116925810,True,1
2025-02-14 00:00:00+00:00,"{'units': 315, 'nano': 590000000}","{'units': 317, 'nano': 840000000}","{'units': 303, 'nano': 60000000}","{'units': 309, 'nano': 870000000}",126690930,True,1
2025-02-17 00:00:00+00:00,"{'units': 314, 'nano': 0}","{'units': 319, 'nano': 550000000}","{'units': 312, 'nano': 310000000}","{'units': 319, 'nano': 500000000}",84827010,True,1
2025-02-18 00:00:00+00:00,"{'units': 319, 'nano': 990000000}","{'units': 320, 'nano': 920000000}","{'units': 310, 'nano': 210000000}","{'units': 312, 'nano': 950000000}",85001770,True,1
2025-02-19 00:00:00+00:00,"{'units': 313, 'nano': 530000000}","{'units': 317, 'nano': 250000000}","{'units': 311, 'nano': 10000000}","{'units': 315, 'nano': 910000000}",50484340,True,1
2025-02-20 00:00:00+00:00,"{'units': 315, 'nano': 910000000}","{'units': 317, 'nano': 960000000}","{'units': 314, 'nano': 20000000}","{'units': 315, 'nano': 50000000}",33164900,True,1
2025-02-21 00:00:00+00:00,"{'units': 315, 'nano': 480000000}","{'units': 316, 'nano': 690000000}","{'units': 312, 'nano': 0}","{'units': 314, 'nano': 740000000}",32725520,True,1
2025-02-24 00:00:00+00:00,"{'units': 314, 'nano': 920000000}","{'units': 316, 'nano': 400000000}","{'units': 313, 'nano': 0}","{'units': 316, 'nano': 30000000}",35730390,True,1
2025-02-25 00:00:00+00:00,"{'units': 316, 'nano': 30000000}","{'units': 318, 'nano': 590000000}","{'units': 315, 'nano': 620000000}","{'units': 316, 'nano': 970000000}",38823770,True,1
2025-02-26 00:00:00+00:00,"{'units': 316, 'nano': 970000000}","{'units': 317, 'nano': 450000000}","{'units': 308, 'nano': 310000000}","{'units': 310, 'nano': 220000000}",73827020,True,1
2025-02-27 00:00:00+00:00,"{'units': 310, 'nano': 220000000}","{'units': 312, 'nano': 450000000}","{'units': 305, 'nano': 430000000}","{'units': 307, 'nano': 100000000}",60936490,True,1
2025-02-28 00:00:00+00:00,"{'units': 306, 'nano': 10000000}","{'units': 310, 'nano': 400000000}","{'units': 304, 'nano': 50000000}","{'units': 309, 'nano': 630000000}",65681370,True,1
2025-03-01 00:00:00+00:00,"{'units': 309, 'nano': 840000000}","{'units': 310, 'nano': 940000000}","{'units': 309, 'nano': 470000000}","{'units': 310, 'nano': 110000000}",1138430,True,1
2025-03-02 00:00:00+00:00,"{'units': 309, 'nano': 500000000}","{'units': 309, 'nano': 630000000}","{'units': 306, 'nano': 800000000}","{'units': 307, 'nano': 440000000}",1885110,True,1
2025-03-03 00:00:00+00:00,"{'units': 306, 'nano': 450000000}","{'units': 307, 'nano': 920000000}","{'units': 300, 'nano': 200000000}","{'units': 305, 'nano': 500000000}",66467290,True,1
2025-03-04 00:00:00+00:00,"{'units': 306, 'nano': 950000000}","{'units': 318, 'nano': 500000000}","{'units': 306, 'nano': 140000000}","{'units': 316, 'nano': 400000000}",88130960,True,1
2025-03-05 00:00:00+00:00,"{'units': 316, 'nano': 400000000}","{'units': 318, 'nano': 300000000}","{'units': 313, 'nano': 0}","{'units': 313, 'nano': 560000000}",57792400,True,1
2025-03-06 00:00:00+00:00,"{'units': 313, 'nano': 600000000}","{'units': 317, 'nano': 430000000}","{'units': 313, 'nano': 570000000}","{'units': 315, 'nano': 180000000}",31963110,True,1
