time,open,high,low,close,volume,is_complete,candle_source
2026-02-03 13:00:00+00:00,"{'units': 304, 'nano': 350000000}","{'units': 304, 'nano': 810000000}","{'units': 304, 'nano': 230000000}","{'units': 304, 'nano': 810000000}",916700,True,1
2026-02-03 14:00:00+00:00,"{'units': 304, 'nano': 790000000}","{'units': 304, 'nano': 810000000}","{'units': 304, 'nano': 460000000}","{'units': 304, 'nano': 740000000}",1089182,True,1
2026-02-03 15:00:00+00:00,"{'units': 304, 'nano': 740000000}","{'units': 304, 'nano': 790000000}","{'units': 304, 'nano': 60000000}","{'units': 304, 'nano': 200000000}",909956,True,1
2026-02-03 16:00:00+00:00,"{'units': 304, 'nano': 220000000}","{'units': 304, 'nano': 240000000}","{'units': 303, 'nano': 600000000}","{'units': 304, 'nano': 90000000}",401824,True,1
2026-02-03 17:00:00+00:00,"{'units': 304, 'nano': 80000000}","{'units': 304, 'nano': 90000000}","{'units': 303, 'nano': 630000000}","{'units': 303, 'nano': 700000000}",395240,True,1
2026-02-03 18:00:00+00:00,"{'units': 303, 'nano': 710000000}","{'units': 304, 'nano': 340000000}","{'units': 303, 'nano': 600000000}","{'units': 304, 'nano': 170000000}",507093,True,1
2026-02-03 19:00:00+00:00,"{'units': 304, 'nano': 180000000}","{'units': 304, 'nano': 220000000}","{'units': 303, 'nano': 900000000}","{'units': 303, 'nano': 910000000}",193305,True,1
2026-02-03 20:00:00+00:00,"{'units': 303, 'nano': 900000000}","{'units': 303, 'nano': 950000000}","{'units': 303, 'nano': 500000000}","{'units': 303, 'nano': 810000000}",293707,True,1
2026-02-04 03:00:00+00:00,"{'units': 303, 'nano': 970000000}","{'units': 303, 'nano': 970000000}","{'units': 303, 'nano': 970000000}","{'units': 303, 'nano': 970000000}",1588,True,1
2026-02-04 04:00:00+00:00,"{'units': 303, 'nano': 970000000}","{'units': 304, 'nano': 590000000}","{'units': 303, 'nano': 930000000}","{'units': 304, 'nano': 220000000}",304915,True,1
2026-02-04 05:00:00+00:00,"{'units': 304, 'nano': 220000000}","{'units': 304, 'nano': 790000000}","{'units': 304, 'nano': 60000000}","{'units': 304, 'nano': 640000000}",535831,True,1
2026-02-04 06:00:00+00:00,"{'units': 304, 'nano': 590000000}","{'units': 305, 'nano': 400000000}","{'units': 304, 'nano': 360000000}","{'units': 305, 'nano': 400000000}",1639514,True,1
2026-02-04 07:00:00+00:00,"{'units': 305, 'nano': 400000000}","{'units': 305, 'nano': 700000000}","{'units': 304, 'nano': 600000000}","{'units': 305, 'nano': 580000000}",3785358,True,1
2026-02-04 08:00:00+00:00,"{'units': 305, 'nano': 570000000}","{'units': 305, 'nano': 800000000}","{'units': 305, 'nano': 200000000}","{'units': 305, 'nano': 280000000}",2284876,True,1
2026-02-04 09:00:00+00:00,"{'units': 305, 'nano': 290000000}","{'units': 305, 'nano': 600000000}","{'units': 304, 'nano': 910000000}","{'units': 305, 'nano': 390000000}",1222803,True,1
2026-02-04 10:00:00+00:00,"{'units': 305, 'nano': 390000000}","{'units': 305, 'nano': 790000000}","{'units': 305, 'nano': 180000000}","{'units': 305, 'nano': 640000000}",1159446,True,1
2026-02-04 11:00:00+00:00,"{'units': 305, 'nano': 590000000}","{'units': 305, 'nano': 790000000}","{'units': 304, 'nano': 270000000}","{'units': 304, 'nano': 730000000}",1138258,True,1
2026-02-04 12:00:00+00:00,"{'units': 304, 'nano': 730000000}","{'units': 305, 'nano': 230000000}","{'units': 304, 'nano': 610000000}","{'units': 304, 'nano': 740000000}",925844,True,1
