time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 520, 'nano': 0}","{'units': 525, 'nano': 0}","{'units': 515, 'nano': 350000000}","{'units': 518, 'nano': 950000000}",3127284,True,1
2025-02-05 00:00:00+00:00,"{'units': 517, 'nano': 600000000}","{'units': 524, 'nano': 300000000}","{'units': 512, 'nano': 300000000}","{'units': 522, 'nano': 50000000}",5330193,True,1
2025-02-06 00:00:00+00:00,"{'units': 522, 'nano': 650000000}","{'units': 531, 'nano': 700000000}","{'units': 517, 'nano': 0}","{'units': 528, 'nano': 200000000}",6144193,True,1
2025-02-07 00:00:00+00:00,"{'units': 527, 'nano': 0}","{'units': 536, 'nano': 0}","{'units': 527, 'nano': 0}","{'units': 530, 'nano': 250000000}",4988764,True,1
2025-02-10 00:00:00+00:00,"{'units': 532, 'nano': 300000000}","{'units': 542, 'nano': 500000000}","{'units': 528, 'nano': 650000000}","{'units': 533, 'nano': 150000000}",5449754,True,1
2025-02-11 00:00:00+00:00,"{'units': 533, 'nano': 800000000}","{'units': 542, 'nano': 0}","{'units': 529, 'nano': 800000000}","{'units': 538, 'nano': 900000000}",4732140,True,1
2025-02-12 00:00:00+00:00,"{'units': 541, 'nano': 0}","{'units': 583, 'nano': 700000000}","{'units': 538, 'nano': 200000000}","{'units': 577, 'nano': 850000000}",12770788,True,1
2025-02-13 00:00:00+00:00,"{'units': 578, 'nano': 100000000}","{'units': 594, 'nano': 0}","{'units': 556, 'nano': 750000000}","{'units': 573, 'nano': 300000000}",16044421,True,1
2025-02-14 00:00:00+00:00,"{'units': 615, 'nano': 0}","{'units': 615, 'nano': 0}","{'units': 519, 'nano': 550000000}","{'units': 561, 'nano': 950000000}",12978048,True,1
2025-02-17 00:00:00+00:00,"{'units': 569, 'nano': 800000000}","{'units': 585, 'nano': 250000000}","{'units': 566, 'nano': 100000000}","{'units': 585, 'nano': 200000000}",6257862,True,1
2025-02-18 00:00:00+00:00,"{'units': 585, 'nano': 350000000}","{'units': 593, 'nano': 600000000}","{'units': 566, 'nano': 650000000}","{'units': 574, 'nano': 200000000}",8536830,True,1
2025-02-19 00:00:00+00:00,"{'units': 575, 'nano': 200000000}","{'units': 579, 'nano': 0}","{'units': 564, 'nano': 600000000}","{'units': 575, 'nano': 950000000}",4112238,True,1
2025-02-20 00:00:00+00:00,"{'units': 576, 'nano': 0}","{'units': 584, 'nano': 400000000}","{'units': 573, 'nano': 150000000}","{'units': 577, 'nano': 950000000}",3118831,True,1
2025-02-21 00:00:00+00:00,"{'units': 580, 'nano': 200000000}","{'units': 581, 'nano': 700000000}","{'units': 567, 'nano': 0}","{'units': 572, 'nano': 550000000}",3888171,True,1
2025-02-24 00:00:00+00:00,"{'units': 571, 'nano': 0}","{'units': 573, 'nano': 700000000}","{'units': 554, 'nano': 400000000}","{'units': 569, 'nano': 450000000}",9153167,True,1
2025-02-25 00:00:00+00:00,"{'units': 569, 'nano': 500000000}","{'units': 585, 'nano': 900000000}","{'units': 567, 'nano': 50000000}","{'units': 582, 'nano': 800000000}",10120498,True,1
2025-02-26 00:00:00+00:00,"{'units': 583, 'nano': 0}","{'units': 584, 'nano': 800000000}","{'units': 562, 'nano': 150000000}","{'units': 569, 'nano': 250000000}",8190461,True,1
2025-02-27 00:00:00+00:00,"{'units': 570, 'nano': 0}","{'units': 571, 'nano': 950000000}","{'units': 551, 'nano': 0}","{'units': 552, 'nano': 850000000}",7468538,True,1
2025-02-28 00:00:00+00:00,"{'units': 552, 'nano': 850000000}","{'units': 562, 'nano': 250000000}","{'units': 541, 'nano': 0}","{'units': 556, 'nano': 50000000}",7058501,True,1
2025-03-01 00:00:00+00:00,"{'units': 559, 'nano': 450000000}","{'units': 560, 'nano': 800000000}","{'units': 558, 'nano': 800000000}","{'units': 559, 'nano': 950000000}",86491,True,1
2025-03-02 00:00:00+00:00,"{'units': 559, 'nano': 950000000}","{'units': 560, 'nano': 400000000}","{'units': 555, 'nano': 200000000}","{'units': 557, 'nano': 450000000}",149692,True,1
2025-03-03 00:00:00+00:00,"{'units': 557, 'nano': 950000000}","{'units': 558, 'nano': 0}","{'units': 535, 'nano': 100000000}","{'units': 539, 'nano': 0}",8902880,True,1
2025-03-04 00:00:00+00:00,"{'units': 539, 'nano': 550000000}","{'units': 549, 'nano': 500000000}","{'units': 532, 'nano': 0}","{'units': 540, 'nano': 100000000}",13868927,True,1
2025-03-05 00:00:00+00:00,"{'units': 541, 'nano': 0}","{'units': 541, 'nano': 800000000}","{'units': 530, 'nano': 0}","{'units': 530, 'nano': 500000000}",9937774,True,1
2025-03-06 00:00:00+00:00,"{'units': 531, 'nano': 0}","{'units': 535, 'nano': 850000000}","{'units': 528, 'nano': 550000000}","{'units': 529, 'nano': 550000000}",4999234,True,1
2025-03-07 00:00:00+00:00,"{'units': 531, 'nano': 400000000}","{'units': 536, 'nano': 950000000}","{'units': 520, 'nano': 400000000}","{'units': 528, 'nano': 800000000}",7449942,True,1
2025-03-10 00:00:00+00:00,"{'units': 528, 'nano': 900000000}","{'units': 534, 'nano': 700000000}","{'units': 525, 'nano': 600000000}","{'units': 527, 'nano': 300000000}",3690111,True,1
2025-03-11 00:00:00+00:00,"{'units': 528, 'nano': 0}","{'units': 531, 'nano': 0}","{'units': 523, 'nano': 500000000}","{'units': 527, 'nano': 350000000}",3488708,True,1
2025-03-12 00:00:00+00:00,"{'units': 528, 'nano': 0}","{'units': 535, 'nano': 50000000}","{'units': 523, 'nano': 50000000}","{'units': 533, 'nano': 700000000}",4982218,True,1
