time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 27, 'nano': 950000000}","{'units': 28, 'nano': 300000000}","{'units': 27, 'nano': 515000000}","{'units': 27, 'nano': 700000000}",312628,True,1
2025-02-05 00:00:00+00:00,"{'units': 27, 'nano': 700000000}","{'units': 28, 'nano': 110000000}","{'units': 26, 'nano': 925000000}","{'units': 27, 'nano': 975000000}",500789,True,1
2025-02-06 00:00:00+00:00,"{'units': 28, 'nano': 100000000}","{'units': 28, 'nano': 760000000}","{'units': 27, 'nano': 900000000}","{'units': 28, 'nano': 370000000}",763769,True,1
2025-02-07 00:00:00+00:00,"{'units': 28, 'nano': 445000000}","{'units': 28, 'nano': 630000000}","{'units': 27, 'nano': 840000000}","{'units': 27, 'nano': 950000000}",382732,True,1
2025-02-10 00:00:00+00:00,"{'units': 28, 'nano': 100000000}","{'units': 28, 'nano': 460000000}","{'units': 27, 'nano': 930000000}","{'units': 28, 'nano': 0}",442852,True,1
2025-02-11 00:00:00+00:00,"{'units': 28, 'nano': 5000000}","{'units': 28, 'nano': 340000000}","{'units': 27, 'nano': 815000000}","{'units': 28, 'nano': 15000000}",384416,True,1
2025-02-12 00:00:00+00:00,"{'units': 28, 'nano': 15000000}","{'units': 29, 'nano': 285000000}","{'units': 27, 'nano': 820000000}","{'units': 28, 'nano': 800000000}",1145561,True,1
2025-02-13 00:00:00+00:00,"{'units': 29, 'nano': 180000000}","{'units': 30, 'nano': 370000000}","{'units': 28, 'nano': 160000000}","{'units': 28, 'nano': 495000000}",1519243,True,1
2025-02-14 00:00:00+00:00,"{'units': 28, 'nano': 695000000}","{'units': 29, 'nano': 190000000}","{'units': 27, 'nano': 70000000}","{'units': 28, 'nano': 140000000}",865457,True,1
2025-02-17 00:00:00+00:00,"{'units': 28, 'nano': 380000000}","{'units': 29, 'nano': 440000000}","{'units': 28, 'nano': 300000000}","{'units': 29, 'nano': 440000000}",700244,True,1
2025-02-18 00:00:00+00:00,"{'units': 29, 'nano': 500000000}","{'units': 29, 'nano': 580000000}","{'units': 28, 'nano': 300000000}","{'units': 28, 'nano': 520000000}",658957,True,1
2025-02-19 00:00:00+00:00,"{'units': 28, 'nano': 550000000}","{'units': 29, 'nano': 300000000}","{'units': 28, 'nano': 205000000}","{'units': 29, 'nano': 140000000}",455347,True,1
2025-02-20 00:00:00+00:00,"{'units': 29, 'nano': 190000000}","{'units': 29, 'nano': 420000000}","{'units': 28, 'nano': 765000000}","{'units': 29, 'nano': 130000000}",571830,True,1
2025-02-21 00:00:00+00:00,"{'units': 29, 'nano': 130000000}","{'units': 29, 'nano': 265000000}","{'units': 28, 'nano': 575000000}","{'units': 28, 'nano': 910000000}",376184,True,1
2025-02-24 00:00:00+00:00,"{'units': 28, 'nano': 995000000}","{'units': 29, 'nano': 95000000}","{'units': 28, 'nano': 640000000}","{'units': 29, 'nano': 85000000}",378870,True,1
2025-02-25 00:00:00+00:00,"{'units': 29, 'nano': 110000000}","{'units': 29, 'nano': 615000000}","{'units': 28, 'nano': 610000000}","{'units': 28, 'nano': 745000000}",828729,True,1
2025-02-26 00:00:00+00:00,"{'units': 28, 'nano': 745000000}","{'units': 28, 'nano': 945000000}","{'units': 27, 'nano': 680000000}","{'units': 28, 'nano': 175000000}",777997,True,1
2025-02-27 00:00:00+00:00,"{'units': 28, 'nano': 170000000}","{'units': 28, 'nano': 195000000}","{'units': 27, 'nano': 480000000}","{'units': 27, 'nano': 505000000}",407620,True,1
2025-02-28 00:00:00+00:00,"{'units': 27, 'nano': 495000000}","{'units': 28, 'nano': 200000000}","{'units': 27, 'nano': 80000000}","{'units': 27, 'nano': 800000000}",511540,True,1
2025-03-01 00:00:00+00:00,"{'units': 27, 'nano': 960000000}","{'units': 28, 'nano': 175000000}","{'units': 27, 'nano': 800000000}","{'units': 28, 'nano': 175000000}",15322,True,1
2025-03-02 00:00:00+00:00,"{'units': 27, 'nano': 795000000}","{'units': 27, 'nano': 995000000}","{'units': 27, 'nano': 645000000}","{'units': 27, 'nano': 700000000}",23675,True,1
2025-03-03 00:00:00+00:00,"{'units': 27, 'nano': 800000000}","{'units': 27, 'nano': 800000000}","{'units': 26, 'nano': 715000000}","{'units': 27, 'nano': 95000000}",526783,True,1
2025-03-04 00:00:00+00:00,"{'units': 27, 'nano': 290000000}","{'units': 28, 'nano': 15000000}","{'units': 27, 'nano': 20000000}","{'units': 27, 'nano': 790000000}",664100,True,1
2025-03-05 00:00:00+00:00,"{'units': 27, 'nano': 800000000}","{'units': 28, 'nano': 480000000}","{'units': 27, 'nano': 300000000}","{'units': 27, 'nano': 390000000}",768062,True,1
2025-03-06 00:00:00+00:00,"{'units': 27, 'nano': 400000000}","{'units': 27, 'nano': 865000000}","{'units': 27, 'nano': 160000000}","{'units': 27, 'nano': 260000000}",515519,True,1
2025-03-07 00:00:00+00:00,"{'units': 27, 'nano': 260000000}","{'units': 27, 'nano': 495000000}","{'units': 26, 'nano': 305000000}","{'units': 26, 'nano': 960000000}",605789,True,1
2025-03-10 00:00:00+00:00,"{'units': 27, 'nano': 30000000}","{'units': 27, 'nano': 235000000}","{'units': 26, 'nano': 725000000}","{'units': 26, 'nano': 800000000}",260221,True,1
2025-03-11 00:00:00+00:00,"{'units': 26, 'nano': 800000000}","{'units': 27, 'nano': 60000000}","{'units': 26, 'nano': 335000000}","{'units': 26, 'nano': 630000000}",478432,True,1
2025-03-12 00:00:00+00:00,"{'units': 26, 'nano': 760000000}","{'units': 26, 'nano': 760000000}","{'units': 25, 'nano': 740000000}","{'units': 25, 'nano': 965000000}",654977,True,1
2025-03-13 00:00:00+00:00,"{'units': 25, 'nano': 960000000}","{'units': 26, 'nano': 60000000}","{'units': 25, 'nano': 25000000}","{'units': 25, 'nano': 790000000}",1137830,True,1
2025-03-14 00:00:00+00:00,"{'units': 25, 'nano': 610000000}","{'units': 26, 'nano': 60000000}","{'units': 25, 'nano': 400000000}","{'units': 25, 'nano': 780000000}",445274,True,1
2025-03-15 00:00:00+00:00,"{'units': 25, 'nano': 865000000}","{'units': 26, 'nano': 110000000}","{'units': 25, 'nano': 790000000}","{'units': 26, 'nano': 40000000}",22800,True,1
2025-03-16 00:00:00+00:00,"{'units': 26, 'nano': 120000000}","{'units': 26, 'nano': 500000000}","{'units': 26, 'nano': 90000000}","{'units': 26, 'nano': 360000000}",81766,True,1
2025-03-17 00:00:00+00:00,"{'units': 26, 'nano': 360000000}","{'units': 26, 'nano': 500000000}","{'units': 26, 'nano': 0}","{'units': 26, 'nano': 185000000}",546469,True,1
2025-03-18 00:00:00+00:00,"{'units': 26, 'nano': 220000000}","{'units': 26, 'nano': 450000000}","{'units': 25, 'nano': 800000000}","{'units': 25, 'nano': 905000000}",590200,True,1
2025-03-19 00:00:00+00:00,"{'units': 25, 'nano': 980000000}","{'units': 26, 'nano': 620000000}","{'units': 25, 'nano': 705000000}","{'units': 26, 'nano': 355000000}",540437,True,1
2025-03-20 00:00:00+00:00,"{'units': 26, 'nano': 530000000}","{'units': 26, 'nano': 590000000}","{'units': 25, 'nano': 750000000}","{'units': 26, 'nano': 105000000}",482923,True,1
2025-03-21 00:00:00+00:00,"{'units': 26, 'nano': 120000000}","{'units': 26, 'nano': 415000000}","{'units': 25, 'nano': 870000000}","{'units': 26, 'nano': 190000000}",323460,True,1
2025-03-24 00:00:00+00:00,"{'units': 26, 'nano': 175000000}","{'units': 27, 'nano': 375000000}","{'units': 25, 'nano': 820000000}","{'units': 27, 'nano': 130000000}",1111255,True,1
2025-03-25 00:00:00+00:00,"{'units': 27, 'nano': 135000000}","{'units': 27, 'nano': 490000000}","{'units': 26, 'nano': 805000000}","{'units': 27, 'nano': 185000000}",930228,True,1
2025-03-26 00:00:00+00:00,"{'units': 27, 'nano': 375000000}","{'units': 27, 'nano': 430000000}","{'units': 26, 'nano': 295000000}","{'units': 26, 'nano': 400000000}",395562,True,1
2025-03-27 00:00:00+00:00,"{'units': 26, 'nano': 300000000}","{'units': 26, 'nano': 610000000}","{'units': 25, 'nano': 920000000}","{'units': 26, 'nano': 150000000}",549660,True,1
2025-03-28 00:00:00+00:00,"{'units': 26, 'nano': 165000000}","{'units': 26, 'nano': 285000000}","{'units': 25, 'nano': 400000000}","{'units': 25, 'nano': 475000000}",566787,True,1
2025-03-29 00:00:00+00:00,"{'units': 25, 'nano': 570000000}","{'units': 25, 'nano': 570000000}","{'units': 24, 'nano': 855000000}","{'units': 24, 'nano': 970000000}",91508,True,1
2025-03-30 00:00:00+00:00,"{'units': 24, 'nano': 950000000}","{'units': 25, 'nano': 105000000}","{'units': 24, 'nano': 855000000}","{'units': 24, 'nano': 855000000}",39120,True,1
