time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 78020000}","{'units': 0, 'nano': 78400000}","{'units': 0, 'nano': 75620000}","{'units': 0, 'nano': 75960000}",173442,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 76260000}","{'units': 0, 'nano': 78300000}","{'units': 0, 'nano': 75300000}","{'units': 0, 'nano': 77860000}",222084,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 77800000}","{'units': 0, 'nano': 78920000}","{'units': 0, 'nano': 76960000}","{'units': 0, 'nano': 78680000}",245379,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 78680000}","{'units': 0, 'nano': 79580000}","{'units': 0, 'nano': 77900000}","{'units': 0, 'nano': 78880000}",211280,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 79220000}","{'units': 0, 'nano': 80860000}","{'units': 0, 'nano': 78020000}","{'units': 0, 'nano': 78100000}",330645,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 78500000}","{'units': 0, 'nano': 79160000}","{'units': 0, 'nano': 77300000}","{'units': 0, 'nano': 79000000}",254527,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 78960000}","{'units': 0, 'nano': 82780000}","{'units': 0, 'nano': 78420000}","{'units': 0, 'nano': 82380000}",754938,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 82800000}","{'units': 0, 'nano': 86600000}","{'units': 0, 'nano': 81040000}","{'units': 0, 'nano': 82980000}",742742,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 83100000}","{'units': 0, 'nano': 85400000}","{'units': 0, 'nano': 81020000}","{'units': 0, 'nano': 81820000}",683054,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 82680000}","{'units': 0, 'nano': 87000000}","{'units': 0, 'nano': 82500000}","{'units': 0, 'nano': 86780000}",648597,True,1
