time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 1192, 'nano': 0}","{'units': 1205, 'nano': 800000000}","{'units': 1171, 'nano': 600000000}","{'units': 1175, 'nano': 0}",2593783,True,1
2025-02-05 00:00:00+00:00,"{'units': 1175, 'nano': 0}","{'units': 1205, 'nano': 0}","{'units': 1162, 'nano': 800000000}","{'units': 1202, 'nano': 800000000}",1483536,True,1
2025-02-06 00:00:00+00:00,"{'units': 1202, 'nano': 0}","{'units': 1210, 'nano': 600000000}","{'units': 1190, 'nano': 0}","{'units': 1196, 'nano': 800000000}",1312255,True,1
2025-02-07 00:00:00+00:00,"{'units': 1196, 'nano': 0}","{'units': 1212, 'nano': 400000000}","{'units': 1193, 'nano': 200000000}","{'units': 1207, 'nano': 600000000}",709893,True,1
2025-02-10 00:00:00+00:00,"{'units': 1209, 'nano': 0}","{'units': 1227, 'nano': 400000000}","{'units': 1203, 'nano': 400000000}","{'units': 1205, 'nano': 400000000}",842682,True,1
2025-02-11 00:00:00+00:00,"{'units': 1204, 'nano': 0}","{'units': 1242, 'nano': 0}","{'units': 1198, 'nano': 600000000}","{'units': 1242, 'nano': 0}",1071891,True,1
2025-02-12 00:00:00+00:00,"{'units': 1242, 'nano': 0}","{'units': 1329, 'nano': 0}","{'units': 1239, 'nano': 600000000}","{'units': 1313, 'nano': 600000000}",2036064,True,1
2025-02-13 00:00:00+00:00,"{'units': 1319, 'nano': 600000000}","{'units': 1366, 'nano': 200000000}","{'units': 1277, 'nano': 0}","{'units': 1325, 'nano': 0}",1824368,True,1
2025-02-14 00:00:00+00:00,"{'units': 1429, 'nano': 200000000}","{'units': 1429, 'nano': 200000000}","{'units': 1201, 'nano': 600000000}","{'units': 1307, 'nano': 600000000}",1729212,True,1
2025-02-17 00:00:00+00:00,"{'units': 1316, 'nano': 0}","{'units': 1371, 'nano': 400000000}","{'units': 1315, 'nano': 0}","{'units': 1371, 'nano': 400000000}",1078617,True,1
2025-02-18 00:00:00+00:00,"{'units': 1372, 'nano': 0}","{'units': 1380, 'nano': 800000000}","{'units': 1303, 'nano': 0}","{'units': 1313, 'nano': 400000000}",1231143,True,1
2025-02-19 00:00:00+00:00,"{'units': 1313, 'nano': 400000000}","{'units': 1349, 'nano': 600000000}","{'units': 1300, 'nano': 0}","{'units': 1340, 'nano': 800000000}",808676,True,1
2025-02-20 00:00:00+00:00,"{'units': 1341, 'nano': 0}","{'units': 1363, 'nano': 800000000}","{'units': 1331, 'nano': 600000000}","{'units': 1345, 'nano': 200000000}",872354,True,1
2025-02-21 00:00:00+00:00,"{'units': 1347, 'nano': 0}","{'units': 1395, 'nano': 0}","{'units': 1336, 'nano': 400000000}","{'units': 1385, 'nano': 800000000}",1576066,True,1
2025-02-24 00:00:00+00:00,"{'units': 1379, 'nano': 0}","{'units': 1444, 'nano': 400000000}","{'units': 1376, 'nano': 0}","{'units': 1442, 'nano': 200000000}",1781725,True,1
2025-02-25 00:00:00+00:00,"{'units': 1444, 'nano': 0}","{'units': 1449, 'nano': 400000000}","{'units': 1407, 'nano': 200000000}","{'units': 1416, 'nano': 200000000}",1262289,True,1
2025-02-26 00:00:00+00:00,"{'units': 1417, 'nano': 800000000}","{'units': 1432, 'nano': 600000000}","{'units': 1350, 'nano': 400000000}","{'units': 1363, 'nano': 600000000}",1338855,True,1
2025-02-27 00:00:00+00:00,"{'units': 1363, 'nano': 600000000}","{'units': 1392, 'nano': 0}","{'units': 1332, 'nano': 600000000}","{'units': 1351, 'nano': 0}",935763,True,1
2025-02-28 00:00:00+00:00,"{'units': 1338, 'nano': 0}","{'units': 1367, 'nano': 0}","{'units': 1317, 'nano': 400000000}","{'units': 1350, 'nano': 200000000}",1325773,True,1
2025-03-01 00:00:00+00:00,"{'units': 1358, 'nano': 0}","{'units': 1364, 'nano': 600000000}","{'units': 1350, 'nano': 600000000}","{'units': 1357, 'nano': 600000000}",9585,True,1
2025-03-02 00:00:00+00:00,"{'units': 1352, 'nano': 0}","{'units': 1358, 'nano': 800000000}","{'units': 1341, 'nano': 0}","{'units': 1347, 'nano': 0}",12878,True,1
