time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 4625, 'nano': 0}","{'units': 4665, 'nano': 0}","{'units': 4571, 'nano': 0}","{'units': 4591, 'nano': 0}",227024,True,1
2025-02-05 00:00:00+00:00,"{'units': 4591, 'nano': 0}","{'units': 4714, 'nano': 0}","{'units': 4526, 'nano': 0}","{'units': 4678, 'nano': 0}",479015,True,1
2025-02-06 00:00:00+00:00,"{'units': 4681, 'nano': 0}","{'units': 4719, 'nano': 0}","{'units': 4655, 'nano': 0}","{'units': 4680, 'nano': 500000000}",298574,True,1
2025-02-07 00:00:00+00:00,"{'units': 4699, 'nano': 0}","{'units': 4735, 'nano': 0}","{'units': 4631, 'nano': 500000000}","{'units': 4662, 'nano': 0}",330499,True,1
2025-02-10 00:00:00+00:00,"{'units': 4689, 'nano': 0}","{'units': 4795, 'nano': 0}","{'units': 4680, 'nano': 0}","{'units': 4705, 'nano': 500000000}",594082,True,1
2025-02-11 00:00:00+00:00,"{'units': 4705, 'nano': 500000000}","{'units': 4925, 'nano': 0}","{'units': 4705, 'nano': 0}","{'units': 4902, 'nano': 0}",1098562,True,1
2025-02-12 00:00:00+00:00,"{'units': 4888, 'nano': 0}","{'units': 5075, 'nano': 0}","{'units': 4833, 'nano': 0}","{'units': 5029, 'nano': 0}",1307531,True,1
2025-02-13 00:00:00+00:00,"{'units': 5060, 'nano': 0}","{'units': 5249, 'nano': 500000000}","{'units': 4960, 'nano': 0}","{'units': 5055, 'nano': 500000000}",1337712,True,1
2025-02-14 00:00:00+00:00,"{'units': 5055, 'nano': 500000000}","{'units': 5156, 'nano': 0}","{'units': 4900, 'nano': 0}","{'units': 4938, 'nano': 0}",1048950,True,1
2025-02-17 00:00:00+00:00,"{'units': 4995, 'nano': 0}","{'units': 5208, 'nano': 0}","{'units': 4992, 'nano': 0}","{'units': 5199, 'nano': 0}",1038537,True,1
2025-02-18 00:00:00+00:00,"{'units': 5200, 'nano': 0}","{'units': 5216, 'nano': 0}","{'units': 5054, 'nano': 500000000}","{'units': 5125, 'nano': 0}",681475,True,1
2025-02-19 00:00:00+00:00,"{'units': 5146, 'nano': 0}","{'units': 5215, 'nano': 0}","{'units': 5061, 'nano': 500000000}","{'units': 5195, 'nano': 0}",512755,True,1
2025-02-20 00:00:00+00:00,"{'units': 5184, 'nano': 500000000}","{'units': 5430, 'nano': 0}","{'units': 5180, 'nano': 0}","{'units': 5324, 'nano': 500000000}",1003635,True,1
2025-02-21 00:00:00+00:00,"{'units': 5324, 'nano': 500000000}","{'units': 5404, 'nano': 0}","{'units': 5255, 'nano': 0}","{'units': 5340, 'nano': 0}",462789,True,1
2025-02-24 00:00:00+00:00,"{'units': 5346, 'nano': 0}","{'units': 5416, 'nano': 500000000}","{'units': 5311, 'nano': 500000000}","{'units': 5365, 'nano': 0}",496987,True,1
2025-02-25 00:00:00+00:00,"{'units': 5366, 'nano': 0}","{'units': 5470, 'nano': 0}","{'units': 5320, 'nano': 0}","{'units': 5384, 'nano': 500000000}",667696,True,1
2025-02-26 00:00:00+00:00,"{'units': 5386, 'nano': 500000000}","{'units': 5433, 'nano': 0}","{'units': 5139, 'nano': 0}","{'units': 5167, 'nano': 0}",601170,True,1
2025-02-27 00:00:00+00:00,"{'units': 5165, 'nano': 0}","{'units': 5218, 'nano': 0}","{'units': 4960, 'nano': 0}","{'units': 5005, 'nano': 0}",612634,True,1
2025-02-28 00:00:00+00:00,"{'units': 5006, 'nano': 0}","{'units': 5034, 'nano': 0}","{'units': 4810, 'nano': 0}","{'units': 4950, 'nano': 0}",1576546,True,1
2025-03-01 00:00:00+00:00,"{'units': 4987, 'nano': 0}","{'units': 4993, 'nano': 0}","{'units': 4960, 'nano': 0}","{'units': 4970, 'nano': 500000000}",11793,True,1
2025-03-02 00:00:00+00:00,"{'units': 4968, 'nano': 0}","{'units': 4998, 'nano': 0}","{'units': 4951, 'nano': 0}","{'units': 4970, 'nano': 0}",20877,True,1
2025-03-03 00:00:00+00:00,"{'units': 4974, 'nano': 0}","{'units': 4983, 'nano': 0}","{'units': 4832, 'nano': 500000000}","{'units': 4909, 'nano': 0}",592864,True,1
2025-03-04 00:00:00+00:00,"{'units': 4925, 'nano': 0}","{'units': 5074, 'nano': 500000000}","{'units': 4900, 'nano': 0}","{'units': 5037, 'nano': 0}",556772,True,1
2025-03-05 00:00:00+00:00,"{'units': 5050, 'nano': 0}","{'units': 5140, 'nano': 0}","{'units': 4990, 'nano': 0}","{'units': 5015, 'nano': 500000000}",532823,True,1
2025-03-06 00:00:00+00:00,"{'units': 5015, 'nano': 0}","{'units': 5073, 'nano': 500000000}","{'units': 4950, 'nano': 0}","{'units': 5000, 'nano': 0}",383183,True,1
2025-03-07 00:00:00+00:00,"{'units': 5005, 'nano': 0}","{'units': 5060, 'nano': 0}","{'units': 4865, 'nano': 0}","{'units': 4936, 'nano': 500000000}",501630,True,1
2025-03-10 00:00:00+00:00,"{'units': 4955, 'nano': 0}","{'units': 4988, 'nano': 0}","{'units': 4841, 'nano': 0}","{'units': 4841, 'nano': 500000000}",352164,True,1
2025-03-11 00:00:00+00:00,"{'units': 4841, 'nano': 500000000}","{'units': 4924, 'nano': 0}","{'units': 4800, 'nano': 0}","{'units': 4900, 'nano': 0}",462172,True,1
2025-03-12 00:00:00+00:00,"{'units': 4915, 'nano': 0}","{'units': 4924, 'nano': 0}","{'units': 4821, 'nano': 0}","{'units': 4852, 'nano': 0}",250481,True,1
2025-03-13 00:00:00+00:00,"{'units': 4868, 'nano': 500000000}","{'units': 4895, 'nano': 500000000}","{'units': 4718, 'nano': 0}","{'units': 4830, 'nano': 0}",531561,True,1
2025-03-14 00:00:00+00:00,"{'units': 4830, 'nano': 0}","{'units': 4937, 'nano': 500000000}","{'units': 4758, 'nano': 500000000}","{'units': 4923, 'nano': 0}",401057,True,1
2025-03-15 00:00:00+00:00,"{'units': 4927, 'nano': 0}","{'units': 4953, 'nano': 500000000}","{'units': 4924, 'nano': 0}","{'units': 4934, 'nano': 0}",20580,True,1
2025-03-16 00:00:00+00:00,"{'units': 4934, 'nano': 0}","{'units': 4970, 'nano': 0}","{'units': 4920, 'nano': 500000000}","{'units': 4970, 'nano': 0}",25126,True,1
2025-03-17 00:00:00+00:00,"{'units': 4972, 'nano': 500000000}","{'units': 5043, 'nano': 500000000}","{'units': 4952, 'nano': 0}","{'units': 4977, 'nano': 500000000}",412030,True,1
2025-03-18 00:00:00+00:00,"{'units': 4978, 'nano': 0}","{'units': 5030, 'nano': 0}","{'units': 4860, 'nano': 500000000}","{'units': 4892, 'nano': 0}",472347,True,1
