time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 685, 'nano': 0}","{'units': 693, 'nano': 0}","{'units': 683, 'nano': 200000000}","{'units': 686, 'nano': 700000000}",2036546,True,1
2025-02-05 00:00:00+00:00,"{'units': 685, 'nano': 500000000}","{'units': 692, 'nano': 0}","{'units': 674, 'nano': 500000000}","{'units': 690, 'nano': 600000000}",2441951,True,1
2025-02-06 00:00:00+00:00,"{'units': 691, 'nano': 400000000}","{'units': 699, 'nano': 300000000}","{'units': 682, 'nano': 700000000}","{'units': 695, 'nano': 800000000}",2640768,True,1
2025-02-07 00:00:00+00:00,"{'units': 697, 'nano': 0}","{'units': 704, 'nano': 600000000}","{'units': 688, 'nano': 600000000}","{'units': 697, 'nano': 0}",2460458,True,1
2025-02-10 00:00:00+00:00,"{'units': 698, 'nano': 0}","{'units': 707, 'nano': 0}","{'units': 696, 'nano': 800000000}","{'units': 700, 'nano': 300000000}",1847502,True,1
2025-02-11 00:00:00+00:00,"{'units': 700, 'nano': 300000000}","{'units': 707, 'nano': 0}","{'units': 700, 'nano': 0}","{'units': 702, 'nano': 800000000}",1577241,True,1
2025-02-12 00:00:00+00:00,"{'units': 702, 'nano': 600000000}","{'units': 739, 'nano': 0}","{'units': 693, 'nano': 700000000}","{'units': 737, 'nano': 0}",4487716,True,1
2025-02-13 00:00:00+00:00,"{'units': 735, 'nano': 600000000}","{'units': 752, 'nano': 800000000}","{'units': 708, 'nano': 0}","{'units': 711, 'nano': 600000000}",5051260,True,1
2025-02-14 00:00:00+00:00,"{'units': 698, 'nano': 700000000}","{'units': 738, 'nano': 700000000}","{'units': 675, 'nano': 0}","{'units': 716, 'nano': 900000000}",4686293,True,1
2025-02-17 00:00:00+00:00,"{'units': 720, 'nano': 500000000}","{'units': 749, 'nano': 100000000}","{'units': 717, 'nano': 900000000}","{'units': 748, 'nano': 900000000}",2292983,True,1
2025-02-18 00:00:00+00:00,"{'units': 749, 'nano': 100000000}","{'units': 750, 'nano': 0}","{'units': 731, 'nano': 900000000}","{'units': 737, 'nano': 500000000}",2663448,True,1
2025-02-19 00:00:00+00:00,"{'units': 737, 'nano': 600000000}","{'units': 749, 'nano': 900000000}","{'units': 728, 'nano': 100000000}","{'units': 744, 'nano': 500000000}",1525934,True,1
2025-02-20 00:00:00+00:00,"{'units': 744, 'nano': 500000000}","{'units': 750, 'nano': 300000000}","{'units': 736, 'nano': 800000000}","{'units': 745, 'nano': 300000000}",1610587,True,1
2025-02-21 00:00:00+00:00,"{'units': 745, 'nano': 700000000}","{'units': 759, 'nano': 400000000}","{'units': 742, 'nano': 0}","{'units': 754, 'nano': 400000000}",2791099,True,1
2025-02-24 00:00:00+00:00,"{'units': 749, 'nano': 900000000}","{'units': 757, 'nano': 600000000}","{'units': 742, 'nano': 100000000}","{'units': 752, 'nano': 800000000}",2432343,True,1
2025-02-25 00:00:00+00:00,"{'units': 752, 'nano': 800000000}","{'units': 769, 'nano': 800000000}","{'units': 749, 'nano': 100000000}","{'units': 764, 'nano': 300000000}",3694060,True,1
2025-02-26 00:00:00+00:00,"{'units': 764, 'nano': 300000000}","{'units': 769, 'nano': 500000000}","{'units': 729, 'nano': 0}","{'units': 737, 'nano': 300000000}",3651745,True,1
2025-02-27 00:00:00+00:00,"{'units': 737, 'nano': 300000000}","{'units': 741, 'nano': 800000000}","{'units': 710, 'nano': 0}","{'units': 713, 'nano': 0}",2560796,True,1
2025-02-28 00:00:00+00:00,"{'units': 713, 'nano': 0}","{'units': 740, 'nano': 700000000}","{'units': 704, 'nano': 200000000}","{'units': 732, 'nano': 400000000}",2920350,True,1
2025-03-01 00:00:00+00:00,"{'units': 732, 'nano': 700000000}","{'units': 739, 'nano': 200000000}","{'units': 732, 'nano': 700000000}","{'units': 736, 'nano': 800000000}",39253,True,1
2025-03-02 00:00:00+00:00,"{'units': 738, 'nano': 0}","{'units': 739, 'nano': 0}","{'units': 734, 'nano': 900000000}","{'units': 735, 'nano': 500000000}",35602,True,1
2025-03-03 00:00:00+00:00,"{'units': 735, 'nano': 500000000}","{'units': 735, 'nano': 500000000}","{'units': 703, 'nano': 900000000}","{'units': 711, 'nano': 300000000}",3389267,True,1
2025-03-04 00:00:00+00:00,"{'units': 711, 'nano': 300000000}","{'units': 725, 'nano': 0}","{'units': 705, 'nano': 800000000}","{'units': 714, 'nano': 700000000}",3582671,True,1
2025-03-05 00:00:00+00:00,"{'units': 715, 'nano': 0}","{'units': 722, 'nano': 500000000}","{'units': 703, 'nano': 500000000}","{'units': 705, 'nano': 0}",2649855,True,1
2025-03-06 00:00:00+00:00,"{'units': 705, 'nano': 100000000}","{'units': 709, 'nano': 800000000}","{'units': 692, 'nano': 200000000}","{'units': 700, 'nano': 500000000}",2652853,True,1
2025-03-07 00:00:00+00:00,"{'units': 700, 'nano': 500000000}","{'units': 710, 'nano': 0}","{'units': 680, 'nano': 400000000}","{'units': 693, 'nano': 0}",3331904,True,1
2025-03-10 00:00:00+00:00,"{'units': 693, 'nano': 0}","{'units': 698, 'nano': 600000000}","{'units': 680, 'nano': 600000000}","{'units': 683, 'nano': 600000000}",1579222,True,1
2025-03-11 00:00:00+00:00,"{'units': 684, 'nano': 100000000}","{'units': 697, 'nano': 300000000}","{'units': 679, 'nano': 200000000}","{'units': 694, 'nano': 700000000}",1662192,True,1
2025-03-12 00:00:00+00:00,"{'units': 694, 'nano': 700000000}","{'units': 699, 'nano': 500000000}","{'units': 683, 'nano': 200000000}","{'units': 694, 'nano': 100000000}",1355978,True,1
2025-03-13 00:00:00+00:00,"{'units': 694, 'nano': 200000000}","{'units': 723, 'nano': 200000000}","{'units': 686, 'nano': 0}","{'units': 710, 'nano': 300000000}",4233680,True,1
2025-03-14 00:00:00+00:00,"{'units': 709, 'nano': 0}","{'units': 719, 'nano': 300000000}","{'units': 701, 'nano': 700000000}","{'units': 715, 'nano': 800000000}",2977642,True,1
2025-03-15 00:00:00+00:00,"{'units': 715, 'nano': 0}","{'units': 719, 'nano': 600000000}","{'units': 714, 'nano': 100000000}","{'units': 717, 'nano': 600000000}",31913,True,1
2025-03-16 00:00:00+00:00,"{'units': 716, 'nano': 600000000}","{'units': 726, 'nano': 200000000}","{'units': 716, 'nano': 600000000}","{'units': 724, 'nano': 800000000}",134520,True,1
2025-03-17 00:00:00+00:00,"{'units': 724, 'nano': 0}","{'units': 731, 'nano': 500000000}","{'units': 709, 'nano': 200000000}","{'units': 714, 'nano': 800000000}",3060728,True,1
2025-03-18 00:00:00+00:00,"{'units': 715, 'nano': 200000000}","{'units': 717, 'nano': 300000000}","{'units': 698, 'nano': 0}","{'units': 705, 'nano': 0}",3430002,True,1
2025-03-19 00:00:00+00:00,"{'units': 705, 'nano': 0}","{'units': 709, 'nano': 300000000}","{'units': 695, 'nano': 0}","{'units': 699, 'nano': 900000000}",2534617,True,1
2025-03-20 00:00:00+00:00,"{'units': 699, 'nano': 700000000}","{'units': 703, 'nano': 0}","{'units': 677, 'nano': 300000000}","{'units': 688, 'nano': 600000000}",5695318,True,1
2025-03-21 00:00:00+00:00,"{'units': 687, 'nano': 100000000}","{'units': 695, 'nano': 0}","{'units': 681, 'nano': 0}","{'units': 693, 'nano': 900000000}",2060366,True,1
2025-03-24 00:00:00+00:00,"{'units': 693, 'nano': 0}","{'units': 694, 'nano': 200000000}","{'units': 683, 'nano': 900000000}","{'units': 686, 'nano': 600000000}",1589648,True,1
2025-03-25 00:00:00+00:00,"{'units': 685, 'nano': 700000000}","{'units': 701, 'nano': 0}","{'units': 675, 'nano': 100000000}","{'units': 697, 'nano': 900000000}",2332212,True,1
2025-03-26 00:00:00+00:00,"{'units': 697, 'nano': 900000000}","{'units': 704, 'nano': 0}","{'units': 682, 'nano': 0}","{'units': 684, 'nano': 500000000}",1564046,True,1
2025-03-27 00:00:00+00:00,"{'units': 684, 'nano': 500000000}","{'units': 686, 'nano': 400000000}","{'units': 675, 'nano': 600000000}","{'units': 675, 'nano': 900000000}",1540875,True,1
2025-03-28 00:00:00+00:00,"{'units': 675, 'nano': 900000000}","{'units': 689, 'nano': 200000000}","{'units': 667, 'nano': 100000000}","{'units': 687, 'nano': 600000000}",3223465,True,1
2025-03-29 00:00:00+00:00,"{'units': 686, 'nano': 800000000}","{'units': 688, 'nano': 0}","{'units': 676, 'nano': 0}","{'units': 676, 'nano': 800000000}",167990,True,1
2025-03-30 00:00:00+00:00,"{'units': 676, 'nano': 400000000}","{'units': 676, 'nano': 800000000}","{'units': 661, 'nano': 800000000}","{'units': 662, 'nano': 200000000}",374845,True,1
2025-03-31 00:00:00+00:00,"{'units': 663, 'nano': 900000000}","{'units': 688, 'nano': 100000000}","{'units': 661, 'nano': 0}","{'units': 673, 'nano': 300000000}",2137367,True,1
2025-04-01 00:00:00+00:00,"{'units': 673, 'nano': 300000000}","{'units': 678, 'nano': 0}","{'units': 653, 'nano': 0}","{'units': 653, 'nano': 500000000}",1826718,True,1
2025-04-02 00:00:00+00:00,"{'units': 654, 'nano': 0}","{'units': 673, 'nano': 900000000}","{'units': 640, 'nano': 0}","{'units': 673, 'nano': 200000000}",3308311,True,1
2025-04-03 00:00:00+00:00,"{'units': 672, 'nano': 900000000}","{'units': 672, 'nano': 900000000}","{'units': 640, 'nano': 200000000}","{'units': 649, 'nano': 400000000}",3359167,True,1
