time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 228, 'nano': 850000000}","{'units': 234, 'nano': 200000000}","{'units': 228, 'nano': 0}","{'units': 228, 'nano': 450000000}",486128,True,1
2025-02-05 00:00:00+00:00,"{'units': 229, 'nano': 150000000}","{'units': 230, 'nano': 400000000}","{'units': 225, 'nano': 50000000}","{'units': 230, 'nano': 0}",572845,True,1
2025-02-06 00:00:00+00:00,"{'units': 230, 'nano': 50000000}","{'units': 231, 'nano': 100000000}","{'units': 226, 'nano': 50000000}","{'units': 227, 'nano': 150000000}",358575,True,1
2025-02-07 00:00:00+00:00,"{'units': 226, 'nano': 150000000}","{'units': 227, 'nano': 650000000}","{'units': 224, 'nano': 100000000}","{'units': 225, 'nano': 0}",329401,True,1
2025-02-10 00:00:00+00:00,"{'units': 225, 'nano': 900000000}","{'units': 231, 'nano': 0}","{'units': 225, 'nano': 150000000}","{'units': 229, 'nano': 500000000}",508362,True,1
2025-02-11 00:00:00+00:00,"{'units': 228, 'nano': 0}","{'units': 236, 'nano': 500000000}","{'units': 227, 'nano': 500000000}","{'units': 236, 'nano': 500000000}",402118,True,1
2025-02-12 00:00:00+00:00,"{'units': 237, 'nano': 0}","{'units': 256, 'nano': 700000000}","{'units': 233, 'nano': 100000000}","{'units': 250, 'nano': 800000000}",1125699,True,1
2025-02-13 00:00:00+00:00,"{'units': 252, 'nano': 0}","{'units': 257, 'nano': 950000000}","{'units': 244, 'nano': 500000000}","{'units': 250, 'nano': 50000000}",758015,True,1
2025-02-14 00:00:00+00:00,"{'units': 232, 'nano': 750000000}","{'units': 258, 'nano': 200000000}","{'units': 232, 'nano': 750000000}","{'units': 251, 'nano': 450000000}",962114,True,1
2025-02-17 00:00:00+00:00,"{'units': 252, 'nano': 950000000}","{'units': 256, 'nano': 350000000}","{'units': 251, 'nano': 100000000}","{'units': 253, 'nano': 850000000}",766792,True,1
2025-02-18 00:00:00+00:00,"{'units': 253, 'nano': 750000000}","{'units': 256, 'nano': 200000000}","{'units': 242, 'nano': 800000000}","{'units': 246, 'nano': 0}",617641,True,1
2025-02-19 00:00:00+00:00,"{'units': 247, 'nano': 0}","{'units': 252, 'nano': 0}","{'units': 243, 'nano': 500000000}","{'units': 251, 'nano': 300000000}",355399,True,1
2025-02-20 00:00:00+00:00,"{'units': 251, 'nano': 300000000}","{'units': 254, 'nano': 200000000}","{'units': 248, 'nano': 0}","{'units': 251, 'nano': 900000000}",299000,True,1
2025-02-21 00:00:00+00:00,"{'units': 251, 'nano': 350000000}","{'units': 254, 'nano': 350000000}","{'units': 250, 'nano': 500000000}","{'units': 253, 'nano': 800000000}",252071,True,1
2025-02-24 00:00:00+00:00,"{'units': 253, 'nano': 650000000}","{'units': 255, 'nano': 450000000}","{'units': 249, 'nano': 850000000}","{'units': 254, 'nano': 300000000}",398100,True,1
2025-02-25 00:00:00+00:00,"{'units': 254, 'nano': 750000000}","{'units': 255, 'nano': 200000000}","{'units': 251, 'nano': 900000000}","{'units': 253, 'nano': 50000000}",367374,True,1
2025-02-26 00:00:00+00:00,"{'units': 253, 'nano': 100000000}","{'units': 253, 'nano': 900000000}","{'units': 247, 'nano': 50000000}","{'units': 248, 'nano': 800000000}",357337,True,1
2025-02-27 00:00:00+00:00,"{'units': 248, 'nano': 800000000}","{'units': 249, 'nano': 600000000}","{'units': 240, 'nano': 300000000}","{'units': 241, 'nano': 450000000}",439916,True,1
2025-02-28 00:00:00+00:00,"{'units': 240, 'nano': 750000000}","{'units': 251, 'nano': 500000000}","{'units': 237, 'nano': 850000000}","{'units': 249, 'nano': 50000000}",585293,True,1
2025-03-01 00:00:00+00:00,"{'units': 248, 'nano': 950000000}","{'units': 249, 'nano': 950000000}","{'units': 248, 'nano': 150000000}","{'units': 248, 'nano': 450000000}",4973,True,1
2025-03-02 00:00:00+00:00,"{'units': 248, 'nano': 450000000}","{'units': 248, 'nano': 850000000}","{'units': 247, 'nano': 0}","{'units': 247, 'nano': 50000000}",7034,True,1
2025-03-03 00:00:00+00:00,"{'units': 246, 'nano': 500000000}","{'units': 247, 'nano': 0}","{'units': 236, 'nano': 100000000}","{'units': 239, 'nano': 300000000}",505286,True,1
2025-03-04 00:00:00+00:00,"{'units': 239, 'nano': 600000000}","{'units': 249, 'nano': 950000000}","{'units': 239, 'nano': 600000000}","{'units': 248, 'nano': 700000000}",461752,True,1
