time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 65, 'nano': 270000000}","{'units': 66, 'nano': 550000000}","{'units': 64, 'nano': 710000000}","{'units': 65, 'nano': 20000000}",971939,True,1
2025-02-05 00:00:00+00:00,"{'units': 65, 'nano': 0}","{'units': 65, 'nano': 700000000}","{'units': 62, 'nano': 850000000}","{'units': 65, 'nano': 410000000}",691678,True,1
2025-02-06 00:00:00+00:00,"{'units': 65, 'nano': 230000000}","{'units': 65, 'nano': 700000000}","{'units': 64, 'nano': 600000000}","{'units': 65, 'nano': 170000000}",298908,True,1
2025-02-07 00:00:00+00:00,"{'units': 65, 'nano': 480000000}","{'units': 65, 'nano': 600000000}","{'units': 64, 'nano': 320000000}","{'units': 64, 'nano': 840000000}",247876,True,1
2025-02-10 00:00:00+00:00,"{'units': 65, 'nano': 170000000}","{'units': 66, 'nano': 980000000}","{'units': 64, 'nano': 800000000}","{'units': 65, 'nano': 190000000}",700344,True,1
2025-02-11 00:00:00+00:00,"{'units': 65, 'nano': 260000000}","{'units': 69, 'nano': 700000000}","{'units': 65, 'nano': 250000000}","{'units': 69, 'nano': 660000000}",1546546,True,1
2025-02-12 00:00:00+00:00,"{'units': 69, 'nano': 690000000}","{'units': 74, 'nano': 640000000}","{'units': 67, 'nano': 400000000}","{'units': 74, 'nano': 190000000}",3013431,True,1
2025-02-13 00:00:00+00:00,"{'units': 74, 'nano': 200000000}","{'units': 74, 'nano': 640000000}","{'units': 70, 'nano': 110000000}","{'units': 72, 'nano': 190000000}",1634538,True,1
2025-02-14 00:00:00+00:00,"{'units': 70, 'nano': 780000000}","{'units': 75, 'nano': 0}","{'units': 70, 'nano': 780000000}","{'units': 72, 'nano': 380000000}",1250332,True,1
2025-02-17 00:00:00+00:00,"{'units': 73, 'nano': 0}","{'units': 75, 'nano': 0}","{'units': 73, 'nano': 0}","{'units': 74, 'nano': 880000000}",748711,True,1
2025-02-18 00:00:00+00:00,"{'units': 74, 'nano': 900000000}","{'units': 75, 'nano': 0}","{'units': 71, 'nano': 500000000}","{'units': 71, 'nano': 940000000}",877717,True,1
2025-02-19 00:00:00+00:00,"{'units': 71, 'nano': 860000000}","{'units': 75, 'nano': 600000000}","{'units': 71, 'nano': 860000000}","{'units': 74, 'nano': 850000000}",922762,True,1
2025-02-20 00:00:00+00:00,"{'units': 74, 'nano': 670000000}","{'units': 79, 'nano': 0}","{'units': 74, 'nano': 110000000}","{'units': 78, 'nano': 600000000}",2088727,True,1
2025-02-21 00:00:00+00:00,"{'units': 78, 'nano': 400000000}","{'units': 80, 'nano': 920000000}","{'units': 77, 'nano': 690000000}","{'units': 80, 'nano': 300000000}",1404943,True,1
2025-02-24 00:00:00+00:00,"{'units': 80, 'nano': 300000000}","{'units': 80, 'nano': 460000000}","{'units': 78, 'nano': 640000000}","{'units': 80, 'nano': 160000000}",862437,True,1
2025-02-25 00:00:00+00:00,"{'units': 79, 'nano': 800000000}","{'units': 80, 'nano': 630000000}","{'units': 78, 'nano': 200000000}","{'units': 79, 'nano': 570000000}",639303,True,1
2025-02-26 00:00:00+00:00,"{'units': 79, 'nano': 570000000}","{'units': 80, 'nano': 150000000}","{'units': 73, 'nano': 500000000}","{'units': 73, 'nano': 610000000}",2268990,True,1
