time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 617, 'nano': 0}","{'units': 623, 'nano': 700000000}","{'units': 606, 'nano': 0}","{'units': 608, 'nano': 900000000}",946775,True,1
2025-02-05 00:00:00+00:00,"{'units': 611, 'nano': 100000000}","{'units': 624, 'nano': 950000000}","{'units': 603, 'nano': 0}","{'units': 624, 'nano': 250000000}",1217892,True,1
2025-02-06 00:00:00+00:00,"{'units': 624, 'nano': 250000000}","{'units': 628, 'nano': 0}","{'units': 614, 'nano': 50000000}","{'units': 617, 'nano': 950000000}",952725,True,1
2025-02-07 00:00:00+00:00,"{'units': 617, 'nano': 950000000}","{'units': 620, 'nano': 450000000}","{'units': 606, 'nano': 0}","{'units': 608, 'nano': 750000000}",1242097,True,1
2025-02-10 00:00:00+00:00,"{'units': 615, 'nano': 100000000}","{'units': 615, 'nano': 400000000}","{'units': 606, 'nano': 0}","{'units': 607, 'nano': 950000000}",1917690,True,1
2025-02-11 00:00:00+00:00,"{'units': 609, 'nano': 450000000}","{'units': 617, 'nano': 500000000}","{'units': 601, 'nano': 100000000}","{'units': 616, 'nano': 300000000}",2005280,True,1
2025-02-12 00:00:00+00:00,"{'units': 618, 'nano': 100000000}","{'units': 662, 'nano': 100000000}","{'units': 614, 'nano': 0}","{'units': 658, 'nano': 200000000}",4766453,True,1
2025-02-13 00:00:00+00:00,"{'units': 662, 'nano': 500000000}","{'units': 665, 'nano': 300000000}","{'units': 629, 'nano': 0}","{'units': 633, 'nano': 950000000}",3633340,True,1
2025-02-14 00:00:00+00:00,"{'units': 640, 'nano': 0}","{'units': 648, 'nano': 450000000}","{'units': 612, 'nano': 0}","{'units': 624, 'nano': 300000000}",4950072,True,1
2025-02-17 00:00:00+00:00,"{'units': 635, 'nano': 0}","{'units': 648, 'nano': 700000000}","{'units': 628, 'nano': 150000000}","{'units': 648, 'nano': 500000000}",3263280,True,1
2025-02-18 00:00:00+00:00,"{'units': 645, 'nano': 900000000}","{'units': 655, 'nano': 0}","{'units': 632, 'nano': 550000000}","{'units': 637, 'nano': 950000000}",2177129,True,1
2025-02-19 00:00:00+00:00,"{'units': 642, 'nano': 400000000}","{'units': 649, 'nano': 0}","{'units': 634, 'nano': 0}","{'units': 644, 'nano': 0}",829852,True,1
2025-02-20 00:00:00+00:00,"{'units': 644, 'nano': 650000000}","{'units': 661, 'nano': 850000000}","{'units': 642, 'nano': 700000000}","{'units': 657, 'nano': 650000000}",1541595,True,1
2025-02-21 00:00:00+00:00,"{'units': 658, 'nano': 0}","{'units': 673, 'nano': 0}","{'units': 645, 'nano': 600000000}","{'units': 659, 'nano': 200000000}",2991601,True,1
2025-02-24 00:00:00+00:00,"{'units': 655, 'nano': 800000000}","{'units': 665, 'nano': 0}","{'units': 646, 'nano': 200000000}","{'units': 656, 'nano': 0}",1675279,True,1
2025-02-25 00:00:00+00:00,"{'units': 657, 'nano': 500000000}","{'units': 676, 'nano': 0}","{'units': 650, 'nano': 50000000}","{'units': 668, 'nano': 550000000}",3258007,True,1
2025-02-26 00:00:00+00:00,"{'units': 666, 'nano': 700000000}","{'units': 673, 'nano': 700000000}","{'units': 645, 'nano': 0}","{'units': 649, 'nano': 0}",2330537,True,1
2025-02-27 00:00:00+00:00,"{'units': 649, 'nano': 0}","{'units': 656, 'nano': 0}","{'units': 631, 'nano': 900000000}","{'units': 637, 'nano': 650000000}",1684249,True,1
2025-02-28 00:00:00+00:00,"{'units': 638, 'nano': 0}","{'units': 648, 'nano': 0}","{'units': 625, 'nano': 0}","{'units': 642, 'nano': 950000000}",1548939,True,1
2025-03-03 00:00:00+00:00,"{'units': 643, 'nano': 100000000}","{'units': 645, 'nano': 0}","{'units': 614, 'nano': 450000000}","{'units': 628, 'nano': 0}",1818277,True,1
2025-03-04 00:00:00+00:00,"{'units': 631, 'nano': 350000000}","{'units': 642, 'nano': 0}","{'units': 619, 'nano': 200000000}","{'units': 627, 'nano': 200000000}",2472473,True,1
2025-03-05 00:00:00+00:00,"{'units': 627, 'nano': 800000000}","{'units': 630, 'nano': 250000000}","{'units': 615, 'nano': 900000000}","{'units': 617, 'nano': 550000000}",1761397,True,1
2025-03-06 00:00:00+00:00,"{'units': 616, 'nano': 100000000}","{'units': 625, 'nano': 950000000}","{'units': 610, 'nano': 450000000}","{'units': 612, 'nano': 800000000}",1162087,True,1
2025-03-07 00:00:00+00:00,"{'units': 612, 'nano': 800000000}","{'units': 618, 'nano': 900000000}","{'units': 607, 'nano': 0}","{'units': 610, 'nano': 650000000}",1022208,True,1
2025-03-10 00:00:00+00:00,"{'units': 612, 'nano': 650000000}","{'units': 616, 'nano': 850000000}","{'units': 603, 'nano': 50000000}","{'units': 604, 'nano': 650000000}",1159906,True,1
2025-03-11 00:00:00+00:00,"{'units': 605, 'nano': 0}","{'units': 614, 'nano': 0}","{'units': 595, 'nano': 50000000}","{'units': 607, 'nano': 450000000}",1305864,True,1
2025-03-12 00:00:00+00:00,"{'units': 609, 'nano': 550000000}","{'units': 611, 'nano': 900000000}","{'units': 600, 'nano': 0}","{'units': 606, 'nano': 100000000}",784484,True,1
2025-03-13 00:00:00+00:00,"{'units': 607, 'nano': 450000000}","{'units': 611, 'nano': 450000000}","{'units': 596, 'nano': 0}","{'units': 605, 'nano': 700000000}",1151738,True,1
2025-03-14 00:00:00+00:00,"{'units': 603, 'nano': 900000000}","{'units': 608, 'nano': 0}","{'units': 600, 'nano': 250000000}","{'units': 605, 'nano': 950000000}",848547,True,1
2025-03-17 00:00:00+00:00,"{'units': 610, 'nano': 0}","{'units': 627, 'nano': 950000000}","{'units': 609, 'nano': 900000000}","{'units': 624, 'nano': 500000000}",1476909,True,1
2025-03-18 00:00:00+00:00,"{'units': 625, 'nano': 900000000}","{'units': 637, 'nano': 600000000}","{'units': 618, 'nano': 0}","{'units': 619, 'nano': 200000000}",1930013,True,1
2025-03-19 00:00:00+00:00,"{'units': 619, 'nano': 200000000}","{'units': 631, 'nano': 300000000}","{'units': 618, 'nano': 0}","{'units': 627, 'nano': 900000000}",644330,True,1
2025-03-20 00:00:00+00:00,"{'units': 629, 'nano': 0}","{'units': 633, 'nano': 900000000}","{'units': 621, 'nano': 750000000}","{'units': 626, 'nano': 250000000}",860752,True,1
2025-03-21 00:00:00+00:00,"{'units': 626, 'nano': 200000000}","{'units': 628, 'nano': 850000000}","{'units': 621, 'nano': 0}","{'units': 623, 'nano': 650000000}",465941,True,1
2025-03-24 00:00:00+00:00,"{'units': 625, 'nano': 0}","{'units': 627, 'nano': 0}","{'units': 607, 'nano': 500000000}","{'units': 610, 'nano': 700000000}",879709,True,1
2025-03-25 00:00:00+00:00,"{'units': 613, 'nano': 150000000}","{'units': 616, 'nano': 500000000}","{'units': 603, 'nano': 500000000}","{'units': 611, 'nano': 400000000}",844209,True,1
2025-03-26 00:00:00+00:00,"{'units': 612, 'nano': 0}","{'units': 617, 'nano': 300000000}","{'units': 603, 'nano': 700000000}","{'units': 608, 'nano': 600000000}",481198,True,1
2025-03-27 00:00:00+00:00,"{'units': 611, 'nano': 750000000}","{'units': 611, 'nano': 750000000}","{'units': 598, 'nano': 200000000}","{'units': 598, 'nano': 200000000}",682345,True,1
2025-03-28 00:00:00+00:00,"{'units': 599, 'nano': 0}","{'units': 599, 'nano': 400000000}","{'units': 574, 'nano': 500000000}","{'units': 580, 'nano': 50000000}",2050361,True,1
2025-03-29 00:00:00+00:00,"{'units': 580, 'nano': 50000000}","{'units': 582, 'nano': 0}","{'units': 574, 'nano': 0}","{'units': 575, 'nano': 600000000}",151591,True,1
2025-03-30 00:00:00+00:00,"{'units': 580, 'nano': 0}","{'units': 580, 'nano': 0}","{'units': 565, 'nano': 800000000}","{'units': 565, 'nano': 800000000}",204720,True,1
2025-03-31 00:00:00+00:00,"{'units': 565, 'nano': 50000000}","{'units': 595, 'nano': 150000000}","{'units': 562, 'nano': 650000000}","{'units': 578, 'nano': 650000000}",1382474,True,1
2025-04-01 00:00:00+00:00,"{'units': 579, 'nano': 0}","{'units': 593, 'nano': 100000000}","{'units': 571, 'nano': 200000000}","{'units': 583, 'nano': 450000000}",1325000,True,1
2025-04-02 00:00:00+00:00,"{'units': 577, 'nano': 0}","{'units': 586, 'nano': 250000000}","{'units': 568, 'nano': 800000000}","{'units': 577, 'nano': 800000000}",1135226,True,1
2025-04-03 00:00:00+00:00,"{'units': 577, 'nano': 900000000}","{'units': 582, 'nano': 900000000}","{'units': 562, 'nano': 800000000}","{'units': 569, 'nano': 250000000}",1035515,True,1
2025-04-04 00:00:00+00:00,"{'units': 572, 'nano': 500000000}","{'units': 573, 'nano': 350000000}","{'units': 540, 'nano': 0}","{'units': 543, 'nano': 450000000}",1985081,True,1
2025-04-05 00:00:00+00:00,"{'units': 541, 'nano': 800000000}","{'units': 547, 'nano': 600000000}","{'units': 528, 'nano': 100000000}","{'units': 532, 'nano': 0}",412686,True,1
2025-04-06 00:00:00+00:00,"{'units': 535, 'nano': 900000000}","{'units': 545, 'nano': 750000000}","{'units': 531, 'nano': 400000000}","{'units': 545, 'nano': 600000000}",255875,True,1
2025-04-07 00:00:00+00:00,"{'units': 538, 'nano': 750000000}","{'units': 553, 'nano': 200000000}","{'units': 509, 'nano': 50000000}","{'units': 537, 'nano': 0}",3206398,True,1
2025-04-08 00:00:00+00:00,"{'units': 537, 'nano': 0}","{'units': 550, 'nano': 750000000}","{'units': 521, 'nano': 850000000}","{'units': 524, 'nano': 350000000}",976955,True,1
2025-04-09 00:00:00+00:00,"{'units': 524, 'nano': 350000000}","{'units': 549, 'nano': 450000000}","{'units': 510, 'nano': 0}","{'units': 548, 'nano': 500000000}",1954470,True,1
2025-04-10 00:00:00+00:00,"{'units': 548, 'nano': 500000000}","{'units': 557, 'nano': 450000000}","{'units': 534, 'nano': 300000000}","{'units': 544, 'nano': 50000000}",1419182,True,1
