time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 14, 'nano': 180000000}","{'units': 14, 'nano': 268000000}","{'units': 13, 'nano': 668000000}","{'units': 13, 'nano': 744000000}",1333075,True,1
2025-02-05 00:00:00+00:00,"{'units': 13, 'nano': 700000000}","{'units': 14, 'nano': 176000000}","{'units': 13, 'nano': 214000000}","{'units': 14, 'nano': 25000000}",2224365,True,1
2025-02-06 00:00:00+00:00,"{'units': 14, 'nano': 139000000}","{'units': 14, 'nano': 323000000}","{'units': 13, 'nano': 713000000}","{'units': 14, 'nano': 62000000}",1775234,True,1
2025-02-07 00:00:00+00:00,"{'units': 14, 'nano': 50000000}","{'units': 14, 'nano': 233000000}","{'units': 13, 'nano': 860000000}","{'units': 14, 'nano': 50000000}",776017,True,1
2025-02-10 00:00:00+00:00,"{'units': 14, 'nano': 151000000}","{'units': 14, 'nano': 350000000}","{'units': 14, 'nano': 0}","{'units': 14, 'nano': 52000000}",1078873,True,1
2025-02-11 00:00:00+00:00,"{'units': 14, 'nano': 72000000}","{'units': 14, 'nano': 538000000}","{'units': 13, 'nano': 964000000}","{'units': 14, 'nano': 520000000}",1117744,True,1
2025-02-12 00:00:00+00:00,"{'units': 14, 'nano': 500000000}","{'units': 15, 'nano': 330000000}","{'units': 14, 'nano': 200000000}","{'units': 15, 'nano': 138000000}",4404657,True,1
2025-02-13 00:00:00+00:00,"{'units': 15, 'nano': 282000000}","{'units': 16, 'nano': 673000000}","{'units': 14, 'nano': 980000000}","{'units': 16, 'nano': 256000000}",4973273,True,1
2025-02-14 00:00:00+00:00,"{'units': 16, 'nano': 200000000}","{'units': 16, 'nano': 960000000}","{'units': 15, 'nano': 600000000}","{'units': 16, 'nano': 120000000}",6031106,True,1
2025-02-17 00:00:00+00:00,"{'units': 16, 'nano': 270000000}","{'units': 17, 'nano': 543000000}","{'units': 16, 'nano': 269000000}","{'units': 17, 'nano': 400000000}",2522495,True,1
2025-02-18 00:00:00+00:00,"{'units': 17, 'nano': 543000000}","{'units': 17, 'nano': 850000000}","{'units': 16, 'nano': 170000000}","{'units': 16, 'nano': 569000000}",2629403,True,1
2025-02-19 00:00:00+00:00,"{'units': 16, 'nano': 624000000}","{'units': 17, 'nano': 200000000}","{'units': 16, 'nano': 250000000}","{'units': 17, 'nano': 27000000}",1702162,True,1
2025-02-20 00:00:00+00:00,"{'units': 17, 'nano': 80000000}","{'units': 17, 'nano': 740000000}","{'units': 16, 'nano': 760000000}","{'units': 17, 'nano': 391000000}",2165271,True,1
2025-02-21 00:00:00+00:00,"{'units': 17, 'nano': 392000000}","{'units': 17, 'nano': 680000000}","{'units': 17, 'nano': 150000000}","{'units': 17, 'nano': 451000000}",1637869,True,1
2025-02-24 00:00:00+00:00,"{'units': 17, 'nano': 452000000}","{'units': 18, 'nano': 0}","{'units': 17, 'nano': 325000000}","{'units': 17, 'nano': 943000000}",2225101,True,1
2025-02-25 00:00:00+00:00,"{'units': 17, 'nano': 970000000}","{'units': 18, 'nano': 600000000}","{'units': 17, 'nano': 750000000}","{'units': 18, 'nano': 138000000}",1802883,True,1
2025-02-26 00:00:00+00:00,"{'units': 18, 'nano': 142000000}","{'units': 18, 'nano': 371000000}","{'units': 17, 'nano': 537000000}","{'units': 17, 'nano': 662000000}",1948377,True,1
2025-02-27 00:00:00+00:00,"{'units': 17, 'nano': 650000000}","{'units': 17, 'nano': 840000000}","{'units': 17, 'nano': 177000000}","{'units': 17, 'nano': 270000000}",1250949,True,1
2025-02-28 00:00:00+00:00,"{'units': 17, 'nano': 222000000}","{'units': 17, 'nano': 589000000}","{'units': 16, 'nano': 647000000}","{'units': 17, 'nano': 480000000}",2498871,True,1
2025-03-01 00:00:00+00:00,"{'units': 17, 'nano': 594000000}","{'units': 17, 'nano': 594000000}","{'units': 17, 'nano': 532000000}","{'units': 17, 'nano': 594000000}",25833,True,1
2025-03-02 00:00:00+00:00,"{'units': 17, 'nano': 594000000}","{'units': 17, 'nano': 594000000}","{'units': 17, 'nano': 271000000}","{'units': 17, 'nano': 321000000}",109128,True,1
2025-03-03 00:00:00+00:00,"{'units': 17, 'nano': 387000000}","{'units': 17, 'nano': 500000000}","{'units': 16, 'nano': 750000000}","{'units': 17, 'nano': 333000000}",1447121,True,1
2025-03-04 00:00:00+00:00,"{'units': 17, 'nano': 333000000}","{'units': 18, 'nano': 150000000}","{'units': 17, 'nano': 324000000}","{'units': 17, 'nano': 998000000}",1454889,True,1
2025-03-05 00:00:00+00:00,"{'units': 17, 'nano': 969000000}","{'units': 18, 'nano': 299000000}","{'units': 17, 'nano': 656000000}","{'units': 17, 'nano': 830000000}",1359320,True,1
2025-03-06 00:00:00+00:00,"{'units': 17, 'nano': 900000000}","{'units': 18, 'nano': 278000000}","{'units': 17, 'nano': 823000000}","{'units': 17, 'nano': 920000000}",884302,True,1
2025-03-07 00:00:00+00:00,"{'units': 17, 'nano': 960000000}","{'units': 18, 'nano': 249000000}","{'units': 17, 'nano': 620000000}","{'units': 17, 'nano': 980000000}",1238249,True,1
2025-03-10 00:00:00+00:00,"{'units': 17, 'nano': 920000000}","{'units': 18, 'nano': 600000000}","{'units': 17, 'nano': 903000000}","{'units': 18, 'nano': 513000000}",1797118,True,1
2025-03-11 00:00:00+00:00,"{'units': 18, 'nano': 498000000}","{'units': 18, 'nano': 696000000}","{'units': 18, 'nano': 224000000}","{'units': 18, 'nano': 430000000}",1564242,True,1
2025-03-12 00:00:00+00:00,"{'units': 18, 'nano': 251000000}","{'units': 18, 'nano': 477000000}","{'units': 18, 'nano': 79000000}","{'units': 18, 'nano': 210000000}",822584,True,1
2025-03-13 00:00:00+00:00,"{'units': 18, 'nano': 171000000}","{'units': 18, 'nano': 247000000}","{'units': 17, 'nano': 537000000}","{'units': 18, 'nano': 156000000}",1730691,True,1
2025-03-14 00:00:00+00:00,"{'units': 18, 'nano': 95000000}","{'units': 18, 'nano': 890000000}","{'units': 17, 'nano': 847000000}","{'units': 18, 'nano': 793000000}",1242913,True,1
2025-03-15 00:00:00+00:00,"{'units': 18, 'nano': 792000000}","{'units': 18, 'nano': 850000000}","{'units': 18, 'nano': 655000000}","{'units': 18, 'nano': 785000000}",50638,True,1
2025-03-16 00:00:00+00:00,"{'units': 18, 'nano': 785000000}","{'units': 19, 'nano': 143000000}","{'units': 18, 'nano': 750000000}","{'units': 19, 'nano': 110000000}",142157,True,1
2025-03-17 00:00:00+00:00,"{'units': 19, 'nano': 118000000}","{'units': 19, 'nano': 510000000}","{'units': 18, 'nano': 976000000}","{'units': 19, 'nano': 400000000}",1207318,True,1
2025-03-18 00:00:00+00:00,"{'units': 19, 'nano': 400000000}","{'units': 19, 'nano': 670000000}","{'units': 19, 'nano': 31000000}","{'units': 19, 'nano': 68000000}",1246160,True,1
2025-03-19 00:00:00+00:00,"{'units': 19, 'nano': 70000000}","{'units': 19, 'nano': 558000000}","{'units': 18, 'nano': 868000000}","{'units': 19, 'nano': 397000000}",1035576,True,1
2025-03-20 00:00:00+00:00,"{'units': 19, 'nano': 390000000}","{'units': 19, 'nano': 517000000}","{'units': 19, 'nano': 89000000}","{'units': 19, 'nano': 365000000}",737540,True,1
2025-03-21 00:00:00+00:00,"{'units': 19, 'nano': 375000000}","{'units': 19, 'nano': 455000000}","{'units': 18, 'nano': 602000000}","{'units': 18, 'nano': 736000000}",1362215,True,1
2025-03-24 00:00:00+00:00,"{'units': 18, 'nano': 730000000}","{'units': 18, 'nano': 841000000}","{'units': 17, 'nano': 940000000}","{'units': 18, 'nano': 75000000}",1207241,True,1
