time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 1, 'nano': 288000000}","{'units': 1, 'nano': 300000000}","{'units': 1, 'nano': 278000000}","{'units': 1, 'nano': 289500000}",12058,True,1
2025-02-05 00:00:00+00:00,"{'units': 1, 'nano': 280000000}","{'units': 1, 'nano': 287000000}","{'units': 1, 'nano': 261500000}","{'units': 1, 'nano': 280000000}",6219,True,1
2025-02-06 00:00:00+00:00,"{'units': 1, 'nano': 284500000}","{'units': 1, 'nano': 303000000}","{'units': 1, 'nano': 276500000}","{'units': 1, 'nano': 282500000}",5710,True,1
2025-02-07 00:00:00+00:00,"{'units': 1, 'nano': 281000000}","{'units': 1, 'nano': 289000000}","{'units': 1, 'nano': 275000000}","{'units': 1, 'nano': 280500000}",2531,True,1
2025-02-10 00:00:00+00:00,"{'units': 1, 'nano': 288000000}","{'units': 1, 'nano': 310000000}","{'units': 1, 'nano': 275000000}","{'units': 1, 'nano': 292000000}",12044,True,1
2025-02-11 00:00:00+00:00,"{'units': 1, 'nano': 292000000}","{'units': 1, 'nano': 301500000}","{'units': 1, 'nano': 284000000}","{'units': 1, 'nano': 301000000}",6492,True,1
2025-02-12 00:00:00+00:00,"{'units': 1, 'nano': 301000000}","{'units': 1, 'nano': 317500000}","{'units': 1, 'nano': 299000000}","{'units': 1, 'nano': 303000000}",8163,True,1
2025-02-13 00:00:00+00:00,"{'units': 1, 'nano': 360000000}","{'units': 1, 'nano': 398000000}","{'units': 1, 'nano': 340000000}","{'units': 1, 'nano': 365500000}",54894,True,1
2025-02-14 00:00:00+00:00,"{'units': 1, 'nano': 382000000}","{'units': 1, 'nano': 390500000}","{'units': 1, 'nano': 310000000}","{'units': 1, 'nano': 330000000}",44616,True,1
2025-02-17 00:00:00+00:00,"{'units': 1, 'nano': 326000000}","{'units': 1, 'nano': 335000000}","{'units': 1, 'nano': 295000000}","{'units': 1, 'nano': 319000000}",140432,True,1
2025-02-18 00:00:00+00:00,"{'units': 1, 'nano': 320000000}","{'units': 1, 'nano': 322500000}","{'units': 1, 'nano': 284000000}","{'units': 1, 'nano': 298000000}",39800,True,1
2025-02-19 00:00:00+00:00,"{'units': 1, 'nano': 305000000}","{'units': 1, 'nano': 329000000}","{'units': 1, 'nano': 282000000}","{'units': 1, 'nano': 310000000}",35384,True,1
2025-02-20 00:00:00+00:00,"{'units': 1, 'nano': 320000000}","{'units': 1, 'nano': 339000000}","{'units': 1, 'nano': 313000000}","{'units': 1, 'nano': 318000000}",26180,True,1
2025-02-21 00:00:00+00:00,"{'units': 1, 'nano': 320000000}","{'units': 1, 'nano': 333000000}","{'units': 1, 'nano': 310000000}","{'units': 1, 'nano': 323500000}",11942,True,1
2025-02-24 00:00:00+00:00,"{'units': 1, 'nano': 326000000}","{'units': 1, 'nano': 399000000}","{'units': 1, 'nano': 320000000}","{'units': 1, 'nano': 370500000}",88809,True,1
2025-02-25 00:00:00+00:00,"{'units': 1, 'nano': 373000000}","{'units': 1, 'nano': 382000000}","{'units': 1, 'nano': 343000000}","{'units': 1, 'nano': 350000000}",28093,True,1
2025-02-26 00:00:00+00:00,"{'units': 1, 'nano': 361000000}","{'units': 1, 'nano': 366500000}","{'units': 1, 'nano': 285000000}","{'units': 1, 'nano': 324500000}",31222,True,1
2025-02-27 00:00:00+00:00,"{'units': 1, 'nano': 310000000}","{'units': 1, 'nano': 324000000}","{'units': 1, 'nano': 298500000}","{'units': 1, 'nano': 322000000}",32091,True,1
2025-02-28 00:00:00+00:00,"{'units': 1, 'nano': 320000000}","{'units': 1, 'nano': 321000000}","{'units': 1, 'nano': 252500000}","{'units': 1, 'nano': 294000000}",23119,True,1
2025-03-03 00:00:00+00:00,"{'units': 1, 'nano': 278000000}","{'units': 1, 'nano': 296000000}","{'units': 1, 'nano': 270000000}","{'units': 1, 'nano': 277000000}",11511,True,1
2025-03-04 00:00:00+00:00,"{'units': 1, 'nano': 275500000}","{'units': 1, 'nano': 360000000}","{'units': 1, 'nano': 269500000}","{'units': 1, 'nano': 313000000}",20767,True,1
2025-03-05 00:00:00+00:00,"{'units': 1, 'nano': 319000000}","{'units': 1, 'nano': 319000000}","{'units': 1, 'nano': 293500000}","{'units': 1, 'nano': 300500000}",10284,True,1
2025-03-06 00:00:00+00:00,"{'units': 1, 'nano': 313000000}","{'units': 1, 'nano': 315000000}","{'units': 1, 'nano': 283000000}","{'units': 1, 'nano': 287500000}",5904,True,1
2025-03-07 00:00:00+00:00,"{'units': 1, 'nano': 288000000}","{'units': 1, 'nano': 295500000}","{'units': 1, 'nano': 265000000}","{'units': 1, 'nano': 268000000}",5815,True,1
2025-03-10 00:00:00+00:00,"{'units': 1, 'nano': 283500000}","{'units': 1, 'nano': 295000000}","{'units': 1, 'nano': 275500000}","{'units': 1, 'nano': 285500000}",7556,True,1
