time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 7019, 'nano': 0}","{'units': 7295, 'nano': 0}","{'units': 7019, 'nano': 0}","{'units': 7199, 'nano': 0}",256296,True,1
2025-02-05 00:00:00+00:00,"{'units': 7229, 'nano': 0}","{'units': 7293, 'nano': 0}","{'units': 7113, 'nano': 0}","{'units': 7212, 'nano': 0}",165777,True,1
2025-02-06 00:00:00+00:00,"{'units': 7212, 'nano': 0}","{'units': 7234, 'nano': 0}","{'units': 7137, 'nano': 0}","{'units': 7168, 'nano': 0}",123377,True,1
2025-02-07 00:00:00+00:00,"{'units': 7180, 'nano': 0}","{'units': 7191, 'nano': 0}","{'units': 7116, 'nano': 0}","{'units': 7163, 'nano': 0}",81827,True,1
2025-02-10 00:00:00+00:00,"{'units': 7168, 'nano': 0}","{'units': 7219, 'nano': 0}","{'units': 7121, 'nano': 0}","{'units': 7155, 'nano': 0}",103569,True,1
2025-02-11 00:00:00+00:00,"{'units': 7155, 'nano': 0}","{'units': 7191, 'nano': 0}","{'units': 7024, 'nano': 0}","{'units': 7119, 'nano': 0}",168748,True,1
2025-02-12 00:00:00+00:00,"{'units': 7115, 'nano': 0}","{'units': 7133, 'nano': 0}","{'units': 6741, 'nano': 0}","{'units': 6971, 'nano': 0}",597407,True,1
2025-02-13 00:00:00+00:00,"{'units': 6986, 'nano': 0}","{'units': 7240, 'nano': 0}","{'units': 6668, 'nano': 0}","{'units': 6868, 'nano': 0}",555370,True,1
2025-02-14 00:00:00+00:00,"{'units': 7200, 'nano': 0}","{'units': 7200, 'nano': 0}","{'units': 6362, 'nano': 0}","{'units': 6842, 'nano': 0}",359304,True,1
2025-02-17 00:00:00+00:00,"{'units': 6842, 'nano': 0}","{'units': 7055, 'nano': 0}","{'units': 6817, 'nano': 0}","{'units': 7054, 'nano': 0}",201909,True,1
2025-02-18 00:00:00+00:00,"{'units': 7055, 'nano': 0}","{'units': 7068, 'nano': 0}","{'units': 6921, 'nano': 0}","{'units': 6990, 'nano': 0}",162942,True,1
