time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 56, 'nano': 120000000}","{'units': 56, 'nano': 680000000}","{'units': 54, 'nano': 380000000}","{'units': 54, 'nano': 510000000}",1572523,True,1
2025-02-05 00:00:00+00:00,"{'units': 54, 'nano': 260000000}","{'units': 56, 'nano': 580000000}","{'units': 53, 'nano': 810000000}","{'units': 56, 'nano': 320000000}",3237850,True,1
2025-02-06 00:00:00+00:00,"{'units': 56, 'nano': 530000000}","{'units': 57, 'nano': 290000000}","{'units': 55, 'nano': 770000000}","{'units': 57, 'nano': 10000000}",1891781,True,1
2025-02-07 00:00:00+00:00,"{'units': 57, 'nano': 50000000}","{'units': 57, 'nano': 890000000}","{'units': 56, 'nano': 250000000}","{'units': 56, 'nano': 760000000}",2087600,True,1
2025-02-10 00:00:00+00:00,"{'units': 56, 'nano': 930000000}","{'units': 58, 'nano': 890000000}","{'units': 56, 'nano': 900000000}","{'units': 57, 'nano': 800000000}",3044882,True,1
2025-02-11 00:00:00+00:00,"{'units': 57, 'nano': 750000000}","{'units': 58, 'nano': 470000000}","{'units': 56, 'nano': 540000000}","{'units': 57, 'nano': 950000000}",2033985,True,1
2025-02-12 00:00:00+00:00,"{'units': 57, 'nano': 730000000}","{'units': 61, 'nano': 160000000}","{'units': 57, 'nano': 550000000}","{'units': 60, 'nano': 970000000}",5658920,True,1
2025-02-13 00:00:00+00:00,"{'units': 61, 'nano': 400000000}","{'units': 63, 'nano': 580000000}","{'units': 59, 'nano': 110000000}","{'units': 61, 'nano': 180000000}",8012242,True,1
2025-02-14 00:00:00+00:00,"{'units': 61, 'nano': 200000000}","{'units': 63, 'nano': 210000000}","{'units': 60, 'nano': 220000000}","{'units': 61, 'nano': 230000000}",4748917,True,1
2025-02-17 00:00:00+00:00,"{'units': 62, 'nano': 200000000}","{'units': 64, 'nano': 220000000}","{'units': 61, 'nano': 920000000}","{'units': 64, 'nano': 120000000}",3848375,True,1
2025-02-18 00:00:00+00:00,"{'units': 64, 'nano': 250000000}","{'units': 64, 'nano': 400000000}","{'units': 61, 'nano': 150000000}","{'units': 61, 'nano': 700000000}",4648541,True,1
2025-02-19 00:00:00+00:00,"{'units': 61, 'nano': 600000000}","{'units': 63, 'nano': 300000000}","{'units': 61, 'nano': 100000000}","{'units': 62, 'nano': 720000000}",1741755,True,1
2025-02-20 00:00:00+00:00,"{'units': 63, 'nano': 0}","{'units': 63, 'nano': 270000000}","{'units': 62, 'nano': 310000000}","{'units': 62, 'nano': 770000000}",1216277,True,1
2025-02-21 00:00:00+00:00,"{'units': 62, 'nano': 780000000}","{'units': 63, 'nano': 790000000}","{'units': 61, 'nano': 740000000}","{'units': 62, 'nano': 620000000}",2059432,True,1
2025-02-24 00:00:00+00:00,"{'units': 62, 'nano': 700000000}","{'units': 64, 'nano': 990000000}","{'units': 62, 'nano': 420000000}","{'units': 64, 'nano': 770000000}",2050969,True,1
2025-02-25 00:00:00+00:00,"{'units': 64, 'nano': 820000000}","{'units': 65, 'nano': 480000000}","{'units': 62, 'nano': 810000000}","{'units': 63, 'nano': 450000000}",3506337,True,1
2025-02-26 00:00:00+00:00,"{'units': 63, 'nano': 290000000}","{'units': 64, 'nano': 80000000}","{'units': 60, 'nano': 760000000}","{'units': 61, 'nano': 140000000}",2747014,True,1
2025-02-27 00:00:00+00:00,"{'units': 60, 'nano': 790000000}","{'units': 61, 'nano': 710000000}","{'units': 58, 'nano': 720000000}","{'units': 58, 'nano': 740000000}",4822430,True,1
2025-02-28 00:00:00+00:00,"{'units': 58, 'nano': 790000000}","{'units': 62, 'nano': 160000000}","{'units': 58, 'nano': 250000000}","{'units': 61, 'nano': 760000000}",7335140,True,1
2025-03-01 00:00:00+00:00,"{'units': 61, 'nano': 760000000}","{'units': 61, 'nano': 880000000}","{'units': 61, 'nano': 300000000}","{'units': 61, 'nano': 490000000}",48296,True,1
2025-03-02 00:00:00+00:00,"{'units': 61, 'nano': 320000000}","{'units': 61, 'nano': 490000000}","{'units': 61, 'nano': 80000000}","{'units': 61, 'nano': 120000000}",84886,True,1
2025-03-03 00:00:00+00:00,"{'units': 61, 'nano': 120000000}","{'units': 61, 'nano': 380000000}","{'units': 59, 'nano': 10000000}","{'units': 60, 'nano': 350000000}",3391588,True,1
2025-03-04 00:00:00+00:00,"{'units': 60, 'nano': 500000000}","{'units': 63, 'nano': 0}","{'units': 60, 'nano': 350000000}","{'units': 61, 'nano': 420000000}",3404886,True,1
2025-03-05 00:00:00+00:00,"{'units': 61, 'nano': 820000000}","{'units': 62, 'nano': 380000000}","{'units': 59, 'nano': 800000000}","{'units': 60, 'nano': 130000000}",2173785,True,1
2025-03-06 00:00:00+00:00,"{'units': 60, 'nano': 150000000}","{'units': 61, 'nano': 150000000}","{'units': 59, 'nano': 770000000}","{'units': 60, 'nano': 470000000}",1401768,True,1
2025-03-07 00:00:00+00:00,"{'units': 60, 'nano': 500000000}","{'units': 61, 'nano': 900000000}","{'units': 59, 'nano': 400000000}","{'units': 60, 'nano': 320000000}",1867037,True,1
2025-03-10 00:00:00+00:00,"{'units': 60, 'nano': 760000000}","{'units': 62, 'nano': 160000000}","{'units': 60, 'nano': 300000000}","{'units': 61, 'nano': 300000000}",1567764,True,1
2025-03-11 00:00:00+00:00,"{'units': 61, 'nano': 230000000}","{'units': 61, 'nano': 650000000}","{'units': 59, 'nano': 200000000}","{'units': 59, 'nano': 510000000}",3687057,True,1
2025-03-12 00:00:00+00:00,"{'units': 59, 'nano': 520000000}","{'units': 60, 'nano': 350000000}","{'units': 58, 'nano': 800000000}","{'units': 59, 'nano': 790000000}",2157136,True,1
