time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 679, 'nano': 0}","{'units': 687, 'nano': 300000000}","{'units': 667, 'nano': 300000000}","{'units': 672, 'nano': 0}",2132391,True,1
2025-02-05 00:00:00+00:00,"{'units': 672, 'nano': 0}","{'units': 707, 'nano': 200000000}","{'units': 650, 'nano': 200000000}","{'units': 697, 'nano': 200000000}",5216196,True,1
2025-02-06 00:00:00+00:00,"{'units': 699, 'nano': 900000000}","{'units': 705, 'nano': 900000000}","{'units': 685, 'nano': 0}","{'units': 687, 'nano': 500000000}",1797653,True,1
2025-02-07 00:00:00+00:00,"{'units': 688, 'nano': 0}","{'units': 692, 'nano': 0}","{'units': 677, 'nano': 300000000}","{'units': 685, 'nano': 200000000}",1095109,True,1
2025-02-10 00:00:00+00:00,"{'units': 690, 'nano': 200000000}","{'units': 706, 'nano': 200000000}","{'units': 678, 'nano': 400000000}","{'units': 681, 'nano': 800000000}",1741420,True,1
2025-02-11 00:00:00+00:00,"{'units': 685, 'nano': 0}","{'units': 711, 'nano': 600000000}","{'units': 682, 'nano': 300000000}","{'units': 710, 'nano': 0}",1937662,True,1
2025-02-12 00:00:00+00:00,"{'units': 711, 'nano': 300000000}","{'units': 758, 'nano': 0}","{'units': 700, 'nano': 700000000}","{'units': 744, 'nano': 0}",4601894,True,1
2025-02-13 00:00:00+00:00,"{'units': 748, 'nano': 100000000}","{'units': 778, 'nano': 800000000}","{'units': 724, 'nano': 200000000}","{'units': 740, 'nano': 400000000}",2789270,True,1
2025-02-14 00:00:00+00:00,"{'units': 761, 'nano': 0}","{'units': 828, 'nano': 400000000}","{'units': 720, 'nano': 100000000}","{'units': 742, 'nano': 600000000}",11627472,True,1
2025-02-17 00:00:00+00:00,"{'units': 751, 'nano': 900000000}","{'units': 771, 'nano': 500000000}","{'units': 746, 'nano': 0}","{'units': 762, 'nano': 0}",2727894,True,1
2025-02-18 00:00:00+00:00,"{'units': 762, 'nano': 0}","{'units': 767, 'nano': 400000000}","{'units': 698, 'nano': 600000000}","{'units': 708, 'nano': 300000000}",3374713,True,1
2025-02-19 00:00:00+00:00,"{'units': 710, 'nano': 800000000}","{'units': 715, 'nano': 700000000}","{'units': 671, 'nano': 0}","{'units': 691, 'nano': 100000000}",4944345,True,1
2025-02-20 00:00:00+00:00,"{'units': 693, 'nano': 800000000}","{'units': 697, 'nano': 400000000}","{'units': 676, 'nano': 0}","{'units': 682, 'nano': 900000000}",1562342,True,1
2025-02-21 00:00:00+00:00,"{'units': 684, 'nano': 0}","{'units': 712, 'nano': 600000000}","{'units': 669, 'nano': 400000000}","{'units': 707, 'nano': 0}",2759519,True,1
2025-02-24 00:00:00+00:00,"{'units': 704, 'nano': 0}","{'units': 723, 'nano': 0}","{'units': 690, 'nano': 0}","{'units': 703, 'nano': 700000000}",2067879,True,1
2025-02-25 00:00:00+00:00,"{'units': 705, 'nano': 500000000}","{'units': 734, 'nano': 800000000}","{'units': 685, 'nano': 800000000}","{'units': 692, 'nano': 200000000}",3826191,True,1
2025-02-26 00:00:00+00:00,"{'units': 692, 'nano': 900000000}","{'units': 712, 'nano': 0}","{'units': 661, 'nano': 100000000}","{'units': 664, 'nano': 0}",2916333,True,1
2025-02-27 00:00:00+00:00,"{'units': 665, 'nano': 0}","{'units': 674, 'nano': 800000000}","{'units': 636, 'nano': 0}","{'units': 644, 'nano': 800000000}",3574571,True,1
2025-02-28 00:00:00+00:00,"{'units': 641, 'nano': 100000000}","{'units': 664, 'nano': 500000000}","{'units': 637, 'nano': 0}","{'units': 658, 'nano': 600000000}",2849320,True,1
2025-03-01 00:00:00+00:00,"{'units': 661, 'nano': 200000000}","{'units': 666, 'nano': 800000000}","{'units': 659, 'nano': 0}","{'units': 660, 'nano': 500000000}",36486,True,1
2025-03-02 00:00:00+00:00,"{'units': 658, 'nano': 400000000}","{'units': 660, 'nano': 0}","{'units': 653, 'nano': 600000000}","{'units': 658, 'nano': 0}",31683,True,1
2025-03-03 00:00:00+00:00,"{'units': 658, 'nano': 0}","{'units': 658, 'nano': 0}","{'units': 625, 'nano': 900000000}","{'units': 637, 'nano': 100000000}",1955918,True,1
2025-03-04 00:00:00+00:00,"{'units': 638, 'nano': 400000000}","{'units': 669, 'nano': 800000000}","{'units': 638, 'nano': 0}","{'units': 666, 'nano': 200000000}",1409898,True,1
2025-03-05 00:00:00+00:00,"{'units': 666, 'nano': 300000000}","{'units': 696, 'nano': 300000000}","{'units': 652, 'nano': 500000000}","{'units': 668, 'nano': 900000000}",2599295,True,1
2025-03-06 00:00:00+00:00,"{'units': 668, 'nano': 300000000}","{'units': 689, 'nano': 800000000}","{'units': 660, 'nano': 900000000}","{'units': 665, 'nano': 700000000}",2658215,True,1
2025-03-07 00:00:00+00:00,"{'units': 665, 'nano': 500000000}","{'units': 678, 'nano': 300000000}","{'units': 650, 'nano': 0}","{'units': 661, 'nano': 200000000}",1397188,True,1
2025-03-10 00:00:00+00:00,"{'units': 663, 'nano': 500000000}","{'units': 665, 'nano': 900000000}","{'units': 648, 'nano': 300000000}","{'units': 652, 'nano': 100000000}",806738,True,1
2025-03-11 00:00:00+00:00,"{'units': 652, 'nano': 100000000}","{'units': 656, 'nano': 0}","{'units': 628, 'nano': 300000000}","{'units': 634, 'nano': 400000000}",2615986,True,1
2025-03-12 00:00:00+00:00,"{'units': 634, 'nano': 0}","{'units': 639, 'nano': 400000000}","{'units': 605, 'nano': 0}","{'units': 608, 'nano': 800000000}",3033166,True,1
2025-03-13 00:00:00+00:00,"{'units': 607, 'nano': 0}","{'units': 629, 'nano': 0}","{'units': 590, 'nano': 500000000}","{'units': 604, 'nano': 500000000}",3381006,True,1
2025-03-14 00:00:00+00:00,"{'units': 601, 'nano': 300000000}","{'units': 624, 'nano': 800000000}","{'units': 598, 'nano': 0}","{'units': 615, 'nano': 0}",1766469,True,1
2025-03-15 00:00:00+00:00,"{'units': 615, 'nano': 500000000}","{'units': 618, 'nano': 800000000}","{'units': 615, 'nano': 300000000}","{'units': 617, 'nano': 0}",24617,True,1
2025-03-16 00:00:00+00:00,"{'units': 618, 'nano': 800000000}","{'units': 629, 'nano': 900000000}","{'units': 618, 'nano': 500000000}","{'units': 629, 'nano': 300000000}",154118,True,1
2025-03-17 00:00:00+00:00,"{'units': 628, 'nano': 500000000}","{'units': 649, 'nano': 900000000}","{'units': 627, 'nano': 100000000}","{'units': 646, 'nano': 200000000}",1750912,True,1
2025-03-18 00:00:00+00:00,"{'units': 649, 'nano': 0}","{'units': 657, 'nano': 400000000}","{'units': 627, 'nano': 100000000}","{'units': 628, 'nano': 400000000}",2454322,True,1
2025-03-19 00:00:00+00:00,"{'units': 629, 'nano': 400000000}","{'units': 648, 'nano': 200000000}","{'units': 622, 'nano': 0}","{'units': 640, 'nano': 100000000}",2119241,True,1
2025-03-20 00:00:00+00:00,"{'units': 642, 'nano': 0}","{'units': 647, 'nano': 700000000}","{'units': 623, 'nano': 0}","{'units': 626, 'nano': 300000000}",3269439,True,1
2025-03-21 00:00:00+00:00,"{'units': 627, 'nano': 0}","{'units': 632, 'nano': 0}","{'units': 586, 'nano': 0}","{'units': 590, 'nano': 0}",7929136,True,1
2025-03-24 00:00:00+00:00,"{'units': 586, 'nano': 100000000}","{'units': 587, 'nano': 300000000}","{'units': 548, 'nano': 300000000}","{'units': 549, 'nano': 300000000}",6706276,True,1
2025-03-25 00:00:00+00:00,"{'units': 551, 'nano': 700000000}","{'units': 564, 'nano': 600000000}","{'units': 539, 'nano': 200000000}","{'units': 563, 'nano': 700000000}",5972377,True,1
2025-03-26 00:00:00+00:00,"{'units': 565, 'nano': 0}","{'units': 572, 'nano': 500000000}","{'units': 546, 'nano': 500000000}","{'units': 549, 'nano': 900000000}",2624523,True,1
2025-03-27 00:00:00+00:00,"{'units': 548, 'nano': 900000000}","{'units': 550, 'nano': 900000000}","{'units': 523, 'nano': 800000000}","{'units': 525, 'nano': 700000000}",2667601,True,1
2025-03-28 00:00:00+00:00,"{'units': 525, 'nano': 0}","{'units': 529, 'nano': 800000000}","{'units': 508, 'nano': 900000000}","{'units': 513, 'nano': 600000000}",2954601,True,1
2025-03-29 00:00:00+00:00,"{'units': 513, 'nano': 600000000}","{'units': 513, 'nano': 600000000}","{'units': 504, 'nano': 0}","{'units': 504, 'nano': 0}",184986,True,1
2025-03-30 00:00:00+00:00,"{'units': 504, 'nano': 0}","{'units': 504, 'nano': 0}","{'units': 504, 'nano': 0}","{'units': 504, 'nano': 0}",15205,True,1
2025-03-31 00:00:00+00:00,"{'units': 501, 'nano': 0}","{'units': 542, 'nano': 0}","{'units': 488, 'nano': 400000000}","{'units': 534, 'nano': 100000000}",3955868,True,1
2025-04-01 00:00:00+00:00,"{'units': 535, 'nano': 0}","{'units': 553, 'nano': 600000000}","{'units': 504, 'nano': 700000000}","{'units': 508, 'nano': 400000000}",4775422,True,1
2025-04-02 00:00:00+00:00,"{'units': 508, 'nano': 0}","{'units': 531, 'nano': 200000000}","{'units': 505, 'nano': 300000000}","{'units': 529, 'nano': 800000000}",3769013,True,1
2025-04-03 00:00:00+00:00,"{'units': 532, 'nano': 200000000}","{'units': 539, 'nano': 900000000}","{'units': 509, 'nano': 200000000}","{'units': 525, 'nano': 400000000}",3160966,True,1
2025-04-04 00:00:00+00:00,"{'units': 527, 'nano': 0}","{'units': 533, 'nano': 300000000}","{'units': 491, 'nano': 0}","{'units': 493, 'nano': 800000000}",3306012,True,1
2025-04-05 00:00:00+00:00,"{'units': 501, 'nano': 0}","{'units': 502, 'nano': 900000000}","{'units': 501, 'nano': 0}","{'units': 501, 'nano': 0}",190823,True,1
2025-04-06 00:00:00+00:00,"{'units': 502, 'nano': 0}","{'units': 518, 'nano': 500000000}","{'units': 501, 'nano': 0}","{'units': 516, 'nano': 700000000}",373530,True,1
2025-04-07 00:00:00+00:00,"{'units': 507, 'nano': 0}","{'units': 507, 'nano': 0}","{'units': 448, 'nano': 300000000}","{'units': 472, 'nano': 500000000}",8336420,True,1
2025-04-08 00:00:00+00:00,"{'units': 480, 'nano': 0}","{'units': 487, 'nano': 300000000}","{'units': 442, 'nano': 200000000}","{'units': 444, 'nano': 0}",4232251,True,1
2025-04-09 00:00:00+00:00,"{'units': 440, 'nano': 0}","{'units': 464, 'nano': 100000000}","{'units': 411, 'nano': 0}","{'units': 464, 'nano': 100000000}",9571047,True,1
2025-04-10 00:00:00+00:00,"{'units': 462, 'nano': 800000000}","{'units': 468, 'nano': 900000000}","{'units': 421, 'nano': 0}","{'units': 429, 'nano': 0}",10467330,True,1
2025-04-11 00:00:00+00:00,"{'units': 429, 'nano': 900000000}","{'units': 441, 'nano': 0}","{'units': 422, 'nano': 800000000}","{'units': 429, 'nano': 900000000}",11576576,True,1
2025-04-12 00:00:00+00:00,"{'units': 431, 'nano': 700000000}","{'units': 440, 'nano': 200000000}","{'units': 431, 'nano': 400000000}","{'units': 439, 'nano': 400000000}",1352128,True,1
2025-04-13 00:00:00+00:00,"{'units': 439, 'nano': 0}","{'units': 440, 'nano': 300000000}","{'units': 436, 'nano': 200000000}","{'units': 440, 'nano': 300000000}",482654,True,1
2025-04-14 00:00:00+00:00,"{'units': 441, 'nano': 200000000}","{'units': 444, 'nano': 800000000}","{'units': 421, 'nano': 100000000}","{'units': 424, 'nano': 100000000}",7843712,True,1
2025-04-15 00:00:00+00:00,"{'units': 423, 'nano': 0}","{'units': 429, 'nano': 600000000}","{'units': 411, 'nano': 500000000}","{'units': 423, 'nano': 500000000}",8078054,True,1
2025-04-16 00:00:00+00:00,"{'units': 420, 'nano': 300000000}","{'units': 437, 'nano': 0}","{'units': 415, 'nano': 600000000}","{'units': 428, 'nano': 100000000}",4514884,True,1
2025-04-17 00:00:00+00:00,"{'units': 429, 'nano': 200000000}","{'units': 443, 'nano': 900000000}","{'units': 427, 'nano': 0}","{'units': 439, 'nano': 300000000}",4216341,True,1
2025-04-18 00:00:00+00:00,"{'units': 433, 'nano': 700000000}","{'units': 439, 'nano': 0}","{'units': 427, 'nano': 200000000}","{'units': 433, 'nano': 200000000}",2756183,True,1
2025-04-21 00:00:00+00:00,"{'units': 434, 'nano': 200000000}","{'units': 451, 'nano': 0}","{'units': 434, 'nano': 200000000}","{'units': 450, 'nano': 0}",3262998,True,1
2025-04-22 00:00:00+00:00,"{'units': 450, 'nano': 900000000}","{'units': 486, 'nano': 900000000}","{'units': 450, 'nano': 0}","{'units': 478, 'nano': 200000000}",11074381,True,1
2025-04-23 00:00:00+00:00,"{'units': 479, 'nano': 900000000}","{'units': 481, 'nano': 600000000}","{'units': 457, 'nano': 100000000}","{'units': 471, 'nano': 400000000}",5480482,True,1
2025-04-24 00:00:00+00:00,"{'units': 472, 'nano': 0}","{'units': 506, 'nano': 0}","{'units': 471, 'nano': 0}","{'units': 504, 'nano': 600000000}",11698966,True,1
2025-04-25 00:00:00+00:00,"{'units': 505, 'nano': 0}","{'units': 524, 'nano': 900000000}","{'units': 500, 'nano': 0}","{'units': 511, 'nano': 600000000}",18282848,True,1
2025-04-26 00:00:00+00:00,"{'units': 518, 'nano': 0}","{'units': 520, 'nano': 600000000}","{'units': 508, 'nano': 700000000}","{'units': 514, 'nano': 200000000}",1149093,True,1
2025-04-27 00:00:00+00:00,"{'units': 514, 'nano': 500000000}","{'units': 517, 'nano': 800000000}","{'units': 511, 'nano': 200000000}","{'units': 516, 'nano': 0}",287558,True,1
2025-04-28 00:00:00+00:00,"{'units': 516, 'nano': 200000000}","{'units': 519, 'nano': 0}","{'units': 500, 'nano': 600000000}","{'units': 503, 'nano': 700000000}",5106362,True,1
2025-04-29 00:00:00+00:00,"{'units': 503, 'nano': 0}","{'units': 507, 'nano': 400000000}","{'units': 481, 'nano': 0}","{'units': 484, 'nano': 200000000}",3516998,True,1
2025-04-30 00:00:00+00:00,"{'units': 485, 'nano': 500000000}","{'units': 486, 'nano': 100000000}","{'units': 465, 'nano': 200000000}","{'units': 477, 'nano': 300000000}",4717213,True,1
2025-05-02 00:00:00+00:00,"{'units': 478, 'nano': 0}","{'units': 478, 'nano': 200000000}","{'units': 440, 'nano': 500000000}","{'units': 442, 'nano': 0}",3328608,True,1
2025-05-03 00:00:00+00:00,"{'units': 441, 'nano': 100000000}","{'units': 450, 'nano': 900000000}","{'units': 440, 'nano': 100000000}","{'units': 448, 'nano': 300000000}",684631,True,1
2025-05-04 00:00:00+00:00,"{'units': 449, 'nano': 700000000}","{'units': 455, 'nano': 900000000}","{'units': 449, 'nano': 0}","{'units': 453, 'nano': 100000000}",457315,True,1
2025-05-05 00:00:00+00:00,"{'units': 451, 'nano': 500000000}","{'units': 453, 'nano': 400000000}","{'units': 428, 'nano': 100000000}","{'units': 444, 'nano': 700000000}",3856612,True,1
2025-05-06 00:00:00+00:00,"{'units': 444, 'nano': 700000000}","{'units': 474, 'nano': 100000000}","{'units': 435, 'nano': 300000000}","{'units': 465, 'nano': 0}",6433729,True,1
2025-05-07 00:00:00+00:00,"{'units': 465, 'nano': 100000000}","{'units': 487, 'nano': 0}","{'units': 458, 'nano': 600000000}","{'units': 480, 'nano': 500000000}",7515112,True,1
2025-05-08 00:00:00+00:00,"{'units': 481, 'nano': 900000000}","{'units': 489, 'nano': 700000000}","{'units': 470, 'nano': 400000000}","{'units': 474, 'nano': 500000000}",3981881,True,1
2025-05-10 00:00:00+00:00,"{'units': 476, 'nano': 500000000}","{'units': 482, 'nano': 0}","{'units': 474, 'nano': 600000000}","{'units': 478, 'nano': 300000000}",376859,True,1
