time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 862, 'nano': 200000000}","{'units': 882, 'nano': 800000000}","{'units': 848, 'nano': 800000000}","{'units': 860, 'nano': 0}",261623,True,1
2025-02-05 00:00:00+00:00,"{'units': 852, 'nano': 0}","{'units': 864, 'nano': 0}","{'units': 840, 'nano': 600000000}","{'units': 858, 'nano': 800000000}",117399,True,1
2025-02-06 00:00:00+00:00,"{'units': 872, 'nano': 800000000}","{'units': 913, 'nano': 800000000}","{'units': 866, 'nano': 600000000}","{'units': 874, 'nano': 800000000}",681309,True,1
2025-02-07 00:00:00+00:00,"{'units': 876, 'nano': 0}","{'units': 890, 'nano': 0}","{'units': 864, 'nano': 400000000}","{'units': 876, 'nano': 0}",96633,True,1
2025-02-10 00:00:00+00:00,"{'units': 882, 'nano': 200000000}","{'units': 890, 'nano': 0}","{'units': 873, 'nano': 0}","{'units': 881, 'nano': 0}",45791,True,1
2025-02-11 00:00:00+00:00,"{'units': 881, 'nano': 0}","{'units': 890, 'nano': 0}","{'units': 857, 'nano': 0}","{'units': 872, 'nano': 200000000}",86928,True,1
2025-02-12 00:00:00+00:00,"{'units': 882, 'nano': 0}","{'units': 888, 'nano': 200000000}","{'units': 866, 'nano': 200000000}","{'units': 874, 'nano': 200000000}",47962,True,1
2025-02-13 00:00:00+00:00,"{'units': 918, 'nano': 0}","{'units': 920, 'nano': 0}","{'units': 882, 'nano': 600000000}","{'units': 893, 'nano': 400000000}",101052,True,1
2025-02-14 00:00:00+00:00,"{'units': 899, 'nano': 0}","{'units': 931, 'nano': 0}","{'units': 886, 'nano': 200000000}","{'units': 891, 'nano': 200000000}",215411,True,1
2025-02-17 00:00:00+00:00,"{'units': 902, 'nano': 400000000}","{'units': 908, 'nano': 600000000}","{'units': 892, 'nano': 0}","{'units': 904, 'nano': 400000000}",46423,True,1
2025-02-18 00:00:00+00:00,"{'units': 900, 'nano': 0}","{'units': 905, 'nano': 800000000}","{'units': 890, 'nano': 200000000}","{'units': 891, 'nano': 800000000}",63775,True,1
2025-02-19 00:00:00+00:00,"{'units': 890, 'nano': 0}","{'units': 899, 'nano': 600000000}","{'units': 878, 'nano': 400000000}","{'units': 888, 'nano': 800000000}",36858,True,1
2025-02-20 00:00:00+00:00,"{'units': 891, 'nano': 800000000}","{'units': 897, 'nano': 800000000}","{'units': 880, 'nano': 0}","{'units': 889, 'nano': 0}",30051,True,1
2025-02-21 00:00:00+00:00,"{'units': 888, 'nano': 600000000}","{'units': 906, 'nano': 0}","{'units': 885, 'nano': 600000000}","{'units': 903, 'nano': 200000000}",40574,True,1
2025-02-24 00:00:00+00:00,"{'units': 904, 'nano': 200000000}","{'units': 919, 'nano': 0}","{'units': 893, 'nano': 800000000}","{'units': 905, 'nano': 0}",49718,True,1
2025-02-25 00:00:00+00:00,"{'units': 910, 'nano': 0}","{'units': 948, 'nano': 0}","{'units': 903, 'nano': 0}","{'units': 905, 'nano': 800000000}",396546,True,1
2025-02-26 00:00:00+00:00,"{'units': 910, 'nano': 0}","{'units': 912, 'nano': 800000000}","{'units': 850, 'nano': 0}","{'units': 855, 'nano': 400000000}",395289,True,1
2025-02-27 00:00:00+00:00,"{'units': 854, 'nano': 0}","{'units': 859, 'nano': 0}","{'units': 817, 'nano': 600000000}","{'units': 827, 'nano': 800000000}",137763,True,1
2025-02-28 00:00:00+00:00,"{'units': 829, 'nano': 0}","{'units': 850, 'nano': 0}","{'units': 801, 'nano': 200000000}","{'units': 845, 'nano': 0}",244028,True,1
2025-03-03 00:00:00+00:00,"{'units': 836, 'nano': 0}","{'units': 838, 'nano': 800000000}","{'units': 820, 'nano': 0}","{'units': 828, 'nano': 800000000}",61622,True,1
2025-03-04 00:00:00+00:00,"{'units': 840, 'nano': 0}","{'units': 858, 'nano': 800000000}","{'units': 836, 'nano': 400000000}","{'units': 856, 'nano': 600000000}",82904,True,1
2025-03-05 00:00:00+00:00,"{'units': 859, 'nano': 0}","{'units': 888, 'nano': 800000000}","{'units': 857, 'nano': 0}","{'units': 858, 'nano': 200000000}",239169,True,1
2025-03-06 00:00:00+00:00,"{'units': 857, 'nano': 600000000}","{'units': 861, 'nano': 800000000}","{'units': 835, 'nano': 0}","{'units': 842, 'nano': 400000000}",126942,True,1
2025-03-07 00:00:00+00:00,"{'units': 845, 'nano': 400000000}","{'units': 867, 'nano': 0}","{'units': 840, 'nano': 400000000}","{'units': 845, 'nano': 0}",118777,True,1
2025-03-10 00:00:00+00:00,"{'units': 855, 'nano': 0}","{'units': 865, 'nano': 800000000}","{'units': 849, 'nano': 800000000}","{'units': 857, 'nano': 800000000}",28906,True,1
2025-03-11 00:00:00+00:00,"{'units': 857, 'nano': 800000000}","{'units': 882, 'nano': 400000000}","{'units': 836, 'nano': 0}","{'units': 844, 'nano': 0}",257982,True,1
2025-03-12 00:00:00+00:00,"{'units': 838, 'nano': 0}","{'units': 846, 'nano': 400000000}","{'units': 826, 'nano': 0}","{'units': 839, 'nano': 0}",69318,True,1
2025-03-13 00:00:00+00:00,"{'units': 830, 'nano': 400000000}","{'units': 849, 'nano': 0}","{'units': 826, 'nano': 0}","{'units': 842, 'nano': 200000000}",39087,True,1
2025-03-14 00:00:00+00:00,"{'units': 847, 'nano': 0}","{'units': 887, 'nano': 800000000}","{'units': 842, 'nano': 800000000}","{'units': 873, 'nano': 200000000}",280825,True,1
2025-03-17 00:00:00+00:00,"{'units': 895, 'nano': 0}","{'units': 905, 'nano': 0}","{'units': 883, 'nano': 0}","{'units': 896, 'nano': 800000000}",222859,True,1
