time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 102, 'nano': 200000000}","{'units': 103, 'nano': 150000000}","{'units': 100, 'nano': 400000000}","{'units': 101, 'nano': 0}",292494,True,1
2025-02-05 00:00:00+00:00,"{'units': 100, 'nano': 500000000}","{'units': 103, 'nano': 300000000}","{'units': 97, 'nano': 900000000}","{'units': 102, 'nano': 850000000}",588512,True,1
2025-02-06 00:00:00+00:00,"{'units': 102, 'nano': 850000000}","{'units': 107, 'nano': 800000000}","{'units': 102, 'nano': 200000000}","{'units': 106, 'nano': 50000000}",1918762,True,1
2025-02-07 00:00:00+00:00,"{'units': 104, 'nano': 900000000}","{'units': 106, 'nano': 200000000}","{'units': 103, 'nano': 150000000}","{'units': 104, 'nano': 250000000}",515999,True,1
2025-02-10 00:00:00+00:00,"{'units': 104, 'nano': 500000000}","{'units': 105, 'nano': 550000000}","{'units': 102, 'nano': 800000000}","{'units': 102, 'nano': 950000000}",401305,True,1
2025-02-11 00:00:00+00:00,"{'units': 102, 'nano': 950000000}","{'units': 106, 'nano': 800000000}","{'units': 102, 'nano': 700000000}","{'units': 104, 'nano': 850000000}",520255,True,1
2025-02-12 00:00:00+00:00,"{'units': 105, 'nano': 0}","{'units': 111, 'nano': 150000000}","{'units': 104, 'nano': 700000000}","{'units': 109, 'nano': 650000000}",1121852,True,1
2025-02-13 00:00:00+00:00,"{'units': 110, 'nano': 100000000}","{'units': 111, 'nano': 950000000}","{'units': 106, 'nano': 900000000}","{'units': 108, 'nano': 600000000}",448754,True,1
2025-02-14 00:00:00+00:00,"{'units': 108, 'nano': 850000000}","{'units': 118, 'nano': 700000000}","{'units': 108, 'nano': 100000000}","{'units': 110, 'nano': 550000000}",3663498,True,1
2025-02-17 00:00:00+00:00,"{'units': 114, 'nano': 0}","{'units': 115, 'nano': 200000000}","{'units': 110, 'nano': 500000000}","{'units': 114, 'nano': 550000000}",2074790,True,1
2025-02-18 00:00:00+00:00,"{'units': 112, 'nano': 500000000}","{'units': 113, 'nano': 300000000}","{'units': 109, 'nano': 150000000}","{'units': 109, 'nano': 550000000}",988485,True,1
2025-02-19 00:00:00+00:00,"{'units': 110, 'nano': 350000000}","{'units': 113, 'nano': 950000000}","{'units': 108, 'nano': 600000000}","{'units': 113, 'nano': 600000000}",690392,True,1
2025-02-20 00:00:00+00:00,"{'units': 113, 'nano': 150000000}","{'units': 113, 'nano': 850000000}","{'units': 111, 'nano': 600000000}","{'units': 112, 'nano': 350000000}",488099,True,1
2025-02-21 00:00:00+00:00,"{'units': 112, 'nano': 400000000}","{'units': 113, 'nano': 150000000}","{'units': 108, 'nano': 0}","{'units': 110, 'nano': 400000000}",896751,True,1
2025-02-24 00:00:00+00:00,"{'units': 110, 'nano': 700000000}","{'units': 111, 'nano': 350000000}","{'units': 109, 'nano': 250000000}","{'units': 110, 'nano': 650000000}",656509,True,1
2025-02-25 00:00:00+00:00,"{'units': 111, 'nano': 500000000}","{'units': 114, 'nano': 850000000}","{'units': 109, 'nano': 400000000}","{'units': 113, 'nano': 550000000}",1942171,True,1
2025-02-26 00:00:00+00:00,"{'units': 115, 'nano': 0}","{'units': 124, 'nano': 0}","{'units': 113, 'nano': 200000000}","{'units': 115, 'nano': 100000000}",8283235,True,1
2025-02-27 00:00:00+00:00,"{'units': 115, 'nano': 0}","{'units': 116, 'nano': 200000000}","{'units': 110, 'nano': 700000000}","{'units': 111, 'nano': 200000000}",1033350,True,1
2025-02-28 00:00:00+00:00,"{'units': 111, 'nano': 350000000}","{'units': 114, 'nano': 500000000}","{'units': 108, 'nano': 50000000}","{'units': 112, 'nano': 800000000}",1176516,True,1
2025-03-03 00:00:00+00:00,"{'units': 111, 'nano': 400000000}","{'units': 111, 'nano': 750000000}","{'units': 108, 'nano': 950000000}","{'units': 110, 'nano': 850000000}",506608,True,1
