time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 28520, 'nano': 0}","{'units': 28660, 'nano': 0}","{'units': 28340, 'nano': 0}","{'units': 28440, 'nano': 0}",1627,True,1
2025-02-05 00:00:00+00:00,"{'units': 28280, 'nano': 0}","{'units': 28700, 'nano': 0}","{'units': 28000, 'nano': 0}","{'units': 28640, 'nano': 0}",1278,True,1
2025-02-06 00:00:00+00:00,"{'units': 28720, 'nano': 0}","{'units': 29500, 'nano': 0}","{'units': 28540, 'nano': 0}","{'units': 29040, 'nano': 0}",1636,True,1
2025-02-07 00:00:00+00:00,"{'units': 29040, 'nano': 0}","{'units': 29240, 'nano': 0}","{'units': 28140, 'nano': 0}","{'units': 28840, 'nano': 0}",1241,True,1
2025-02-10 00:00:00+00:00,"{'units': 29020, 'nano': 0}","{'units': 29420, 'nano': 0}","{'units': 28080, 'nano': 0}","{'units': 28620, 'nano': 0}",2539,True,1
2025-02-11 00:00:00+00:00,"{'units': 28660, 'nano': 0}","{'units': 29000, 'nano': 0}","{'units': 28320, 'nano': 0}","{'units': 28940, 'nano': 0}",1342,True,1
2025-02-12 00:00:00+00:00,"{'units': 29020, 'nano': 0}","{'units': 31000, 'nano': 0}","{'units': 28980, 'nano': 0}","{'units': 30580, 'nano': 0}",4336,True,1
2025-02-13 00:00:00+00:00,"{'units': 30680, 'nano': 0}","{'units': 31300, 'nano': 0}","{'units': 29700, 'nano': 0}","{'units': 30300, 'nano': 0}",2313,True,1
2025-02-14 00:00:00+00:00,"{'units': 30600, 'nano': 0}","{'units': 31160, 'nano': 0}","{'units': 29480, 'nano': 0}","{'units': 30160, 'nano': 0}",3178,True,1
2025-02-17 00:00:00+00:00,"{'units': 31020, 'nano': 0}","{'units': 33960, 'nano': 0}","{'units': 30980, 'nano': 0}","{'units': 33660, 'nano': 0}",12893,True,1
2025-02-18 00:00:00+00:00,"{'units': 33700, 'nano': 0}","{'units': 33860, 'nano': 0}","{'units': 32160, 'nano': 0}","{'units': 32540, 'nano': 0}",4322,True,1
2025-02-19 00:00:00+00:00,"{'units': 32840, 'nano': 0}","{'units': 35800, 'nano': 0}","{'units': 32840, 'nano': 0}","{'units': 35800, 'nano': 0}",9962,True,1
2025-02-20 00:00:00+00:00,"{'units': 36860, 'nano': 0}","{'units': 43200, 'nano': 0}","{'units': 36700, 'nano': 0}","{'units': 42020, 'nano': 0}",57790,True,1
2025-02-21 00:00:00+00:00,"{'units': 42100, 'nano': 0}","{'units': 43400, 'nano': 0}","{'units': 39500, 'nano': 0}","{'units': 40580, 'nano': 0}",20045,True,1
