time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 779, 'nano': 500000000}","{'units': 779, 'nano': 500000000}","{'units': 755, 'nano': 500000000}","{'units': 759, 'nano': 0}",52954,True,1
2025-02-05 00:00:00+00:00,"{'units': 759, 'nano': 0}","{'units': 804, 'nano': 500000000}","{'units': 750, 'nano': 500000000}","{'units': 789, 'nano': 0}",130399,True,1
2025-02-06 00:00:00+00:00,"{'units': 790, 'nano': 0}","{'units': 793, 'nano': 500000000}","{'units': 767, 'nano': 0}","{'units': 780, 'nano': 500000000}",119374,True,1
2025-02-07 00:00:00+00:00,"{'units': 792, 'nano': 0}","{'units': 792, 'nano': 0}","{'units': 770, 'nano': 0}","{'units': 773, 'nano': 0}",43589,True,1
2025-02-10 00:00:00+00:00,"{'units': 778, 'nano': 0}","{'units': 787, 'nano': 500000000}","{'units': 750, 'nano': 0}","{'units': 757, 'nano': 0}",143328,True,1
2025-02-11 00:00:00+00:00,"{'units': 757, 'nano': 0}","{'units': 777, 'nano': 500000000}","{'units': 757, 'nano': 0}","{'units': 773, 'nano': 500000000}",50078,True,1
2025-02-12 00:00:00+00:00,"{'units': 777, 'nano': 0}","{'units': 815, 'nano': 0}","{'units': 773, 'nano': 500000000}","{'units': 787, 'nano': 500000000}",580707,True,1
2025-02-13 00:00:00+00:00,"{'units': 798, 'nano': 500000000}","{'units': 809, 'nano': 0}","{'units': 773, 'nano': 0}","{'units': 780, 'nano': 0}",128005,True,1
2025-02-14 00:00:00+00:00,"{'units': 786, 'nano': 0}","{'units': 802, 'nano': 0}","{'units': 762, 'nano': 0}","{'units': 774, 'nano': 0}",195420,True,1
2025-02-17 00:00:00+00:00,"{'units': 784, 'nano': 0}","{'units': 812, 'nano': 0}","{'units': 782, 'nano': 500000000}","{'units': 802, 'nano': 0}",442748,True,1
2025-02-18 00:00:00+00:00,"{'units': 798, 'nano': 500000000}","{'units': 798, 'nano': 500000000}","{'units': 772, 'nano': 0}","{'units': 779, 'nano': 500000000}",236012,True,1
2025-02-19 00:00:00+00:00,"{'units': 783, 'nano': 0}","{'units': 788, 'nano': 500000000}","{'units': 775, 'nano': 0}","{'units': 784, 'nano': 0}",70539,True,1
2025-02-20 00:00:00+00:00,"{'units': 794, 'nano': 500000000}","{'units': 799, 'nano': 0}","{'units': 784, 'nano': 0}","{'units': 786, 'nano': 500000000}",103017,True,1
2025-02-21 00:00:00+00:00,"{'units': 789, 'nano': 500000000}","{'units': 793, 'nano': 0}","{'units': 777, 'nano': 0}","{'units': 783, 'nano': 0}",75921,True,1
2025-02-24 00:00:00+00:00,"{'units': 792, 'nano': 0}","{'units': 840, 'nano': 500000000}","{'units': 789, 'nano': 0}","{'units': 825, 'nano': 500000000}",1233757,True,1
2025-02-25 00:00:00+00:00,"{'units': 838, 'nano': 0}","{'units': 849, 'nano': 0}","{'units': 813, 'nano': 500000000}","{'units': 830, 'nano': 0}",661810,True,1
2025-02-26 00:00:00+00:00,"{'units': 836, 'nano': 0}","{'units': 837, 'nano': 500000000}","{'units': 793, 'nano': 500000000}","{'units': 799, 'nano': 0}",353489,True,1
2025-02-27 00:00:00+00:00,"{'units': 803, 'nano': 0}","{'units': 810, 'nano': 0}","{'units': 762, 'nano': 0}","{'units': 765, 'nano': 500000000}",172550,True,1
