time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 644800000}","{'units': 0, 'nano': 663000000}","{'units': 0, 'nano': 640400000}","{'units': 0, 'nano': 642400000}",21935,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 649800000}","{'units': 0, 'nano': 681200000}","{'units': 0, 'nano': 647400000}","{'units': 0, 'nano': 678800000}",217801,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 696400000}","{'units': 0, 'nano': 728000000}","{'units': 0, 'nano': 693000000}","{'units': 0, 'nano': 708000000}",244522,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 702200000}","{'units': 0, 'nano': 714400000}","{'units': 0, 'nano': 683400000}","{'units': 0, 'nano': 695000000}",63663,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 714600000}","{'units': 0, 'nano': 714600000}","{'units': 0, 'nano': 695000000}","{'units': 0, 'nano': 698000000}",23400,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 688400000}","{'units': 0, 'nano': 697600000}","{'units': 0, 'nano': 685000000}","{'units': 0, 'nano': 695000000}",18736,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 697400000}","{'units': 0, 'nano': 711600000}","{'units': 0, 'nano': 694600000}","{'units': 0, 'nano': 695800000}",34497,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 725600000}","{'units': 0, 'nano': 741000000}","{'units': 0, 'nano': 695800000}","{'units': 0, 'nano': 700000000}",54165,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 704200000}","{'units': 0, 'nano': 720000000}","{'units': 0, 'nano': 671400000}","{'units': 0, 'nano': 688000000}",84561,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 698000000}","{'units': 0, 'nano': 713600000}","{'units': 0, 'nano': 698000000}","{'units': 0, 'nano': 711800000}",38853,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 710400000}","{'units': 0, 'nano': 716200000}","{'units': 0, 'nano': 693200000}","{'units': 0, 'nano': 698000000}",30620,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 700200000}","{'units': 0, 'nano': 706800000}","{'units': 0, 'nano': 692200000}","{'units': 0, 'nano': 696000000}",20033,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 701800000}","{'units': 0, 'nano': 755600000}","{'units': 0, 'nano': 698600000}","{'units': 0, 'nano': 720000000}",174847,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 730200000}","{'units': 0, 'nano': 758000000}","{'units': 0, 'nano': 720600000}","{'units': 0, 'nano': 729000000}",168495,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 730600000}","{'units': 0, 'nano': 746400000}","{'units': 0, 'nano': 729000000}","{'units': 0, 'nano': 736800000}",35562,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 790800000}","{'units': 0, 'nano': 854000000}","{'units': 0, 'nano': 769000000}","{'units': 0, 'nano': 806000000}",757114,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 824400000}","{'units': 0, 'nano': 828200000}","{'units': 0, 'nano': 770000000}","{'units': 0, 'nano': 802400000}",151537,True,1
