time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 34, 'nano': 745000000}","{'units': 35, 'nano': 550000000}","{'units': 33, 'nano': 800000000}","{'units': 33, 'nano': 965000000}",1994925,True,1
2025-02-05 00:00:00+00:00,"{'units': 34, 'nano': 30000000}","{'units': 35, 'nano': 95000000}","{'units': 33, 'nano': 210000000}","{'units': 34, 'nano': 685000000}",2955712,True,1
2025-02-06 00:00:00+00:00,"{'units': 34, 'nano': 770000000}","{'units': 34, 'nano': 940000000}","{'units': 34, 'nano': 320000000}","{'units': 34, 'nano': 375000000}",1336235,True,1
2025-02-07 00:00:00+00:00,"{'units': 34, 'nano': 250000000}","{'units': 34, 'nano': 800000000}","{'units': 34, 'nano': 55000000}","{'units': 34, 'nano': 750000000}",789866,True,1
2025-02-10 00:00:00+00:00,"{'units': 34, 'nano': 900000000}","{'units': 35, 'nano': 900000000}","{'units': 34, 'nano': 460000000}","{'units': 34, 'nano': 915000000}",2987890,True,1
2025-02-11 00:00:00+00:00,"{'units': 34, 'nano': 920000000}","{'units': 36, 'nano': 250000000}","{'units': 34, 'nano': 755000000}","{'units': 35, 'nano': 920000000}",2779627,True,1
2025-02-12 00:00:00+00:00,"{'units': 35, 'nano': 930000000}","{'units': 38, 'nano': 0}","{'units': 35, 'nano': 255000000}","{'units': 37, 'nano': 435000000}",3760187,True,1
2025-02-13 00:00:00+00:00,"{'units': 37, 'nano': 490000000}","{'units': 38, 'nano': 400000000}","{'units': 35, 'nano': 860000000}","{'units': 36, 'nano': 200000000}",4436691,True,1
2025-02-14 00:00:00+00:00,"{'units': 35, 'nano': 5000000}","{'units': 37, 'nano': 175000000}","{'units': 35, 'nano': 5000000}","{'units': 36, 'nano': 445000000}",3089975,True,1
2025-02-17 00:00:00+00:00,"{'units': 36, 'nano': 845000000}","{'units': 38, 'nano': 200000000}","{'units': 36, 'nano': 840000000}","{'units': 37, 'nano': 975000000}",2219197,True,1
2025-02-18 00:00:00+00:00,"{'units': 38, 'nano': 70000000}","{'units': 39, 'nano': 400000000}","{'units': 37, 'nano': 225000000}","{'units': 37, 'nano': 850000000}",5964450,True,1
2025-02-19 00:00:00+00:00,"{'units': 37, 'nano': 830000000}","{'units': 38, 'nano': 320000000}","{'units': 36, 'nano': 900000000}","{'units': 37, 'nano': 695000000}",4250012,True,1
2025-02-20 00:00:00+00:00,"{'units': 37, 'nano': 800000000}","{'units': 39, 'nano': 400000000}","{'units': 37, 'nano': 695000000}","{'units': 38, 'nano': 940000000}",2978686,True,1
2025-02-21 00:00:00+00:00,"{'units': 38, 'nano': 790000000}","{'units': 39, 'nano': 570000000}","{'units': 38, 'nano': 185000000}","{'units': 38, 'nano': 980000000}",3367040,True,1
2025-02-24 00:00:00+00:00,"{'units': 39, 'nano': 0}","{'units': 41, 'nano': 495000000}","{'units': 38, 'nano': 380000000}","{'units': 41, 'nano': 495000000}",9354380,True,1
