time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 8, 'nano': 874000000}","{'units': 8, 'nano': 959000000}","{'units': 8, 'nano': 750000000}","{'units': 8, 'nano': 810000000}",41966,True,1
2025-02-05 00:00:00+00:00,"{'units': 8, 'nano': 818000000}","{'units': 9, 'nano': 50000000}","{'units': 8, 'nano': 752000000}","{'units': 8, 'nano': 910000000}",66397,True,1
2025-02-06 00:00:00+00:00,"{'units': 8, 'nano': 920000000}","{'units': 9, 'nano': 260000000}","{'units': 8, 'nano': 810000000}","{'units': 9, 'nano': 192000000}",166458,True,1
2025-02-07 00:00:00+00:00,"{'units': 9, 'nano': 192000000}","{'units': 9, 'nano': 282000000}","{'units': 8, 'nano': 912000000}","{'units': 9, 'nano': 30000000}",76634,True,1
2025-02-10 00:00:00+00:00,"{'units': 9, 'nano': 35000000}","{'units': 9, 'nano': 203000000}","{'units': 9, 'nano': 22000000}","{'units': 9, 'nano': 70000000}",34247,True,1
2025-02-11 00:00:00+00:00,"{'units': 9, 'nano': 70000000}","{'units': 9, 'nano': 350000000}","{'units': 9, 'nano': 33000000}","{'units': 9, 'nano': 79000000}",76695,True,1
2025-02-12 00:00:00+00:00,"{'units': 9, 'nano': 130000000}","{'units': 9, 'nano': 416000000}","{'units': 8, 'nano': 990000000}","{'units': 9, 'nano': 334000000}",137226,True,1
2025-02-13 00:00:00+00:00,"{'units': 9, 'nano': 352000000}","{'units': 9, 'nano': 953000000}","{'units': 9, 'nano': 132000000}","{'units': 9, 'nano': 620000000}",213343,True,1
2025-02-14 00:00:00+00:00,"{'units': 9, 'nano': 620000000}","{'units': 10, 'nano': 200000000}","{'units': 9, 'nano': 451000000}","{'units': 9, 'nano': 997000000}",303557,True,1
2025-02-17 00:00:00+00:00,"{'units': 10, 'nano': 95000000}","{'units': 10, 'nano': 320000000}","{'units': 9, 'nano': 900000000}","{'units': 10, 'nano': 51000000}",112834,True,1
2025-02-18 00:00:00+00:00,"{'units': 10, 'nano': 52000000}","{'units': 10, 'nano': 64000000}","{'units': 9, 'nano': 580000000}","{'units': 9, 'nano': 600000000}",159088,True,1
2025-02-19 00:00:00+00:00,"{'units': 9, 'nano': 602000000}","{'units': 9, 'nano': 784000000}","{'units': 9, 'nano': 256000000}","{'units': 9, 'nano': 695000000}",95393,True,1
2025-02-20 00:00:00+00:00,"{'units': 9, 'nano': 695000000}","{'units': 9, 'nano': 753000000}","{'units': 9, 'nano': 500000000}","{'units': 9, 'nano': 573000000}",58579,True,1
2025-02-21 00:00:00+00:00,"{'units': 9, 'nano': 552000000}","{'units': 9, 'nano': 684000000}","{'units': 9, 'nano': 390000000}","{'units': 9, 'nano': 636000000}",60710,True,1
2025-02-24 00:00:00+00:00,"{'units': 9, 'nano': 636000000}","{'units': 10, 'nano': 150000000}","{'units': 9, 'nano': 596000000}","{'units': 10, 'nano': 62000000}",203704,True,1
2025-02-25 00:00:00+00:00,"{'units': 10, 'nano': 120000000}","{'units': 10, 'nano': 652000000}","{'units': 10, 'nano': 10000000}","{'units': 10, 'nano': 570000000}",181686,True,1
2025-02-26 00:00:00+00:00,"{'units': 10, 'nano': 565000000}","{'units': 10, 'nano': 888000000}","{'units': 10, 'nano': 436000000}","{'units': 10, 'nano': 623000000}",142858,True,1
2025-02-27 00:00:00+00:00,"{'units': 10, 'nano': 623000000}","{'units': 10, 'nano': 777000000}","{'units': 10, 'nano': 120000000}","{'units': 10, 'nano': 246000000}",110125,True,1
2025-02-28 00:00:00+00:00,"{'units': 10, 'nano': 401000000}","{'units': 10, 'nano': 462000000}","{'units': 9, 'nano': 941000000}","{'units': 10, 'nano': 414000000}",179672,True,1
2025-03-01 00:00:00+00:00,"{'units': 10, 'nano': 336000000}","{'units': 10, 'nano': 336000000}","{'units': 10, 'nano': 250000000}","{'units': 10, 'nano': 336000000}",1256,True,1
