time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 1305, 'nano': 0}","{'units': 1320, 'nano': 0}","{'units': 1264, 'nano': 0}","{'units': 1274, 'nano': 0}",2563948,True,1
2025-02-05 00:00:00+00:00,"{'units': 1269, 'nano': 0}","{'units': 1306, 'nano': 600000000}","{'units': 1195, 'nano': 600000000}","{'units': 1288, 'nano': 600000000}",9630646,True,1
2025-02-06 00:00:00+00:00,"{'units': 1294, 'nano': 0}","{'units': 1309, 'nano': 600000000}","{'units': 1261, 'nano': 0}","{'units': 1277, 'nano': 0}",3338592,True,1
2025-02-07 00:00:00+00:00,"{'units': 1280, 'nano': 0}","{'units': 1289, 'nano': 0}","{'units': 1256, 'nano': 0}","{'units': 1265, 'nano': 0}",1587807,True,1
2025-02-10 00:00:00+00:00,"{'units': 1282, 'nano': 0}","{'units': 1296, 'nano': 0}","{'units': 1230, 'nano': 0}","{'units': 1242, 'nano': 600000000}",2975169,True,1
2025-02-11 00:00:00+00:00,"{'units': 1236, 'nano': 0}","{'units': 1283, 'nano': 0}","{'units': 1235, 'nano': 0}","{'units': 1275, 'nano': 600000000}",2105714,True,1
2025-02-12 00:00:00+00:00,"{'units': 1279, 'nano': 600000000}","{'units': 1345, 'nano': 0}","{'units': 1240, 'nano': 0}","{'units': 1325, 'nano': 0}",6471455,True,1
2025-02-13 00:00:00+00:00,"{'units': 1336, 'nano': 600000000}","{'units': 1378, 'nano': 600000000}","{'units': 1299, 'nano': 600000000}","{'units': 1318, 'nano': 0}",4346381,True,1
2025-02-14 00:00:00+00:00,"{'units': 1311, 'nano': 600000000}","{'units': 1419, 'nano': 600000000}","{'units': 1276, 'nano': 0}","{'units': 1306, 'nano': 0}",10581148,True,1
2025-02-17 00:00:00+00:00,"{'units': 1329, 'nano': 600000000}","{'units': 1376, 'nano': 600000000}","{'units': 1326, 'nano': 0}","{'units': 1372, 'nano': 0}",2841459,True,1
2025-02-18 00:00:00+00:00,"{'units': 1380, 'nano': 0}","{'units': 1391, 'nano': 600000000}","{'units': 1306, 'nano': 600000000}","{'units': 1323, 'nano': 0}",3100544,True,1
2025-02-19 00:00:00+00:00,"{'units': 1326, 'nano': 600000000}","{'units': 1340, 'nano': 0}","{'units': 1308, 'nano': 600000000}","{'units': 1330, 'nano': 600000000}",1714056,True,1
2025-02-20 00:00:00+00:00,"{'units': 1335, 'nano': 0}","{'units': 1336, 'nano': 600000000}","{'units': 1315, 'nano': 0}","{'units': 1324, 'nano': 0}",911922,True,1
2025-02-21 00:00:00+00:00,"{'units': 1324, 'nano': 0}","{'units': 1349, 'nano': 0}","{'units': 1310, 'nano': 0}","{'units': 1339, 'nano': 600000000}",1517266,True,1
2025-02-24 00:00:00+00:00,"{'units': 1339, 'nano': 600000000}","{'units': 1378, 'nano': 0}","{'units': 1335, 'nano': 600000000}","{'units': 1363, 'nano': 600000000}",2078357,True,1
2025-02-25 00:00:00+00:00,"{'units': 1366, 'nano': 0}","{'units': 1505, 'nano': 0}","{'units': 1360, 'nano': 0}","{'units': 1474, 'nano': 600000000}",7472413,True,1
