time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 1, 'nano': 381000000}","{'units': 1, 'nano': 401000000}","{'units': 1, 'nano': 363000000}","{'units': 1, 'nano': 374000000}",1428008,True,1
2025-02-05 00:00:00+00:00,"{'units': 1, 'nano': 374000000}","{'units': 1, 'nano': 392000000}","{'units': 1, 'nano': 356000000}","{'units': 1, 'nano': 380000000}",2612625,True,1
2025-02-06 00:00:00+00:00,"{'units': 1, 'nano': 384000000}","{'units': 1, 'nano': 399000000}","{'units': 1, 'nano': 369000000}","{'units': 1, 'nano': 373000000}",1181375,True,1
2025-02-07 00:00:00+00:00,"{'units': 1, 'nano': 373000000}","{'units': 1, 'nano': 380000000}","{'units': 1, 'nano': 356000000}","{'units': 1, 'nano': 360000000}",750786,True,1
2025-02-10 00:00:00+00:00,"{'units': 1, 'nano': 365000000}","{'units': 1, 'nano': 382000000}","{'units': 1, 'nano': 275000000}","{'units': 1, 'nano': 331000000}",2260650,True,1
2025-02-11 00:00:00+00:00,"{'units': 1, 'nano': 340000000}","{'units': 1, 'nano': 397000000}","{'units': 1, 'nano': 315000000}","{'units': 1, 'nano': 364000000}",4891449,True,1
2025-02-12 00:00:00+00:00,"{'units': 1, 'nano': 365000000}","{'units': 1, 'nano': 480000000}","{'units': 1, 'nano': 346000000}","{'units': 1, 'nano': 438000000}",10202444,True,1
2025-02-13 00:00:00+00:00,"{'units': 1, 'nano': 446000000}","{'units': 1, 'nano': 488000000}","{'units': 1, 'nano': 404000000}","{'units': 1, 'nano': 461000000}",6199452,True,1
2025-02-14 00:00:00+00:00,"{'units': 1, 'nano': 499000000}","{'units': 1, 'nano': 596000000}","{'units': 1, 'nano': 430000000}","{'units': 1, 'nano': 485000000}",13379273,True,1
2025-02-17 00:00:00+00:00,"{'units': 1, 'nano': 559000000}","{'units': 1, 'nano': 953000000}","{'units': 1, 'nano': 533000000}","{'units': 1, 'nano': 944000000}",39088935,True,1
2025-02-18 00:00:00+00:00,"{'units': 1, 'nano': 953000000}","{'units': 1, 'nano': 953000000}","{'units': 1, 'nano': 711000000}","{'units': 1, 'nano': 747000000}",28938534,True,1
2025-02-19 00:00:00+00:00,"{'units': 1, 'nano': 760000000}","{'units': 2, 'nano': 5000000}","{'units': 1, 'nano': 760000000}","{'units': 1, 'nano': 936000000}",32884180,True,1
2025-02-20 00:00:00+00:00,"{'units': 1, 'nano': 933000000}","{'units': 1, 'nano': 967000000}","{'units': 1, 'nano': 835000000}","{'units': 1, 'nano': 898000000}",14761904,True,1
2025-02-21 00:00:00+00:00,"{'units': 1, 'nano': 898000000}","{'units': 1, 'nano': 920000000}","{'units': 1, 'nano': 810000000}","{'units': 1, 'nano': 883000000}",6873944,True,1
2025-02-24 00:00:00+00:00,"{'units': 1, 'nano': 870000000}","{'units': 1, 'nano': 913000000}","{'units': 1, 'nano': 839000000}","{'units': 1, 'nano': 897000000}",6397057,True,1
2025-02-25 00:00:00+00:00,"{'units': 1, 'nano': 897000000}","{'units': 2, 'nano': 133000000}","{'units': 1, 'nano': 864000000}","{'units': 2, 'nano': 62000000}",29011732,True,1
2025-02-26 00:00:00+00:00,"{'units': 2, 'nano': 63000000}","{'units': 2, 'nano': 197000000}","{'units': 1, 'nano': 918000000}","{'units': 1, 'nano': 979000000}",23550454,True,1
2025-02-27 00:00:00+00:00,"{'units': 1, 'nano': 981000000}","{'units': 1, 'nano': 990000000}","{'units': 1, 'nano': 840000000}","{'units': 1, 'nano': 896000000}",13934398,True,1
2025-02-28 00:00:00+00:00,"{'units': 1, 'nano': 895000000}","{'units': 1, 'nano': 967000000}","{'units': 1, 'nano': 815000000}","{'units': 1, 'nano': 931000000}",13789551,True,1
2025-03-01 00:00:00+00:00,"{'units': 1, 'nano': 937000000}","{'units': 1, 'nano': 937000000}","{'units': 1, 'nano': 925000000}","{'units': 1, 'nano': 937000000}",163388,True,1
2025-03-02 00:00:00+00:00,"{'units': 1, 'nano': 937000000}","{'units': 1, 'nano': 937000000}","{'units': 1, 'nano': 920000000}","{'units': 1, 'nano': 931000000}",143045,True,1
2025-03-03 00:00:00+00:00,"{'units': 1, 'nano': 936000000}","{'units': 1, 'nano': 936000000}","{'units': 1, 'nano': 850000000}","{'units': 1, 'nano': 900000000}",5759664,True,1
2025-03-04 00:00:00+00:00,"{'units': 1, 'nano': 915000000}","{'units': 1, 'nano': 965000000}","{'units': 1, 'nano': 887000000}","{'units': 1, 'nano': 937000000}",5658174,True,1
2025-03-05 00:00:00+00:00,"{'units': 1, 'nano': 933000000}","{'units': 1, 'nano': 936000000}","{'units': 1, 'nano': 812000000}","{'units': 1, 'nano': 876000000}",4434390,True,1
2025-03-06 00:00:00+00:00,"{'units': 1, 'nano': 880000000}","{'units': 1, 'nano': 902000000}","{'units': 1, 'nano': 835000000}","{'units': 1, 'nano': 860000000}",2529204,True,1
2025-03-07 00:00:00+00:00,"{'units': 1, 'nano': 860000000}","{'units': 1, 'nano': 915000000}","{'units': 1, 'nano': 837000000}","{'units': 1, 'nano': 865000000}",3372651,True,1
2025-03-10 00:00:00+00:00,"{'units': 1, 'nano': 865000000}","{'units': 1, 'nano': 892000000}","{'units': 1, 'nano': 845000000}","{'units': 1, 'nano': 867000000}",1696324,True,1
2025-03-11 00:00:00+00:00,"{'units': 1, 'nano': 867000000}","{'units': 1, 'nano': 879000000}","{'units': 1, 'nano': 777000000}","{'units': 1, 'nano': 818000000}",2901708,True,1
2025-03-12 00:00:00+00:00,"{'units': 1, 'nano': 818000000}","{'units': 1, 'nano': 840000000}","{'units': 1, 'nano': 738000000}","{'units': 1, 'nano': 771000000}",4604669,True,1
2025-03-13 00:00:00+00:00,"{'units': 1, 'nano': 771000000}","{'units': 1, 'nano': 830000000}","{'units': 1, 'nano': 687000000}","{'units': 1, 'nano': 777000000}",6823058,True,1
2025-03-14 00:00:00+00:00,"{'units': 1, 'nano': 760000000}","{'units': 1, 'nano': 826000000}","{'units': 1, 'nano': 730000000}","{'units': 1, 'nano': 804000000}",3926403,True,1
2025-03-15 00:00:00+00:00,"{'units': 1, 'nano': 808000000}","{'units': 1, 'nano': 840000000}","{'units': 1, 'nano': 802000000}","{'units': 1, 'nano': 825000000}",329844,True,1
2025-03-16 00:00:00+00:00,"{'units': 1, 'nano': 825000000}","{'units': 1, 'nano': 848000000}","{'units': 1, 'nano': 821000000}","{'units': 1, 'nano': 848000000}",406924,True,1
2025-03-17 00:00:00+00:00,"{'units': 1, 'nano': 880000000}","{'units': 1, 'nano': 970000000}","{'units': 1, 'nano': 866000000}","{'units': 1, 'nano': 934000000}",7371614,True,1
2025-03-18 00:00:00+00:00,"{'units': 1, 'nano': 940000000}","{'units': 1, 'nano': 946000000}","{'units': 1, 'nano': 800000000}","{'units': 1, 'nano': 869000000}",6672313,True,1
2025-03-19 00:00:00+00:00,"{'units': 1, 'nano': 869000000}","{'units': 1, 'nano': 958000000}","{'units': 1, 'nano': 836000000}","{'units': 1, 'nano': 896000000}",6398450,True,1
2025-03-20 00:00:00+00:00,"{'units': 1, 'nano': 897000000}","{'units': 1, 'nano': 917000000}","{'units': 1, 'nano': 874000000}","{'units': 1, 'nano': 900000000}",1585692,True,1
