time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 28999, 'nano': 990000000}","{'units': 29100, 'nano': 0}","{'units': 28999, 'nano': 990000000}","{'units': 29000, 'nano': 0}",12,True,1
2025-02-05 00:00:00+00:00,"{'units': 28222, 'nano': 20000000}","{'units': 28999, 'nano': 910000000}","{'units': 28222, 'nano': 20000000}","{'units': 28999, 'nano': 910000000}",4,True,1
2025-02-06 00:00:00+00:00,"{'units': 28620, 'nano': 570000000}","{'units': 28620, 'nano': 570000000}","{'units': 28000, 'nano': 0}","{'units': 28600, 'nano': 0}",16,True,1
2025-02-07 00:00:00+00:00,"{'units': 28700, 'nano': 0}","{'units': 28700, 'nano': 0}","{'units': 28200, 'nano': 20000000}","{'units': 28200, 'nano': 20000000}",14,True,1
2025-02-10 00:00:00+00:00,"{'units': 28200, 'nano': 0}","{'units': 29986, 'nano': 960000000}","{'units': 27800, 'nano': 90000000}","{'units': 29150, 'nano': 0}",22,True,1
2025-02-11 00:00:00+00:00,"{'units': 28450, 'nano': 10000000}","{'units': 28450, 'nano': 10000000}","{'units': 28450, 'nano': 10000000}","{'units': 28450, 'nano': 10000000}",1,True,1
2025-02-12 00:00:00+00:00,"{'units': 28450, 'nano': 10000000}","{'units': 29001, 'nano': 0}","{'units': 28400, 'nano': 0}","{'units': 28800, 'nano': 10000000}",21,True,1
2025-02-13 00:00:00+00:00,"{'units': 28550, 'nano': 10000000}","{'units': 32899, 'nano': 930000000}","{'units': 28550, 'nano': 10000000}","{'units': 29499, 'nano': 980000000}",18,True,1
2025-02-14 00:00:00+00:00,"{'units': 27104, 'nano': 50000000}","{'units': 30999, 'nano': 980000000}","{'units': 27104, 'nano': 50000000}","{'units': 29400, 'nano': 0}",20,True,1
2025-02-17 00:00:00+00:00,"{'units': 29111, 'nano': 0}","{'units': 29399, 'nano': 860000000}","{'units': 28800, 'nano': 0}","{'units': 29399, 'nano': 860000000}",12,True,1
2025-02-18 00:00:00+00:00,"{'units': 28850, 'nano': 0}","{'units': 29399, 'nano': 950000000}","{'units': 28850, 'nano': 0}","{'units': 29100, 'nano': 0}",6,True,1
2025-02-19 00:00:00+00:00,"{'units': 30199, 'nano': 940000000}","{'units': 30199, 'nano': 940000000}","{'units': 28800, 'nano': 10000000}","{'units': 28800, 'nano': 10000000}",6,True,1
2025-02-20 00:00:00+00:00,"{'units': 29299, 'nano': 990000000}","{'units': 29299, 'nano': 990000000}","{'units': 28600, 'nano': 30000000}","{'units': 28999, 'nano': 980000000}",6,True,1
