time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 901, 'nano': 0}","{'units': 935, 'nano': 0}","{'units': 815, 'nano': 0}","{'units': 890, 'nano': 20000000}",107,True,1
2025-02-05 00:00:00+00:00,"{'units': 856, 'nano': 0}","{'units': 899, 'nano': 0}","{'units': 820, 'nano': 110000000}","{'units': 860, 'nano': 0}",239,True,1
2025-02-06 00:00:00+00:00,"{'units': 880, 'nano': 0}","{'units': 880, 'nano': 0}","{'units': 847, 'nano': 0}","{'units': 847, 'nano': 0}",10,True,1
2025-02-07 00:00:00+00:00,"{'units': 842, 'nano': 0}","{'units': 868, 'nano': 0}","{'units': 821, 'nano': 980000000}","{'units': 852, 'nano': 0}",12,True,1
2025-02-10 00:00:00+00:00,"{'units': 856, 'nano': 0}","{'units': 882, 'nano': 0}","{'units': 834, 'nano': 990000000}","{'units': 838, 'nano': 10000000}",146,True,1
2025-02-11 00:00:00+00:00,"{'units': 842, 'nano': 0}","{'units': 842, 'nano': 0}","{'units': 840, 'nano': 0}","{'units': 840, 'nano': 0}",10,True,1
2025-02-12 00:00:00+00:00,"{'units': 840, 'nano': 0}","{'units': 859, 'nano': 990000000}","{'units': 830, 'nano': 40000000}","{'units': 859, 'nano': 990000000}",35,True,1
2025-02-13 00:00:00+00:00,"{'units': 830, 'nano': 90000000}","{'units': 871, 'nano': 0}","{'units': 830, 'nano': 60000000}","{'units': 849, 'nano': 950000000}",102,True,1
2025-02-14 00:00:00+00:00,"{'units': 830, 'nano': 50000000}","{'units': 851, 'nano': 0}","{'units': 820, 'nano': 0}","{'units': 839, 'nano': 980000000}",59,True,1
2025-02-17 00:00:00+00:00,"{'units': 819, 'nano': 990000000}","{'units': 968, 'nano': 40000000}","{'units': 815, 'nano': 20000000}","{'units': 841, 'nano': 90000000}",892,True,1
2025-02-19 00:00:00+00:00,"{'units': 898, 'nano': 960000000}","{'units': 903, 'nano': 0}","{'units': 818, 'nano': 40000000}","{'units': 888, 'nano': 880000000}",542,True,1
2025-02-20 00:00:00+00:00,"{'units': 861, 'nano': 0}","{'units': 919, 'nano': 0}","{'units': 849, 'nano': 0}","{'units': 885, 'nano': 0}",80,True,1
