time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 0, 'nano': 870000000}","{'units': 0, 'nano': 877200000}","{'units': 0, 'nano': 856900000}","{'units': 0, 'nano': 860600000}",869927,True,1
2025-02-05 00:00:00+00:00,"{'units': 0, 'nano': 861900000}","{'units': 0, 'nano': 898500000}","{'units': 0, 'nano': 861900000}","{'units': 0, 'nano': 895400000}",2663244,True,1
2025-02-06 00:00:00+00:00,"{'units': 0, 'nano': 898800000}","{'units': 0, 'nano': 928000000}","{'units': 0, 'nano': 859000000}","{'units': 0, 'nano': 871900000}",3004066,True,1
2025-02-07 00:00:00+00:00,"{'units': 0, 'nano': 880000000}","{'units': 0, 'nano': 893500000}","{'units': 0, 'nano': 810300000}","{'units': 0, 'nano': 817400000}",8419172,True,1
2025-02-10 00:00:00+00:00,"{'units': 0, 'nano': 831000000}","{'units': 0, 'nano': 831000000}","{'units': 0, 'nano': 777000000}","{'units': 0, 'nano': 781900000}",4868551,True,1
2025-02-11 00:00:00+00:00,"{'units': 0, 'nano': 782000000}","{'units': 0, 'nano': 801000000}","{'units': 0, 'nano': 782000000}","{'units': 0, 'nano': 792500000}",1409771,True,1
2025-02-12 00:00:00+00:00,"{'units': 0, 'nano': 792500000}","{'units': 0, 'nano': 798900000}","{'units': 0, 'nano': 747800000}","{'units': 0, 'nano': 784200000}",5438133,True,1
2025-02-13 00:00:00+00:00,"{'units': 0, 'nano': 784200000}","{'units': 0, 'nano': 819000000}","{'units': 0, 'nano': 761800000}","{'units': 0, 'nano': 772400000}",3574860,True,1
2025-02-14 00:00:00+00:00,"{'units': 0, 'nano': 740100000}","{'units': 0, 'nano': 809900000}","{'units': 0, 'nano': 720400000}","{'units': 0, 'nano': 763000000}",1129431,True,1
2025-02-17 00:00:00+00:00,"{'units': 0, 'nano': 767300000}","{'units': 0, 'nano': 782700000}","{'units': 0, 'nano': 766300000}","{'units': 0, 'nano': 775300000}",1080843,True,1
2025-02-18 00:00:00+00:00,"{'units': 0, 'nano': 777000000}","{'units': 0, 'nano': 779900000}","{'units': 0, 'nano': 760700000}","{'units': 0, 'nano': 764000000}",637154,True,1
2025-02-19 00:00:00+00:00,"{'units': 0, 'nano': 764300000}","{'units': 0, 'nano': 774900000}","{'units': 0, 'nano': 760200000}","{'units': 0, 'nano': 766100000}",563251,True,1
2025-02-20 00:00:00+00:00,"{'units': 0, 'nano': 769000000}","{'units': 0, 'nano': 783800000}","{'units': 0, 'nano': 764000000}","{'units': 0, 'nano': 769300000}",1169505,True,1
2025-02-21 00:00:00+00:00,"{'units': 0, 'nano': 769500000}","{'units': 0, 'nano': 781400000}","{'units': 0, 'nano': 761300000}","{'units': 0, 'nano': 768500000}",569561,True,1
2025-02-24 00:00:00+00:00,"{'units': 0, 'nano': 772000000}","{'units': 0, 'nano': 774500000}","{'units': 0, 'nano': 763000000}","{'units': 0, 'nano': 771500000}",602765,True,1
2025-02-25 00:00:00+00:00,"{'units': 0, 'nano': 772000000}","{'units': 0, 'nano': 780800000}","{'units': 0, 'nano': 763400000}","{'units': 0, 'nano': 772100000}",743804,True,1
2025-02-26 00:00:00+00:00,"{'units': 0, 'nano': 772100000}","{'units': 0, 'nano': 778000000}","{'units': 0, 'nano': 738200000}","{'units': 0, 'nano': 743400000}",1061243,True,1
2025-02-27 00:00:00+00:00,"{'units': 0, 'nano': 743400000}","{'units': 0, 'nano': 744900000}","{'units': 0, 'nano': 714300000}","{'units': 0, 'nano': 720900000}",897439,True,1
2025-02-28 00:00:00+00:00,"{'units': 0, 'nano': 720000000}","{'units': 0, 'nano': 734400000}","{'units': 0, 'nano': 697700000}","{'units': 0, 'nano': 727400000}",927661,True,1
2025-03-01 00:00:00+00:00,"{'units': 0, 'nano': 728800000}","{'units': 0, 'nano': 734600000}","{'units': 0, 'nano': 728000000}","{'units': 0, 'nano': 733400000}",18059,True,1
