time,open,high,low,close,volume,is_complete,candle_source
2025-02-04 00:00:00+00:00,"{'units': 2, 'nano': 704000000}","{'units': 2, 'nano': 704000000}","{'units': 2, 'nano': 562000000}","{'units': 2, 'nano': 579500000}",87134,True,1
2025-02-05 00:00:00+00:00,"{'units': 2, 'nano': 595500000}","{'units': 2, 'nano': 679500000}","{'units': 2, 'nano': 580000000}","{'units': 2, 'nano': 630000000}",71808,True,1
2025-02-06 00:00:00+00:00,"{'units': 2, 'nano': 602000000}","{'units': 2, 'nano': 660500000}","{'units': 2, 'nano': 602000000}","{'units': 2, 'nano': 628000000}",50454,True,1
2025-02-07 00:00:00+00:00,"{'units': 2, 'nano': 616500000}","{'units': 2, 'nano': 720000000}","{'units': 2, 'nano': 600000000}","{'units': 2, 'nano': 634000000}",75718,True,1
2025-02-10 00:00:00+00:00,"{'units': 2, 'nano': 634500000}","{'units': 2, 'nano': 672000000}","{'units': 2, 'nano': 605500000}","{'units': 2, 'nano': 630000000}",54246,True,1
2025-02-11 00:00:00+00:00,"{'units': 2, 'nano': 644500000}","{'units': 2, 'nano': 645000000}","{'units': 2, 'nano': 581500000}","{'units': 2, 'nano': 622500000}",56651,True,1
2025-02-12 00:00:00+00:00,"{'units': 2, 'nano': 637500000}","{'units': 2, 'nano': 674000000}","{'units': 2, 'nano': 602000000}","{'units': 2, 'nano': 653500000}",67068,True,1
2025-02-13 00:00:00+00:00,"{'units': 2, 'nano': 653500000}","{'units': 2, 'nano': 653500000}","{'units': 2, 'nano': 613000000}","{'units': 2, 'nano': 621500000}",56988,True,1
2025-02-14 00:00:00+00:00,"{'units': 2, 'nano': 625000000}","{'units': 2, 'nano': 634500000}","{'units': 2, 'nano': 545500000}","{'units': 2, 'nano': 582000000}",75653,True,1
2025-02-17 00:00:00+00:00,"{'units': 2, 'nano': 613500000}","{'units': 2, 'nano': 634500000}","{'units': 2, 'nano': 564000000}","{'units': 2, 'nano': 602000000}",88774,True,1
2025-02-18 00:00:00+00:00,"{'units': 2, 'nano': 597500000}","{'units': 2, 'nano': 597500000}","{'units': 2, 'nano': 519000000}","{'units': 2, 'nano': 565000000}",82943,True,1
2025-02-19 00:00:00+00:00,"{'units': 2, 'nano': 599000000}","{'units': 2, 'nano': 610000000}","{'units': 2, 'nano': 556500000}","{'units': 2, 'nano': 589000000}",42650,True,1
2025-02-20 00:00:00+00:00,"{'units': 2, 'nano': 589000000}","{'units': 2, 'nano': 599500000}","{'units': 2, 'nano': 575000000}","{'units': 2, 'nano': 585500000}",32082,True,1
2025-02-21 00:00:00+00:00,"{'units': 2, 'nano': 585500000}","{'units': 2, 'nano': 595500000}","{'units': 2, 'nano': 557500000}","{'units': 2, 'nano': 565000000}",25498,True,1
2025-02-24 00:00:00+00:00,"{'units': 2, 'nano': 587000000}","{'units': 2, 'nano': 605000000}","{'units': 2, 'nano': 566500000}","{'units': 2, 'nano': 596500000}",58788,True,1
2025-02-25 00:00:00+00:00,"{'units': 2, 'nano': 604000000}","{'units': 2, 'nano': 623500000}","{'units': 2, 'nano': 571500000}","{'units': 2, 'nano': 611000000}",50985,True,1
2025-02-26 00:00:00+00:00,"{'units': 2, 'nano': 625000000}","{'units': 2, 'nano': 625000000}","{'units': 2, 'nano': 540000000}","{'units': 2, 'nano': 560500000}",76468,True,1
2025-02-27 00:00:00+00:00,"{'units': 2, 'nano': 533500000}","{'units': 2, 'nano': 610000000}","{'units': 2, 'nano': 472500000}","{'units': 2, 'nano': 526500000}",67953,True,1
2025-02-28 00:00:00+00:00,"{'units': 2, 'nano': 520500000}","{'units': 2, 'nano': 603000000}","{'units': 2, 'nano': 503500000}","{'units': 2, 'nano': 571500000}",38443,True,1
2025-03-03 00:00:00+00:00,"{'units': 2, 'nano': 551500000}","{'units': 2, 'nano': 571500000}","{'units': 2, 'nano': 519000000}","{'units': 2, 'nano': 555500000}",33034,True,1
2025-03-04 00:00:00+00:00,"{'units': 2, 'nano': 654000000}","{'units': 2, 'nano': 676500000}","{'units': 2, 'nano': 596000000}","{'units': 2, 'nano': 652500000}",181372,True,1
2025-03-05 00:00:00+00:00,"{'units': 2, 'nano': 661000000}","{'units': 2, 'nano': 749500000}","{'units': 2, 'nano': 650000000}","{'units': 2, 'nano': 652500000}",93438,True,1
2025-03-06 00:00:00+00:00,"{'units': 2, 'nano': 669500000}","{'units': 2, 'nano': 727500000}","{'units': 2, 'nano': 595000000}","{'units': 2, 'nano': 664500000}",52697,True,1
2025-03-07 00:00:00+00:00,"{'units': 2, 'nano': 685000000}","{'units': 2, 'nano': 749500000}","{'units': 2, 'nano': 552500000}","{'units': 2, 'nano': 638000000}",85961,True,1
2025-03-10 00:00:00+00:00,"{'units': 2, 'nano': 660000000}","{'units': 2, 'nano': 743500000}","{'units': 2, 'nano': 650500000}","{'units': 2, 'nano': 670000000}",49028,True,1
2025-03-11 00:00:00+00:00,"{'units': 2, 'nano': 670000000}","{'units': 2, 'nano': 740000000}","{'units': 2, 'nano': 619000000}","{'units': 2, 'nano': 694000000}",110336,True,1
2025-03-12 00:00:00+00:00,"{'units': 2, 'nano': 705000000}","{'units': 2, 'nano': 727000000}","{'units': 2, 'nano': 673000000}","{'units': 2, 'nano': 682500000}",34636,True,1
2025-03-13 00:00:00+00:00,"{'units': 2, 'nano': 697500000}","{'units': 2, 'nano': 715000000}","{'units': 2, 'nano': 631000000}","{'units': 2, 'nano': 690500000}",37431,True,1
2025-03-14 00:00:00+00:00,"{'units': 2, 'nano': 662000000}","{'units': 2, 'nano': 713500000}","{'units': 2, 'nano': 662000000}","{'units': 2, 'nano': 697500000}",28841,True,1
2025-03-17 00:00:00+00:00,"{'units': 2, 'nano': 703000000}","{'units': 2, 'nano': 750000000}","{'units': 2, 'nano': 690000000}","{'units': 2, 'nano': 700500000}",57680,True,1
2025-03-18 00:00:00+00:00,"{'units': 2, 'nano': 705000000}","{'units': 2, 'nano': 725000000}","{'units': 2, 'nano': 654500000}","{'units': 2, 'nano': 660500000}",34521,True,1
2025-03-19 00:00:00+00:00,"{'units': 2, 'nano': 677500000}","{'units': 2, 'nano': 710000000}","{'units': 2, 'nano': 661000000}","{'units': 2, 'nano': 678500000}",26322,True,1
2025-03-20 00:00:00+00:00,"{'units': 2, 'nano': 689000000}","{'units': 2, 'nano': 749500000}","{'units': 2, 'nano': 677500000}","{'units': 2, 'nano': 701000000}",34606,True,1
2025-03-21 00:00:00+00:00,"{'units': 2, 'nano': 720000000}","{'units': 2, 'nano': 720000000}","{'units': 2, 'nano': 677500000}","{'units': 2, 'nano': 683500000}",24897,True,1
2025-03-24 00:00:00+00:00,"{'units': 2, 'nano': 698500000}","{'units': 2, 'nano': 739500000}","{'units': 2, 'nano': 670000000}","{'units': 2, 'nano': 670000000}",32634,True,1
2025-03-25 00:00:00+00:00,"{'units': 2, 'nano': 683000000}","{'units': 2, 'nano': 699000000}","{'units': 2, 'nano': 630000000}","{'units': 2, 'nano': 646500000}",22433,True,1
2025-03-26 00:00:00+00:00,"{'units': 2, 'nano': 666500000}","{'units': 2, 'nano': 707500000}","{'units': 2, 'nano': 600000000}","{'units': 2, 'nano': 601000000}",35236,True,1
2025-03-27 00:00:00+00:00,"{'units': 2, 'nano': 618000000}","{'units': 2, 'nano': 709500000}","{'units': 2, 'nano': 570000000}","{'units': 2, 'nano': 574500000}",40568,True,1
2025-03-28 00:00:00+00:00,"{'units': 2, 'nano': 575000000}","{'units': 2, 'nano': 630000000}","{'units': 2, 'nano': 520000000}","{'units': 2, 'nano': 550000000}",46663,True,1
2025-03-29 00:00:00+00:00,"{'units': 2, 'nano': 601000000}","{'units': 2, 'nano': 603500000}","{'units': 2, 'nano': 487500000}","{'units': 2, 'nano': 496500000}",6085,True,1
2025-03-30 00:00:00+00:00,"{'units': 2, 'nano': 504000000}","{'units': 2, 'nano': 560000000}","{'units': 2, 'nano': 487500000}","{'units': 2, 'nano': 487500000}",4395,True,1
2025-03-31 00:00:00+00:00,"{'units': 2, 'nano': 547500000}","{'units': 2, 'nano': 638000000}","{'units': 2, 'nano': 480000000}","{'units': 2, 'nano': 590000000}",43302,True,1
2025-04-01 00:00:00+00:00,"{'units': 2, 'nano': 621000000}","{'units': 2, 'nano': 660000000}","{'units': 2, 'nano': 538000000}","{'units': 2, 'nano': 566500000}",34989,True,1
2025-04-02 00:00:00+00:00,"{'units': 2, 'nano': 573500000}","{'units': 2, 'nano': 598000000}","{'units': 2, 'nano': 543000000}","{'units': 2, 'nano': 567500000}",11801,True,1
2025-04-03 00:00:00+00:00,"{'units': 2, 'nano': 566000000}","{'units': 2, 'nano': 600000000}","{'units': 2, 'nano': 505000000}","{'units': 2, 'nano': 526500000}",22579,True,1
2025-04-04 00:00:00+00:00,"{'units': 2, 'nano': 529500000}","{'units': 2, 'nano': 547500000}","{'units': 2, 'nano': 450000000}","{'units': 2, 'nano': 464000000}",37099,True,1
2025-04-05 00:00:00+00:00,"{'units': 2, 'nano': 470000000}","{'units': 2, 'nano': 470000000}","{'units': 2, 'nano': 399500000}","{'units': 2, 'nano': 432000000}",13377,True,1
